1731067770.700665532: PING 192.168.6.12 (192.168.6.12) 56(84) bytes of data.
1731067770.703885064: 64 bytes from 192.168.6.12: icmp_seq=1 ttl=63 time=4.61 ms
1731067771.198110385: 64 bytes from 192.168.6.12: icmp_seq=2 ttl=63 time=2.08 ms
1731067771.698439063: 64 bytes from 192.168.6.12: icmp_seq=3 ttl=63 time=1.93 ms
1731067772.200300059: 64 bytes from 192.168.6.12: icmp_seq=4 ttl=63 time=1.75 ms
1731067772.701378725: 64 bytes from 192.168.6.12: icmp_seq=5 ttl=63 time=1.36 ms
1731067773.203097111: 64 bytes from 192.168.6.12: icmp_seq=6 ttl=63 time=2.28 ms
1731067773.703776329: 64 bytes from 192.168.6.12: icmp_seq=7 ttl=63 time=1.65 ms
1731067774.205375481: 64 bytes from 192.168.6.12: icmp_seq=8 ttl=63 time=1.57 ms
1731067774.707485855: 64 bytes from 192.168.6.12: icmp_seq=9 ttl=63 time=2.27 ms
1731067775.208037974: 64 bytes from 192.168.6.12: icmp_seq=10 ttl=63 time=1.54 ms
1731067775.709164639: 64 bytes from 192.168.6.12: icmp_seq=11 ttl=63 time=1.51 ms
1731067776.220094349: 64 bytes from 192.168.6.12: icmp_seq=12 ttl=63 time=10.3 ms
1731067776.711231089: 64 bytes from 192.168.6.12: icmp_seq=13 ttl=63 time=1.66 ms
1731067777.212973763: 64 bytes from 192.168.6.12: icmp_seq=14 ttl=63 time=1.59 ms
1731067777.713919181: 64 bytes from 192.168.6.12: icmp_seq=15 ttl=63 time=2.03 ms
1731067778.215024834: 64 bytes from 192.168.6.12: icmp_seq=16 ttl=63 time=1.88 ms
1731067778.716216665: 64 bytes from 192.168.6.12: icmp_seq=17 ttl=63 time=1.50 ms
1731067779.218072642: 64 bytes from 192.168.6.12: icmp_seq=18 ttl=63 time=2.27 ms
1731067779.718545010: 64 bytes from 192.168.6.12: icmp_seq=19 ttl=63 time=1.96 ms
1731067780.219284503: 64 bytes from 192.168.6.12: icmp_seq=20 ttl=63 time=2.06 ms
1731067780.722175548: 64 bytes from 192.168.6.12: icmp_seq=21 ttl=63 time=4.80 ms
1731067781.221257940: 64 bytes from 192.168.6.12: icmp_seq=22 ttl=63 time=2.26 ms
1731067781.721642716: 64 bytes from 192.168.6.12: icmp_seq=23 ttl=63 time=2.09 ms
1731067782.221396228: 64 bytes from 192.168.6.12: icmp_seq=24 ttl=63 time=1.52 ms
1731067782.723882004: 64 bytes from 192.168.6.12: icmp_seq=25 ttl=63 time=2.38 ms
1731067783.224173446: 64 bytes from 192.168.6.12: icmp_seq=26 ttl=63 time=1.61 ms
1731067783.725827267: 64 bytes from 192.168.6.12: icmp_seq=27 ttl=63 time=1.58 ms
1731067784.226562277: 64 bytes from 192.168.6.12: icmp_seq=28 ttl=63 time=2.67 ms
1731067784.726610024: 64 bytes from 192.168.6.12: icmp_seq=29 ttl=63 time=1.58 ms
1731067785.229841963: 64 bytes from 192.168.6.12: icmp_seq=30 ttl=63 time=3.34 ms
1731067785.729439055: 64 bytes from 192.168.6.12: icmp_seq=31 ttl=63 time=1.67 ms
