1731067770.749457533: PING 192.168.6.21 (192.168.6.21) 56(84) bytes of data.
1731067770.753376984: 64 bytes from 192.168.6.21: icmp_seq=1 ttl=63 time=2.78 ms
1731067771.246743079: 64 bytes from 192.168.6.21: icmp_seq=2 ttl=63 time=1.63 ms
1731067771.749214793: 64 bytes from 192.168.6.21: icmp_seq=3 ttl=63 time=2.22 ms
1731067772.250088285: 64 bytes from 192.168.6.21: icmp_seq=4 ttl=63 time=1.94 ms
1731067772.750833397: 64 bytes from 192.168.6.21: icmp_seq=5 ttl=63 time=1.93 ms
1731067773.253497301: 64 bytes from 192.168.6.21: icmp_seq=6 ttl=63 time=3.07 ms
1731067773.760296055: 64 bytes from 192.168.6.21: icmp_seq=7 ttl=63 time=8.07 ms
1731067774.253265679: 64 bytes from 192.168.6.21: icmp_seq=8 ttl=63 time=1.70 ms
1731067774.755264871: 64 bytes from 192.168.6.21: icmp_seq=9 ttl=63 time=2.88 ms
1731067775.255903508: 64 bytes from 192.168.6.21: icmp_seq=10 ttl=63 time=2.20 ms
1731067775.756816395: 64 bytes from 192.168.6.21: icmp_seq=11 ttl=63 time=2.43 ms
1731067776.256415808: 64 bytes from 192.168.6.21: icmp_seq=12 ttl=63 time=1.70 ms
1731067776.757394256: 64 bytes from 192.168.6.21: icmp_seq=13 ttl=63 time=2.10 ms
1731067777.258539064: 64 bytes from 192.168.6.21: icmp_seq=14 ttl=63 time=2.49 ms
1731067777.758805514: 64 bytes from 192.168.6.21: icmp_seq=15 ttl=63 time=1.78 ms
1731067778.266773826: 64 bytes from 192.168.6.21: icmp_seq=16 ttl=63 time=8.21 ms
1731067778.760830625: 64 bytes from 192.168.6.21: icmp_seq=17 ttl=63 time=1.52 ms
1731067779.262141950: 64 bytes from 192.168.6.21: icmp_seq=18 ttl=63 time=1.56 ms
1731067779.763544004: 64 bytes from 192.168.6.21: icmp_seq=19 ttl=63 time=2.26 ms
1731067780.264571113: 64 bytes from 192.168.6.21: icmp_seq=20 ttl=63 time=1.69 ms
1731067780.765650637: 64 bytes from 192.168.6.21: icmp_seq=21 ttl=63 time=1.71 ms
1731067781.267775014: 64 bytes from 192.168.6.21: icmp_seq=22 ttl=63 time=2.83 ms
1731067781.768131882: 64 bytes from 192.168.6.21: icmp_seq=23 ttl=63 time=1.68 ms
1731067782.269862405: 64 bytes from 192.168.6.21: icmp_seq=24 ttl=63 time=1.55 ms
1731067782.771805028: 64 bytes from 192.168.6.21: icmp_seq=25 ttl=63 time=2.57 ms
1731067783.271704895: 64 bytes from 192.168.6.21: icmp_seq=26 ttl=63 time=1.46 ms
1731067783.773448251: 64 bytes from 192.168.6.21: icmp_seq=27 ttl=63 time=1.54 ms
1731067784.274043059: 64 bytes from 192.168.6.21: icmp_seq=28 ttl=63 time=1.93 ms
1731067784.774800014: 64 bytes from 192.168.6.21: icmp_seq=29 ttl=63 time=1.78 ms
1731067785.275446449: 64 bytes from 192.168.6.21: icmp_seq=30 ttl=63 time=2.01 ms
1731067785.775877522: 64 bytes from 192.168.6.21: icmp_seq=31 ttl=63 time=1.51 ms
1731067786.277816752: 64 bytes from 192.168.6.21: icmp_seq=32 ttl=63 time=2.07 ms
1731067786.778660123: 64 bytes from 192.168.6.21: icmp_seq=33 ttl=63 time=2.41 ms
1731067787.279285643: 64 bytes from 192.168.6.21: icmp_seq=34 ttl=63 time=1.67 ms
1731067787.788698933: 64 bytes from 192.168.6.21: icmp_seq=35 ttl=63 time=10.2 ms
1731067788.281078569: 64 bytes from 192.168.6.21: icmp_seq=36 ttl=63 time=2.12 ms
1731067788.781456607: 64 bytes from 192.168.6.21: icmp_seq=37 ttl=63 time=1.63 ms
1731067789.282596698: 64 bytes from 192.168.6.21: icmp_seq=38 ttl=63 time=2.19 ms
1731067789.783158824: 64 bytes from 192.168.6.21: icmp_seq=39 ttl=63 time=1.56 ms
1731067790.284323611: 64 bytes from 192.168.6.21: icmp_seq=40 ttl=63 time=1.65 ms
1731067790.786536244: 64 bytes from 192.168.6.21: icmp_seq=41 ttl=63 time=2.20 ms
1731067791.286745507: 64 bytes from 192.168.6.21: icmp_seq=42 ttl=63 time=1.84 ms
1731067791.788070405: 64 bytes from 192.168.6.21: icmp_seq=43 ttl=63 time=1.98 ms
1731067792.295412711: 64 bytes from 192.168.6.21: icmp_seq=44 ttl=63 time=8.89 ms
1731067792.789215937: 64 bytes from 192.168.6.21: icmp_seq=45 ttl=63 time=2.09 ms
1731067793.290362104: 64 bytes from 192.168.6.21: icmp_seq=46 ttl=63 time=2.11 ms
1731067793.792344316: 64 bytes from 192.168.6.21: icmp_seq=47 ttl=63 time=2.88 ms
1731067794.295753848: 64 bytes from 192.168.6.21: icmp_seq=48 ttl=63 time=5.96 ms
1731067794.793609639: 64 bytes from 192.168.6.21: icmp_seq=49 ttl=63 time=3.41 ms
1731067795.293135780: 64 bytes from 192.168.6.21: icmp_seq=50 ttl=63 time=2.09 ms
1731067795.793610389: 64 bytes from 192.168.6.21: icmp_seq=51 ttl=63 time=2.12 ms
1731067796.294160043: 64 bytes from 192.168.6.21: icmp_seq=52 ttl=63 time=2.73 ms
1731067796.798903166: 64 bytes from 192.168.6.21: icmp_seq=53 ttl=63 time=5.71 ms
1731067797.296280477: 64 bytes from 192.168.6.21: icmp_seq=54 ttl=63 time=1.88 ms
1731067797.798168044: 64 bytes from 192.168.6.21: icmp_seq=55 ttl=63 time=2.66 ms
1731067798.299584240: 64 bytes from 192.168.6.21: icmp_seq=56 ttl=63 time=3.06 ms
1731067798.799714371: 64 bytes from 192.168.6.21: icmp_seq=57 ttl=63 time=2.23 ms
1731067799.301415459: 64 bytes from 192.168.6.21: icmp_seq=58 ttl=63 time=3.24 ms
1731067799.800732270: 64 bytes from 192.168.6.21: icmp_seq=59 ttl=63 time=2.32 ms
1731067800.301076486: 64 bytes from 192.168.6.21: icmp_seq=60 ttl=63 time=1.73 ms
1731067800.803482743: 64 bytes from 192.168.6.21: icmp_seq=61 ttl=63 time=2.52 ms
1731067801.310093402: 64 bytes from 192.168.6.21: icmp_seq=62 ttl=63 time=8.26 ms
1731067801.804496166: 64 bytes from 192.168.6.21: icmp_seq=63 ttl=63 time=2.09 ms
1731067802.304183206: 64 bytes from 192.168.6.21: icmp_seq=64 ttl=63 time=1.75 ms
1731067802.805139054: 64 bytes from 192.168.6.21: icmp_seq=65 ttl=63 time=2.15 ms
1731067803.306820101: 64 bytes from 192.168.6.21: icmp_seq=66 ttl=63 time=2.34 ms
1731067803.807579034: 64 bytes from 192.168.6.21: icmp_seq=67 ttl=63 time=1.91 ms
1731067804.307594501: 64 bytes from 192.168.6.21: icmp_seq=68 ttl=63 time=2.39 ms
1731067804.808154288: 64 bytes from 192.168.6.21: icmp_seq=69 ttl=63 time=1.44 ms
1731067805.309632913: 64 bytes from 192.168.6.21: icmp_seq=70 ttl=63 time=1.50 ms
1731067805.811086151: 64 bytes from 192.168.6.21: icmp_seq=71 ttl=63 time=2.40 ms
1731067806.312497658: 64 bytes from 192.168.6.21: icmp_seq=72 ttl=63 time=1.54 ms
1731067806.813290130: 64 bytes from 192.168.6.21: icmp_seq=73 ttl=63 time=1.51 ms
1731067807.314736233: 64 bytes from 192.168.6.21: icmp_seq=74 ttl=63 time=2.11 ms
1731067807.815631897: 64 bytes from 192.168.6.21: icmp_seq=75 ttl=63 time=1.88 ms
1731067808.316164749: 64 bytes from 192.168.6.21: icmp_seq=76 ttl=63 time=2.31 ms
1731067808.815666252: 64 bytes from 192.168.6.21: icmp_seq=77 ttl=63 time=1.59 ms
1731067809.317968429: 64 bytes from 192.168.6.21: icmp_seq=78 ttl=63 time=2.34 ms
1731067809.818661344: 64 bytes from 192.168.6.21: icmp_seq=79 ttl=63 time=2.25 ms
