Time,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F4Distance,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,C1S1Distance,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay,C1F2Distance,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1F1Distance
1731067774.96,19.8,0.736,0.0,0.932,4470.213473649776,39.7,1.128,0.0,2.88,7778.544790288543,19.8,0.585,0.0,1.54,4742.404582065938,19.8,0.399,0.0,1.06,4470.937434811629
1731067775.46,19.2,0.834,0.032,1.42,4470.057076257528,40.3,1.173,0.0,2.2,7778.353886055775,19.8,0.52,0.0,1.51,4742.35714940366,19.8,0.546,0.0,0.824,4470.843520970064
1731067775.96,19.8,0.695,0.0,0.833,4469.900692409173,39.1,1.046,0.016,2.43,7778.468754207578,20.5,0.535,0.0,10.3,4742.309716794128,19.8,0.555,0.0,0.857,4470.749607168802
1731067776.46,20.5,0.535,0.0,1.33,4469.744322106131,40.3,1.181,0.0,1.7,7778.74163521241,19.8,0.513,0.0,1.66,4742.262284237345,20.5,0.517,0.0,0.853,4470.655693407848
1731067776.96,19.9,0.709,0.0,0.862,4469.587965349827,39.7,1.242,0.0,2.1,7778.764199947717,19.8,0.662,0.0,1.59,4742.214851733312,19.8,0.557,0.0,4.85,4470.561779687202
1731067777.46,19.8,0.567,0.0,1.32,4469.431622141678,40.3,1.222,0.0,2.49,7778.266029889041,19.8,0.644,0.0,2.03,4742.167419282032,19.8,0.623,0.0,0.86,4470.467866006867
1731067777.96,20.5,0.568,0.0,0.965,4469.275292483111,39.7,0.8,0.0,1.78,7778.336920073759,20.5,0.719,0.0,1.88,4742.119986883504,20.5,0.586,0.0,1.99,4470.373952366848
1731067778.46,19.8,0.725,0.0,1.25,4469.118976375546,40.3,0.802,0.0,8.21,7778.282929827827,19.8,0.868,0.0,1.5,4742.072554537731,19.8,0.658,0.0,0.758,4470.280038767147
1731067778.96,19.9,0.611,0.0,1.17,4468.962673820402,39.7,0.877,0.0,1.52,7778.435135329769,19.8,0.589,0.0,2.27,4742.025122244714,19.8,0.582,0.0,1.48,4470.186125207764
1731067779.46,19.2,0.782,0.032,0.729,4468.806384819106,40.3,0.897,0.0,1.56,7778.416344430708,19.2,0.365,0.032,1.96,4741.977690004455,19.8,0.644,0.0,6.29,4470.092211688704
1731067779.96,19.8,0.721,0.0,1.32,4468.650109373075,39.7,0.853,0.0,2.26,7778.234341289358,20.5,0.537,0.0,2.06,4741.930257816958,19.8,0.92,0.0,1.29,4469.9982982099655
1731067780.46,20.5,0.81,0.0,6.82,4468.493847483735,40.3,0.962,0.0,1.69,7778.267851807752,19.8,0.454,0.0,4.8,4741.882825682221,19.8,0.773,0.0,0.935,4469.9043847715575
1731067780.96,19.9,0.798,0.0,1.49,4468.337599152508,39.7,1.166,0.0,1.71,7778.205452008751,19.8,0.556,0.0,2.26,4741.835393600246,19.8,0.686,0.0,0.815,4469.810471373478
1731067781.46,19.8,0.795,0.0,1.37,4468.181364380816,40.3,1.07,0.0,2.83,7778.045244803384,19.8,0.483,0.0,2.09,4741.787961571035,19.8,0.743,0.0,1.34,4469.7165580157325
1731067781.96,20.5,0.903,0.0,0.888,4468.025143170079,39.7,1.114,0.0,1.68,7778.420969660437,20.5,0.457,0.0,1.52,4741.740529594591,20.5,0.978,0.0,0.916,4469.62264469832
1731067782.46,19.9,0.865,0.0,1.24,4467.868935521721,40.3,0.705,0.0,1.55,7778.372156823464,19.8,0.537,0.0,2.38,4741.693097670916,19.2,0.255,0.0,0.803,4469.528731421245
1731067782.96,19.8,0.88,0.0,0.851,4467.712741437166,39.7,0.875,0.0,2.57,7778.771482514713,19.8,0.688,0.0,1.61,4741.645665800008,20.5,0.248,0.0,1.04,4469.434818184509
1731067783.46,19.9,0.998,0.0,1.77,4467.556560917836,40.4,0.841,0.0,1.46,7778.221625205912,19.8,0.615,0.0,1.58,4741.598233981871,19.8,0.416,0.0,0.946,4469.340904988117
1731067783.96,20.5,0.935,0.0,0.935,4467.400393965153,39.7,0.842,0.0,1.54,7778.323117204665,20.5,0.687,0.0,2.67,4741.550802216507,20.5,0.355,0.0,6.33,4469.24699183207
1731067784.46,19.2,0.338,0.0,1.4,4467.24424058054,40.3,1.061,0.0,1.93,7778.21285037753,19.9,0.597,0.0,1.58,4741.503370503916,19.8,0.303,0.0,0.808,4469.153078716369
1731067784.96,20.5,0.467,0.0,0.924,4467.088100765418,39.7,0.847,0.0,1.78,7778.120241221358,19.8,0.693,0.0,3.34,4741.455938844102,19.9,0.443,0.0,1.16,4469.059165641019
1731067785.46,19.8,0.454,0.0,3.75,4466.931974521214,40.3,0.999,0.0,2.01,7778.61087707862,19.8,0.709,0.0,1.67,4741.408507237064,19.8,0.397,0.0,0.849,4468.96525260602
1731067785.96,20.5,0.443,0.0,1.08,4466.77586184935,39.7,0.937,0.0,1.51,7778.425561045589,20.5,0.657,0.0,1.85,4741.361075682805,19.8,0.357,0.0,1.49,4468.871339611379
1731067786.46,19.8,0.445,0.0,0.828,4466.619762751247,39.7,0.438,0.0,2.07,7778.425972213207,19.8,0.776,0.0,1.91,4741.313644181325,20.5,0.34,0.0,0.868,4468.777426657094
1731067786.96,19.9,0.476,0.0,1.09,4466.463677228329,40.3,0.571,0.0,2.41,7778.15878671149,19.2,0.888,0.032,2.03,4741.266212732628,19.8,0.34,0.0,0.999,4468.68351374317
1731067787.46,19.8,0.694,0.0,0.905,4466.307605282018,39.7,0.557,0.016,1.67,7778.3357380058,19.8,0.613,0.0,2.23,4741.2187813367145,19.8,0.419,0.0,1.07,4468.589600869606
1731067787.96,20.5,0.535,0.0,0.772,4466.15154691374,39.7,0.943,0.0,10.2,7778.3098199963215,19.8,0.247,0.0,2.01,4741.171349993586,20.5,0.408,0.0,0.896,4468.495688036411
1731067788.46,19.8,0.487,0.0,1.25,4465.995502124918,40.3,0.615,0.0,2.12,7778.153508510411,20.5,0.372,0.0,1.46,4741.123918703244,19.8,0.536,0.0,0.887,4468.401775243583
