Time,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,C1S1Distance,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1F1Distance,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay,C1F2Distance,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F4Distance
1731068776.81,39.7,0.856,0.016,1.67,7750.467609941045,19.8,0.689,0.0,0.879,4283.19384875352,19.8,0.729,0.0,2.05,4647.646847599332,19.8,0.359,0.0,1.37,4186.42669827145
1731068777.31,39.7,0.927,0.0,2.33,7750.608643460901,19.8,0.507,0.0,1.01,4283.10002089608,19.8,0.635,0.0,2.38,4647.599523678864,19.8,0.402,0.0,0.867,4186.300307550809
1731068777.81,40.3,0.814,0.0,1.91,7751.147169902354,20.5,0.593,0.0,1.18,4283.006193084479,20.5,0.613,0.0,2.19,4647.552199814436,20.5,0.412,0.0,1.57,4186.173933319064
1731068778.31,39.7,0.968,0.0,1.64,7750.739489655989,19.8,0.618,0.0,0.87,4282.912365318721,19.8,0.915,0.0,1.72,4647.504876006048,19.9,0.411,0.0,1.04,4186.047575577707
1731068778.81,39.7,0.935,0.016,1.96,7750.493049075315,19.8,0.572,0.0,1.38,4282.81853759881,19.8,0.853,0.0,3.99,4647.457552253704,19.8,0.308,0.0,0.926,4185.921234328233
1731068779.31,39.7,0.811,0.0,2.18,7750.72939445236,19.8,0.708,0.0,1.1,4282.724709924745,19.9,0.817,0.0,2.4,4647.410228557406,19.8,0.451,0.0,1.06,4185.794909572135
1731068779.81,39.7,0.461,0.0,1.99,7750.488370701025,20.5,0.665,0.0,7.19,4282.630882296535,20.5,0.749,0.0,1.38,4647.362904917153,20.5,0.433,0.0,6.04,4185.6686013109065
1731068780.31,40.3,0.421,0.0,1.78,7750.969300179949,19.8,0.763,0.0,1.43,4282.537054714179,19.8,0.799,0.0,1.68,4647.315581332948,19.8,0.379,0.0,1.13,4185.54230954604
1731068780.81,39.7,0.866,0.016,7.93,7750.605042595999,19.9,0.684,0.0,1.7,4282.443227177683,19.9,0.943,0.0,2.39,4647.268257804793,19.9,0.366,0.0,1.88,4185.41603427903
1731068781.31,39.7,0.595,0.0,1.43,7750.607330434344,19.8,0.66,0.0,3.2,4282.349399687047,19.8,0.951,0.0,1.99,4647.2209343326895,19.8,0.452,0.0,2.73,4185.289775511369
1731068781.81,40.3,0.501,0.0,2.37,7750.573536689631,20.5,0.698,0.0,3.11,4282.255572242273,20.5,0.848,0.0,3.05,4647.17361091664,20.5,0.415,0.0,2.23,4185.1635332445485
1731068782.31,39.7,0.739,0.0,1.71,7750.9500828386845,19.8,0.731,0.0,3.36,4282.161744843368,19.8,0.633,0.0,1.6,4647.1262875566445,19.9,0.44,0.0,2.2,4185.0373074800655
1731068782.81,40.3,0.86,0.0,1.69,7750.562852791922,19.8,0.85,0.0,4.35,4282.0679174903335,19.8,0.378,0.0,1.84,4647.078964252705,19.8,0.434,0.0,3.79,4184.911098219412
1731068783.31,39.7,0.749,0.0,2.38,7750.170263591833,19.8,0.825,0.0,0.845,4281.974090183173,19.8,0.493,0.0,2.03,4647.031641004825,19.9,0.681,0.0,0.882,4184.784905464079
1731068783.81,40.3,0.771,0.0,1.62,7750.911280617956,20.5,0.832,0.0,0.986,4281.880262921886,20.5,0.791,0.0,2.05,4646.984317813004,20.5,0.486,0.0,0.669,4184.658729215563
1731068784.31,39.7,0.705,0.0,1.78,7750.41946450791,19.8,0.886,0.0,1.26,4281.786435706479,19.8,0.636,0.0,1.88,4646.936994677248,19.8,0.649,0.0,0.961,4184.532569475353
1731068784.81,40.3,0.625,0.0,2.13,7750.851411486023,19.8,0.927,0.0,1.72,4281.692608536955,19.8,0.617,0.0,1.71,4646.889671597552,19.8,0.508,0.0,1.63,4184.406426244946
1731068785.31,39.7,0.802,0.0,4.63,7750.793933106794,19.8,0.665,0.0,0.87,4281.598781413317,19.2,0.718,0.032,2.03,4646.842348573921,19.8,0.661,0.0,2.58,4184.2802995258335
1731068785.81,39.7,0.813,0.016,2.06,7750.397527428432,19.8,0.616,0.0,0.873,4281.504954335567,20.5,0.56,0.0,1.39,4646.795025606359,20.5,0.663,0.0,1.07,4184.154189319509
1731068786.31,39.7,0.914,0.0,1.67,7750.373375900645,20.5,0.338,0.0,1.02,4281.411127303708,19.9,0.449,0.0,1.8,4646.747702694864,19.8,0.613,0.0,0.926,4184.028095627466
1731068786.81,40.3,0.789,0.0,2.17,7750.658067716668,19.8,0.371,0.0,1.1,4281.317300317742,19.8,0.481,0.0,2.63,4646.700379839442,19.8,0.445,0.0,1.55,4183.902018451196
1731068787.31,39.7,1.105,0.0,1.93,7750.699448245405,19.8,0.396,0.0,1.09,4281.223473377674,19.8,0.4,0.0,2.15,4646.653057040088,19.2,0.351,0.032,1.53,4183.775957792194
1731068787.81,40.3,0.96,0.0,2.6,7750.127831494465,20.5,0.434,0.0,1.03,4281.129646483508,20.5,0.535,0.0,2.36,4646.605734296811,20.5,0.43,0.0,1.01,4183.649913651954
1731068788.31,39.7,0.604,0.0,1.31,7750.760223152329,19.8,0.565,0.0,0.723,4281.035819635244,19.8,0.544,0.0,7.05,4646.558411609607,19.9,0.388,0.0,0.866,4183.523886031966
1731068788.81,40.3,0.605,0.0,1.68,7750.006703034329,19.9,0.472,0.0,1.05,4280.941992832886,19.9,0.58,0.0,2.12,4646.511088978481,19.8,0.864,0.0,0.714,4183.397874933726
1731068789.31,39.7,0.723,0.0,1.92,7750.575533983215,19.8,0.544,0.0,1.41,4280.848166076436,19.8,0.581,0.0,2.98,4646.463766403436,19.8,0.546,0.0,0.704,4183.271880358721
1731068789.81,40.3,0.693,0.0,2.84,7750.694092083059,19.8,0.456,0.0,0.818,4280.754339365902,20.5,0.56,0.0,2.08,4646.41644388447,20.5,0.473,0.0,0.795,4183.145902308453
1731068790.31,39.7,0.907,0.0,1.7,7750.28007725464,20.5,0.404,0.0,1.23,4280.660512701283,19.8,0.84,0.0,1.68,4646.369121421586,19.8,0.477,0.0,0.895,4183.019940784408
1731068790.81,40.3,0.766,0.0,1.64,7750.404607679218,19.8,0.432,0.0,1.18,4280.56668608258,19.8,0.612,0.0,2.5,4646.321799014786,19.8,0.522,0.0,0.857,4182.893995788084
1731068791.31,39.7,0.931,0.0,2.2,7750.467591867621,19.8,0.592,0.0,0.843,4280.4728595098,19.8,0.595,0.0,1.5,4646.274476664072,19.8,0.491,0.0,1.03,4182.768067320971
1731068791.81,40.3,1.059,0.0,1.9,7750.481133476283,20.5,0.464,0.0,4.94,4280.379032982943,20.5,0.616,0.0,1.8,4646.227154369447,20.5,0.557,0.0,1.28,4182.642155384559
1731068792.31,39.7,1.031,0.0,1.85,7750.514951181341,19.9,0.504,0.0,1.69,4280.285206502015,19.8,0.723,0.0,1.58,4646.17983213091,19.8,0.651,0.0,0.754,4182.516259980348
1731068792.81,40.3,0.645,0.0,1.56,7750.635758440835,19.8,0.525,0.0,0.81,4280.191380067017,19.8,0.607,0.0,7.63,4646.132509948462,19.9,0.613,0.0,5.0,4182.390381109826
1731068793.31,39.7,0.747,0.0,1.75,7749.994434480657,19.8,0.555,0.0,0.71,4280.097553677954,19.8,0.687,0.0,1.99,4646.085187822108,19.8,0.665,0.0,1.34,4182.264518774488
1731068793.81,40.3,0.826,0.0,2.2,7750.448363895982,20.5,0.597,0.0,0.992,4280.003727334826,20.5,0.703,0.0,1.55,4646.0378657518495,20.5,0.652,0.0,0.927,4182.138672975826
1731068794.31,39.7,0.882,0.0,1.91,7750.506305111852,19.8,0.623,0.0,1.41,4279.909901037637,19.8,0.785,0.0,1.85,4645.990543737687,19.8,0.719,0.0,0.854,4182.012843715332
1731068794.81,40.3,0.91,0.0,10.5,7750.312112027382,19.9,0.629,0.0,0.786,4279.816074786391,19.8,0.659,0.0,1.95,4645.943221779621,19.8,0.645,0.0,1.03,4181.8870309945005
1731068795.31,39.7,1.019,0.0,2.26,7750.313904143279,19.8,0.881,0.0,1.02,4279.722248581092,19.8,0.782,0.0,1.91,4645.895899877654,19.8,0.568,0.0,1.29,4181.761234814823
1731068795.81,39.7,1.201,0.016,1.9,7750.018786560457,20.5,0.657,0.0,1.15,4279.628422421742,20.5,0.534,0.0,1.83,4645.84857803179,19.9,0.269,0.0,0.838,4181.635455177795
1731068796.31,39.7,1.305,0.0,1.78,7750.475645394912,19.8,0.651,0.0,0.836,4279.534596308342,19.9,0.623,0.0,1.8,4645.801256242026,20.5,0.287,0.0,0.996,4181.509692084906
1731068796.81,39.7,0.66,0.0,1.66,7750.14831048911,19.8,0.713,0.0,1.06,4279.440770240896,19.8,0.588,0.0,1.65,4645.753934508371,19.8,0.257,0.0,1.09,4181.383945537649
1731068797.31,40.3,0.784,0.0,2.28,7750.5688890027395,19.8,0.767,0.0,1.07,4279.346944219409,19.8,0.795,0.0,7.2,4645.706612830819,19.8,0.277,0.0,0.936,4181.258215537519
1731068797.81,40.3,0.811,0.0,1.77,7750.489644404534,20.5,0.814,0.0,0.874,4279.253118243883,20.5,0.881,0.0,1.75,4645.659291209376,20.5,0.676,0.0,1.65,4181.132502086008
1731068798.31,39.7,0.714,0.0,1.7,7750.556296241516,19.8,0.62,0.0,1.01,4279.159292314322,19.8,0.569,0.0,2.32,4645.611969644042,19.8,0.589,0.0,0.82,4181.006805184607
1731068798.81,40.3,0.847,0.0,1.62,7750.187397690157,19.9,0.543,0.0,1.48,4279.065466430726,19.8,0.684,0.0,1.54,4645.564648134819,19.8,0.335,0.0,1.65,4180.881124834812
1731068799.31,39.7,0.843,0.0,5.87,7749.76973840798,19.8,0.712,0.0,0.822,4278.9716405930985,19.8,0.628,0.0,1.72,4645.517326681713,19.8,0.29,0.0,7.17,4180.755461038112
1731068799.81,40.3,0.875,0.0,2.3,7749.839887111336,20.5,0.555,0.0,1.18,4278.877814801445,20.5,0.814,0.0,1.87,4645.470005284717,20.5,0.551,0.0,0.961,4180.629813796002
1731068800.31,39.7,1.026,0.0,1.91,7750.166049258338,19.9,0.559,0.0,1.09,4278.783989055769,19.2,1.048,0.032,2.67,4645.422683943842,19.8,0.363,0.0,0.868,4180.504183109975
1731068800.81,40.3,1.125,0.0,1.87,7750.052072868582,19.8,0.569,0.0,0.836,4278.690163356071,19.9,0.966,0.0,1.8,4645.3753626590815,19.8,0.32,0.0,1.03,4180.378568981523
1731068801.31,39.7,0.768,0.0,1.53,7750.268307581808,19.8,0.672,0.0,0.739,4278.596337702355,19.8,0.867,0.0,1.51,4645.328041430443,19.8,0.36,0.0,1.35,4180.252971412138
1731068801.81,40.3,0.432,0.0,1.93,7750.337695225692,20.5,0.698,0.0,0.771,4278.502512094622,20.5,0.747,0.0,2.89,4645.280720257927,20.5,0.384,0.0,0.769,4180.127390403311
1731068802.31,39.7,0.513,0.0,2.28,7750.327881469812,18.6,0.699,0.065,1.1,4278.408686532879,19.8,0.862,0.0,1.76,4645.233399141533,19.8,0.443,0.0,1.0,4180.001825956539
