Time,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F4Distance,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1F1Distance,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,C1S1Distance,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay,C1F2Distance
1731069778.8,19.8,1.098,0.0,5.4,3968.567562735954,19.8,0.432,0.0,0.763,4095.633961427704,40.3,0.809,0.0,3.26,7724.076395413951,19.8,1.273,0.0,1.9,4553.113354617915
1731069779.3,19.8,0.949,0.0,1.0,3968.477071245341,19.8,0.377,0.0,1.21,4095.540231642218,39.7,0.847,0.0,1.5,7723.980196338954,19.8,1.136,0.0,2.67,4553.06614629087
1731069779.8,20.5,1.293,0.0,0.843,3968.386599110525,20.4,0.659,0.0,1.02,4095.446501909164,39.7,1.207,0.0,2.19,7724.0248840745535,20.5,1.675,0.0,1.77,4553.01893802343
1731069780.3,19.8,1.256,0.0,1.34,3968.296146332831,19.9,0.466,0.0,2.39,4095.3527722285417,40.3,1.155,0.0,1.78,7723.656350812684,19.2,0.697,0.0,1.72,4552.971729815594
1731069780.8,19.8,0.733,0.0,1.17,3968.205712913584,19.8,0.601,0.0,0.875,4095.2590426003594,40.4,1.095,0.0,1.68,7724.031035297643,20.5,0.483,0.0,3.3,4552.924521667364
1731069781.3,19.8,0.452,0.0,2.65,3968.115298854104,19.8,0.554,0.0,1.3,4095.165313024615,39.7,1.331,0.0,3.03,7723.644674220265,19.8,0.45,0.0,7.86,4552.877313578745
1731069781.8,19.8,0.491,0.0,0.966,3968.024904155719,20.5,0.459,0.0,1.55,4095.071583501319,40.3,1.613,0.0,2.19,7723.953829300489,20.5,0.412,0.0,2.17,4552.830105549734
1731069782.3,20.5,0.73,0.0,0.919,3967.9345288197487,19.8,0.443,0.0,1.08,4094.977854030471,39.7,0.771,0.0,1.69,7724.119700472195,19.8,0.771,0.0,1.66,4552.782897580336
1731069782.8,19.9,0.549,0.0,0.938,3967.8441728475177,19.8,0.468,0.0,2.78,4094.884124612076,40.3,0.718,0.0,4.99,7723.479541897323,19.8,0.668,0.0,1.81,4552.735689670552
1731069783.3,19.8,0.398,0.0,1.17,3967.753836240349,19.9,0.66,0.0,0.756,4094.790395246136,39.7,0.809,0.0,1.98,7723.821338932184,19.8,0.614,0.0,1.87,4552.688481820384
1731069783.8,19.8,0.596,0.031,2.11,3967.6635189995623,20.5,0.628,0.0,1.21,4094.6966659326554,40.3,0.824,0.0,3.6,7723.598764477133,20.5,0.617,0.0,1.55,4552.641274029836
1731069784.3,19.8,0.785,0.0,0.805,3967.573221126486,19.8,0.527,0.0,1.04,4094.6029366716375,39.7,1.147,0.0,1.88,7723.719795690973,19.8,0.812,0.0,1.6,4552.594066298906
1731069784.8,19.8,0.506,0.0,1.09,3967.482942622438,19.8,0.61,0.0,1.54,4094.509207463087,40.3,0.917,0.0,1.96,7723.797694622584,19.8,0.602,0.0,1.94,4552.5468586275965
