Time,C1F1Bitrate,C1F1Jitter,C1F1Datagrams,C1F1Delay,C1F1Distance,C1F2Bitrate,C1F2Jitter,C1F2Datagrams,C1F2Delay,C1F2Distance,C1F4Bitrate,C1F4Jitter,C1F4Datagrams,C1F4Delay,C1F4Distance,C1S1Bitrate,C1S1Jitter,C1S1Datagrams,C1S1Delay,C1S1Distance
1731071782.23,19.8,0.546,0.0,1.42,3721.1763658821646,19.9,1.052,0.0,1.52,4364.777339109064,19.8,0.467,0.0,0.87,3773.095347324262,40.3,0.899,0.0,2.58,7673.221219102477
1731071782.73,19.9,0.53,0.0,5.82,3721.0828785448994,19.8,1.181,0.0,4.41,4364.730384857695,19.8,0.354,0.0,1.31,3773.0902805260303,39.7,0.899,0.0,2.15,7672.831750765736
1731071783.23,20.5,0.665,0.0,0.85,3720.989391277541,20.5,1.154,0.0,3.13,4364.683430673982,20.5,0.532,0.0,1.62,3773.085236248977,40.3,1.672,0.0,2.02,7672.920730208162
1731071783.73,19.8,0.69,0.0,1.34,3720.895904080091,19.8,1.523,0.0,1.84,4364.636476557927,19.8,0.412,0.0,0.899,3773.080214493193,39.7,0.917,0.0,1.95,7673.230832854331
1731071784.23,19.8,0.689,0.0,0.971,3720.8024169525593,19.8,1.379,0.0,1.97,4364.589522509534,19.8,0.479,0.0,1.2,3773.075215258768,40.3,0.749,0.0,2.66,7673.255932992872
1731071784.73,19.8,0.673,0.0,0.828,3720.7089298949454,19.8,1.32,0.0,1.56,4364.542568528803,19.8,0.517,0.0,1.21,3773.070238545792,39.7,0.676,0.0,1.82,7673.032705023176
1731071785.23,20.5,0.685,0.0,1.5,3720.6154429072617,20.5,1.361,0.0,1.71,4364.495614615737,20.5,0.425,0.0,6.37,3773.0652843543535,40.3,0.823,0.0,1.76,7672.720080804812
1731071785.73,19.8,0.718,0.0,0.901,3720.521955989509,19.8,1.496,0.0,2.15,4364.448660770338,19.8,0.422,0.0,1.25,3773.060352684542,39.7,0.586,0.0,2.16,7672.686220294238
1731071786.23,19.8,0.746,0.0,0.806,3720.428469141693,19.9,1.276,0.0,1.99,4364.4017069926085,19.8,0.386,0.0,0.872,3773.055443536445,40.3,0.615,0.0,2.17,7672.972773729308
1731071786.73,19.8,0.869,0.0,1.22,3720.334982363821,19.8,1.111,0.0,1.98,4364.354753282551,19.8,0.816,0.0,1.2,3773.050556910152,39.0,1.271,0.016,1.61,7672.89826773659
1731071787.23,20.5,0.787,0.0,1.07,3720.241495655893,20.5,0.814,0.0,2.19,4364.307799640168,20.5,0.531,0.0,0.771,3773.045692805746,40.3,0.902,0.0,2.29,7672.590893491461
1731071787.73,19.8,0.835,0.0,2.6,3720.14800901792,19.9,0.886,0.0,2.39,4364.26084606546,19.8,0.555,0.0,0.881,3773.04085122332,39.0,0.44,0.0,2.74,7673.122031815642
1731071788.23,19.8,1.061,0.0,1.1,3720.054522449906,19.8,0.952,0.0,2.97,4364.2138925584295,19.8,0.505,0.0,1.19,3773.036032162958,40.3,0.673,0.0,1.49,7673.065309621959
1731071788.73,19.8,0.93,0.0,0.931,3719.961035951856,19.8,0.853,0.0,1.56,4364.16693911908,19.8,0.476,0.0,1.21,3773.0312356247473,40.3,0.748,0.0,3.05,7672.355664710682
