Time,Bitrate,Jitter,Datagrams
1731067770.65,20.5,0.643,0.0
1731067771.15,19.8,0.534,0.0
1731067771.65,19.8,0.581,0.0
1731067772.15,20.5,0.640,0.0
1731067772.65,19.9,0.681,0.0
1731067773.15,19.8,0.628,0.0
1731067773.65,19.8,0.458,0.0
1731067774.15,19.8,0.772,0.0
1731067774.65,20.5,0.495,0.0
1731067775.15,19.8,0.399,0.0
1731067775.65,19.8,0.546,0.0
1731067776.15,19.8,0.555,0.0
1731067776.65,20.5,0.517,0.0
1731067777.15,19.8,0.557,0.0
1731067777.65,19.8,0.623,0.0
1731067778.15,20.5,0.586,0.0
1731067778.65,19.8,0.658,0.0
1731067779.15,19.8,0.582,0.0
1731067779.65,19.8,0.644,0.0
1731067780.15,19.8,0.920,0.0
1731067780.65,19.8,0.773,0.0
1731067781.15,19.8,0.686,0.0
1731067781.65,19.8,0.743,0.0
1731067782.15,20.5,0.978,0.0
1731067782.65,19.2,0.255,0.0
1731067783.15,20.5,0.248,0.0
1731067783.65,19.8,0.416,0.0
1731067784.15,20.5,0.355,0.0
1731067784.65,19.8,0.303,0.0
1731067785.15,19.9,0.443,0.0
1731067785.65,19.8,0.397,0.0
1731067786.15,19.8,0.357,0.0
1731067786.65,20.5,0.340,0.0
1731067787.15,19.8,0.340,0.0
1731067787.65,19.8,0.419,0.0
1731067788.15,20.5,0.408,0.0
1731067788.65,19.8,0.536,0.0
1731067789.15,19.8,0.383,0.0
1731067789.65,19.8,0.352,0.0
1731067790.15,20.5,0.480,0.0
1731067790.65,19.8,0.494,0.0
1731067791.15,19.8,0.502,0.0
1731067791.65,19.8,0.689,0.0
1731067792.15,19.9,0.539,0.0
1731067792.65,20.5,0.627,0.0
1731067793.15,19.8,0.554,0.0
1731067793.65,19.9,0.499,0.0
1731067794.15,20.5,0.527,0.0
1731067794.65,19.8,0.596,0.0
1731067795.15,19.9,0.520,0.0
1731067795.65,19.8,0.407,0.0
1731067796.15,20.5,0.409,0.0
1731067796.65,19.8,0.583,0.0
1731067797.15,19.8,0.440,0.0
1731067797.65,19.8,0.461,0.0
1731067798.15,20.5,0.436,0.0
1731067798.65,19.8,0.525,0.0
1731067799.15,19.8,0.529,0.0
1731067799.65,19.8,0.699,0.0
1731067800.15,20.5,0.515,0.0
1731067800.65,19.8,0.555,0.0
1731067801.15,19.8,0.628,0.0
1731067801.65,19.8,0.769,0.0
1731067802.15,20.5,0.677,0.0
1731067802.65,19.8,0.777,0.0
1731067803.15,19.9,0.957,0.0
1731067803.65,19.8,0.506,0.0
1731067804.15,19.8,0.587,0.0
1731067804.65,20.5,0.309,0.0
1731067805.15,19.8,0.268,0.0
1731067805.65,19.9,0.341,0.0
1731067806.15,20.5,0.419,0.0
1731067806.65,19.8,0.381,0.0
1731067807.15,19.8,0.387,0.0
1731067807.65,19.8,0.320,0.0
1731067808.15,19.8,0.468,0.0
1731067808.65,20.5,0.305,0.0
1731067809.15,19.2,0.375,0.03225806451612903
1731067809.65,19.8,0.449,0.0
1731067810.15,19.9,0.358,0.0
1731067810.65,20.5,0.370,0.0
1731067811.15,19.8,0.442,0.0
1731067811.65,19.8,0.498,0.0
1731067812.15,19.8,0.606,0.0
1731067812.65,20.5,0.404,0.0
1731067813.15,19.9,0.472,0.0
