Time,Bitrate,Jitter,Datagrams,Delay,C1_X,C1_Y,C1_Z,F1_X,F1_Y,F1_Z,Distance
1731068776.81,19.8,0.689,0.0,0.879,5261.54,5382.02,0.0,7201.3,9200.8,0.0,4283.19384875352
1731068777.31,19.8,0.507,0.0,1.01,5261.67,5382.21,0.0,7201.4,9200.9,0.0,4283.1000208960795
1731068777.81,20.5,0.593,0.0,1.18,5261.8,5382.4,0.0,7201.5,9201.0,0.0,4283.006193084479
1731068778.31,19.8,0.618,0.0,0.87,5261.93,5382.59,0.0,7201.6,9201.1,0.0,4282.912365318721
1731068778.81,19.8,0.572,0.0,1.38,5262.06,5382.78,0.0,7201.7,9201.2,0.0,4282.81853759881
1731068779.31,19.8,0.708,0.0,1.1,5262.19,5382.97,0.0,7201.8,9201.3,0.0,4282.724709924745
1731068779.81,20.5,0.665,0.0,7.19,5262.32,5383.16,0.0,7201.9,9201.4,0.0,4282.630882296535
1731068780.31,19.8,0.763,0.0,1.43,5262.45,5383.35,0.0,7202.0,9201.5,0.0,4282.537054714179
1731068780.81,19.9,0.684,0.0,1.7,5262.58,5383.54,0.0,7202.1,9201.6,0.0,4282.443227177683
1731068781.31,19.8,0.66,0.0,3.2,5262.71,5383.73,0.0,7202.2,9201.7,0.0,4282.349399687047
1731068781.81,20.5,0.698,0.0,3.11,5262.84,5383.92,0.0,7202.3,9201.8,0.0,4282.255572242273
1731068782.31,19.8,0.731,0.0,3.36,5262.97,5384.11,0.0,7202.4,9201.9,0.0,4282.161744843368
1731068782.81,19.8,0.85,0.0,4.35,5263.1,5384.3,0.0,7202.5,9202.0,0.0,4282.0679174903335
1731068783.31,19.8,0.825,0.0,0.845,5263.23,5384.49,0.0,7202.6,9202.1,0.0,4281.974090183173
1731068783.81,20.5,0.832,0.0,0.986,5263.36,5384.68,0.0,7202.7,9202.2,0.0,4281.880262921886
1731068784.31,19.8,0.886,0.0,1.26,5263.49,5384.87,0.0,7202.8,9202.3,0.0,4281.786435706479
1731068784.81,19.8,0.927,0.0,1.72,5263.62,5385.06,0.0,7202.9,9202.4,0.0,4281.692608536955
1731068785.31,19.8,0.665,0.0,0.87,5263.75,5385.25,0.0,7203.0,9202.5,0.0,4281.598781413317
1731068785.81,19.8,0.616,0.0,0.873,5263.88,5385.44,0.0,7203.1,9202.6,0.0,4281.504954335567
1731068786.31,20.5,0.338,0.0,1.02,5264.01,5385.63,0.0,7203.2,9202.7,0.0,4281.411127303708
1731068786.81,19.8,0.371,0.0,1.1,5264.14,5385.82,0.0,7203.3,9202.8,0.0,4281.317300317742
1731068787.31,19.8,0.396,0.0,1.09,5264.27,5386.01,0.0,7203.4,9202.9,0.0,4281.223473377674
1731068787.81,20.5,0.434,0.0,1.03,5264.4,5386.2,0.0,7203.5,9203.0,0.0,4281.129646483508
1731068788.31,19.8,0.565,0.0,0.723,5264.53,5386.39,0.0,7203.6,9203.1,0.0,4281.035819635244
1731068788.81,19.9,0.472,0.0,1.05,5264.66,5386.58,0.0,7203.7,9203.2,0.0,4280.941992832886
1731068789.31,19.8,0.544,0.0,1.41,5264.79,5386.77,0.0,7203.8,9203.3,0.0,4280.848166076436
1731068789.81,19.8,0.456,0.0,0.818,5264.92,5386.96,0.0,7203.9,9203.4,0.0,4280.754339365902
1731068790.31,20.5,0.404,0.0,1.23,5265.05,5387.15,0.0,7204.0,9203.5,0.0,4280.660512701283
1731068790.81,19.8,0.432,0.0,1.18,5265.18,5387.34,0.0,7204.1,9203.6,0.0,4280.5666860825795
1731068791.31,19.8,0.592,0.0,0.843,5265.31,5387.53,0.0,7204.2,9203.7,0.0,4280.4728595098
1731068791.81,20.5,0.464,0.0,4.94,5265.44,5387.72,0.0,7204.3,9203.8,0.0,4280.379032982943
