Time,Bitrate,Jitter,Datagrams,Delay
1731071782.23,19.9,1.052,0.0,1.52
1731071782.73,19.8,1.181,0.0,4.41
1731071783.23,20.5,1.154,0.0,3.13
1731071783.73,19.8,1.523,0.0,1.84
1731071784.23,19.8,1.379,0.0,1.97
1731071784.73,19.8,1.32,0.0,1.56
1731071785.23,20.5,1.361,0.0,1.71
1731071785.73,19.8,1.496,0.0,2.15
1731071786.23,19.9,1.276,0.0,1.99
1731071786.73,19.8,1.111,0.0,1.98
1731071787.23,20.5,0.814,0.0,2.19
1731071787.73,19.9,0.886,0.0,2.39
1731071788.23,19.8,0.952,0.0,2.97
1731071788.73,19.8,0.853,0.0,1.56
1731071789.23,20.5,1.076,0.0,2.18
1731071789.73,19.8,0.922,0.0,2.8
1731071790.23,19.8,0.797,0.0,1.73
1731071790.73,19.8,0.98,0.0,2.02
1731071791.23,20.5,0.712,0.0,1.87
1731071791.73,19.8,0.676,0.0,1.81
1731071792.23,19.8,0.909,0.0,9.89
1731071792.73,19.8,1.044,0.0,1.64
1731071793.23,20.5,0.841,0.0,1.82
1731071793.73,19.8,0.785,0.0,2.59
1731071794.23,19.8,0.847,0.0,1.9
1731071794.73,19.8,0.881,0.0,1.66
1731071795.23,20.5,1.005,0.0,2.04
1731071795.73,19.8,0.988,0.0,2.01
1731071796.23,19.9,1.048,0.0,1.83
1731071796.73,19.8,1.13,0.0,4.75
1731071797.23,20.5,1.198,0.0,2.69
1731071797.73,19.8,1.293,0.0,3.05
1731071798.23,19.8,1.523,0.0,1.77
1731071798.73,19.8,1.165,0.0,1.84
1731071799.23,19.8,0.814,0.0,3.1
1731071799.73,20.5,0.796,0.0,1.67
1731071800.23,19.8,1.142,0.0,1.42
1731071800.73,19.8,0.875,0.0,1.65
1731071801.23,20.5,0.882,0.0,4.04
1731071801.73,19.8,1.081,0.0,2.17
1731071802.23,19.9,1.177,0.0,1.73
1731071802.73,19.8,1.11,0.0,1.78
1731071803.23,20.5,0.994,0.0,2.03
1731071803.73,19.8,1.16,0.0,1.87
1731071804.23,19.9,1.269,0.0,2.22
1731071804.73,19.9,1.416,0.0,1.51
1731071805.23,20.5,1.219,0.0,2.0
1731071805.73,19.8,1.41,0.0,2.71
1731071806.23,19.8,1.543,0.0,9.68
1731071806.73,19.8,1.644,0.0,2.89
1731071807.23,20.5,1.394,0.0,3.1
1731071807.73,19.2,0.868,0.0,1.77
1731071808.23,20.5,0.708,0.0,1.97
1731071808.73,19.8,0.897,0.0,3.03
1731071809.23,20.5,0.799,0.0,2.0
1731071809.73,19.8,1.103,0.0,1.93
1731071810.23,19.8,0.913,0.0,2.09
1731071810.73,19.8,0.891,0.0,7.14
1731071811.23,20.5,0.955,0.0,1.66
1731071811.73,19.8,0.946,0.0,2.42
1731071812.23,19.8,0.675,0.0,2.3
1731071812.73,19.8,0.964,0.0,1.39
1731071813.23,20.5,0.935,0.0,2.17
1731071813.73,19.9,0.83,0.0,2.81
1731071814.23,19.8,0.772,0.0,1.49
1731071814.73,19.9,0.841,0.0,2.03
1731071815.23,19.8,0.806,0.0,5.6
1731071815.73,20.5,1.179,0.0,1.74
1731071816.23,19.8,1.262,0.0,1.8
1731071816.73,19.9,1.066,0.0,1.74
1731071817.23,20.5,1.042,0.0,1.61
1731071817.73,19.8,1.307,0.0,2.11
1731071818.23,19.9,1.198,0.0,2.28
1731071818.73,19.8,1.503,0.0,1.41
1731071819.23,20.5,1.197,0.0,2.38
1731071819.73,19.9,1.548,0.0,2.46
1731071820.23,19.8,1.192,0.0,6.81
1731071820.73,19.8,0.921,0.0,1.66
1731071821.23,20.5,1.011,0.0,2.18
1731071821.73,19.8,0.813,0.0,2.04
1731071822.23,19.8,0.83,0.0,2.14
1731071822.73,19.9,1.138,0.0,2.05
1731071823.23,20.5,1.079,0.0,3.07
1731071823.73,19.8,0.972,0.0,1.66
1731071824.23,19.8,0.927,0.0,2.3
1731071824.73,19.8,1.234,0.0,9.09
1731071825.23,20.5,1.433,0.0,1.62
1731071825.73,19.8,1.185,0.0,2.13
1731071826.23,19.8,1.169,0.0,1.93
1731071826.73,19.8,1.432,0.0,1.74
1731071827.23,20.5,1.444,0.0,1.61
1731071827.73,19.8,1.678,0.0,2.33
1731071828.23,19.8,1.546,0.0,2.68
1731071828.73,19.8,1.293,0.0,1.53
1731071829.23,19.8,0.759,0.0,5.98
1731071829.73,20.5,0.61,0.0,2.71
1731071830.23,19.8,0.76,0.0,1.56
1731071830.73,19.8,0.876,0.0,3.93
1731071831.23,20.5,0.869,0.0,4.26
1731071831.73,19.8,0.905,0.0,1.61
1731071832.23,19.8,1.122,0.0,1.63
1731071832.73,19.8,1.084,0.0,2.01
1731071833.23,19.8,0.782,0.0,1.8
1731071833.73,20.5,0.806,0.0,2.27
1731071834.23,19.8,0.715,0.0,7.2
1731071834.73,19.8,0.81,0.0,1.67
1731071835.23,20.5,0.828,0.0,2.04
1731071835.73,19.8,0.712,0.0,2.04
1731071836.23,19.8,0.802,0.0,2.2
1731071836.73,19.8,1.045,0.0,1.58
1731071837.23,20.5,0.979,0.0,3.16
1731071837.73,19.8,0.826,0.0,3.14
1731071838.23,19.8,0.895,0.0,1.78
1731071838.73,19.8,1.058,0.0,9.92
1731071839.23,20.5,1.028,0.0,2.33
1731071839.73,19.8,1.249,0.0,1.93
1731071840.23,19.8,1.155,0.0,2.23
1731071840.73,19.8,1.176,0.0,1.86
1731071841.23,20.5,1.35,0.0,1.85
1731071841.73,19.2,1.162,0.0,1.7
1731071842.23,20.5,0.89,0.0,1.6
1731071842.73,19.8,0.933,0.0,1.8
1731071843.23,19.9,1.063,0.0,1.99
1731071843.73,20.5,1.207,0.0,1.63
1731071844.23,19.8,1.355,0.0,1.99
1731071844.73,19.8,0.978,0.0,2.0
1731071845.23,19.9,1.149,0.0,2.22
1731071845.73,20.5,1.037,0.0,2.13
1731071846.23,19.8,1.299,0.0,1.39
1731071846.73,19.8,1.539,0.0,2.74
1731071847.23,20.5,1.15,0.0,2.57
1731071847.73,19.8,1.132,0.0,2.47
1731071848.23,19.8,1.286,0.0,7.47
1731071848.73,19.8,1.364,0.0,2.42
1731071849.23,20.5,1.393,0.0,1.83
1731071849.73,19.8,1.334,0.0,1.75
1731071850.23,19.8,1.175,0.0,1.95
1731071850.73,19.8,0.749,0.0,1.92
1731071851.23,19.8,0.917,0.0,1.97
1731071851.73,20.5,0.948,0.0,2.04
1731071852.23,19.8,0.837,0.0,1.92
1731071852.73,19.9,1.061,0.0,9.26
1731071853.23,20.5,0.858,0.0,1.97
1731071853.73,19.8,1.155,0.0,2.17
1731071854.23,19.9,0.772,0.0,1.83
1731071854.73,19.8,0.677,0.0,1.72
1731071855.23,20.5,1.118,0.0,1.7
1731071855.73,19.8,0.635,0.0,1.71
1731071856.23,19.9,0.798,0.0,1.68
1731071856.73,19.8,0.847,0.0,1.94
1731071857.23,19.9,0.874,0.0,6.72
1731071857.73,20.5,1.146,0.0,2.44
1731071858.23,19.8,1.296,0.0,1.64
1731071858.73,19.8,0.99,0.0,1.76
1731071859.23,20.5,0.924,0.0,2.25
1731071859.73,19.8,1.267,0.0,1.92
1731071860.23,19.8,1.186,0.0,1.69
1731071860.73,19.8,1.055,0.0,1.95
1731071861.23,20.5,1.178,0.0,2.1
1731071861.73,19.9,1.409,0.0,3.83
1731071862.23,19.8,1.359,0.0,1.58
