Time,Bitrate,Jitter,Datagrams,Delay
1731070780.55,19.8,0.619,0.0,0.777
1731070781.05,19.9,0.73,0.0,0.877
1731070781.55,20.5,0.661,0.0,0.975
1731070782.05,19.8,0.793,0.0,2.75
1731070782.55,19.8,1.015,0.0,0.795
1731070783.05,19.8,0.997,0.0,0.756
1731070783.55,19.8,1.024,0.0,0.795
1731070784.05,20.5,1.07,0.0,0.793
1731070784.55,19.8,0.855,0.0,0.985
1731070785.05,19.8,0.697,0.0,1.01
1731070785.55,19.8,0.624,0.0,1.63
1731070786.05,20.5,0.511,0.0,0.972
1731070786.55,19.8,0.367,0.0,1.0
1731070787.05,19.8,0.35,0.0,1.42
1731070787.55,20.5,0.641,0.0,0.954
1731070788.05,19.8,0.371,0.0,0.701
1731070788.55,19.8,0.411,0.0,0.927
1731070789.05,19.8,0.438,0.0,0.796
1731070789.55,20.5,0.411,0.0,0.849
1731070790.05,19.8,0.431,0.0,NA
1731070790.55,19.8,0.402,0.0,0.769
1731070791.05,19.8,0.453,0.0,0.983
1731070791.55,20.5,0.458,0.0,0.794
1731070792.05,19.8,0.45,0.0,0.847
1731070792.55,19.8,0.582,0.0,1.04
1731070793.05,19.8,0.531,0.0,0.851
1731070793.55,20.5,0.457,0.0,0.813
1731070794.05,19.8,0.607,0.0,0.849
1731070794.55,19.8,0.524,0.0,1.55
1731070795.05,19.8,0.83,0.0,0.789
1731070795.55,20.5,0.744,0.0,0.729
1731070796.05,19.8,0.602,0.0,0.847
1731070796.55,19.8,0.853,0.0,0.858
1731070797.05,19.8,0.89,0.0,0.849
1731070797.55,20.5,0.716,0.0,0.816
1731070798.05,19.8,0.707,0.0,0.877
1731070798.55,19.8,0.636,0.0,1.07
1731070799.05,19.8,0.646,0.0,0.763
1731070799.55,20.5,0.529,0.0,0.865
1731070800.05,19.8,0.761,0.0,0.792
1731070800.55,19.8,0.568,0.0,0.769
1731070801.05,19.8,0.558,0.0,0.888
1731070801.55,20.5,0.849,0.0,0.823
