Time,Bitrate,Jitter,Datagrams,Delay
1731068772.5,20.5,0.514,0.0,1.4
1731068773.0,19.2,0.815,0.03225806451612903,1.41
1731068773.5,19.8,0.843,0.0,0.747
1731068774.0,20.5,0.777,0.0,0.866
1731068774.5,19.8,0.538,0.0,0.791
1731068775.0,19.8,0.486,0.0,1.02
1731068775.5,19.9,0.419,0.0,1.17
1731068776.0,20.5,0.407,0.0,0.802
1731068776.5,19.8,0.456,0.0,1.07
1731068777.0,19.8,0.359,0.0,1.37
1731068777.5,19.8,0.402,0.0,0.867
1731068778.0,20.5,0.412,0.0,1.57
1731068778.5,19.9,0.411,0.0,1.04
1731068779.0,19.8,0.308,0.0,0.926
1731068779.5,19.8,0.451,0.0,1.06
1731068780.0,20.5,0.433,0.0,6.04
1731068780.5,19.8,0.379,0.0,1.13
1731068781.0,19.9,0.366,0.0,1.88
1731068781.5,19.8,0.452,0.0,2.73
1731068782.0,20.5,0.415,0.0,2.23
1731068782.5,19.9,0.440,0.0,2.2
1731068783.0,19.8,0.434,0.0,3.79
1731068783.5,19.9,0.681,0.0,0.882
1731068784.0,20.5,0.486,0.0,0.669
1731068784.5,19.8,0.649,0.0,0.961
1731068785.0,19.8,0.508,0.0,1.63
1731068785.5,19.8,0.661,0.0,2.58
1731068786.0,20.5,0.663,0.0,1.07
1731068786.5,19.8,0.613,0.0,0.926
1731068787.0,19.8,0.445,0.0,1.55
1731068787.5,19.2,0.351,0.03225806451612903,1.53
1731068788.0,20.5,0.430,0.0,1.01
1731068788.5,19.9,0.388,0.0,0.866
1731068789.0,19.8,0.864,0.0,0.714
1731068789.5,19.8,0.546,0.0,0.704
1731068790.0,20.5,0.473,0.0,0.795
1731068790.5,19.8,0.477,0.0,0.895
1731068791.0,19.8,0.522,0.0,0.857
1731068791.5,19.8,0.491,0.0,1.03
1731068792.0,20.5,0.557,0.0,1.28
1731068792.5,19.8,0.651,0.0,0.754
1731068793.0,19.9,0.613,0.0,5.0
1731068793.5,19.8,0.665,0.0,1.34
1731068794.0,20.5,0.652,0.0,0.927
1731068794.5,19.8,0.719,0.0,0.854
1731068795.0,19.8,0.645,0.0,1.03
1731068795.5,19.8,0.568,0.0,1.29
1731068796.0,19.9,0.269,0.0,0.838
1731068796.5,20.5,0.287,0.0,0.996
1731068797.0,19.8,0.257,0.0,1.09
1731068797.5,19.8,0.277,0.0,0.936
1731068798.0,20.5,0.676,0.0,1.65
1731068798.5,19.8,0.589,0.0,0.82
1731068799.0,19.8,0.335,0.0,1.65
