Time,Bitrate,Jitter,Datagrams
1731068772.52,39.6,0.788,0.015873015873015872
1731068773.02,40.3,0.848,0.0
1731068773.52,39.7,1.105,0.0
1731068774.02,40.3,1.134,0.0
1731068774.52,39.7,1.025,0.0
1731068775.02,40.3,1.227,0.0
1731068775.52,39.7,1.236,0.0
1731068776.02,40.3,0.561,0.0
1731068776.52,39.7,0.629,0.0
1731068777.02,39.7,0.856,0.015873015873015872
1731068777.52,39.7,0.927,0.0
1731068778.02,40.3,0.814,0.0
1731068778.52,39.7,0.968,0.0
1731068779.02,39.7,0.935,0.015873015873015872
1731068779.52,39.7,0.811,0.0
1731068780.02,39.7,0.461,0.0
1731068780.52,40.3,0.421,0.0
1731068781.02,39.7,0.866,0.015873015873015872
1731068781.52,39.7,0.595,0.0
1731068782.02,40.3,0.501,0.0
1731068782.52,39.7,0.739,0.0
1731068783.02,40.3,0.860,0.0
1731068783.52,39.7,0.749,0.0
1731068784.02,40.3,0.771,0.0
1731068784.52,39.7,0.705,0.0
1731068785.02,40.3,0.625,0.0
1731068785.52,39.7,0.802,0.0
1731068786.02,39.7,0.813,0.015873015873015872
1731068786.52,39.7,0.914,0.0
1731068787.02,40.3,0.789,0.0
1731068787.52,39.7,1.105,0.0
1731068788.02,40.3,0.960,0.0
1731068788.52,39.7,0.604,0.0
1731068789.02,40.3,0.605,0.0
1731068789.52,39.7,0.723,0.0
1731068790.02,40.3,0.693,0.0
1731068790.52,39.7,0.907,0.0
1731068791.02,40.3,0.766,0.0
1731068791.52,39.7,0.931,0.0
1731068792.02,40.3,1.059,0.0
1731068792.52,39.7,1.031,0.0
1731068793.02,40.3,0.645,0.0
1731068793.52,39.7,0.747,0.0
1731068794.02,40.3,0.826,0.0
1731068794.52,39.7,0.882,0.0
1731068795.02,40.3,0.910,0.0
1731068795.52,39.7,1.019,0.0
1731068796.02,39.7,1.201,0.015873015873015872
1731068796.52,39.7,1.305,0.0
1731068797.02,39.7,0.660,0.0
1731068797.52,40.3,0.784,0.0
1731068798.02,40.3,0.811,0.0
1731068798.52,39.7,0.714,0.0
1731068799.02,40.3,0.847,0.0
1731068799.52,39.7,0.843,0.0
1731068800.02,40.3,0.875,0.0
1731068800.52,39.7,1.026,0.0
1731068801.02,40.3,1.125,0.0
1731068801.52,39.7,0.768,0.0
1731068802.02,40.3,0.432,0.0
1731068802.52,39.7,0.513,0.0
1731068803.02,40.3,0.614,0.0
1731068803.52,39.7,0.589,0.0
1731068804.02,39.7,0.663,0.015873015873015872
1731068804.52,39.7,0.911,0.0
1731068805.02,40.3,0.892,0.0
1731068805.52,39.7,0.533,0.0
1731068806.02,40.3,0.593,0.0
1731068806.52,39.0,0.841,0.016129032258064516
1731068807.02,39.7,0.605,0.015873015873015872
1731068807.52,39.7,0.748,0.0
1731068808.02,40.3,1.088,0.0
1731068808.52,39.7,0.847,0.0
1731068809.02,40.3,0.961,0.0
1731068809.52,39.7,0.777,0.0
1731068810.02,40.3,0.576,0.0
1731068810.52,39.0,0.762,0.016129032258064516
1731068811.02,40.4,0.630,0.0
1731068811.52,39.7,0.771,0.0
1731068812.02,40.3,0.951,0.0
1731068812.52,39.7,0.943,0.0
1731068813.02,40.3,1.215,0.0
1731068813.52,39.7,1.138,0.0
1731068814.02,39.7,0.753,0.0
1731068814.52,40.3,0.765,0.0
1731068815.02,40.3,1.010,0.0
1731068815.52,39.7,0.849,0.0
1731068816.02,40.3,1.267,0.0
1731068816.52,39.7,1.013,0.0
1731068817.02,40.3,1.193,0.0
1731068817.52,39.7,1.251,0.0
1731068818.02,39.7,0.922,0.0
1731068818.52,40.3,0.623,0.0
1731068819.02,39.7,0.600,0.0
1731068819.52,40.3,1.270,0.0
1731068820.02,40.3,0.708,0.0
1731068820.52,39.7,0.755,0.0
1731068821.02,40.3,0.851,0.0
1731068821.52,39.7,0.929,0.0
1731068822.02,39.7,1.292,0.015873015873015872
1731068822.52,39.0,0.479,0.0
1731068823.02,41.0,0.418,0.0
1731068823.52,39.7,0.500,0.0
1731068824.02,40.3,0.411,0.0
1731068824.52,39.7,0.643,0.0
1731068825.02,40.4,0.601,0.0
1731068825.52,39.6,0.598,0.0
1731068826.02,39.7,0.687,0.015873015873015872
1731068826.52,39.7,0.572,0.0
1731068827.02,40.3,0.486,0.0
1731068827.52,39.0,0.767,0.016129032258064516
1731068828.02,40.3,0.611,0.0
1731068828.52,39.7,0.818,0.0
1731068829.02,40.3,0.663,0.0
1731068829.52,39.7,0.868,0.0
1731068830.02,40.3,0.835,0.0
1731068830.52,39.7,0.999,0.0
1731068831.02,39.7,0.596,0.0
1731068831.52,40.3,0.696,0.0
1731068832.02,40.3,0.612,0.0
1731068832.52,39.7,0.759,0.0
1731068833.02,40.3,0.855,0.0
1731068833.52,39.7,0.806,0.0
1731068834.02,40.3,0.939,0.0
1731068834.52,39.7,1.102,0.0
1731068835.02,40.3,1.112,0.0
1731068835.52,39.0,0.838,0.016129032258064516
1731068836.02,40.3,0.660,0.0
1731068836.52,39.7,0.744,0.0
1731068837.02,40.3,0.933,0.0
1731068837.52,39.7,0.904,0.0
1731068838.02,40.3,1.002,0.0
1731068838.52,39.7,1.140,0.0
1731068839.02,40.3,1.155,0.0
1731068839.52,39.0,0.563,0.0
1731068840.02,41.0,0.561,0.0
1731068840.52,39.7,0.853,0.0
1731068841.02,40.3,0.769,0.0
1731068841.52,39.7,0.874,0.0
1731068842.02,40.3,0.777,0.0
1731068842.52,39.7,0.920,0.0
1731068843.02,40.3,1.067,0.0
1731068843.52,39.7,1.002,0.0
1731068844.02,39.7,0.575,0.0
1731068844.52,39.7,0.415,0.015873015873015872
1731068845.02,40.3,0.743,0.0
1731068845.52,39.7,0.746,0.0
1731068846.02,40.3,0.546,0.0
1731068846.52,39.7,0.682,0.0
1731068847.02,40.3,0.776,0.0
1731068847.52,39.7,1.052,0.0
1731068848.02,40.3,0.759,0.0
1731068848.52,39.7,0.533,0.0
1731068849.02,40.3,0.654,0.0
1731068849.52,39.7,1.086,0.0
1731068850.02,40.3,0.681,0.0
1731068850.52,39.7,1.007,0.0
1731068851.02,39.7,1.061,0.015873015873015872
1731068851.52,39.7,1.042,0.0
1731068852.02,40.3,1.235,0.0
1731068852.52,39.7,0.650,0.0
1731068853.02,40.3,0.708,0.0
1731068853.52,39.7,0.806,0.0
1731068854.02,40.3,0.699,0.0
1731068854.52,39.7,1.041,0.0
1731068855.02,40.3,0.945,0.0
1731068855.52,39.7,1.170,0.0
1731068856.02,40.3,1.021,0.0
1731068856.52,39.7,0.943,0.0
1731068857.02,40.3,0.714,0.0
1731068857.52,39.7,0.947,0.0
1731068858.02,40.3,0.821,0.0
1731068858.52,39.7,0.957,0.0
1731068859.02,40.3,0.894,0.0
1731068859.52,39.0,1.384,0.016129032258064516
1731068860.02,39.7,1.111,0.015873015873015872
1731068860.52,39.7,1.359,0.0
1731068861.02,39.7,0.696,0.0
1731068861.52,40.3,0.761,0.0
1731068862.02,40.3,0.632,0.0
1731068862.52,39.7,0.911,0.0
1731068863.02,40.3,0.710,0.0
1731068863.52,39.0,0.923,0.016129032258064516
1731068864.02,40.3,0.861,0.0
1731068864.52,39.7,0.977,0.0
1731068865.02,40.3,1.122,0.0
1731068865.52,39.7,0.849,0.0
1731068866.02,40.3,0.454,0.0
1731068866.52,39.7,0.501,0.0
1731068867.02,40.3,0.606,0.0
1731068867.52,39.7,0.613,0.0
1731068868.02,39.0,0.654,0.031746031746031744
1731068868.52,39.7,0.849,0.0
1731068869.02,40.3,0.803,0.0
1731068869.52,39.7,0.574,0.0
1731068870.02,40.3,0.555,0.0
1731068870.52,39.7,0.700,0.0
1731068871.02,40.3,0.685,0.0
1731068871.52,39.0,0.709,0.016129032258064516
1731068872.02,40.3,1.123,0.0
1731068872.52,39.7,0.850,0.0
1731068873.02,40.3,0.992,0.0
1731068873.52,39.7,0.773,0.0
1731068874.02,40.3,0.809,0.0
1731068874.52,39.7,0.596,0.0
1731068875.02,40.3,0.933,0.0
1731068875.52,39.7,0.841,0.0
1731068876.02,40.3,0.813,0.0
1731068876.52,39.7,0.934,0.0
1731068877.02,40.3,0.892,0.0
1731068877.52,39.7,1.151,0.0
1731068878.02,39.7,0.659,0.0
1731068878.52,40.3,0.691,0.0
1731068879.02,39.7,0.703,0.015873015873015872
1731068879.52,39.7,1.674,0.0
1731068880.02,40.3,1.058,0.0
1731068880.52,39.7,1.002,0.0
1731068881.02,40.3,1.093,0.0
1731068881.52,39.7,1.217,0.0
1731068882.02,40.3,1.166,0.0
1731068882.52,39.7,0.659,0.0
1731068883.02,40.3,0.710,0.0
1731068883.52,39.7,0.653,0.0
1731068884.02,40.3,0.705,0.0
1731068884.52,39.7,0.877,0.0
1731068885.02,40.3,0.886,0.0
1731068885.52,39.7,0.898,0.0
1731068886.02,40.3,1.118,0.0
1731068886.52,39.7,0.738,0.0
1731068887.02,40.3,0.558,0.0
1731068887.52,39.7,0.508,0.0
1731068888.02,40.3,0.617,0.0
1731068888.52,39.7,0.563,0.0
1731068889.02,40.3,0.626,0.0
1731068889.52,39.7,0.812,0.0
1731068890.02,40.3,0.664,0.0
1731068890.52,39.7,0.617,0.0
1731068891.02,40.3,0.693,0.0
1731068891.52,39.7,0.744,0.0
1731068892.02,40.3,0.653,0.0
1731068892.52,39.7,0.676,0.0
1731068893.02,40.3,0.757,0.0
1731068893.52,39.7,0.836,0.0
1731068894.02,40.3,0.817,0.0
1731068894.52,39.7,0.982,0.0
1731068895.02,39.7,0.747,0.0
1731068895.52,40.3,0.635,0.0
1731068896.02,40.3,0.621,0.0
1731068896.52,39.7,0.733,0.0
1731068897.02,39.7,0.814,0.015873015873015872
