Time,Bitrate,Jitter,Datagrams,Delay
1731070780.55,40.3,1.161,0.0,3.83
1731070781.05,39.7,1.347,0.0,1.64
1731070781.55,40.4,1.087,0.0,1.98
1731070782.05,39.7,1.112,0.0,4.27
1731070782.55,40.3,1.264,0.0,3.86
1731070783.05,39.7,0.953,0.0,4.79
1731070783.55,40.3,1.284,0.0,11.6
1731070784.05,39.7,1.157,0.0,1.66
1731070784.55,40.3,1.076,0.0,2.44
1731070785.05,39.7,1.343,0.0,1.59
1731070785.55,40.3,1.352,0.0,1.78
1731070786.05,39.7,1.535,0.0,2.08
1731070786.55,39.7,0.97,0.0,1.65
1731070787.05,40.3,0.857,0.0,2.82
1731070787.55,40.3,1.04,0.0,1.95
1731070788.05,39.7,1.007,0.0,5.92
1731070788.55,40.3,1.05,0.0,2.09
1731070789.05,39.7,1.13,0.0,3.25
1731070789.55,40.3,1.24,0.0,2.71
1731070790.05,39.7,1.289,0.0,1.73
1731070790.55,40.3,1.284,0.0,1.46
1731070791.05,39.7,0.986,0.0,3.68
1731070791.55,40.3,1.251,0.0,2.18
1731070792.05,39.7,1.147,0.0,1.77
1731070792.55,40.3,1.261,0.0,3.31
1731070793.05,39.7,1.03,0.0,7.25
1731070793.55,40.3,1.303,0.0,1.73
1731070794.05,39.7,1.143,0.0,2.83
1731070794.55,39.7,1.318,0.0158730158730158,1.48
1731070795.05,39.0,0.664,0.0,1.91
1731070795.55,41.0,0.71,0.0,1.88
1731070796.05,39.7,0.729,0.0,1.87
1731070796.55,40.3,0.913,0.0,2.36
1731070797.05,39.7,0.841,0.0,2.28
1731070797.55,40.3,0.707,0.0,9.28
1731070798.05,39.7,0.802,0.0,1.64
1731070798.55,40.3,0.754,0.0,2.12
1731070799.05,39.7,0.794,0.0,2.37
1731070799.55,40.3,1.288,0.0,1.79
1731070800.05,39.7,0.751,0.0,1.54
1731070800.55,40.3,0.974,0.0,3.07
1731070801.05,39.0,0.894,0.0161290322580645,1.76
1731070801.55,40.3,0.869,0.0,1.65
1731070802.05,39.7,0.995,0.0,5.09
1731070802.55,39.7,0.902,0.0158730158730158,1.41
1731070803.05,39.6,0.925,0.0,1.77
1731070803.55,39.7,0.84,0.0,1.72
1731070804.05,40.3,0.945,0.0,1.58
1731070804.55,40.3,1.239,0.0,2.22
1731070805.05,39.7,1.071,0.0,2.0
1731070805.55,40.3,1.192,0.0,1.79
1731070806.05,39.6,1.153,0.0,2.08
1731070806.55,40.4,1.53,0.0,1.59
1731070807.05,39.7,1.48,0.0,7.95
1731070807.55,40.3,1.53,0.0,2.07
1731070808.05,39.7,1.045,0.0,2.04
1731070808.55,40.3,1.125,0.0,2.59
1731070809.05,39.7,1.214,0.0,1.76
1731070809.55,39.0,1.004,0.0317460317460317,1.55
1731070810.05,39.7,1.05,0.0,1.49
1731070810.55,40.3,1.322,0.0,1.5
1731070811.05,39.0,1.407,0.0161290322580645,2.09
1731070811.55,40.3,1.278,0.0,9.38
1731070812.05,39.0,0.945,0.0,1.6
1731070812.55,40.8,1.337,0.0,2.28
1731070813.05,39.8,1.128,0.0,1.72
1731070813.55,40.3,1.084,0.0,1.79
1731070814.05,39.7,1.044,0.0,3.14
1731070814.55,40.3,1.281,0.0,1.94
1731070815.05,39.7,1.52,0.0,3.27
1731070815.55,40.3,1.204,0.0,1.66
1731070816.05,39.7,1.664,0.0,7.92
1731070816.55,39.7,0.722,0.0,3.48
1731070817.05,40.3,0.797,0.0,2.06
1731070817.55,40.3,0.761,0.0,1.77
1731070818.05,39.7,0.722,0.0,2.37
1731070818.55,40.3,0.67,0.0,1.71
1731070819.05,39.0,0.729,0.0161290322580645,2.09
1731070819.55,40.3,1.313,0.0,1.72
1731070820.05,39.7,0.903,0.0,1.84
1731070820.55,40.3,0.648,0.0,3.34
1731070821.05,39.7,0.69,0.0,1.73
1731070821.55,40.3,0.867,0.0,1.71
1731070822.05,39.7,0.832,0.0,2.4
1731070822.55,40.3,0.999,0.0,1.98
1731070823.05,39.7,0.841,0.0,2.53
1731070823.55,40.3,1.219,0.0,2.12
1731070824.05,39.1,0.876,0.0161290322580645,2.4
1731070824.55,40.3,1.029,0.0,2.86
1731070825.05,39.7,1.134,0.0,1.66
1731070825.55,40.3,0.98,0.0,10.7
1731070826.05,39.7,0.973,0.0,1.62
1731070826.55,40.3,1.018,0.0,1.57
1731070827.05,39.7,1.14,0.0,2.1
1731070827.55,40.3,1.099,0.0,1.85
1731070828.05,39.7,1.274,0.0,1.67
1731070828.55,40.3,1.308,0.0,3.0
1731070829.05,39.7,1.212,0.0,2.63
1731070829.55,40.3,0.993,0.0,2.46
1731070830.05,39.7,0.997,0.0,6.21
1731070830.55,40.3,0.993,0.0,1.99
1731070831.05,39.7,1.122,0.0,3.5
1731070831.55,40.3,1.066,0.0,1.69
1731070832.05,39.6,1.246,0.0,1.73
1731070832.55,40.4,1.17,0.0,2.62
1731070833.05,39.6,1.461,0.0,1.85
1731070833.55,39.7,0.909,0.0,1.69
1731070834.05,40.3,0.88,0.0,3.22
1731070834.55,40.3,0.931,0.0,2.91
1731070835.05,39.6,1.124,0.0,1.6
1731070835.55,39.7,1.095,0.0158730158730158,2.32
1731070836.05,39.7,1.252,0.0,1.58
1731070836.55,40.3,1.179,0.0,2.0
1731070837.05,39.7,1.153,0.0,2.17
1731070837.55,39.1,1.137,0.0161290322580645,1.94
1731070838.05,40.3,0.696,0.0,1.93
1731070838.55,40.3,0.757,0.0,1.67
1731070839.05,39.7,0.685,0.0,2.98
1731070839.55,40.3,0.699,0.0,7.02
1731070840.05,39.7,0.863,0.0,1.72
1731070840.55,40.3,0.864,0.0,3.0
1731070841.05,39.7,0.823,0.0,1.52
1731070841.55,40.3,0.882,0.0,1.97
1731070842.05,39.7,0.832,0.0,1.8
1731070842.55,39.7,1.082,0.0,1.7
1731070843.05,40.3,0.905,0.0,2.44
1731070843.55,40.3,0.688,0.0,1.57
1731070844.05,39.7,0.852,0.0,8.11
