Time,Bitrate,Jitter,Datagrams,Delay,C1_X,C1_Y,C1_Z,S1_X,S1_Y,S1_Z,Distance
1731069778.8,40.3,0.809,0.0,3.26,5521.54,5762.02,0.0,11102.0886046,11102.3227474,0.0,7724.076395413951
1731069779.3,39.7,0.847,0.0,1.5,5521.67,5762.21,0.0,11102.492937,11102.0869105,0.0,7723.980196338954
1731069779.8,39.7,1.207,0.0,2.19,5521.8,5762.4,0.0,11102.4487002,11102.5236404,0.0,7724.0248840745535
1731069780.3,40.3,1.155,0.0,1.78,5521.93,5762.59,0.0,11102.2575972,11102.5161543,0.0,7723.656350812684
1731069780.8,40.4,1.095,0.0,1.68,5522.06,5762.78,0.0,11102.8209717,11102.795207,0.0,7724.031035297643
1731069781.3,39.7,1.331,0.0,3.03,5522.19,5762.97,0.0,11102.8811608,11102.4993071,0.0,7723.644674220265
1731069781.8,40.3,1.613,0.0,2.19,5522.32,5763.16,0.0,11103.0091076,11103.1386368,0.0,7723.953829300489
1731069782.3,39.7,0.771,0.0,1.69,5522.45,5763.35,0.0,11103.4761462,11103.2163188,0.0,7724.119700472195
1731069782.8,40.3,0.718,0.0,4.99,5522.58,5763.54,0.0,11103.0261594,11103.0865066,0.0,7723.479541897323
1731069783.3,39.7,0.809,0.0,1.98,5522.71,5763.73,0.0,11103.6123724,11103.2941007,0.0,7723.8213389321845
1731069783.8,40.3,0.824,0.0,3.6,5522.84,5763.92,0.0,11103.5637693,11103.3488164,0.0,7723.598764477133
1731069784.3,39.7,1.147,0.0,1.88,5522.97,5764.11,0.0,11103.8032567,11103.5994553,0.0,7723.719795690973
1731069784.8,40.3,0.917,0.0,1.96,5523.1,5764.3,0.0,11104.1684524,11103.6563055,0.0,7723.797694622584
1731069785.3,39.7,1.33,0.0,2.07,5523.23,5764.49,0.0,11104.040194,11103.7970391,0.0,7723.5770261736325
1731069785.8,39.7,1.195,0.016,1.72,5523.36,5764.68,0.0,11104.5366872,11103.8945852,0.0,7723.777935735669
1731069786.3,39.0,0.618,0.0,2.21,5523.49,5764.87,0.0,11104.4971542,11104.1347957,0.0,7723.690142272212
1731069786.8,40.3,0.861,0.016,1.75,5523.62,5765.06,0.0,11104.6881299,11104.3869618,0.0,7723.777176718002
1731069787.3,39.7,0.761,0.0,2.53,5523.75,5765.25,0.0,11104.9746938,11104.6086606,0.0,7723.912220449372
1731069787.8,40.3,0.705,0.0,7.29,5523.88,5765.44,0.0,11104.9389043,11104.54723,0.0,7723.618614788316
1731069788.3,39.7,0.864,0.0,1.54,5524.01,5765.63,0.0,11105.0794793,11105.0305442,0.0,7723.8290183158015
1731069788.8,40.3,1.163,0.0,2.94,5524.14,5765.82,0.0,11105.1852844,11104.7372197,0.0,7723.477425702277
1731069789.3,39.7,1.127,0.0,1.69,5524.27,5766.01,0.0,11105.540711,11105.3702615,0.0,7723.946578760872
1731069789.8,40.3,1.175,0.0,1.97,5524.4,5766.2,0.0,11105.2446998,11105.4941696,0.0,7723.593062351894
1731069790.3,39.7,1.101,0.0,2.51,5524.53,5766.39,0.0,11105.2463511,11105.6372323,0.0,7723.467873893055
1731069790.8,39.7,0.493,0.0,1.61,5524.66,5766.58,0.0,11105.7555414,11105.9386924,0.0,7723.818918665973
1731069791.3,40.3,0.657,0.0,2.29,5524.79,5766.77,0.0,11105.4515341,11105.6428591,0.0,7723.169463621653
1731069791.8,40.3,0.897,0.0,1.81,5524.92,5766.96,0.0,11105.8514902,11105.7929865,0.0,7723.33697025104
1731069792.3,39.7,0.71,0.0,8.8,5525.05,5767.15,0.0,11106.3517525,11106.4191976,0.0,7723.906059559485
1731069792.8,40.3,0.688,0.0,1.74,5525.18,5767.34,0.0,11105.9755977,11106.5764362,0.0,7723.517671692956
1731069793.3,39.6,0.85,0.0,2.22,5525.31,5767.53,0.0,11106.1718313,11106.3582096,0.0,7723.283332345248
1731069793.8,38.4,0.606,0.048,1.77,5525.44,5767.72,0.0,11106.5482541,11106.5002519,0.0,7723.428249298403
1731069794.3,39.7,0.881,0.0,1.74,5525.57,5767.91,0.0,11106.6560458,11106.5879414,0.0,7723.341479736243
1731069794.8,39.7,0.961,0.0,2.54,5525.7,5768.1,0.0,11107.2373287,11106.5197361,0.0,7723.489122828717
1731069795.3,40.3,0.628,0.0,1.9,5525.83,5768.29,0.0,11106.7876407,11107.3003409,0.0,7723.478465531243
1731069795.8,40.3,0.725,0.0,1.59,5525.96,5768.48,0.0,11107.5334553,11107.398534,0.0,7723.860003236613
1731069796.3,39.7,0.864,0.0,1.7,5526.09,5768.67,0.0,11107.1388738,11107.161215,0.0,7723.18554641648
1731069796.8,40.3,0.823,0.0,5.67,5526.22,5768.86,0.0,11107.4731935,11107.4460716,0.0,7723.39876309876
1731069797.3,39.7,0.953,0.0,1.58,5526.35,5769.05,0.0,11107.758199,11107.8113146,0.0,7723.6319085087125
1731069797.8,40.3,0.879,0.0,1.55,5526.48,5769.24,0.0,11107.6884426,11107.5103424,0.0,7723.148187643232
1731069798.3,39.7,1.136,0.0,2.89,5526.61,5769.43,0.0,11108.0425175,11108.1900709,0.0,7723.6486223832435
1731069798.8,40.3,0.98,0.0,1.5,5526.74,5769.62,0.0,11108.0003022,11108.2786601,0.0,7723.454075086766
1731069799.3,39.7,0.655,0.0,1.58,5526.87,5769.81,0.0,11108.4670092,11108.2429772,0.0,7723.541404379654
1731069799.8,40.3,1.004,0.0,3.32,5527.0,5770.0,0.0,11108.7329602,11108.724082,0.0,7723.840862078258
1731069800.3,39.7,1.04,0.0,1.67,5527.13,5770.19,0.0,11108.5011522,11108.8013115,0.0,7723.501451665955
1731069800.8,40.3,0.963,0.0,2.4,5527.26,5770.38,0.0,11108.9883973,11108.4527936,0.0,7723.387407802208
1731069801.3,39.7,1.099,0.0,3.56,5527.39,5770.57,0.0,11109.0332873,11109.1086982,0.0,7723.647921729738
1731069801.8,40.3,1.228,0.0,9.37,5527.52,5770.76,0.0,11108.8113019,11109.2958019,0.0,7723.391554546011
1731069802.3,39.7,1.278,0.0,1.96,5527.65,5770.95,0.0,11109.2354964,11109.4773949,0.0,7723.598345312929
1731069802.8,39.7,1.45,0.016,3.02,5527.78,5771.14,0.0,11109.0495659,11109.3043512,0.0,7723.119098373669
1731069803.3,39.0,0.831,0.0,1.85,5527.91,5771.33,0.0,11109.7207664,11109.4173206,0.0,7723.456976914511
1731069803.8,41.0,0.749,0.0,1.83,5528.04,5771.52,0.0,11109.6694579,11109.5831164,0.0,7723.309215612639
