Time,Bitrate,Jitter,Datagrams,Delay
1731069774.51,39.6,0.681,0.015873015873015872,2.94
1731069775.01,40.4,0.702,0.0,2.0
1731069775.51,39.7,0.708,0.0,2.0
1731069776.01,40.3,0.958,0.0,2.61
1731069776.51,39.7,0.873,0.0,2.01
1731069777.01,40.3,0.979,0.0,1.51
1731069777.51,39.7,1.026,0.0,2.28
1731069778.01,39.0,0.810,0.016129032258064516,1.49
1731069778.51,40.3,0.769,0.0,3.51
1731069779.01,40.3,0.809,0.0,3.26
1731069779.51,39.7,0.847,0.0,1.5
1731069780.01,39.7,1.207,0.0,2.19
1731069780.51,40.3,1.155,0.0,1.78
1731069781.01,40.4,1.095,0.0,1.68
1731069781.51,39.7,1.331,0.0,3.03
1731069782.01,40.3,1.613,0.0,2.19
1731069782.51,39.7,0.771,0.0,1.69
1731069783.01,40.3,0.718,0.0,4.99
1731069783.51,39.7,0.809,0.0,1.98
1731069784.01,40.3,0.824,0.0,3.6
1731069784.51,39.7,1.147,0.0,1.88
1731069785.01,40.3,0.917,0.0,1.96
1731069785.51,39.7,1.330,0.0,2.07
1731069786.01,39.7,1.195,0.015873015873015872,1.72
1731069786.51,39.0,0.618,0.0,2.21
1731069787.01,40.3,0.861,0.015625,1.75
1731069787.51,39.7,0.761,0.0,2.53
1731069788.01,40.3,0.705,0.0,7.29
1731069788.51,39.7,0.864,0.0,1.54
1731069789.01,40.3,1.163,0.0,2.94
1731069789.51,39.7,1.127,0.0,1.69
1731069790.01,40.3,1.175,0.0,1.97
1731069790.51,39.7,1.101,0.0,2.51
1731069791.01,39.7,0.493,0.0,1.61
1731069791.51,40.3,0.657,0.0,2.29
1731069792.01,40.3,0.897,0.0,1.81
1731069792.51,39.7,0.710,0.0,8.8
1731069793.01,40.3,0.688,0.0,1.74
1731069793.51,39.6,0.850,0.0,2.22
1731069794.01,38.4,0.606,0.047619047619047616,1.77
1731069794.51,39.7,0.881,0.0,1.74
1731069795.01,39.7,0.961,0.0,2.54
1731069795.51,40.3,0.628,0.0,1.9
1731069796.01,40.3,0.725,0.0,1.59
1731069796.51,39.7,0.864,0.0,1.7
1731069797.01,40.3,0.823,0.0,5.67
1731069797.51,39.7,0.953,0.0,1.58
1731069798.01,40.3,0.879,0.0,1.55
1731069798.51,39.7,1.136,0.0,2.89
1731069799.01,40.3,0.980,0.0,1.5
1731069799.51,39.7,0.655,0.0,1.58
1731069800.01,40.3,1.004,0.0,3.32
1731069800.51,39.7,1.040,0.0,1.67
1731069801.01,40.3,0.963,0.0,2.4
1731069801.51,39.7,1.099,0.0,3.56
1731069802.01,40.3,1.228,0.0,9.37
1731069802.51,39.7,1.278,0.0,1.96
1731069803.01,39.7,1.450,0.015873015873015872,3.02
1731069803.51,39.0,0.831,0.0,1.85
1731069804.01,41.0,0.749,0.0,1.83
1731069804.51,39.6,1.143,0.0,1.91
1731069805.01,40.3,0.773,0.0,1.72
1731069805.51,39.7,0.943,0.0,1.73
1731069806.01,40.3,0.948,0.0,1.82
1731069806.51,39.7,1.102,0.0,6.25
1731069807.01,40.4,0.997,0.0,1.95
1731069807.51,39.7,1.314,0.0,1.7
1731069808.01,39.7,0.863,0.0,1.87
1731069808.51,40.3,0.661,0.0,1.96
1731069809.01,40.3,0.767,0.0,1.37
1731069809.51,39.7,0.967,0.0,2.98
1731069810.01,40.3,0.860,0.0,1.67
1731069810.51,39.7,0.996,0.0,1.91
1731069811.01,40.3,0.990,0.0,4.56
1731069811.51,39.7,0.979,0.0,1.84
1731069812.01,40.4,1.162,0.0,1.94
1731069812.51,39.6,0.584,0.0,3.69
1731069813.01,40.3,0.502,0.0,2.22
1731069813.51,39.0,0.637,0.016129032258064516,2.45
1731069814.01,40.4,0.731,0.0,3.37
1731069814.51,39.6,0.641,0.0,1.98
1731069815.01,40.3,0.833,0.0,3.01
1731069815.51,39.7,0.987,0.0,2.0
1731069816.01,40.3,0.821,0.0,9.69
1731069816.51,39.7,0.512,0.0,2.14
1731069817.01,40.4,0.751,0.0,2.1
1731069817.51,39.7,0.632,0.0,3.21
1731069818.01,40.3,0.805,0.0,1.54
1731069818.51,39.7,0.805,0.0,2.15
1731069819.01,40.3,0.952,0.0,1.99
1731069819.51,39.7,0.956,0.0,1.72
1731069820.01,40.4,0.908,0.0,1.85
1731069820.51,39.7,1.078,0.0,9.51
1731069821.01,40.3,0.902,0.0,2.18
1731069821.51,39.7,0.999,0.0,1.68
1731069822.01,40.3,1.023,0.0,1.56
1731069822.51,39.7,0.899,0.0,2.92
1731069823.01,40.3,1.036,0.0,1.81
1731069823.51,39.7,1.292,0.0,1.91
1731069824.01,40.3,1.410,0.0,3.65
1731069824.51,39.7,1.240,0.0,2.33
1731069825.01,39.7,0.790,0.0,5.55
1731069825.51,40.3,0.860,0.0,2.83
1731069826.01,40.4,0.650,0.0,1.82
1731069826.51,39.0,1.240,0.016129032258064516,1.98
1731069827.01,40.3,0.988,0.0,1.94
1731069827.51,39.7,0.928,0.0,2.04
1731069828.01,40.3,1.149,0.0,1.69
1731069828.51,39.7,1.234,0.0,2.15
1731069829.01,40.3,1.257,0.0,2.38
1731069829.51,39.1,0.692,0.016129032258064516,3.95
1731069830.01,40.4,0.709,0.0,1.61
1731069830.51,39.7,0.828,0.0,3.79
1731069831.01,40.3,0.984,0.0,2.18
1731069831.51,39.7,0.860,0.0,2.21
1731069832.01,40.4,1.034,0.0,2.36
1731069832.51,39.6,1.002,0.0,2.68
1731069833.01,40.3,1.183,0.0,1.84
1731069833.51,39.0,0.522,0.0,1.6
1731069834.01,41.0,0.547,0.0,1.66
1731069834.51,39.7,0.693,0.0,9.06
1731069835.01,40.3,0.703,0.0,1.57
1731069835.51,39.7,0.717,0.0,2.9
1731069836.01,40.3,0.922,0.0,1.97
1731069836.51,39.7,1.112,0.0,2.02
1731069837.01,40.3,0.999,0.0,1.82
1731069837.51,39.7,0.837,0.0,1.88
1731069838.01,40.3,0.587,0.0,1.71
1731069838.51,39.7,0.882,0.0,1.97
1731069839.01,39.7,0.795,0.0,8.73
1731069839.51,40.3,0.783,0.0,1.76
1731069840.01,40.3,1.037,0.0,1.72
1731069840.51,39.7,0.943,0.0,1.76
1731069841.01,40.3,0.979,0.0,1.7
1731069841.51,39.7,1.067,0.0,1.6
1731069842.01,39.7,0.766,0.0,1.86
1731069842.51,40.3,0.988,0.0,1.97
1731069843.01,40.3,0.872,0.0,1.57
1731069843.51,39.7,1.116,0.0,6.59
1731069844.01,40.4,1.245,0.0,2.7
1731069844.51,39.7,1.346,0.0,2.08
1731069845.01,40.3,1.094,0.0,4.3
1731069845.51,39.7,1.176,0.0,4.14
1731069846.01,40.3,1.512,0.0,2.52
1731069846.51,39.7,0.677,0.0,2.95
1731069847.01,40.3,0.887,0.0,2.34
1731069847.51,39.7,0.723,0.0,4.37
1731069848.01,40.3,0.886,0.0,7.3
1731069848.51,39.7,0.921,0.0,2.54
1731069849.01,40.3,1.006,0.0,2.0
1731069849.51,39.1,1.238,0.016129032258064516,1.74
1731069850.01,40.3,1.330,0.0,4.06
1731069850.51,39.0,0.710,0.0,1.79
1731069851.01,40.3,0.803,0.015625,2.37
1731069851.51,39.7,0.817,0.0,8.63
1731069852.01,39.7,0.802,0.0,1.57
1731069852.51,40.3,0.824,0.0,2.5
1731069853.01,40.3,1.031,0.0,1.69
1731069853.51,39.7,1.043,0.0,1.97
1731069854.01,39.0,0.997,0.016129032258064516,1.86
1731069854.51,40.3,1.077,0.0,1.49
1731069855.01,39.7,0.438,0.0,2.17
1731069855.51,40.3,1.319,0.0,2.1
1731069856.01,40.3,0.598,0.0,1.88
1731069856.51,39.7,0.745,0.0,3.4
1731069857.01,40.4,0.608,0.0,1.78
1731069857.51,39.6,0.704,0.0,10.0
1731069858.01,39.7,1.075,0.015873015873015872,3.3
1731069858.51,39.7,0.762,0.0,1.86
1731069859.01,39.7,0.594,0.0,2.11
1731069859.51,40.3,0.826,0.0,1.63
1731069860.01,40.4,0.582,0.0,1.55
1731069860.51,39.7,0.795,0.0,1.67
1731069861.01,40.3,0.853,0.0,1.81
1731069861.51,39.7,0.875,0.0,1.7
1731069862.01,40.3,0.938,0.0,2.47
1731069862.51,39.7,0.926,0.0,1.85
1731069863.01,40.3,1.100,0.0,1.53
1731069863.51,39.0,0.711,0.016129032258064516,1.72
1731069864.01,40.3,0.865,0.0,3.08
1731069864.51,39.7,0.873,0.0,1.83
1731069865.01,40.3,0.911,0.0,1.97
1731069865.51,39.7,1.021,0.0,1.51
1731069866.01,40.3,1.249,0.0,1.91
1731069866.51,39.7,1.450,0.0,1.6
1731069867.01,40.3,1.255,0.0,10.6
1731069867.51,39.0,1.072,0.0,2.9
1731069868.01,40.9,0.672,0.0,1.8
1731069868.51,39.7,0.936,0.0,1.85
1731069869.01,40.4,1.130,0.0,3.67
1731069869.51,39.7,0.946,0.0,1.83
1731069870.01,40.3,1.139,0.0,2.2
1731069870.51,39.6,1.007,0.0,2.04
1731069871.01,39.7,1.041,0.015873015873015872,1.7
1731069871.51,39.7,1.473,0.0,6.19
1731069872.01,39.6,0.645,0.0,1.59
1731069872.51,40.3,0.790,0.0,2.22
1731069873.01,40.3,0.693,0.0,1.95
1731069873.51,39.7,0.775,0.0,1.61
1731069874.01,40.3,1.025,0.0,2.82
1731069874.51,36.5,3.425,0.0,2.12
1731069875.01,37.8,2.335,0.1323529411764706,NA
1731069875.51,39.7,1.067,0.0,61.4
1731069876.01,40.3,1.220,0.0,6.04
1731069876.51,39.7,0.614,0.0,2.12
1731069877.01,40.3,0.601,0.0,1.84
1731069877.51,39.7,0.735,0.0,NA
1731069878.01,40.3,0.569,0.0,NA
1731069878.51,39.7,0.813,0.0,2.05
1731069879.01,40.3,0.788,0.0,1.7
1731069879.51,39.7,0.935,0.0,3.35
1731069880.01,40.3,0.755,0.0,3.0
1731069880.51,39.7,0.662,0.0,2.38
1731069881.01,40.3,0.593,0.0,4.07
1731069881.51,39.7,0.989,0.0,2.46
1731069882.01,40.3,0.785,0.0,3.54
1731069882.51,39.7,0.924,0.0,6.51
1731069883.01,40.3,0.837,0.0,2.22
1731069883.51,39.7,1.257,0.0,2.23
1731069884.01,40.3,0.884,0.0,1.61
1731069884.51,39.0,0.976,0.0,2.44
1731069885.01,41.0,0.785,0.0,2.17
1731069885.51,39.7,1.086,0.0,2.15
1731069886.01,39.7,0.873,0.015873015873015872,2.71
1731069886.51,39.7,1.253,0.0,2.01
1731069887.01,40.3,1.011,0.0,1.72
1731069887.51,39.7,1.179,0.0,9.4
1731069888.01,40.3,1.433,0.0,1.82
1731069888.51,39.7,1.303,0.0,1.64
1731069889.01,39.7,0.879,0.0,3.46
1731069889.51,40.3,0.677,0.0,1.78
1731069890.01,40.3,0.754,0.0,1.83
1731069890.51,39.7,1.022,0.0,3.39
1731069891.01,40.3,0.886,0.0,1.62
1731069891.51,39.7,0.982,0.0,2.11
1731069892.01,40.3,1.122,0.0,8.58
1731069892.51,39.7,1.294,0.0,2.42
1731069893.01,39.7,0.966,0.0,2.11
1731069893.51,40.4,0.537,0.0,3.45
1731069894.01,40.3,0.731,0.0,1.79
1731069894.51,39.6,0.754,0.0,2.12
1731069895.01,40.3,0.688,0.0,1.77
1731069895.51,39.7,0.853,0.0,1.61
1731069896.01,40.3,0.776,0.0,1.91
1731069896.51,39.6,1.019,0.0,1.94
1731069897.01,40.3,0.976,0.0,2.34
1731069897.51,39.1,0.591,0.0,1.57
1731069898.01,41.0,0.509,0.0,1.68
1731069898.51,39.7,0.662,0.0,2.89
1731069899.01,39.7,0.807,0.0,2.61
1731069899.51,40.3,0.801,0.0,1.96
1731069900.01,39.7,0.624,0.0,3.62
1731069900.51,40.3,0.868,0.0,1.8
1731069901.01,40.3,0.629,0.0,2.35
1731069901.51,39.7,0.810,0.0,11.2
1731069902.01,40.3,0.586,0.0,1.91
1731069902.51,39.7,0.784,0.0,1.73
1731069903.01,40.3,0.658,0.0,2.27
1731069903.51,39.7,0.843,0.0,1.66
1731069904.01,40.3,0.804,0.0,1.83
1731069904.51,39.7,1.037,0.0,1.76
1731069905.01,40.3,0.886,0.0,1.6
1731069905.51,39.0,1.238,0.016129032258064516,2.23
1731069906.01,39.7,0.954,0.0,5.99
