Time,C1_X,C1_Y,C1_Z
1731068772.6,5260.5,5380.5,0.0
1731068773.1,5260.63,5380.69,0.0
1731068773.6,5260.76,5380.88,0.0
1731068774.1,5260.89,5381.07,0.0
1731068774.6,5261.02,5381.26,0.0
1731068775.1,5261.15,5381.45,0.0
1731068775.6,5261.28,5381.64,0.0
1731068776.1,5261.41,5381.83,0.0
1731068776.6,5261.54,5382.02,0.0
1731068777.1,5261.67,5382.21,0.0
1731068777.6,5261.8,5382.4,0.0
1731068778.1,5261.93,5382.59,0.0
1731068778.6,5262.06,5382.78,0.0
1731068779.1,5262.19,5382.97,0.0
1731068779.6,5262.32,5383.16,0.0
1731068780.1,5262.45,5383.35,0.0
1731068780.6,5262.58,5383.54,0.0
1731068781.11,5262.71,5383.73,0.0
1731068781.61,5262.84,5383.92,0.0
1731068782.11,5262.97,5384.11,0.0
1731068782.6,5263.1,5384.3,0.0
1731068783.11,5263.23,5384.49,0.0
1731068783.61,5263.36,5384.68,0.0
1731068784.11,5263.49,5384.87,0.0
1731068784.61,5263.62,5385.06,0.0
1731068785.11,5263.75,5385.25,0.0
1731068785.61,5263.88,5385.44,0.0
1731068786.11,5264.01,5385.63,0.0
1731068786.61,5264.14,5385.82,0.0
1731068787.11,5264.27,5386.01,0.0
1731068787.61,5264.4,5386.2,0.0
1731068788.11,5264.53,5386.39,0.0
1731068788.61,5264.66,5386.58,0.0
1731068789.11,5264.79,5386.77,0.0
1731068789.61,5264.92,5386.96,0.0
1731068790.11,5265.05,5387.15,0.0
1731068790.61,5265.18,5387.34,0.0
1731068791.11,5265.31,5387.53,0.0
1731068791.61,5265.44,5387.72,0.0
1731068792.11,5265.57,5387.91,0.0
1731068792.62,5265.7,5388.1,0.0
1731068793.12,5265.83,5388.29,0.0
1731068793.61,5265.96,5388.48,0.0
1731068794.12,5266.09,5388.67,0.0
1731068794.62,5266.22,5388.86,0.0
1731068795.12,5266.35,5389.05,0.0
1731068795.62,5266.48,5389.24,0.0
1731068796.12,5266.61,5389.43,0.0
1731068796.62,5266.74,5389.62,0.0
1731068797.12,5266.87,5389.81,0.0
1731068797.62,5267.0,5390.0,0.0
1731068798.12,5267.13,5390.19,0.0
1731068798.62,5267.26,5390.38,0.0
1731068799.12,5267.39,5390.57,0.0
1731068799.62,5267.52,5390.76,0.0
1731068800.12,5267.65,5390.95,0.0
1731068800.62,5267.78,5391.14,0.0
1731068801.12,5267.91,5391.33,0.0
1731068801.62,5268.04,5391.52,0.0
1731068802.12,5268.17,5391.71,0.0
1731068802.62,5268.3,5391.9,0.0
1731068803.13,5268.43,5392.09,0.0
1731068803.63,5268.56,5392.28,0.0
1731068804.13,5268.69,5392.47,0.0
1731068804.63,5268.82,5392.66,0.0
1731068805.13,5268.95,5392.85,0.0
1731068805.63,5269.08,5393.04,0.0
1731068806.13,5269.21,5393.23,0.0
1731068806.63,5269.34,5393.42,0.0
1731068807.13,5269.47,5393.61,0.0
1731068807.63,5269.6,5393.8,0.0
1731068808.13,5269.73,5393.99,0.0
1731068808.63,5269.86,5394.18,0.0
1731068809.13,5269.99,5394.37,0.0
1731068809.63,5270.12,5394.56,0.0
1731068810.13,5270.25,5394.75,0.0
1731068810.63,5270.38,5394.94,0.0
1731068811.13,5270.51,5395.13,0.0
1731068811.63,5270.64,5395.32,0.0
1731068812.13,5270.77,5395.51,0.0
1731068812.63,5270.9,5395.7,0.0
1731068813.13,5271.03,5395.89,0.0
1731068813.64,5271.16,5396.08,0.0
1731068814.14,5271.29,5396.27,0.0
1731068814.64,5271.42,5396.46,0.0
1731068815.14,5271.55,5396.65,0.0
1731068815.64,5271.68,5396.84,0.0
1731068816.14,5271.81,5397.03,0.0
1731068816.64,5271.94,5397.22,0.0
1731068817.14,5272.07,5397.41,0.0
1731068817.64,5272.2,5397.6,0.0
1731068818.14,5272.33,5397.79,0.0
1731068818.64,5272.46,5397.98,0.0
