Time,Delay
1731071777.919,4.28
1731071778.421,8.41
1731071778.914,1.9
1731071779.415,1.8
1731071779.916,1.57
1731071780.417,1.79
1731071780.919,1.95
1731071781.42,2.08
1731071781.92,2.02
1731071782.42,1.52
1731071782.925,4.41
1731071783.424,3.13
1731071783.924,1.84
1731071784.425,1.97
1731071784.925,1.56
1731071785.426,1.71
1731071785.928,2.15
1731071786.429,1.99
1731071786.929,1.98
1731071787.43,2.19
1731071787.931,2.39
1731071788.433,2.97
1731071788.932,1.56
1731071789.435,2.18
1731071789.935,2.8
1731071790.436,1.73
1731071790.937,2.02
1731071791.438,1.87
1731071791.939,1.81
1731071792.449,9.89
1731071792.941,1.64
1731071793.443,1.82
1731071793.945,2.59
1731071794.445,1.9
1731071794.946,1.66
1731071795.447,2.04
1731071795.948,2.01
1731071796.448,1.83
1731071796.952,4.75
1731071797.452,2.69
1731071797.953,3.05
1731071798.452,1.77
1731071798.953,1.84
1731071799.459,3.1
1731071799.956,1.67
1731071800.456,1.42
1731071800.957,1.65
1731071801.46,4.04
1731071801.959,2.17
1731071802.46,1.73
1731071802.961,1.78
1731071803.465,2.03
1731071803.964,1.87
1731071804.464,2.22
1731071804.965,1.51
1731071805.466,2.0
1731071805.968,2.71
1731071806.476,9.68
1731071806.971,2.89
1731071807.473,3.1
1731071807.972,1.77
1731071808.474,1.97
1731071808.975,3.03
1731071809.475,2.0
1731071809.975,1.93
1731071810.476,2.09
1731071810.982,7.14
1731071811.477,1.66
1731071811.979,2.42
1731071812.481,2.3
1731071812.982,1.39
1731071813.483,2.17
1731071813.984,2.81
1731071814.485,1.49
1731071814.986,2.03
1731071815.49,5.6
1731071815.987,1.74
1731071816.488,1.8
1731071816.99,1.74
1731071817.493,1.61
1731071817.996,2.11
1731071818.497,2.28
1731071818.996,1.41
1731071819.498,2.38
1731071819.999,2.46
1731071820.504,6.81
1731071821.001,1.66
1731071821.502,2.18
1731071822.004,2.04
1731071822.502,2.14
1731071823.004,2.05
1731071823.504,3.07
1731071824.004,1.66
1731071824.506,2.3
1731071825.012,9.09
1731071825.505,1.62
1731071826.008,2.13
1731071826.508,1.93
1731071827.009,1.74
1731071827.51,1.61
1731071828.012,2.33
1731071828.513,2.68
1731071829.012,1.53
1731071829.519,5.98
1731071830.016,2.71
1731071830.517,1.56
1731071831.02,3.93
1731071831.521,4.26
1731071832.019,1.61
1731071832.52,1.63
1731071833.023,2.01
1731071833.522,1.8
1731071834.024,2.27
1731071834.529,7.2
1731071835.025,1.67
1731071835.527,2.04
1731071836.027,2.04
1731071836.529,2.2
1731071837.029,1.58
1731071837.532,3.16
1731071838.033,3.14
1731071838.532,1.78
1731071839.042,9.92
1731071839.535,2.33
1731071840.036,1.93
1731071840.536,2.23
1731071841.038,1.86
1731071841.539,1.85
1731071842.04,1.7
1731071842.542,1.6
1731071843.043,1.8
1731071843.544,1.99
1731071844.045,1.63
1731071844.547,1.99
1731071845.047,2.0
1731071845.548,2.22
1731071846.048,2.13
1731071846.549,1.39
1731071847.051,2.74
1731071847.551,2.57
1731071848.053,2.47
1731071848.558,7.47
1731071849.055,2.42
1731071849.555,1.83
1731071850.056,1.75
1731071850.557,1.95
1731071851.058,1.92
1731071851.56,1.97
1731071852.06,2.04
1731071852.56,1.92
1731071853.069,9.26
1731071853.562,1.97
1731071854.062,2.17
1731071854.563,1.83
1731071855.065,1.72
1731071855.566,1.7
1731071856.067,1.71
1731071856.569,1.68
1731071857.071,1.94
1731071857.575,6.72
1731071858.072,2.44
1731071858.572,1.64
1731071859.073,1.76
1731071859.576,2.25
1731071860.075,1.92
1731071860.577,1.69
1731071861.079,1.95
1731071861.58,2.1
1731071862.083,3.83
1731071862.581,1.58
1731071863.084,2.19
1731071863.585,2.88
1731071864.084,1.56
1731071864.589,1.78
1731071865.091,2.19
1731071865.592,2.8
1731071866.091,1.67
1731071866.593,1.79
1731071867.097,3.71
