Time,Delay
1731070776.284,4.23
1731070776.779,1.92
1731070777.281,1.99
1731070777.783,3.85
1731070778.287,4.75
1731070778.793,10.7
1731070779.288,3.48
1731070779.789,2.98
1731070780.288,1.73
1731070780.792,3.83
1731070781.291,1.64
1731070781.792,1.98
1731070782.295,4.27
1731070782.796,3.86
1731070783.297,4.79
1731070783.806,11.6
1731070784.297,1.66
1731070784.804,2.44
1731070785.304,1.59
1731070785.805,1.78
1731070786.307,2.08
1731070786.808,1.65
1731070787.31,2.82
1731070787.81,1.95
1731070788.315,5.92
1731070788.812,2.09
1731070789.314,3.25
1731070789.813,2.71
1731070790.314,1.73
1731070790.815,1.46
1731070791.318,3.68
1731070791.818,2.18
1731070792.319,1.77
1731070792.822,3.31
1731070793.326,7.25
1731070793.821,1.73
1731070794.325,2.83
1731070794.824,1.48
1731070795.326,1.91
1731070795.825,1.88
1731070796.327,1.87
1731070796.828,2.36
1731070797.33,2.28
1731070797.837,9.28
1731070798.331,1.64
1731070798.833,2.12
1731070799.334,2.37
1731070799.834,1.79
1731070800.335,1.54
1731070800.837,3.07
1731070801.337,1.76
1731070801.838,1.65
1731070802.342,5.09
1731070802.839,1.41
1731070803.341,1.77
1731070803.842,1.72
1731070804.344,1.58
1731070804.845,2.22
1731070805.346,2.0
1731070805.846,1.79
1731070806.348,2.08
1731070806.848,1.59
1731070807.355,7.95
1731070807.85,2.07
1731070808.351,2.04
1731070808.853,2.59
1731070809.353,1.76
1731070809.854,1.55
1731070810.355,1.49
1731070810.857,1.5
1731070811.36,2.09
1731070811.866,9.38
1731070812.359,1.6
1731070812.861,2.28
1731070813.361,1.72
1731070813.862,1.79
1731070814.365,3.14
1731070814.864,1.94
1731070815.367,3.27
1731070815.866,1.66
1731070816.373,7.92
1731070816.87,3.48
1731070817.371,2.06
1731070817.87,1.77
1731070818.372,2.37
1731070818.873,1.71
1731070819.374,2.09
1731070819.874,1.72
1731070820.375,1.84
1731070820.878,3.34
1731070821.377,1.73
1731070821.878,1.71
1731070822.381,2.4
1731070822.881,1.98
1731070823.382,2.53
1731070823.882,2.12
1731070824.384,2.4
1731070824.885,2.86
1731070825.384,1.66
1731070825.895,10.7
1731070826.386,1.62
1731070826.888,1.57
1731070827.39,2.1
1731070827.89,1.85
1731070828.391,1.67
1731070828.894,3.0
1731070829.394,2.63
1731070829.894,2.46
1731070830.399,6.21
1731070830.896,1.99
1731070831.398,3.5
1731070831.897,1.69
1731070832.398,1.73
1731070832.901,2.62
1731070833.401,1.85
1731070833.904,1.69
1731070834.405,3.22
1731070834.905,2.91
1731070835.406,1.6
1731070835.908,2.32
1731070836.408,1.58
1731070836.91,2.0
1731070837.41,2.17
1731070837.911,1.94
1731070838.411,1.93
1731070838.911,1.67
1731070839.414,2.98
1731070839.919,7.02
1731070840.415,1.72
1731070840.917,3.0
1731070841.416,1.52
1731070841.917,1.97
1731070842.417,1.8
1731070842.92,1.7
1731070843.422,2.44
1731070843.922,1.57
1731070844.43,8.11
1731070844.925,2.73
1731070845.426,1.9
1731070845.926,1.59
1731070846.428,2.09
1731070846.929,1.76
1731070847.43,2.43
1731070847.931,1.78
1731070848.432,1.79
1731070848.936,3.7
1731070849.435,2.06
1731070849.936,1.69
1731070850.439,2.96
1731070850.938,1.59
1731070851.439,1.67
1731070851.941,3.37
1731070852.441,1.44
1731070852.942,1.82
1731070853.444,2.89
1731070853.95,8.19
1731070854.445,1.78
1731070854.947,1.72
1731070855.448,1.8
1731070855.95,2.48
1731070856.451,1.99
1731070856.951,1.65
1731070857.453,2.44
1731070857.954,2.09
1731070858.459,5.95
1731070858.954,1.66
1731070859.456,1.76
1731070859.958,2.59
1731070860.459,1.92
1731070860.959,1.58
1731070861.461,3.13
1731070861.961,1.46
1731070862.463,1.68
1731070862.964,2.92
1731070863.463,1.59
1731070863.965,2.1
1731070864.465,1.54
1731070864.967,1.44
1731070865.469,3.08
1731070865.972,2.38
1731070866.471,2.69
1731070866.971,1.9
1731070867.472,1.63
1731070867.981,10.4
1731070868.474,1.7
1731070868.975,1.54
1731070869.477,2.8
1731070869.977,1.6
1731070870.478,1.72
1731070870.981,2.61
1731070871.482,1.52
1731070871.982,1.74
1731070872.487,5.44
1731070872.985,1.77
1731070873.486,2.59
1731070873.986,1.53
1731070874.488,1.55
1731070874.989,2.17
1731070875.49,2.2
1731070875.99,1.88
1731070876.492,2.08
1731070876.992,2.1
1731070877.499,8.35
1731070878.527,5.4
1731070879.025,1.89
1731070879.527,3.3
1731070880.032,6.16
1731070880.529,4.01
1731070881.03,3.22
1731070881.529,1.89
1731070882.03,1.74
1731070882.535,4.58
1731070883.036,3.63
1731070883.535,2.17
1731070884.038,4.02
1731070884.536,1.66
1731070885.037,1.84
1731070885.538,1.8
1731070886.039,1.69
1731070886.541,2.29
1731070887.041,1.89
1731070887.544,3.53
1731070888.052,10.2
1731070888.544,2.5
1731070889.046,3.47
1731070889.546,2.04
1731070890.045,1.78
1731070890.549,2.95
1731070891.048,1.55
1731070891.55,2.3
1731070892.05,1.65
1731070892.56,8.21
1731070893.053,2.22
1731070893.553,2.25
1731070894.055,2.1
1731070894.555,1.77
1731070895.055,1.52
1731070895.557,2.48
1731070896.059,1.82
1731070896.56,1.8
1731070897.066,6.43
1731070897.563,2.71
1731070898.065,2.56
1731070898.566,2.57
1731070899.067,1.89
1731070899.567,1.65
1731070900.07,3.59
1731070900.57,2.08
1731070901.07,2.17
1731070901.571,1.73
1731070902.079,7.88
1731070902.573,1.74
1731070903.077,2.99
1731070903.576,1.71
1731070904.077,1.71
1731070904.58,2.65
1731070905.081,1.76
1731070905.581,1.67
1731070906.085,2.64
1731070906.586,3.47
1731070907.086,2.05
1731070907.586,1.77
1731070908.087,1.65
1731070908.589,2.27
1731070909.089,2.3
1731070909.592,2.58
1731070910.091,1.94
1731070910.592,2.17
1731070911.094,3.53
1731070911.599,7.12
1731070912.093,1.76
1731070912.595,1.88
1731070913.096,1.7
1731070913.599,2.37
1731070914.099,1.99
1731070914.599,1.58
1731070915.101,2.2
1731070915.602,1.74
1731070916.109,7.94
1731070916.604,2.68
1731070917.106,2.4
1731070917.607,2.84
1731070918.106,1.95
1731070918.606,1.96
1731070919.107,1.76
1731070919.609,1.83
1731070920.11,2.6
1731070920.616,7.21
1731070921.112,1.89
1731070921.613,3.06
1731070922.114,2.03
1731070922.614,3.0
1731070923.114,2.16
1731070923.615,1.65
1731070924.118,4.14
1731070924.617,1.81
1731070925.12,3.07
1731070925.618,1.47
1731070926.119,1.61
1731070926.621,1.97
1731070927.121,1.68
1731070927.622,1.62
1731070928.125,2.86
1731070928.625,1.81
1731070929.127,1.79
1731070929.629,2.52
1731070930.138,10.5
1731070930.63,2.04
1731070931.131,2.02
1731070931.631,1.68
1731070932.133,3.22
1731070932.634,1.58
1731070933.134,1.68
1731070933.637,2.73
1731070934.137,1.65
1731070934.643,6.88
1731070935.14,2.51
1731070935.641,1.72
1731070936.142,1.86
1731070936.644,2.81
1731070937.145,1.65
1731070937.646,1.62
1731070938.149,3.03
1731070938.648,1.44
1731070939.15,2.63
1731070939.65,1.41
1731070940.151,1.71
1731070940.653,2.22
1731070941.154,1.92
1731070941.654,1.89
1731070942.156,1.72
1731070942.657,1.59
1731070943.16,2.29
1731070943.658,1.73
1731070944.167,9.51
1731070944.662,3.59
1731070945.161,1.75
1731070945.662,1.72
1731070946.164,3.2
1731070946.664,1.42
1731070947.165,2.09
1731070947.666,1.81
1731070948.166,1.58
1731070948.671,3.93
1731070949.17,2.27
1731070949.67,2.11
1731070950.171,1.42
1731070950.673,2.2
1731070951.174,2.72
1731070951.675,1.73
1731070952.175,1.49
1731070952.678,2.73
1731070953.179,3.29
1731070953.679,1.56
1731070954.183,4.03
1731070954.68,1.45
1731070955.181,2.06
1731070955.682,1.74
1731070956.183,1.71
1731070956.686,2.63
1731070957.186,1.77
1731070957.688,2.23
1731070958.195,9.49
1731070958.689,2.09
1731070959.19,3.03
1731070959.689,1.54
1731070960.191,2.04
1731070960.692,2.45
1731070961.192,1.6
1731070961.7,9.1
1731070962.193,1.79
1731070962.702,7.91
1731070963.198,4.14
1731070963.698,3.24
1731070964.199,4.28
1731070964.699,2.95
1731070965.199,2.28
1731070965.702,3.89
1731070966.2,1.74
1731070966.702,2.33
1731070967.208,8.39
1731070967.703,1.84
1731070968.206,3.28
1731070968.707,2.01
1731070969.208,2.49
1731070969.709,2.81
1731070970.21,3.18
1731070970.711,3.4
1731070971.21,2.34
1731070971.712,2.91
1731070972.214,3.69
1731070972.713,2.0
1731070973.214,2.52
1731070973.714,1.8
1731070974.216,1.84
1731070974.717,2.0
1731070975.217,1.74
1731070975.718,1.72
1731070976.221,2.43
1731070976.729,10.5
1731070977.222,2.06
1731070977.723,2.14
1731070978.223,1.56
1731070978.725,3.18
1731070979.225,1.84
1731070979.726,1.67
1731070980.228,2.46
1731070980.729,1.77
1731070981.235,7.09
1731070981.73,1.66
1731070982.231,1.31
1731070982.732,2.17
1731070983.233,2.18
1731070983.734,2.26
1731070984.234,1.58
1731070984.735,1.62
1731070985.238,2.82
1731070985.742,4.95
1731070986.24,1.76
1731070986.742,2.82
1731070987.242,1.92
1731070987.742,1.6
1731070988.244,2.7
1731070988.745,1.78
1731070989.247,1.5
1731070989.749,3.02
1731070990.248,1.59
1731070990.759,10.9
1731070991.25,1.85
1731070991.752,1.73
1731070992.254,2.41
1731070992.754,1.65
1731070993.256,1.63
1731070993.759,1.93
1731070994.258,1.73
1731070994.759,1.6
1731070995.263,3.48
1731070995.762,1.87
1731070996.263,1.57
1731070996.766,2.82
1731070997.265,2.11
1731070997.766,3.3
1731070998.266,2.33
1731070998.767,1.97
1731070999.273,7.18
1731070999.772,5.86
1731071000.27,2.57
1731071000.771,1.98
1731071001.272,1.69
1731071001.773,2.51
1731071002.274,1.61
1731071002.776,1.55
1731071003.278,2.48
1731071003.779,1.87
1731071004.279,2.23
1731071004.786,9.38
1731071005.28,1.68
1731071005.782,3.06
1731071006.281,1.67
1731071006.785,1.78
1731071007.285,2.99
1731071007.784,1.6
1731071008.285,1.99
1731071008.786,1.66
1731071009.294,8.69
1731071009.789,2.65
1731071010.29,2.0
1731071010.791,2.65
1731071011.293,2.76
1731071011.795,2.18
1731071012.294,2.58
1731071012.794,1.81
1731071013.294,1.73
1731071013.8,5.53
1731071014.297,1.76
1731071014.798,1.89
1731071015.301,3.39
1731071015.801,1.82
1731071016.302,1.99
1731071016.804,2.32
1731071017.303,1.69
1731071017.805,2.68
1731071018.305,1.67
1731071018.815,9.59
1731071019.309,2.6
1731071019.81,2.15
1731071020.311,2.02
1731071020.811,1.76
1731071021.313,1.9
1731071021.813,2.64
1731071022.314,1.83
1731071022.816,1.61
1731071023.322,7.11
1731071023.817,1.57
1731071024.318,1.75
1731071024.821,2.51
1731071025.321,1.8
1731071025.822,1.93
1731071026.322,1.7
1731071026.823,1.41
1731071027.325,2.21
1731071027.827,3.83
1731071028.326,1.47
1731071028.828,2.31
1731071029.329,2.08
1731071029.83,2.57
1731071030.33,1.57
1731071030.831,1.61
1731071031.334,3.14
1731071031.833,1.82
1731071032.335,1.68
1731071032.844,10.2
1731071033.337,1.56
1731071033.839,1.94
1731071034.338,1.67
1731071034.84,1.69
1731071035.342,2.45
1731071035.842,1.67
1731071036.343,1.65
1731071036.844,2.2
1731071037.351,7.48
1731071037.847,1.75
1731071038.349,2.4
1731071038.85,2.2
1731071039.351,2.49
1731071039.852,2.11
1731071040.353,1.93
