Time,F1F4Bitrate,F1F4Jitter,F1F4Datagrams,F1F4Delay,F1F4Distance,F1C1Bitrate,F1C1Jitter,F1C1Datagrams,F1C1Delay,F1C1Distance,F1S1Bitrate,F1S1Jitter,F1S1Datagrams,F1S1Delay,F1S1Distance,F1F2Bitrate,F1F2Jitter,F1F2Datagrams,F1F2Delay,F1F2Distance
1731067774.96,19.8,0.316,0.0,0.837,2829.205331890917,8.32,0.887,0.0,1.06,4470.937434811629,39.7,0.651,0.0,0.831,3808.993815359087,19.8,0.945,0.0,0.886,707.7431808219712
1731067775.46,20.5,0.384,0.0,4.46,2829.34683098414,7.68,0.438,0.0,7.46,4470.843520970064,40.3,0.439,0.0,4.73,3808.997461793045,20.5,0.846,0.0,1.13,707.7785335117198
1731067775.96,19.8,0.477,0.0,0.87,2829.4883371380065,8.32,1.009,0.0,0.819,4470.749607168802,39.6,0.484,0.0,0.957,3809.070557132324,19.8,0.87,0.0,3.64,707.8138879677341
1731067776.46,19.8,0.36,0.0,1.56,2829.629850351456,7.68,0.692,0.0,3.85,4470.655693407848,40.3,0.472,0.0,1.59,3809.482825496401,19.9,0.991,0.0,0.858,707.8492441897492
1731067776.96,19.8,0.275,0.0,1.38,2829.77137062343,8.32,0.486,0.0,0.816,4470.561779687202,39.7,0.504,0.0,1.45,3809.525546318006,19.8,0.848,0.0,0.877,707.8846021775008
1731067777.46,20.5,0.41,0.0,1.15,2829.912897952867,7.68,0.872,0.0,3.84,4470.467866006867,40.3,0.562,0.0,1.14,3809.2109708786143,20.5,0.849,0.0,1.07,707.9199619307267
1731067777.96,19.8,0.318,0.0,1.5,2830.054432338713,8.33,0.429,0.0,0.867,4470.373952366848,39.7,0.625,0.0,1.72,3809.219689552449,19.8,0.988,0.0,1.34,707.9553234491572
1731067778.46,19.9,0.447,0.0,1.34,2830.1959737799075,7.68,0.843,0.0,4.29,4470.280038767147,40.3,0.715,0.0,1.39,3809.422705730755,19.9,1.134,0.0,0.679,707.9906867325304
1731067778.96,19.8,0.475,0.0,0.829,2830.337522275392,8.32,0.521,0.0,0.892,4470.186125207764,39.7,0.855,0.0,0.929,3809.6717365950585,19.8,1.092,0.0,1.06,708.026051780582
1731067779.46,20.5,0.377,0.0,1.04,2830.4790778241068,7.68,0.446,0.0,1.16,4470.092211688704,39.7,0.288,0.0,0.772,3809.575470665725,20.5,0.997,0.0,0.993,708.0614185930473
1731067779.96,19.9,0.356,0.0,0.941,2830.6206404249924,7.68,0.366,0.0,0.775,4469.9982982099655,40.3,0.237,0.0,1.76,3809.4966150900623,19.8,1.019,0.0,0.949,708.0967871696647
1731067780.46,19.8,0.413,0.0,1.08,2830.762210076996,8.32,0.439,0.0,1.33,4469.9043847715575,40.3,0.232,0.0,8.56,3809.7041253804814,19.8,0.853,0.0,1.41,708.1321575101647
1731067780.96,19.8,0.407,0.0,2.22,2830.903786779056,8.32,0.878,0.0,1.18,4469.810471373478,39.7,0.237,0.0,1.89,3809.7647036315966,19.8,0.693,0.0,6.52,708.1675296142855
1731067781.46,20.5,0.324,0.0,0.817,2831.045370530116,7.68,0.436,0.0,1.23,4469.7165580157325,40.4,0.256,0.0,1.26,3809.63251994171,20.5,0.452,0.0,0.787,708.202903481763
1731067781.96,19.8,0.436,0.0,2.23,2831.1869613291183,8.32,0.403,0.0,1.54,4469.62264469832,39.7,0.241,0.0,1.04,3809.903601894319,19.9,0.532,0.0,1.33,708.2382791123327
1731067782.46,19.8,0.46,0.0,0.965,2831.3285591750023,7.68,0.461,0.0,1.17,4469.528731421245,40.3,0.28,0.0,1.56,3810.1038018283,19.8,0.709,0.0,0.803,708.2736565057332
1731067782.96,19.8,0.44,0.0,1.12,2831.4701640667163,8.32,0.641,0.0,3.22,4469.434818184509,39.7,0.3,0.0,0.863,3810.5475512573903,19.8,0.551,0.0,0.954,708.3090356616954
1731067783.46,20.5,0.388,0.0,0.949,2831.6117760032007,7.69,0.739,0.0,2.63,4469.340904988117,39.7,0.283,0.0,1.54,3810.134269473408,20.5,0.592,0.0,1.06,708.3444165799573
1731067783.96,19.8,0.498,0.0,1.04,2831.7533949833983,8.31,0.531,0.0,0.851,4469.24699183207,40.3,0.32,0.0,0.877,3810.0915174579527,19.8,0.655,0.0,1.13,708.379799260255
1731067784.46,19.8,0.475,0.0,1.22,2831.895021006253,7.68,0.605,0.0,0.855,4469.153078716369,40.3,0.281,0.0,1.38,3810.222224350055,19.8,0.568,0.0,1.29,708.4151837023247
1731067784.96,19.8,0.469,0.0,1.01,2832.036654070705,8.32,0.492,0.0,2.38,4469.059165641019,39.7,0.291,0.0,0.89,3810.127010946366,19.8,0.505,0.0,1.09,708.4505699059049
1731067785.46,20.5,0.624,0.0,1.61,2832.1782941757037,7.68,0.595,0.0,0.797,4468.96525260602,40.3,0.376,0.0,0.82,3810.815663402812,20.5,0.462,0.0,0.859,708.4859578707265
1731067785.96,19.8,0.418,0.0,0.856,2832.319941320189,8.32,0.415,0.0,1.04,4468.871339611379,39.7,0.352,0.0,1.24,3810.810613085135,19.8,0.608,0.0,7.92,708.521347596528
1731067786.46,19.9,0.34,0.0,3.62,2832.4615955031063,7.67,0.7,0.0,0.877,4468.777426657094,40.3,0.373,0.0,0.865,3810.710204145221,19.8,0.522,0.0,0.769,708.5567390830457
1731067786.96,19.8,0.328,0.0,5.37,2832.603256723399,8.32,0.541,0.0,1.12,4468.68351374317,39.7,0.507,0.0,1.05,3810.47954011581,19.9,0.502,0.0,0.975,708.5921323300157
1731067787.46,20.5,0.371,0.0,2.4,2832.7449249800084,7.68,0.399,0.0,0.798,4468.589600869606,40.3,0.452,0.0,1.06,3810.7460253454688,20.5,0.578,0.0,1.19,708.627527337177
1731067787.96,19.8,0.45,0.0,3.51,2832.8866002718846,8.32,0.553,0.0,1.11,4468.495688036411,39.7,0.283,0.0,0.965,3811.00750114471,19.8,0.589,0.0,0.797,708.6629241042604
1731067788.46,19.8,0.382,0.0,1.04,2833.0282825979693,7.68,0.402,0.0,0.836,4468.401775243583,40.3,0.288,0.0,0.934,3810.979208677218,19.8,0.805,0.0,1.03,708.698322631005
1731067788.96,19.8,0.481,0.0,0.993,2833.1699719572075,8.32,0.56,0.0,0.958,4468.307862491125,39.7,0.419,0.0,4.61,3810.721334102407,19.9,0.622,0.0,0.837,708.733722917147
1731067789.46,20.5,0.516,0.0,0.763,2833.311668348543,7.68,0.547,0.0,1.08,4468.21394977904,40.3,0.436,0.0,0.878,3811.151442134636,20.5,0.645,0.0,1.32,708.7691249624228
1731067789.96,19.9,0.573,0.0,1.37,2833.45337177092,8.32,0.275,0.0,0.782,4468.120037107328,39.7,0.598,0.0,1.12,3810.9925172508806,19.8,0.74,0.0,1.27,708.8045287665715
1731067790.46,19.8,0.717,0.0,0.875,2833.595082223287,7.69,0.571,0.0,1.52,4468.026124475997,40.3,0.418,0.0,0.817,3810.964192545552,19.8,0.813,0.0,0.872,708.8399343293243
1731067790.96,19.9,0.529,0.0,0.884,2833.736799704588,8.31,0.417,0.0,0.802,4467.932211885046,39.7,0.512,0.0,1.238,3811.434707876509,19.8,0.752,0.0,0.879,708.8753416504202
1731067791.46,20.5,0.67,0.0,2.83,2833.878524213768,7.68,0.662,0.0,1.28,4467.838299334479,40.3,0.664,0.0,1.66,3811.13751345744,20.5,0.784,0.0,0.87,708.9107507295959
1731067791.96,19.8,0.526,0.0,2.02,2834.0202557497723,8.32,0.591,0.0,0.722,4467.744386824296,39.7,0.45,0.0,0.838,3811.637067575497,19.9,0.731,0.0,3.3,708.9461615665879
1731067792.46,19.8,0.573,0.0,11.0,2834.1619943115447,7.68,0.316,0.0,1.1,4467.6504743545,40.3,0.451,0.0,1.09,3811.600603393988,19.8,0.873,0.0,1.31,708.9815741611353
1731067792.96,19.8,0.555,0.0,2.98,2834.303739898037,8.32,0.735,0.0,0.84,4467.556561925097,39.7,0.496,0.0,0.771,3811.585757163512,19.8,0.712,0.0,1.0,709.0169885129698
1731067793.46,20.5,0.661,0.0,2.58,2834.445492508191,7.68,0.378,0.0,1.37,4467.462649536087,40.3,0.465,0.0,1.04,3811.1250890124966,19.8,0.591,0.0,0.966,709.0524046218304
1731067793.96,19.8,0.652,0.0,0.874,2834.5872521409538,8.33,0.766,0.0,1.05,4467.368737187474,39.7,0.624,0.0,1.01,3811.95864254391,20.5,0.639,0.0,1.02,709.0878224874541
1731067794.46,19.8,0.469,0.0,1.32,2834.729018795272,7.68,0.734,0.0,0.933,4467.274824879258,40.3,0.582,0.0,1.02,3811.551396274772,19.8,0.616,0.0,1.01,709.1232421095775
1731067794.96,19.8,0.306,0.0,0.665,2834.87079247009,8.32,0.537,0.0,0.78,4467.180912611442,39.7,0.675,0.0,0.734,3811.777789198669,19.8,0.654,0.0,1.28,709.1586634879401
1731067795.46,20.5,0.206,0.0,1.088,2835.0125731643584,7.68,0.822,0.0,1.29,4467.08700038403,40.3,0.657,0.0,1.36,3811.7761690010366,20.5,0.734,0.0,0.785,709.1940866222735
1731067795.96,19.8,0.284,0.0,1.51,2835.154360877023,8.32,0.575,0.0,1.04,4466.993088197026,39.7,0.703,0.0,0.792,3811.964658273426,19.8,0.688,0.0,0.818,709.2295115123171
1731067796.46,19.8,0.534,0.0,0.812,2835.29615560703,7.68,1.004,0.0,1.38,4466.89917605043,39.7,0.416,0.0,1.08,3811.658763232893,19.8,1.008,0.0,0.905,709.264938157808
1731067796.96,19.9,0.492,0.0,1.22,2835.4379573533265,7.68,0.535,0.0,1.09,4466.805263944243,40.3,0.461,0.0,0.971,3812.283232388703,19.8,0.87,0.0,7.66,709.3003665584831
1731067797.46,20.5,0.307,0.0,0.764,2835.579766114858,8.32,0.424,0.0,3.54,4466.711351878471,40.3,0.49,0.0,0.745,3812.037098906684,20.5,0.776,0.0,0.773,709.335796714082
