Time,F1S1Bitrate,F1S1Jitter,F1S1Datagrams,F1S1Delay,F1S1Distance,F1F4Bitrate,F1F4Jitter,F1F4Datagrams,F1F4Delay,F1F4Distance,F1C1Bitrate,F1C1Jitter,F1C1Datagrams,F1C1Delay,F1C1Distance,F1F2Bitrate,F1F2Jitter,F1F2Datagrams,F1F2Delay,F1F2Distance
1731068776.81,40.3,0.509,0.0,1.05,3940.474889067736,19.8,0.569,0.0,1.24,3125.0092495863105,8.32,0.862,0.0,0.989,4283.19384875352,19.8,0.501,0.0,0.771,781.6523587887405
1731068777.31,39.7,0.439,0.0,6.66,3940.738839626102,19.8,0.581,0.0,0.809,3125.1629541513507,7.68,0.445,0.0,0.789,4283.10002089608,19.9,0.538,0.0,0.979,781.6907652646287
1731068777.81,40.3,0.525,0.0,0.941,3941.2811445324014,20.5,0.517,0.0,1.05,3125.3166639558303,8.32,0.543,0.0,0.732,4283.006193084479,19.9,0.626,0.0,1.19,781.7291730516395
1731068778.31,39.7,0.473,0.0,1.03,3940.81796306075,19.8,0.454,0.0,1.24,3125.470378998976,7.68,0.866,0.0,1.44,4282.912365318721,20.5,0.508,0.0,0.859,781.7675821495792
1731068778.81,40.3,0.516,0.0,0.79,3940.813420513113,19.9,0.411,0.0,0.887,3125.624099280015,8.32,0.461,0.0,1.12,4282.81853759881,19.8,0.565,0.0,1.06,781.805992558255
1731068779.31,39.7,0.551,0.0,1.14,3940.972508723631,19.8,0.406,0.0,0.836,3125.7778247981723,7.68,0.982,0.0,2.72,4282.724709924745,19.8,0.708,0.0,0.822,781.8444042774762
1731068779.81,39.7,0.58,0.0,1.15,3941.010672680092,20.5,0.508,0.0,0.964,3125.93155555268,8.31,0.785,0.0,3.43,4282.630882296535,20.5,0.699,0.0,0.953,781.8828173070443
1731068780.31,40.3,0.664,0.0,0.792,3941.4690086374376,19.8,0.408,0.0,2.95,3126.0852915427627,7.68,0.592,0.0,0.967,4282.537054714179,19.8,0.738,0.0,1.48,781.9212316467689
1731068780.81,39.7,0.61,0.0,0.722,3941.12409501721,19.8,0.55,0.0,0.904,3126.239032767649,7.68,0.398,0.0,0.803,4282.443227177683,19.8,0.688,0.0,0.775,781.9596472964569
1731068781.31,40.3,0.544,0.0,0.987,3941.2058210077935,19.8,0.498,0.0,1.03,3126.392779226565,8.32,0.505,0.0,1.09,4282.349399687047,19.8,0.685,0.0,0.935,781.9980642559151
1731068781.81,39.7,0.723,0.016,0.81,3941.329673633784,20.5,0.645,0.0,0.871,3126.546530918737,8.31,1.101,0.0,1.49,4282.255572242273,19.8,0.764,0.0,2.97,782.0364825249534
1731068782.31,39.7,0.688,0.0,1.01,3941.833900692456,19.8,0.568,0.0,0.882,3126.7002878434,7.68,0.56,0.0,0.796,4282.161744843368,20.5,0.455,0.0,0.848,782.0749021033732
1731068782.81,39.7,0.787,0.0,1.54,3941.4428186745176,19.8,0.552,0.0,1.0,3126.854049999776,8.32,0.723,0.0,0.878,4282.0679174903335,19.8,0.516,0.0,1.07,782.1133229909844
1731068783.31,40.3,0.739,0.0,0.734,3941.249239410583,19.9,0.536,0.0,0.895,3127.007817387095,7.68,0.576,0.0,0.82,4281.974090183173,19.8,0.616,0.0,1.38,782.1517451875941
1731068783.81,39.7,0.638,0.0,1.02,3942.044617216079,20.5,0.671,0.0,0.746,3127.1615900045854,8.32,0.65,0.0,0.71,4281.880262921886,20.5,0.51,0.0,0.747,782.1901686930092
1731068784.31,40.3,0.589,0.0,1.79,3941.5374147188377,19.8,0.605,0.0,0.857,3127.3153678514727,7.68,0.988,0.0,1.08,4281.786435706479,19.8,0.556,0.0,1.22,782.2285935070398
1731068784.81,40.3,0.582,0.0,1.04,3942.092036473368,19.8,0.706,0.0,1.09,3127.469150926991,8.32,0.647,0.0,1.04,4281.692608536955,19.9,0.622,0.0,1.41,782.2670196294874
1731068785.31,39.7,0.594,0.0,0.874,3942.200116168082,19.9,0.709,0.0,1.42,3127.622939230367,7.68,0.556,0.0,0.841,4281.598781413317,19.8,0.613,0.0,0.977,782.305447060162
1731068785.81,40.3,0.664,0.0,1.23,3941.862487045145,20.5,0.716,0.0,0.97,3127.7767327608285,8.32,0.388,0.0,1.03,4281.504954335567,20.5,0.915,0.0,0.84,782.3438757988708
1731068786.31,39.7,0.749,0.0,1.11,3941.815514122159,19.8,0.797,0.0,0.904,3127.930531517605,7.69,0.564,0.0,1.22,4281.411127303708,19.8,0.816,0.0,1.75,782.3823058454212
1731068786.81,40.3,0.766,0.0,0.781,3942.1815128970734,19.9,0.478,0.0,0.953,3128.084335499923,8.32,0.58,0.0,3.84,4281.317300317742,19.8,0.747,0.0,0.818,782.4207371996232
1731068787.31,39.7,0.773,0.0,0.756,3942.365706128934,19.8,0.306,0.0,1.5,3128.2381447070165,7.68,0.651,0.0,0.845,4281.223473377674,19.9,0.752,0.0,0.963,782.4591698612784
1731068787.81,40.3,0.804,0.0,0.885,3941.926358577713,20.5,0.348,0.0,7.27,3128.3919591381127,8.33,0.686,0.0,1.05,4281.129646483508,20.5,0.718,0.0,1.07,782.497603830197
1731068788.31,39.7,0.584,0.0,1.38,3942.53866246864,19.9,0.275,0.0,0.855,3128.545778792441,7.68,0.412,0.0,1.09,4281.035819635244,19.8,1.121,0.0,8.21,782.5360391061865
1731068788.81,39.7,0.67,0.0,1.12,3941.929164479781,19.8,0.542,0.0,0.713,3128.699603669232,7.68,0.603,0.0,0.851,4280.941992832886,19.8,0.876,0.0,1.19,782.5744756890542
1731068789.31,40.3,0.673,0.0,0.887,3942.6437470763503,19.8,0.376,0.0,0.716,3128.853433767711,8.32,0.564,0.0,0.833,4280.848166076436,19.8,0.896,0.0,1.17,782.6129135786106
1731068789.81,40.3,0.63,0.0,0.77,3942.816888857992,20.5,0.377,0.0,0.786,3129.0072690871134,8.32,0.631,0.0,0.905,4280.754339365902,19.8,0.643,0.0,0.85,782.6513527746572
1731068790.31,39.7,0.702,0.0,1.69,3942.3699703490056,19.8,0.549,0.0,2.49,3129.161109626668,7.68,0.621,0.0,1.05,4280.660512701283,20.5,0.569,0.0,1.02,782.6897932770045
1731068790.81,40.3,0.799,0.0,2.31,3942.532603952896,19.8,0.407,0.0,2.88,3129.314955385604,8.32,0.348,0.0,1.43,4280.56668608258,19.8,0.338,0.0,1.12,782.7282350854599
1731068791.31,39.7,0.862,0.0,6.81,3942.802951553305,19.9,0.345,0.0,1.51,3129.468806363151,7.68,0.651,0.0,0.826,4280.4728595098,19.8,0.341,0.0,1.3,782.7666781998313
1731068791.81,40.3,0.807,0.0,0.98,3942.848350407712,20.5,0.293,0.0,1.77,3129.622662558538,8.32,0.65,0.0,1.0,4280.379032982943,20.5,0.382,0.0,0.859,782.8051226199287
1731068792.31,39.1,0.49,0.0,1.07,3942.93945158126,19.8,0.336,0.0,1.75,3129.776523971,7.68,0.732,0.0,1.33,4280.285206502015,19.8,0.373,0.0,1.04,782.8435683455546
