Time,F1F4Bitrate,F1F4Jitter,F1F4Datagrams,F1F4Delay,F1F4Distance,F1C1Bitrate,F1C1Jitter,F1C1Datagrams,F1C1Delay,F1C1Distance,F1F2Bitrate,F1F2Jitter,F1F2Datagrams,F1F2Delay,F1F2Distance,F1S1Bitrate,F1S1Jitter,F1S1Datagrams,F1S1Delay,F1S1Distance
1731069778.8,19.8,0.616,0.0,2.22,3441.941720889532,7.68,0.477,0.0,1.07,4095.633961427704,19.8,0.716,0.0,0.844,860.8486568497403,40.3,1.013,0.0,0.818,4073.2070848235617
1731069779.3,20.5,0.55,0.0,1.05,3442.1045146828405,8.32,0.539,0.0,0.844,4095.540231642218,19.8,0.625,0.0,0.886,860.8893381265684,39.7,0.999,0.0,2.23,4073.343323704477
1731069779.8,19.8,0.673,0.0,1.1,3442.2673123974555,8.31,0.49,0.0,2.58,4095.446501909164,19.8,0.721,0.0,0.798,860.9300203849323,40.3,1.073,0.0,1.39,4073.352916253654
1731069780.3,19.8,0.874,0.0,1.01,3442.4301140328184,7.68,0.337,0.0,0.828,4095.3527722285417,20.5,0.629,0.0,2.01,860.9707036246931,39.7,1.1,0.0,0.895,4073.0435281036553
1731069780.8,19.8,0.755,0.0,2.8,3442.592919588374,8.32,0.49,0.0,1.04,4095.2590426003594,19.8,0.726,0.0,1.12,861.0113878457114,40.3,1.065,0.0,0.966,4073.539332772292
1731069781.3,20.5,0.62,0.0,1.8,3442.755729063564,7.68,0.557,0.0,0.806,4095.165313024615,19.8,0.757,0.0,2.51,861.0520730478511,40.3,1.167,0.0,0.696,4073.337801030771
1731069781.8,19.8,0.619,0.0,1.66,3442.918542457837,8.32,0.619,0.0,1.09,4095.071583501319,19.9,0.828,0.0,1.74,861.0927592309675,39.7,1.061,0.0,0.865,4073.5884689469553
1731069782.3,19.8,0.682,0.0,1.01,3443.081359770634,7.68,0.645,0.0,0.81,4094.977854030471,20.5,0.778,0.0,0.834,861.1334463949244,39.7,1.052,0.0,0.82,4073.91262677022
1731069782.8,19.8,0.693,0.0,6.38,3443.2441810014,7.67,0.398,0.0,0.814,4094.884124612076,19.8,0.463,0.0,1.33,861.1741345395825,40.3,1.189,0.0,1.95,4073.316924752248
1731069783.3,20.5,0.682,0.0,0.879,3443.407006149579,8.33,0.592,0.0,1.09,4094.790395246136,19.8,0.275,0.0,1.13,861.2148236648031,40.3,1.207,0.0,2.31,4073.803632245036
1731069783.8,19.9,0.8,0.0,2.31,3443.5698352146123,8.31,0.751,0.0,0.915,4094.6966659326554,19.8,0.475,0.0,2.89,861.2555137704502,39.7,1.112,0.0,2.75,4073.649698308028
