Time,Bitrate,Jitter,Datagrams,Delay
1731071782.23,40.3,0.705,0.0,1.2
1731071782.73,39.7,0.727,0.0,1.36
1731071783.23,40.4,0.902,0.0,0.843
1731071783.73,39.7,1.109,0.0,1.27
1731071784.23,39.7,0.611,0.0,1.39
1731071784.73,40.3,0.249,0.0,0.803
1731071785.23,40.3,0.432,0.0,0.983
1731071785.73,39.7,0.356,0.0,1.64
1731071786.23,40.3,0.338,0.0,0.938
1731071786.73,39.7,0.524,0.0,1.49
1731071787.23,40.3,0.442,0.0,5.76
1731071787.73,39.7,0.358,0.0,0.918
1731071788.23,40.3,0.414,0.0,1.2
1731071788.73,39.7,0.382,0.0,1.55
1731071789.23,40.3,0.419,0.0,0.799
1731071789.73,39.7,0.46,0.0,1.02
1731071790.23,40.3,0.527,0.0,1.06
1731071790.73,39.7,0.562,0.0,1.1
1731071791.23,40.3,0.487,0.0,1.02
1731071791.73,39.7,0.628,0.0,1.45
1731071792.23,40.3,0.596,0.0,0.997
1731071792.73,39.7,0.584,0.0,0.951
1731071793.23,39.1,0.481,0.0317460317460317,1.49
1731071793.73,39.7,0.484,0.0,1.39
1731071794.23,40.3,0.506,0.0,0.878
1731071794.73,39.7,0.519,0.0,1.32
1731071795.23,40.3,0.566,0.0,1.72
1731071795.73,39.7,0.738,0.0,0.705
1731071796.23,40.3,0.669,0.0,1.17
1731071796.73,39.0,0.773,0.0161290322580645,0.942
1731071797.23,39.7,0.449,0.0,3.0
1731071797.73,40.3,0.56,0.0,0.68
1731071798.23,40.3,0.497,0.0,1.61
1731071798.73,39.7,0.678,0.0,1.51
1731071799.23,40.3,0.759,0.0,1.02
1731071799.73,39.7,0.804,0.0,1.27
1731071800.23,40.3,0.752,0.0,1.82
1731071800.73,39.7,0.977,0.0,0.9
1731071801.23,40.3,0.964,0.0,1.23
1731071801.73,39.7,0.507,0.0,1.1
1731071802.23,39.7,0.67,0.0158730158730158,0.924
1731071802.73,39.7,0.573,0.0,5.14
1731071803.23,40.3,0.571,0.0,1.44
1731071803.73,39.7,0.745,0.0,0.828
1731071804.23,40.3,0.664,0.0,1.64
1731071804.73,39.4,0.795,0.0,1.63
1731071805.23,40.6,0.769,0.0,0.827
1731071805.73,39.1,0.45,0.0,1.76
1731071806.23,40.9,0.325,0.0,1.59
1731071806.73,39.7,0.417,0.0,0.848
1731071807.23,40.3,0.32,0.0,1.13
1731071807.73,39.7,0.319,0.0,6.76
1731071808.23,40.3,0.416,0.0,1.66
1731071808.73,39.7,0.737,0.0,2.22
1731071809.23,40.3,0.343,0.0,2.67
1731071809.73,39.7,0.414,0.0,0.965
1731071810.23,40.3,0.401,0.0,1.0
1731071810.73,39.7,0.4,0.0,1.12
1731071811.23,40.3,0.538,0.0,0.844
1731071811.73,39.7,0.652,0.0,1.64
1731071812.23,40.3,0.501,0.0,6.76
1731071812.73,39.7,0.599,0.0,0.959
1731071813.23,40.3,0.59,0.0,1.06
1731071813.73,39.7,0.82,0.0,1.58
1731071814.23,39.6,0.423,0.0,3.35
1731071814.73,40.3,0.483,0.0,1.83
1731071815.23,40.3,0.476,0.0,2.07
1731071815.73,39.7,0.647,0.0,2.34
1731071816.23,40.3,0.607,0.0,1.03
1731071816.73,39.7,0.624,0.0,4.19
1731071817.23,40.3,0.697,0.0,1.44
1731071817.73,39.7,0.694,0.0,NA
1731071818.23,40.3,0.79,0.0,1.18
1731071818.73,39.7,0.503,0.0,1.41
1731071819.23,40.3,0.562,0.0,0.772
1731071819.73,39.7,1.396,0.0,1.2
1731071820.23,40.3,0.665,0.0,1.37
1731071820.73,39.7,0.728,0.0,0.804
1731071821.23,40.3,0.678,0.0,1.28
1731071821.73,39.7,0.816,0.0,2.01
1731071822.23,39.7,0.866,0.0158730158730158,1.87
1731071822.73,39.7,0.67,0.0,0.821
1731071823.23,40.3,0.467,0.0,1.63
1731071823.73,39.7,0.568,0.0,1.46
1731071824.23,40.3,0.609,0.0,0.719
1731071824.73,39.7,0.698,0.0,2.09
1731071825.23,40.3,0.787,0.0,2.86
1731071825.73,39.7,0.678,0.0,1.39
1731071826.23,40.3,0.815,0.0,1.54
1731071826.73,39.7,1.079,0.0,1.93
1731071827.23,39.7,0.387,0.0,1.13
1731071827.73,40.3,0.475,0.0,6.74
1731071828.23,40.3,0.612,0.0,0.828
1731071828.73,39.7,0.561,0.0,NA
1731071829.23,40.3,0.542,0.0,5.36
1731071829.73,39.7,0.631,0.0,1.15
1731071830.23,40.3,0.798,0.0,0.792
1731071830.73,39.7,0.416,0.0,1.14
1731071831.23,40.3,0.461,0.0,1.25
1731071831.73,39.7,0.455,0.0,0.868
1731071832.23,40.3,0.39,0.0,1.17
1731071832.73,39.7,0.86,0.0,1.48
1731071833.23,40.3,0.472,0.0,0.774
1731071833.73,39.7,0.505,0.0,1.18
1731071834.23,40.3,0.582,0.0,6.4
1731071834.73,39.1,0.565,0.0161290322580645,0.904
1731071835.23,40.3,0.739,0.0,1.26
1731071835.73,39.7,0.382,0.0,1.3
1731071836.23,40.3,0.462,0.0,1.03
1731071836.73,39.7,0.862,0.0,0.913
1731071837.23,40.3,0.62,0.0,0.859
1731071837.73,39.7,0.616,0.0,1.21
1731071838.23,40.3,0.59,0.0,1.3
1731071838.73,39.7,0.726,0.0,0.798
1731071839.23,40.3,0.946,0.0,1.11
1731071839.73,39.0,0.678,0.0161290322580645,4.75
1731071840.23,40.3,0.474,0.0,0.759
1731071840.73,39.7,0.677,0.0,1.21
1731071841.23,40.3,0.568,0.0,3.66
1731071841.73,39.7,0.613,0.0,2.48
1731071842.23,40.3,0.679,0.0,1.05
1731071842.73,39.7,0.747,0.0,1.02
1731071843.23,40.3,0.746,0.0,0.864
1731071843.73,39.7,0.778,0.0,0.838
1731071844.23,39.7,0.473,0.0,2.29
1731071844.73,40.3,0.55,0.0,0.99
1731071845.23,40.3,0.483,0.0,6.55
1731071845.73,39.7,0.699,0.0,1.31
1731071846.23,40.3,0.77,0.0,1.65
1731071846.73,39.7,0.759,0.0,0.998
1731071847.23,40.3,0.92,0.0,0.786
1731071847.73,39.7,0.724,0.0,1.16
1731071848.23,39.7,0.943,0.0,NA
1731071848.73,39.7,0.319,0.0158730158730158,1.81
1731071849.23,40.3,0.349,0.0,1.78
1731071849.73,39.7,0.352,0.0,0.882
1731071850.23,40.3,0.412,0.0,0.926
1731071850.73,39.7,0.312,0.0,0.838
1731071851.23,40.3,0.291,0.0,1.26
1731071851.73,39.7,0.472,0.0,1.29
1731071852.23,40.3,0.404,0.0,6.13
1731071852.73,39.7,0.585,0.0,0.826
1731071853.23,40.3,0.46,0.0,1.26
1731071853.73,39.7,0.597,0.0,1.31
1731071854.23,40.3,0.449,0.0,0.863
1731071854.73,39.7,0.643,0.0,1.2
1731071855.23,39.7,0.521,0.0158730158730158,1.3
1731071855.73,39.7,0.64,0.0,0.869
1731071856.23,40.3,0.71,0.0,1.25
1731071856.73,39.7,0.692,0.0,1.3
1731071857.23,40.3,0.467,0.0,0.864
1731071857.73,39.7,0.482,0.0,5.8
1731071858.23,40.3,0.6,0.0,1.18
1731071858.73,39.7,0.606,0.0,0.821
1731071859.23,40.3,0.607,0.0,1.55
1731071859.73,39.7,0.726,0.0,1.2
1731071860.23,40.3,0.72,0.0,0.81
1731071860.73,39.7,0.763,0.0,0.923
1731071861.23,39.7,0.515,0.0,1.55
1731071861.73,39.7,0.526,0.0158730158730158,0.813
1731071862.23,40.3,0.527,0.0,1.19
1731071862.73,39.7,0.702,0.0,1.29
1731071863.23,40.3,0.639,0.0,0.716
1731071863.73,39.7,0.788,0.0,1.27
1731071864.23,40.3,0.734,0.0,1.66
1731071864.73,39.7,0.827,0.0,0.78
1731071865.23,40.3,0.921,0.0,1.1
1731071865.73,39.7,0.585,0.0,1.39
1731071866.23,40.3,0.551,0.0,0.8
1731071866.73,39.7,0.631,0.0,1.56
1731071867.23,40.3,0.583,0.0,6.89
1731071867.73,39.7,0.724,0.0,0.826
1731071868.23,40.3,0.838,0.0,1.18
1731071868.73,39.6,0.786,0.0,1.75
1731071869.23,40.5,0.858,0.0,0.838
1731071869.73,39.0,0.3,0.0,1.15
1731071870.23,41.0,0.376,0.0,1.29
1731071870.73,39.7,0.35,0.0,0.894
1731071871.23,40.3,0.559,0.0,1.14
1731071871.73,39.7,0.571,0.0,1.39
1731071872.23,40.3,0.619,0.0,7.23
1731071872.73,39.7,0.48,0.0,0.855
1731071873.23,40.3,0.376,0.0,1.15
1731071873.73,39.7,0.663,0.0,1.47
1731071874.23,40.3,0.413,0.0,0.817
1731071874.73,39.7,0.549,0.0,1.18
1731071875.23,39.0,0.487,0.0317460317460317,1.53
1731071875.73,39.1,0.524,0.0161290322580645,0.864
1731071876.23,39.6,0.59,0.0,0.88
1731071876.73,40.3,0.543,0.0,1.22
1731071877.23,40.2,0.67,0.0,1.06
1731071877.73,39.8,0.702,0.0,3.08
1731071878.23,39.7,0.512,0.0,0.788
1731071878.73,40.3,0.578,0.0,1.72
1731071879.23,40.3,0.496,0.0,1.72
1731071879.73,39.7,0.657,0.0,0.92
1731071880.23,40.3,0.646,0.0,1.45
1731071880.73,39.7,0.686,0.0,1.14
1731071881.23,40.3,0.861,0.0,1.38
1731071881.73,39.7,0.754,0.0,0.918
1731071882.23,39.7,0.671,0.0,1.03
1731071882.73,40.3,0.454,0.0,2.33
1731071883.23,39.7,0.574,0.0158730158730158,6.53
1731071883.73,39.7,0.591,0.0,1.17
1731071884.23,40.4,0.701,0.0,1.46
1731071884.73,39.6,0.782,0.0,0.95
1731071885.23,40.3,0.685,0.0,1.23
1731071885.73,39.7,1.259,0.0,1.59
1731071886.23,40.3,0.834,0.0,0.869
1731071886.73,39.7,0.69,0.0,1.88
1731071887.23,40.3,0.449,0.0,1.1
1731071887.73,39.7,0.601,0.0,0.785
1731071888.23,40.3,0.621,0.0,0.987
1731071888.73,39.7,0.596,0.0,1.57
1731071889.23,40.3,0.679,0.0,0.722
1731071889.73,39.7,0.673,0.0,1.58
1731071890.23,40.3,0.773,0.0,1.26
1731071890.73,39.7,0.773,0.0,0.839
1731071891.23,39.7,0.378,0.0,1.41
1731071891.73,40.3,0.471,0.0,1.49
1731071892.23,40.3,0.28,0.0,0.784
1731071892.73,39.7,0.26,0.0,1.47
1731071893.23,40.3,0.492,0.0,4.82
1731071893.73,39.7,0.434,0.0,1.05
1731071894.23,40.3,0.507,0.0,0.951
1731071894.73,39.7,0.659,0.0,1.59
1731071895.23,39.7,0.444,0.0,1.35
1731071895.73,40.3,0.576,0.0,0.885
1731071896.23,40.3,1.161,0.0,1.14
1731071896.73,39.7,0.42,0.0,1.69
1731071897.23,39.7,0.669,0.0,0.836
1731071897.73,40.3,0.527,0.0,1.2
1731071898.23,39.7,0.72,0.0158730158730158,1.16
1731071898.73,39.7,0.591,0.0,6.94
1731071899.23,40.3,0.652,0.0,0.737
1731071899.73,39.7,0.417,0.0,1.25
1731071900.23,40.3,0.621,0.0,1.12
1731071900.73,39.7,0.896,0.0,0.809
1731071901.23,40.3,0.611,0.0,1.26
1731071901.73,39.7,0.803,0.0,1.15
1731071902.23,40.3,0.947,0.0,0.942
1731071902.73,38.4,0.841,0.032258064516129,1.45
1731071903.23,40.3,0.692,0.0,1.11
1731071903.73,39.7,0.613,0.0,4.06
1731071904.23,40.3,0.586,0.0,1.27
1731071904.73,39.7,0.605,0.0,0.898
1731071905.23,40.3,0.802,0.0,0.814
1731071905.73,39.7,0.658,0.0,1.38
1731071906.23,40.3,0.764,0.0,0.894
1731071906.73,39.7,0.763,0.0,0.765
1731071907.23,39.7,1.212,0.0,1.16
1731071907.73,40.3,1.003,0.0,1.17
1731071908.23,39.6,0.485,0.0,0.809
1731071908.73,40.4,0.584,0.0,5.08
1731071909.23,40.3,0.48,0.0,1.29
1731071909.73,39.7,0.663,0.0,0.746
1731071910.23,40.3,0.63,0.0,1.33
1731071910.73,39.7,0.792,0.0,1.59
1731071911.23,40.3,0.787,0.0,0.8
1731071911.73,39.7,1.055,0.0,1.51
1731071912.23,39.1,0.402,0.0,1.08
1731071912.73,40.9,0.258,0.0,0.865
1731071913.23,40.3,0.35,0.0,1.09
1731071913.73,39.7,0.298,0.0,0.903
1731071914.23,40.3,0.296,0.0,1.06
1731071914.73,39.7,0.587,0.0,1.15
1731071915.23,40.3,0.332,0.0,0.942
1731071915.73,39.7,0.292,0.0,0.91
1731071916.23,40.3,0.416,0.0,0.76
1731071916.73,39.7,0.335,0.0,1.44
1731071917.23,39.7,0.402,0.0,2.32
1731071917.73,40.3,0.671,0.0,0.98
1731071918.23,40.3,0.429,0.0,1.4
1731071918.73,39.7,0.53,0.0,7.86
1731071919.23,40.3,0.455,0.0,0.908
1731071919.73,39.7,0.55,0.0,1.2
1731071920.23,40.3,0.593,0.0,1.24
1731071920.73,39.0,0.533,0.0161290322580645,0.834
1731071921.23,40.3,0.433,0.0,1.18
1731071921.73,39.7,0.552,0.0,1.28
1731071922.23,40.3,0.481,0.0,0.811
1731071922.73,39.7,0.526,0.0,1.29
1731071923.23,40.3,0.632,0.0,3.63
1731071923.73,39.7,0.716,0.0,5.48
1731071924.23,40.3,0.845,0.0,1.03
1731071924.73,39.7,0.757,0.0,1.67
1731071925.23,39.7,0.411,0.0,0.753
1731071925.73,40.3,0.505,0.0,1.18
1731071926.23,39.7,0.581,0.0158730158730158,1.59
1731071926.73,39.7,0.607,0.0,0.8
1731071927.23,40.3,0.567,0.0,1.23
1731071927.73,39.7,0.753,0.0,1.29
1731071928.23,39.7,0.774,0.0,2.5
1731071928.73,39.7,0.915,0.0158730158730158,1.26
1731071929.23,40.3,0.951,0.0,1.08
1731071929.73,39.7,0.45,0.0,1.0
1731071930.23,40.3,0.511,0.0,1.09
1731071930.73,39.7,0.554,0.0,0.805
1731071931.23,40.3,0.574,0.0,1.36
1731071931.73,39.7,0.755,0.0,1.03
1731071932.23,40.3,0.659,0.0,0.752
1731071932.73,39.7,0.761,0.0,1.37
1731071933.23,40.3,0.765,0.0,1.88
1731071933.73,39.1,0.279,0.0,0.799
1731071934.23,40.3,0.264,0.015625,5.37
1731071934.73,39.7,0.276,0.0,1.32
