Time,Bitrate,Jitter,Datagrams,Delay
1731068776.81,40.3,0.509,0.0,1.05
1731068777.31,39.7,0.439,0.0,6.66
1731068777.81,40.3,0.525,0.0,0.941
1731068778.31,39.7,0.473,0.0,1.03
1731068778.81,40.3,0.516,0.0,0.79
1731068779.31,39.7,0.551,0.0,1.14
1731068779.81,39.7,0.58,0.0,1.15
1731068780.31,40.3,0.664,0.0,0.792
1731068780.81,39.7,0.61,0.0,0.722
1731068781.31,40.3,0.544,0.0,0.987
1731068781.81,39.7,0.723,0.016,0.81
1731068782.31,39.7,0.688,0.0,1.01
1731068782.81,39.7,0.787,0.0,1.54
1731068783.31,40.3,0.739,0.0,0.734
1731068783.81,39.7,0.638,0.0,1.02
1731068784.31,40.3,0.589,0.0,1.79
1731068784.81,40.3,0.582,0.0,1.04
1731068785.31,39.7,0.594,0.0,0.874
1731068785.81,40.3,0.664,0.0,1.23
1731068786.31,39.7,0.749,0.0,1.11
1731068786.81,40.3,0.766,0.0,0.781
1731068787.31,39.7,0.773,0.0,0.756
1731068787.81,40.3,0.804,0.0,0.885
1731068788.31,39.7,0.584,0.0,1.38
1731068788.81,39.7,0.67,0.0,1.12
1731068789.31,40.3,0.673,0.0,0.887
1731068789.81,40.3,0.63,0.0,0.77
1731068790.31,39.7,0.702,0.0,1.69
1731068790.81,40.3,0.799,0.0,2.31
1731068791.31,39.7,0.862,0.0,6.81
1731068791.81,40.3,0.807,0.0,0.98
1731068792.31,39.1,0.49,0.0,1.07
1731068792.81,41.0,0.358,0.0,1.11
1731068793.31,39.7,0.265,0.0,0.85
1731068793.81,40.3,0.388,0.0,0.847
1731068794.31,39.7,0.309,0.0,1.04
1731068794.81,39.7,0.399,0.0,1.02
1731068795.31,40.3,0.496,0.0,0.809
1731068795.81,40.3,0.386,0.0,1.23
1731068796.31,39.7,0.319,0.0,1.26
1731068796.81,40.3,0.385,0.0,2.13
1731068797.31,39.7,0.473,0.0,1.06
1731068797.81,40.3,0.453,0.0,0.762
1731068798.31,39.7,0.511,0.0,0.859
1731068798.81,40.3,0.488,0.0,0.956
1731068799.31,39.7,0.528,0.0,1.5
1731068799.81,40.3,0.486,0.0,1.96
