Time,Bitrate,Jitter,Datagrams,Delay,F1_X,F1_Y,F1_Z,S1_X,S1_Y,S1_Z,Distance
1731070780.55,40.3,0.806,0.0,1.06,7601.3,9600.8,0.0,11401.8530526,11401.8198388,0.0,4205.695657721604
1731070781.05,39.7,0.939,0.0,0.941,7601.4,9600.9,0.0,11401.9252292,11402.2000414,0.0,4205.7905151033565
1731070781.55,40.3,0.907,0.0,2.1,7601.5,9601.0,0.0,11402.3043001,11402.1437381,0.0,4205.975759910593
1731070782.05,39.7,0.94,0.0,0.929,7601.6,9601.1,0.0,11402.8231108,11402.5268193,0.0,4206.475451416939
1731070782.55,39.7,0.565,0.0,0.939,7601.7,9601.2,0.0,11402.7787073,11402.9216412,0.0,4206.471230313819
1731070783.05,40.3,0.443,0.0,0.871,7601.8,9601.3,0.0,11402.7411682,11402.8484797,0.0,4206.272778699327
1731070783.55,40.3,0.328,0.0,1.37,7601.9,9601.4,0.0,11402.7634723,11402.8575364,0.0,4206.163619085303
1731070784.05,39.7,0.39,0.0,0.726,7602.0,9601.5,0.0,11402.7861227,11403.4886717,0.0,4206.321233981545
1731070784.55,40.3,0.434,0.0,0.805,7602.1,9601.6,0.0,11403.1116736,11402.9996391,0.0,4206.272744674682
1731070785.05,39.7,0.443,0.0,0.831,7602.2,9601.7,0.0,11403.1788616,11403.4987781,0.0,4206.414047985847
1731070785.55,40.3,0.451,0.0,0.851,7602.3,9601.8,0.0,11403.5846404,11403.3403918,0.0,4206.579691462871
1731070786.05,39.7,0.545,0.0,0.765,7602.4,9601.9,0.0,11403.8295361,11403.7698811,0.0,4206.851742853412
1731070786.55,40.3,0.398,0.0,0.944,7602.5,9602.0,0.0,11403.7456703,11404.2325105,0.0,4206.840936840568
1731070787.05,39.7,0.448,0.0,0.878,7602.6,9602.1,0.0,11404.3584182,11404.2004504,0.0,4207.247687465814
1731070787.55,40.3,0.517,0.0,0.873,7602.7,9602.2,0.0,11403.8711317,11403.9881187,0.0,4206.583221232873
1731070788.05,39.7,0.524,0.0,1.13,7602.8,9602.3,0.0,11404.5259566,11404.3656097,0.0,4207.203431110697
1731070788.55,40.3,0.667,0.0,2.18,7602.9,9602.4,0.0,11404.2236878,11404.6832678,0.0,4206.933177128113
1731070789.05,39.7,0.665,0.0,1.52,7603.0,9602.5,0.0,11404.3948832,11404.6607296,0.0,4206.945014298564
1731070789.55,40.3,0.599,0.0,0.881,7603.1,9602.6,0.0,11405.0419393,11404.4526517,0.0,4207.30739169918
1731070790.05,39.7,0.638,0.0,0.88,7603.2,9602.7,0.0,11404.5508045,11405.0913044,0.0,4207.00396399261
1731070790.55,39.7,0.822,0.0,0.879,7603.3,9602.8,0.0,11405.2069206,11404.9727263,0.0,4207.412835499477
1731070791.05,40.3,0.598,0.0,1.2,7603.4,9602.9,0.0,11405.4503856,11404.956636,0.0,4207.492751508046
1731070791.55,40.3,0.454,0.0,0.775,7603.5,9603.0,0.0,11405.6874507,11405.1291661,0.0,4207.647673174269
1731070792.05,39.7,0.726,0.0,0.983,7603.6,9603.1,0.0,11405.897708,11405.7391907,0.0,4207.9657688851985
1731070792.55,40.3,0.678,0.0,0.806,7603.7,9603.2,0.0,11405.8748865,11405.7389691,0.0,4207.811854474411
1731070793.05,39.7,0.65,0.0,0.786,7603.8,9603.3,0.0,11406.0217418,11405.8544688,0.0,4207.8608326330705
1731070793.55,40.3,0.602,0.0,0.793,7603.9,9603.4,0.0,11405.6661803,11406.1169735,0.0,4207.518814719414
1731070794.05,39.7,0.889,0.0,0.724,7604.0,9603.5,0.0,11405.905418,11405.8341106,0.0,4207.480606449666
1731070794.55,40.4,0.804,0.0,1.52,7604.1,9603.6,0.0,11406.2721658,11406.3350431,0.0,4207.893393849827
1731070795.05,39.7,1.051,0.0,0.846,7604.2,9603.7,0.0,11406.3872517,11406.7176948,0.0,4208.028125470634
1731070795.55,39.7,0.673,0.0,1.54,7604.3,9603.8,0.0,11406.3378105,11406.5596299,0.0,4207.782527135738
1731070796.05,40.3,0.667,0.0,0.934,7604.4,9603.9,0.0,11406.6476804,11406.9392416,0.0,4208.091958341296
1731070796.55,40.3,0.749,0.0,2.34,7604.5,9604.0,0.0,11406.78701,11406.604656,0.0,4207.94130808019
1731070797.05,39.7,0.713,0.0,1.1,7604.6,9604.1,0.0,11407.3701049,11406.9171679,0.0,4208.468867842094
1731070797.55,40.3,0.706,0.0,0.878,7604.7,9604.2,0.0,11407.4977006,11406.9261928,0.0,4208.45483258355
1731070798.05,39.7,0.787,0.0,0.808,7604.8,9604.3,0.0,11407.1116404,11407.3112563,0.0,4208.137759278544
1731070798.55,39.7,1.009,0.0,0.834,7604.9,9604.4,0.0,11407.3058971,11407.4860815,0.0,4208.254985572984
1731070799.05,40.3,0.972,0.0,0.808,7605.0,9604.5,0.0,11407.7218,11407.3886792,0.0,4208.455854322669
1731070799.55,39.7,0.861,0.0,0.856,7605.1,9604.6,0.0,11407.791767,11407.7489909,0.0,4208.540240771527
1731070800.05,40.3,0.618,0.0,0.905,7605.2,9604.7,0.0,11408.1737336,11407.6583953,0.0,4208.713365582679
1731070800.55,40.3,0.551,0.0,0.854,7605.3,9604.8,0.0,11408.0961528,11408.1736214,0.0,4208.730806087726
1731070801.05,39.7,0.807,0.0,0.84,7605.4,9604.9,0.0,11408.1903622,11407.863037,0.0,4208.549661300135
1731070801.55,40.3,0.627,0.0,0.862,7605.5,9605.0,0.0,11408.395761,11408.7319045,0.0,4208.97433495893
1731070802.05,39.7,0.673,0.0,0.992,7605.6,9605.1,0.0,11408.4554487,11408.2657279,0.0,4208.695309235442
1731070802.55,40.3,0.902,0.0,0.702,7605.7,9605.2,0.0,11408.8424671,11408.9885111,0.0,4209.221497834941
1731070803.05,39.7,0.754,0.0,0.906,7605.8,9605.3,0.0,11408.5651954,11408.6724715,0.0,4208.702341851895
1731070803.55,40.3,1.343,0.0,0.726,7605.9,9605.4,0.0,11408.9873805,11408.9959334,0.0,4209.0892025110825
1731070804.05,39.0,0.377,0.0,0.842,7606.0,9605.5,0.0,11409.4362071,11408.9116218,0.0,4209.325416159048
1731070804.55,41.0,0.309,0.0,0.838,7606.1,9605.6,0.0,11409.5625758,11408.9034569,0.0,4209.302902284256
1731070805.05,39.7,0.49,0.0,0.921,7606.2,9605.7,0.0,11409.4172357,11409.2182192,0.0,4209.1732334167355
1731070805.55,40.3,0.406,0.0,0.741,7606.3,9605.8,0.0,11409.8503148,11409.206834,0.0,4209.42646997582
1731070806.05,39.7,0.425,0.0,0.875,7606.4,9605.9,0.0,11409.4460822,11409.5942188,0.0,4209.09400444672
