Time,Delay
1731069774.158,0.985
1731069774.657,3.51
1731069775.155,0.912
1731069775.655,0.849
1731069776.191,5.46
1731069776.688,0.9
1731069777.19,2.37
1731069777.69,0.853
1731069778.203,0.75
1731069778.715,1.07
1731069779.216,0.844
1731069779.718,2.58
1731069780.217,0.828
1731069780.731,1.04
1731069781.232,0.806
1731069781.755,1.09
1731069782.256,0.81
1731069782.779,0.814
1731069783.291,1.09
1731069783.791,0.915
1731069784.315,0.807
1731069784.827,1.35
1731069785.328,1.3
1731069785.83,2.38
1731069786.33,0.876
1731069786.843,0.811
1731069787.356,2.02
1731069787.861,6.75
1731069788.358,2.31
1731069788.857,0.813
1731069789.371,0.962
1731069789.872,0.983
1731069790.373,1.73
1731069790.873,0.857
1731069791.387,1.03
1731069791.888,0.949
1731069792.388,1.67
1731069792.889,0.808
1731069793.403,0.77
1731069793.914,0.867
1731069794.428,2.47
1731069794.932,4.78
1731069795.432,3.8
1731069795.931,0.978
1731069796.433,1.77
1731069796.934,2.11
1731069797.434,1.09
1731069797.935,1.23
1731069798.435,0.884
1731069798.938,0.727
1731069799.45,0.783
1731069799.963,0.803
1731069800.474,0.741
1731069800.987,0.745
1731069801.499,1.03
1731069802.0,0.927
1731069802.508,9.09
1731069803.001,0.882
1731069803.514,0.892
1731069804.026,0.831
1731069804.539,1.48
1731069805.041,0.887
1731069805.562,0.807
1731069806.075,1.4
1731069806.576,0.899
1731069807.099,0.836
1731069807.612,2.65
1731069808.112,0.728
1731069808.635,1.09
1731069809.135,0.837
1731069809.658,1.01
1731069810.159,0.856
1731069810.682,0.778
1731069811.195,0.779
1731069811.706,0.857
1731069812.219,0.873
1731069812.73,0.956
1731069813.232,0.974
1731069813.733,1.62
1731069814.234,0.894
1731069814.734,1.22
1731069815.235,1.0
1731069815.735,0.867
1731069816.25,1.02
1731069816.752,0.958
1731069817.254,3.76
1731069817.755,3.63
1731069818.254,0.94
1731069818.754,1.14
1731069819.255,0.825
1731069819.771,1.48
1731069820.272,1.19
1731069820.774,2.16
1731069821.273,0.956
1731069821.774,0.859
1731069822.298,0.836
1731069822.811,0.961
1731069823.311,1.33
1731069823.812,1.46
1731069824.318,5.92
1731069824.814,1.04
1731069825.314,0.794
1731069825.819,0.84
1731069826.331,1.05
1731069826.831,0.998
1731069827.332,1.5
1731069827.833,0.873
1731069828.346,0.937
1731069828.848,1.23
1731069829.35,2.97
1731069829.85,1.9
1731069830.351,1.25
1731069830.855,2.1
1731069831.351,1.2
1731069831.854,2.36
1731069832.354,1.13
1731069832.855,1.38
1731069833.354,0.757
1731069833.883,1.09
1731069834.383,0.915
1731069834.884,0.793
1731069835.387,1.08
1731069835.89,3.89
1731069836.389,1.55
1731069836.889,0.846
1731069837.403,0.775
1731069837.916,1.07
1731069838.415,1.23
1731069838.918,2.5
1731069839.418,0.88
1731069839.931,1.01
1731069840.432,1.17
1731069840.934,2.84
1731069841.434,0.983
1731069841.935,1.46
1731069842.441,6.25
1731069842.936,0.997
1731069843.436,0.907
1731069843.937,0.768
1731069844.442,0.818
1731069844.955,0.813
1731069845.466,0.962
1731069845.967,1.06
1731069846.468,0.963
1731069846.967,0.886
1731069847.483,0.871
1731069847.994,0.948
1731069848.495,1.02
1731069848.998,2.61
1731069849.497,0.824
1731069850.011,1.04
1731069850.511,0.843
1731069851.034,0.878
1731069851.535,1.12
1731069852.037,1.54
1731069852.537,0.885
1731069853.037,0.864
1731069853.563,0.814
1731069854.075,0.965
1731069854.575,0.909
1731069855.076,0.871
1731069855.578,0.797
1731069856.091,1.04
1731069856.591,1.04
1731069857.093,1.76
1731069857.598,5.56
1731069858.095,0.865
1731069858.622,4.17
1731069859.119,0.824
1731069859.646,4.57
1731069860.145,1.42
1731069860.647,2.77
1731069861.147,0.826
1731069861.659,0.857
1731069862.171,1.01
1731069862.672,0.988
1731069863.173,1.71
1731069863.673,0.9
1731069864.174,1.0
1731069864.675,1.03
1731069865.177,3.26
1731069865.677,1.02
1731069866.176,0.876
1731069866.683,0.78
1731069867.195,1.04
1731069867.695,0.896
1731069868.198,2.03
1731069868.696,1.13
1731069869.197,0.842
1731069869.723,1.09
1731069870.224,1.44
1731069870.726,2.52
1731069871.226,0.821
1731069871.738,0.808
1731069872.251,0.936
1731069872.753,3.21
1731069873.254,2.49
1731069873.754,0.97
1731069874.254,1.04
1731069874.756,0.985
1731069875.282,27.1
1731069875.757,1.01
1731069876.258,1.02
1731069876.76,2.17
1731069877.264,5.77
1731069877.761,0.821
1731069878.267,1.28
1731069878.768,0.888
1731069879.269,1.69
1731069879.77,1.56
1731069880.273,1.79
1731069880.773,2.07
1731069881.272,1.46
1731069881.773,1.55
1731069882.277,3.61
1731069882.777,1.08
1731069883.278,1.44
1731069883.779,0.881
1731069884.28,0.988
1731069884.782,1.08
1731069885.283,1.17
1731069885.783,1.18
1731069886.283,1.06
1731069886.784,0.799
1731069887.295,4.46
1731069887.792,0.934
1731069888.294,2.11
1731069888.793,0.874
1731069889.294,1.03
1731069889.795,0.989
1731069890.295,1.04
1731069890.796,0.862
1731069891.296,1.02
1731069891.801,5.19
1731069892.298,1.17
1731069892.798,1.07
1731069893.3,0.876
1731069893.82,1.37
1731069894.32,0.883
1731069894.843,0.755
1731069895.355,0.849
1731069895.855,0.974
1731069896.357,1.5
1731069896.857,0.83
1731069897.371,0.799
1731069897.872,0.763
1731069898.395,0.856
1731069898.907,0.866
1731069899.419,0.854
1731069899.931,0.927
1731069900.431,1.12
1731069900.932,1.91
1731069901.434,1.25
1731069901.938,5.23
1731069902.436,1.25
1731069902.937,1.31
1731069903.437,1.46
1731069903.938,1.09
1731069904.439,1.59
1731069904.94,0.812
1731069905.467,1.1
1731069905.967,0.88
1731069906.491,1.15
1731069906.991,0.922
1731069907.493,1.71
1731069907.993,0.824
1731069908.506,0.854
1731069909.02,2.24
1731069909.52,0.93
1731069910.027,7.48
1731069910.522,0.88
1731069911.034,1.13
1731069911.535,0.801
1731069912.059,1.16
1731069912.559,1.07
1731069913.061,1.55
1731069913.561,0.782
1731069914.075,0.758
1731069914.586,0.753
1731069915.099,0.931
1731069915.599,0.992
1731069916.1,1.5
1731069916.601,0.816
1731069917.115,0.833
1731069917.627,1.17
1731069918.127,0.876
1731069918.651,1.16
1731069919.151,1.03
1731069919.654,3.41
1731069920.153,1.08
1731069920.653,0.99
1731069921.152,0.722
1731069921.66,0.671
1731069922.16,0.811
1731069922.683,1.1
1731069923.183,1.05
1731069923.683,0.828
1731069924.187,1.24
1731069924.688,0.897
1731069925.211,0.964
1731069925.712,0.866
1731069926.234,0.768
1731069926.746,0.792
1731069927.258,0.787
1731069927.77,0.971
1731069928.271,0.937
1731069928.772,1.58
1731069929.278,6.06
1731069929.773,0.801
1731069930.302,4.25
1731069930.799,0.955
1731069931.302,2.94
1731069931.801,1.75
1731069932.304,2.95
1731069932.804,2.89
1731069933.305,2.37
1731069933.805,1.36
1731069934.306,0.885
1731069934.813,3.85
1731069935.32,8.12
1731069935.814,2.04
1731069936.314,1.29
1731069936.815,1.15
1731069937.315,0.855
1731069937.818,0.833
1731069938.333,2.42
1731069938.833,1.98
1731069939.336,4.34
1731069939.836,3.25
1731069940.341,6.73
1731069940.838,3.23
1731069941.337,1.93
1731069941.838,1.36
1731069942.338,1.07
1731069942.84,2.82
1731069943.339,0.773
1731069943.866,0.799
1731069944.379,1.05
1731069944.88,1.14
1731069945.38,1.05
1731069945.881,0.908
1731069946.383,1.58
1731069946.883,1.1
1731069947.382,0.832
1731069947.898,0.786
