Time,Delay
1731070775.841,1.18
1731070776.338,0.738
1731070776.844,7.16
1731070777.339,1.23
1731070777.84,0.924
1731070778.341,1.07
1731070778.841,0.954
1731070779.342,0.737
1731070779.867,0.866
1731070780.378,0.734
1731070780.891,0.807
1731070781.402,0.835
1731070781.915,1.2
1731070782.415,0.775
1731070782.939,1.44
1731070783.439,0.735
1731070783.962,0.696
1731070784.474,0.897
1731070784.986,0.892
1731070785.499,0.826
1731070786.011,1.29
1731070786.512,1.04
1731070787.013,1.88
1731070787.514,1.32
1731070788.015,1.08
1731070788.517,3.43
1731070789.016,0.86
1731070789.53,0.787
1731070790.044,2.58
1731070790.544,1.15
1731070791.044,1.38
1731070791.545,0.788
1731070792.058,1.08
1731070792.558,0.768
1731070793.083,1.25
1731070793.583,0.92
1731070794.085,1.66
1731070794.586,1.15
1731070795.086,1.08
1731070795.588,1.96
1731070796.093,6.68
1731070796.588,1.0
1731070797.089,1.19
1731070797.59,0.899
1731070798.091,0.797
1731070798.619,0.877
1731070799.13,0.703
1731070799.647,0.811
1731070800.154,0.993
1731070800.655,0.851
1731070801.179,1.69
1731070801.68,0.989
1731070802.181,1.24
1731070802.681,1.03
1731070803.182,0.909
1731070803.683,0.82
1731070804.187,0.849
1731070804.698,0.909
1731070805.199,0.775
1731070805.724,1.33
1731070806.229,6.31
1731070806.725,1.43
1731070807.226,0.882
1731070807.738,0.856
1731070808.25,0.852
1731070808.763,1.2
1731070809.263,1.06
1731070809.765,2.21
1731070810.264,0.846
1731070810.779,0.912
1731070811.291,0.816
1731070811.802,0.842
1731070812.314,0.733
1731070812.826,0.817
1731070813.342,0.721
1731070813.851,0.763
1731070814.363,1.33
1731070814.863,1.03
1731070815.365,1.97
1731070815.865,1.09
1731070816.37,5.7
1731070816.867,1.09
1731070817.367,0.808
1731070817.883,1.15
1731070818.384,0.752
1731070818.907,0.832
1731070819.419,0.836
1731070819.93,0.803
1731070820.443,0.84
1731070820.955,0.923
1731070821.455,0.844
1731070821.979,0.761
1731070822.49,0.794
1731070823.006,2.77
1731070823.503,0.838
1731070824.026,0.749
1731070824.539,1.38
1731070825.04,0.743
1731070825.563,1.56
1731070826.063,0.766
1731070826.587,0.905
1731070827.088,1.05
1731070827.588,0.971
1731070828.089,0.842
1731070828.603,0.864
1731070829.115,0.969
1731070829.616,0.814
1731070830.141,2.47
1731070830.64,1.07
1731070831.141,1.0
1731070831.641,0.831
1731070832.155,0.829
1731070832.667,0.8
1731070833.179,0.861
1731070833.69,0.685
1731070834.203,1.18
1731070834.703,0.839
1731070835.228,1.12
1731070835.728,0.77
1731070836.251,0.824
1731070836.762,0.904
1731070837.263,0.809
1731070837.788,1.12
1731070838.289,1.49
1731070838.798,9.09
1731070839.291,0.993
1731070839.792,1.0
1731070840.292,1.12
1731070840.793,0.913
1731070841.307,0.92
1731070841.807,0.761
1731070842.331,0.793
1731070842.842,0.948
1731070843.343,0.929
1731070843.843,1.29
1731070844.344,0.868
1731070844.86,1.07
1731070845.361,0.914
1731070845.862,1.82
1731070846.363,0.965
1731070846.864,0.812
1731070847.387,0.84
1731070847.898,0.698
1731070848.411,0.836
1731070848.922,0.83
1731070849.435,0.904
1731070849.946,0.802
1731070850.458,0.894
1731070850.97,0.729
1731070851.483,0.976
1731070851.984,0.822
1731070852.506,0.736
1731070853.019,0.852
1731070853.531,0.838
1731070854.042,0.78
1731070854.554,0.848
1731070855.066,0.766
1731070855.578,0.914
1731070856.078,0.887
1731070856.602,0.921
1731070857.103,0.712
1731070857.627,1.39
1731070858.128,0.863
1731070858.651,1.3
1731070859.151,0.854
1731070859.675,0.981
1731070860.175,0.836
1731070860.698,0.786
1731070861.217,8.16
1731070861.713,2.63
1731070862.215,4.09
1731070862.712,0.818
1731070863.227,0.884
1731070863.739,0.727
1731070864.24,0.754
1731070864.763,0.95
1731070865.264,0.845
1731070865.765,1.61
1731070866.266,0.889
1731070866.779,1.06
1731070867.278,0.796
1731070867.803,1.01
1731070868.304,0.922
1731070868.806,2.45
1731070869.309,5.2
1731070869.806,0.956
1731070870.306,0.772
1731070870.811,1.66
1731070871.312,1.08
1731070871.813,1.54
1731070872.314,0.785
1731070872.827,0.841
1731070873.338,0.784
1731070873.851,1.49
1731070874.352,1.22
1731070874.854,2.48
1731070875.355,1.92
1731070875.854,1.45
1731070876.354,0.851
1731070876.858,0.806
1731070877.371,0.959
1731070877.871,0.79
1731070878.394,0.898
1731070878.906,0.808
1731070879.418,0.885
1731070879.931,0.842
1731070880.444,1.44
1731070880.943,1.01
1731070881.444,1.52
1731070881.945,0.942
1731070882.445,0.971
1731070882.945,0.755
1731070883.451,0.862
1731070883.963,0.94
1731070884.465,3.09
1731070884.964,1.8
1731070885.465,0.826
1731070885.978,0.862
1731070886.49,0.794
1731070887.004,1.62
1731070887.503,0.797
1731070888.027,0.9
1731070888.527,0.81
1731070889.05,1.07
1731070889.551,0.863
1731070890.074,1.04
1731070890.575,0.969
1731070891.077,1.94
1731070891.576,0.905
1731070892.077,1.06
1731070892.577,0.712
1731070893.083,0.984
1731070893.583,1.64
1731070894.091,8.17
1731070894.585,1.16
1731070895.085,1.04
1731070895.585,0.722
1731070896.09,0.689
1731070896.603,0.857
1731070897.114,0.758
1731070897.626,0.977
1731070898.127,0.811
1731070898.651,0.898
1731070899.151,0.838
1731070899.674,0.792
