Time,Delay
1731068772.14,1.22
1731068772.637,0.774
1731068773.146,0.949
1731068773.647,1.36
1731068774.149,0.881
1731068774.651,0.794
1731068775.163,1.04
1731068775.664,1.28
1731068776.165,0.821
1731068776.667,1.05
1731068777.174,6.66
1731068777.669,0.941
1731068778.17,1.03
1731068778.67,0.79
1731068779.195,1.14
1731068779.696,1.15
1731068780.196,0.792
1731068780.698,0.722
1731068781.21,0.987
1731068781.712,0.81
1731068782.234,1.01
1731068782.736,1.54
1731068783.236,0.734
1731068783.742,1.02
1731068784.243,1.79
1731068784.744,1.04
1731068785.244,0.874
1731068785.755,1.23
1731068786.255,1.11
1731068786.756,0.781
1731068787.258,0.756
1731068787.771,0.885
1731068788.272,1.38
1731068788.772,1.12
1731068789.272,0.887
1731068789.786,0.77
1731068790.299,1.69
1731068790.801,2.31
1731068791.307,6.81
1731068791.802,0.98
1731068792.303,1.07
1731068792.803,1.11
1731068793.304,0.85
1731068793.818,0.847
1731068794.33,1.04
1731068794.831,1.02
1731068795.331,0.809
1731068795.835,1.23
1731068796.336,1.26
1731068796.837,2.13
1731068797.338,1.06
1731068797.837,0.762
1731068798.363,0.956
1731068798.865,1.5
1731068799.365,1.96
1731068799.865,1.19
1731068800.366,0.869
1731068800.891,0.86
1731068801.391,1.15
1731068801.892,1.01
1731068802.392,0.926
1731068802.906,0.863
1731068803.418,1.03
1731068803.919,1.1
1731068804.42,0.96
1731068804.927,7.1
1731068805.421,0.862
1731068805.951,4.99
1731068806.448,1.34
1731068806.948,0.888
1731068807.449,1.04
1731068807.95,0.886
1731068808.475,0.792
1731068808.986,0.768
1731068809.499,1.32
1731068810.0,1.81
1731068810.5,0.829
1731068811.003,1.14
1731068811.502,1.25
1731068812.003,1.06
1731068812.505,3.0
1731068813.004,1.2
1731068813.504,1.0
1731068814.004,0.814
1731068814.522,0.735
1731068815.034,0.725
1731068815.546,0.779
1731068816.058,0.757
1731068816.57,0.819
1731068817.084,2.89
1731068817.584,0.88
1731068818.109,3.53
1731068818.61,3.38
1731068819.111,3.56
1731068819.61,0.742
1731068820.123,1.1
1731068820.624,1.47
1731068821.123,0.842
1731068821.627,1.41
1731068822.133,7.01
1731068822.629,1.13
1731068823.129,1.05
1731068823.63,0.821
