1731067770.397859045: PING 192.168.6.31 (192.168.6.31) 56(84) bytes of data.
1731067770.401547738: 64 bytes from 192.168.6.31: icmp_seq=1 ttl=63 time=2.74 ms
1731067770.896050808: 64 bytes from 192.168.6.31: icmp_seq=2 ttl=63 time=1.64 ms
1731067771.404864582: 64 bytes from 192.168.6.31: icmp_seq=3 ttl=63 time=9.71 ms
1731067771.898805462: 64 bytes from 192.168.6.31: icmp_seq=4 ttl=63 time=2.12 ms
1731067772.399653988: 64 bytes from 192.168.6.31: icmp_seq=5 ttl=63 time=1.96 ms
1731067772.900914990: 64 bytes from 192.168.6.31: icmp_seq=6 ttl=63 time=2.43 ms
1731067773.400154341: 64 bytes from 192.168.6.31: icmp_seq=7 ttl=63 time=1.86 ms
1731067773.901518085: 64 bytes from 192.168.6.31: icmp_seq=8 ttl=63 time=1.62 ms
1731067774.403815974: 64 bytes from 192.168.6.31: icmp_seq=9 ttl=63 time=2.21 ms
1731067774.903449218: 64 bytes from 192.168.6.31: icmp_seq=10 ttl=63 time=1.59 ms
1731067775.404506213: 64 bytes from 192.168.6.31: icmp_seq=11 ttl=63 time=1.57 ms
1731067775.910349616: 64 bytes from 192.168.6.31: icmp_seq=12 ttl=63 time=6.25 ms
1731067776.407113270: 64 bytes from 192.168.6.31: icmp_seq=13 ttl=63 time=1.82 ms
1731067776.907710472: 64 bytes from 192.168.6.31: icmp_seq=14 ttl=63 time=1.80 ms
1731067777.409736093: 64 bytes from 192.168.6.31: icmp_seq=15 ttl=63 time=2.11 ms
1731067777.910078666: 64 bytes from 192.168.6.31: icmp_seq=16 ttl=63 time=1.90 ms
1731067778.411703701: 64 bytes from 192.168.6.31: icmp_seq=17 ttl=63 time=2.35 ms
1731067778.912212736: 64 bytes from 192.168.6.31: icmp_seq=18 ttl=63 time=1.61 ms
1731067779.413904898: 64 bytes from 192.168.6.31: icmp_seq=19 ttl=63 time=2.45 ms
1731067779.913671903: 64 bytes from 192.168.6.31: icmp_seq=20 ttl=63 time=1.78 ms
1731067780.415396186: 64 bytes from 192.168.6.31: icmp_seq=21 ttl=63 time=1.71 ms
1731067780.917114736: 64 bytes from 192.168.6.31: icmp_seq=22 ttl=63 time=2.15 ms
1731067781.418562554: 64 bytes from 192.168.6.31: icmp_seq=23 ttl=63 time=2.21 ms
1731067781.918910832: 64 bytes from 192.168.6.31: icmp_seq=24 ttl=63 time=1.61 ms
1731067782.421008508: 64 bytes from 192.168.6.31: icmp_seq=25 ttl=63 time=2.51 ms
1731067782.921065859: 64 bytes from 192.168.6.31: icmp_seq=26 ttl=63 time=1.89 ms
1731067783.422764299: 64 bytes from 192.168.6.31: icmp_seq=27 ttl=63 time=1.94 ms
1731067783.923928827: 64 bytes from 192.168.6.31: icmp_seq=28 ttl=63 time=2.39 ms
1731067784.423988499: 64 bytes from 192.168.6.31: icmp_seq=29 ttl=63 time=1.77 ms
1731067784.925719664: 64 bytes from 192.168.6.31: icmp_seq=30 ttl=63 time=1.62 ms
1731067785.433881053: 64 bytes from 192.168.6.31: icmp_seq=31 ttl=63 time=8.85 ms
1731067785.928114173: 64 bytes from 192.168.6.31: icmp_seq=32 ttl=63 time=1.39 ms
1731067786.430257151: 64 bytes from 192.168.6.31: icmp_seq=33 ttl=63 time=2.42 ms
1731067786.931240603: 64 bytes from 192.168.6.31: icmp_seq=34 ttl=63 time=2.56 ms
1731067787.430664687: 64 bytes from 192.168.6.31: icmp_seq=35 ttl=63 time=1.46 ms
