1731067770.372035904: PING 192.168.6.21 (192.168.6.21) 56(84) bytes of data.
1731067770.376002969: 64 bytes from 192.168.6.21: icmp_seq=1 ttl=63 time=2.62 ms
1731067770.871717512: 64 bytes from 192.168.6.21: icmp_seq=2 ttl=63 time=2.08 ms
1731067771.371920244: 64 bytes from 192.168.6.21: icmp_seq=3 ttl=63 time=2.45 ms
1731067771.872502886: 64 bytes from 192.168.6.21: icmp_seq=4 ttl=63 time=1.62 ms
1731067772.374003847: 64 bytes from 192.168.6.21: icmp_seq=5 ttl=63 time=1.69 ms
1731067772.874920980: 64 bytes from 192.168.6.21: icmp_seq=6 ttl=63 time=1.92 ms
1731067773.376806794: 64 bytes from 192.168.6.21: icmp_seq=7 ttl=63 time=1.54 ms
1731067773.877873165: 64 bytes from 192.168.6.21: icmp_seq=8 ttl=63 time=2.06 ms
1731067774.378499447: 64 bytes from 192.168.6.21: icmp_seq=9 ttl=63 time=2.64 ms
1731067774.885280759: 64 bytes from 192.168.6.21: icmp_seq=10 ttl=63 time=8.75 ms
1731067775.380386963: 64 bytes from 192.168.6.21: icmp_seq=11 ttl=63 time=2.27 ms
1731067775.882812198: 64 bytes from 192.168.6.21: icmp_seq=12 ttl=63 time=3.01 ms
1731067776.382187496: 64 bytes from 192.168.6.21: icmp_seq=13 ttl=63 time=1.91 ms
1731067776.883911482: 64 bytes from 192.168.6.21: icmp_seq=14 ttl=63 time=2.36 ms
1731067777.384474917: 64 bytes from 192.168.6.21: icmp_seq=15 ttl=63 time=1.90 ms
1731067777.884918369: 64 bytes from 192.168.6.21: icmp_seq=16 ttl=63 time=1.57 ms
1731067778.386626725: 64 bytes from 192.168.6.21: icmp_seq=17 ttl=63 time=2.58 ms
1731067778.887227365: 64 bytes from 192.168.6.21: icmp_seq=18 ttl=63 time=1.69 ms
1731067779.390944268: 64 bytes from 192.168.6.21: icmp_seq=19 ttl=63 time=4.46 ms
1731067779.888832131: 64 bytes from 192.168.6.21: icmp_seq=20 ttl=63 time=1.82 ms
1731067780.391166879: 64 bytes from 192.168.6.21: icmp_seq=21 ttl=63 time=2.41 ms
1731067780.891753619: 64 bytes from 192.168.6.21: icmp_seq=22 ttl=63 time=2.48 ms
1731067781.392474440: 64 bytes from 192.168.6.21: icmp_seq=23 ttl=63 time=1.75 ms
1731067781.894046270: 64 bytes from 192.168.6.21: icmp_seq=24 ttl=63 time=2.03 ms
1731067782.394902081: 64 bytes from 192.168.6.21: icmp_seq=25 ttl=63 time=2.38 ms
1731067782.895282853: 64 bytes from 192.168.6.21: icmp_seq=26 ttl=63 time=1.72 ms
1731067783.397329981: 64 bytes from 192.168.6.21: icmp_seq=27 ttl=63 time=2.65 ms
1731067783.899168165: 64 bytes from 192.168.6.21: icmp_seq=28 ttl=63 time=3.14 ms
1731067784.399032059: 64 bytes from 192.168.6.21: icmp_seq=29 ttl=63 time=1.84 ms
1731067784.899358397: 64 bytes from 192.168.6.21: icmp_seq=30 ttl=63 time=2.11 ms
1731067785.399879164: 64 bytes from 192.168.6.21: icmp_seq=31 ttl=63 time=1.98 ms
1731067785.900104669: 64 bytes from 192.168.6.21: icmp_seq=32 ttl=63 time=1.46 ms
1731067786.401963431: 64 bytes from 192.168.6.21: icmp_seq=33 ttl=63 time=1.91 ms
1731067786.903008323: 64 bytes from 192.168.6.21: icmp_seq=34 ttl=63 time=1.61 ms
1731067787.404312843: 64 bytes from 192.168.6.21: icmp_seq=35 ttl=63 time=1.58 ms
1731067787.906338057: 64 bytes from 192.168.6.21: icmp_seq=36 ttl=63 time=1.97 ms
1731067788.406470481: 64 bytes from 192.168.6.21: icmp_seq=37 ttl=63 time=2.03 ms
1731067788.917287555: 64 bytes from 192.168.6.21: icmp_seq=38 ttl=63 time=12.3 ms
1731067789.407408204: 64 bytes from 192.168.6.21: icmp_seq=39 ttl=63 time=1.42 ms
