Time,F2C1Bitrate,F2C1Jitter,F2C1Datagrams,F2C1Delay,F2C1Distance,F2F1Bitrate,F2F1Jitter,F2F1Datagrams,F2F1Delay,F2F1Distance,F2S1Bitrate,F2S1Jitter,F2S1Datagrams,F2S1Delay,F2S1Distance,F2F4Bitrate,F2F4Jitter,F2F4Datagrams,F2F4Delay,F2F4Distance
1731067774.96,8.32,1.102,0.0,1.59,4742.404582065938,19.8,0.469,0.0,0.894,707.7431808219712,40.4,0.823,0.0,8.75,4124.426118586882,19.9,0.84,0.0,1.72,3536.94840222472
1731067775.46,7.68,1.44,0.0,1.57,4742.35714940366,19.8,0.41,0.0,0.795,707.7785335117198,39.7,0.792,0.0,2.27,4124.46456999379,19.8,0.73,0.0,2.27,3537.125254002182
1731067775.96,8.33,0.655,0.0,6.25,4742.309716794128,20.5,0.497,0.0,2.23,707.8138879677341,40.3,0.965,0.0,3.01,4124.467990455188,19.9,1.186,0.0,2.35,3537.3021146065544
1731067776.46,7.68,1.394,0.0,1.82,4742.262284237345,19.8,0.69,0.0,0.739,707.8492441897492,39.7,0.954,0.0,1.91,4124.873634209399,20.5,1.148,0.0,1.8,3537.478984036513
1731067776.96,8.32,0.847,0.0,1.8,4742.214851733312,19.8,0.476,0.0,1.29,707.8846021775008,40.3,0.995,0.0,2.36,4124.874581536957,19.8,0.838,0.0,3.15,3537.6558622907346
1731067777.46,7.68,0.797,0.0,2.11,4742.167419282032,19.8,0.543,0.0,0.937,707.9199619307267,39.0,1.076,0.016,1.9,4124.603949434479,19.8,0.959,0.0,1.84,3537.8327493678958
1731067777.96,8.32,1.284,0.0,1.9,4742.119986883504,20.5,0.596,0.0,1.22,707.9553234491572,40.3,1.096,0.0,1.57,4124.537005963524,20.5,0.997,0.0,3.96,3538.009645266672
1731067778.46,7.69,0.685,0.0,2.35,4742.072554537731,19.8,0.588,0.0,1.03,707.9906867325304,39.7,0.952,0.0,2.58,4124.793020210647,19.8,0.953,0.0,2.03,3538.186549985741
1731067778.96,8.32,0.918,0.0,1.61,4742.025122244714,19.8,0.579,0.0,0.942,708.026051780582,40.3,0.786,0.0,1.69,4125.024244714369,19.8,1.158,0.0,2.0,3538.36346352378
1731067779.46,7.68,0.982,0.0,2.45,4741.977690004455,19.8,0.606,0.0,0.971,708.0614185930473,39.7,1.015,0.0,4.46,4124.850292496538,19.8,1.341,0.0,2.26,3538.540385879466
1731067779.96,8.32,0.934,0.0,1.78,4741.930257816958,19.8,0.438,0.0,6.16,708.0967871696647,40.3,0.866,0.0,1.82,4124.770593969085,20.5,1.077,0.0,1.69,3538.7173170514766
1731067780.46,7.68,0.792,0.0,1.71,4741.882825682221,20.5,0.496,0.0,0.741,708.1321575101647,39.7,1.056,0.0,2.41,4124.995263183486,19.8,1.215,0.0,2.35,3538.8942570384893
1731067780.96,8.32,0.812,0.0,2.15,4741.835393600246,19.8,0.467,0.0,4.32,708.1675296142855,40.3,1.069,0.0,2.48,4125.057464563378,19.8,1.005,0.0,2.05,3539.071205839182
1731067781.46,7.68,0.997,0.0,2.21,4741.787961571035,19.8,0.458,0.0,0.839,708.202903481763,39.7,1.207,0.0,1.75,4124.894478498692,19.8,0.766,0.0,1.74,3539.2481634522323
1731067781.96,8.32,0.813,0.0,1.61,4741.740529594591,20.5,0.43,0.0,4.01,708.2382791123327,40.3,1.306,0.0,2.03,4125.060189444876,19.9,0.707,0.0,2.18,3539.4251298763197
1731067782.46,7.68,0.736,0.0,2.51,4741.693097670916,19.9,0.566,0.0,0.977,708.2736565057332,39.1,0.666,0.0,2.38,4125.310128206062,20.5,0.849,0.0,5.42,3539.602105110121
1731067782.96,8.32,0.543,0.0,1.89,4741.645665800008,19.8,0.487,0.0,0.808,708.3090356616954,40.9,0.749,0.0,1.72,4125.705078656475,19.8,0.846,0.0,1.67,3539.779089152316
1731067783.46,7.69,0.691,0.0,1.94,4741.598233981871,19.8,0.463,0.0,1.5,708.3444165799573,39.7,0.794,0.0,2.65,4125.319872446162,19.8,0.755,0.0,2.27,3539.956082001583
1731067783.96,7.68,0.744,0.0,2.39,4741.550802216507,20.5,0.602,0.0,0.791,708.379799260255,40.3,0.775,0.0,3.14,4125.168332160508,20.5,0.959,0.0,2.47,3540.1330836566017
1731067784.46,8.32,0.401,0.0,1.77,4741.503370503916,19.9,0.536,0.0,1.34,708.4151837023247,39.7,0.883,0.0,1.84,4125.348369515851,19.9,0.893,0.0,2.22,3540.3100941160505
1731067784.96,8.32,0.676,0.0,1.62,4741.455938844102,19.8,0.555,0.0,0.893,708.4505699059049,40.4,0.908,0.0,2.11,4125.207552387476,19.8,0.86,0.0,1.68,3540.4871133786096
1731067785.46,7.68,0.609,0.0,8.85,4741.408507237064,19.8,0.614,0.0,1.3,708.4859578707265,39.7,0.987,0.0,1.98,4125.902805003668,19.9,1.016,0.0,2.35,3540.664141442958
1731067785.96,8.32,0.766,0.0,1.39,4741.361075682805,20.5,0.614,0.0,0.831,708.521347596528,40.2,1.18,0.0,1.46,4125.926885611765,20.5,1.008,0.0,3.04,3540.841178307776
1731067786.46,7.68,0.873,0.0,2.42,4741.313644181325,19.8,0.644,0.0,0.956,708.5567390830457,39.7,1.147,0.0,1.91,4125.738847178866,19.8,1.013,0.0,1.71,3541.0182239717437
1731067786.96,8.32,0.568,0.0,2.56,4741.266212732628,19.8,0.672,0.0,1.08,708.5921323300157,39.7,0.43,0.0,1.61,4125.485290271156,19.8,1.109,0.0,2.39,3541.1952784335404
1731067787.46,7.68,0.842,0.0,1.46,4741.2187813367145,19.8,0.77,0.0,1.03,708.627527337177,40.3,0.543,0.0,1.58,4125.730069244449,19.8,1.186,0.0,1.83,3541.3723416918474
1731067787.96,7.68,0.597,0.0,1.89,4741.171349993586,19.9,0.652,0.0,0.808,708.6629241042604,40.3,0.549,0.0,1.97,4126.055197915196,20.5,1.323,0.0,1.56,3541.5494137453456
1731067788.46,8.33,0.896,0.0,2.33,4741.123918703244,20.5,0.485,0.0,1.12,708.698322631005,39.7,0.694,0.0,2.03,4126.034587363736,19.8,1.216,0.0,3.26,3541.726494592715
1731067788.96,8.32,0.884,0.0,1.5,4741.076487465689,19.8,0.225,0.0,0.745,708.733722917147,40.4,0.587,0.0,12.3,4125.6374236672245,19.8,1.258,0.0,1.42,3541.903584232637
1731067789.46,7.68,0.496,0.0,1.48,4741.029056280925,19.8,0.296,0.0,1.65,708.7691249624228,39.6,0.637,0.0,1.42,4126.165436236616,19.9,0.959,0.0,1.31,3542.0806826637927
1731067789.96,8.32,0.971,0.0,3.3,4740.981625148953,20.5,0.414,0.0,1.13,708.8045287665715,40.3,0.683,0.0,2.06,4125.904335885085,19.8,0.845,0.0,2.11,3542.257789884864
1731067790.46,7.68,0.555,0.0,1.87,4740.934194069772,19.8,0.414,0.0,1.12,708.8399343293243,39.7,0.817,0.0,2.05,4125.8686238304,20.5,0.639,0.0,1.82,3542.434905894532
1731067790.96,7.68,1.016,0.0,2.18,4740.886763043386,19.8,0.32,0.0,1.33,708.8753416504202,39.7,0.565,0.0,1.44,4126.312818986812,19.8,0.555,0.0,1.7,3542.612030691478
1731067791.46,8.32,0.992,0.0,1.79,4740.839332069797,19.8,0.47,0.0,0.861,708.9107507295959,40.3,0.534,0.0,2.6,4125.984153325332,19.8,0.764,0.0,1.69,3542.7891642743857
1731067791.96,7.68,0.994,0.0,2.27,4740.791901149005,20.5,0.549,0.0,1.44,708.9461615665879,40.3,0.667,0.0,1.59,4126.464936664544,20.5,0.864,0.0,9.7,3542.966306641936
1731067792.46,8.32,1.239,0.0,2.32,4740.7444702810135,19.8,0.365,0.0,6.15,708.9815741611353,39.7,0.621,0.0,1.61,4126.450405903931,19.9,0.598,0.0,2.15,3543.143457792811
1731067792.96,7.68,0.603,0.0,1.67,4740.697039465822,19.8,0.39,0.0,1.3,709.0169885129698,40.3,0.587,0.0,2.03,4126.380339577636,19.8,0.665,0.0,1.95,3543.320617725695
1731067793.46,8.32,1.19,0.0,2.28,4740.649608703431,19.8,0.332,0.0,1.1,709.0524046218304,39.7,0.69,0.0,7.45,4125.962493929266,19.8,0.732,0.0,2.21,3543.497786439269
1731067793.96,8.32,0.619,0.0,2.43,4740.602177993846,20.5,0.458,0.0,0.928,709.0878224874541,40.3,0.732,0.0,1.54,4126.730807386083,20.5,0.846,0.0,1.95,3543.674963932217
1731067794.46,7.68,0.712,0.0,1.64,4740.554747337066,19.8,0.351,0.0,0.857,709.1232421095775,39.7,0.892,0.0,2.01,4126.271744830682,19.8,0.732,0.0,1.6,3543.852150203222
1731067794.96,8.32,1.085,0.0,10.3,4740.507316733096,19.8,0.389,0.0,1.3,709.1586634879401,40.3,0.874,0.0,1.68,4126.5902578334535,19.8,0.677,0.0,2.14,3544.0293452509677
1731067795.46,7.69,0.57,0.0,1.76,4740.45988618193,19.8,0.44,0.0,0.832,709.1940866222735,39.7,0.667,0.0,1.98,4126.502603687786,19.8,0.71,0.0,1.63,3544.2065490741365
1731067795.96,8.32,1.066,0.0,1.56,4740.412455683577,20.5,0.408,0.0,1.42,709.2295115123171,40.3,0.653,0.0,1.97,4126.652162660592,20.5,0.727,0.0,1.57,3544.3837616714136
1731067796.46,7.68,0.564,0.0,2.72,4740.365025238036,19.8,0.425,0.0,0.752,709.264938157808,39.7,1.007,0.0,2.27,4126.358664019199,19.8,0.796,0.0,6.42,3544.5609830414824
1731067796.96,8.32,0.769,0.0,1.47,4740.317594845306,19.8,0.548,0.0,1.12,709.3003665584831,40.3,0.759,0.0,3.75,4126.952805620185,19.8,1.007,0.0,1.96,3544.7382131830277
1731067797.46,7.68,0.641,0.0,1.83,4740.270164505396,19.8,0.425,0.0,0.981,709.335796714082,39.7,0.836,0.0,1.59,4126.7593450827335,19.8,0.916,0.0,2.08,3544.915452094732
1731067797.96,7.68,0.787,0.0,1.64,4740.222734218299,20.5,0.435,0.0,1.06,709.3712286243365,40.3,1.011,0.0,5.1,4126.985658834908,20.5,0.754,0.0,1.58,3545.092699775282
1731067798.46,8.32,1.351,0.0,1.8,4740.1753039840205,19.8,0.417,0.0,0.8,709.4066622889864,39.7,0.981,0.0,1.78,4126.83812217267,19.9,0.738,0.0,2.14,3545.269956223362
1731067798.96,8.32,0.678,0.0,1.97,4740.127873802562,19.8,0.523,0.0,1.58,709.4420977077688,40.3,1.024,0.0,1.6,4127.047305673435,19.8,0.977,0.0,2.4,3545.4472214376565
1731067799.46,7.68,0.677,0.0,7.65,4740.080443673925,19.8,0.486,0.0,2.6,709.4775348804206,39.7,0.881,0.0,2.39,4127.074149017382,19.8,0.934,0.0,1.71,3545.624495416851
1731067799.96,8.32,0.517,0.0,2.25,4740.033013598112,20.5,0.596,0.0,1.04,709.512973806682,40.3,0.746,0.0,1.56,4127.003631138487,20.5,1.029,0.0,2.55,3545.801778159631
1731067800.46,7.68,0.592,0.0,2.22,4739.985583575123,19.8,0.511,0.0,0.821,709.5484144862849,39.7,0.821,0.0,1.61,4127.058721463081,19.8,0.956,0.0,2.36,3545.979069664681
