Time,F2F4Bitrate,F2F4Jitter,F2F4Datagrams,F2F4Delay,F2F4Distance,F2S1Bitrate,F2S1Jitter,F2S1Datagrams,F2S1Delay,F2S1Distance,F2F1Bitrate,F2F1Jitter,F2F1Datagrams,F2F1Delay,F2F1Distance,F2C1Bitrate,F2C1Jitter,F2C1Datagrams,F2C1Delay,F2C1Distance
1731068776.81,19.8,0.676,0.0,1.67,3906.661490326491,40.3,0.839,0.0,1.88,4221.362447691103,19.8,0.548,0.0,1.03,781.6523587887405,8.32,0.975,0.0,1.88,4647.646847599332
1731068777.31,19.9,0.709,0.0,1.61,3906.85360136517,39.7,0.795,0.0,1.6,4221.621562693885,19.8,0.548,0.0,0.868,781.6907652646287,7.68,0.504,0.0,7.22,4647.599523678864
1731068777.81,20.5,0.902,0.0,2.01,3907.045718954412,40.3,0.916,0.0,1.88,4222.084763210935,20.5,0.522,0.0,0.88,781.7291730516395,8.32,0.901,0.0,2.11,4647.552199814436
1731068778.31,19.8,0.84,0.0,1.74,3907.237843093251,39.7,1.075,0.0,1.57,4221.5604539790975,19.8,0.683,0.0,0.863,781.7675821495792,7.68,1.039,0.0,1.54,4647.504876006048
1731068778.81,19.9,0.609,0.0,2.03,3907.42997378072,40.3,1.51,0.0,1.73,4221.624815749271,19.8,0.612,0.0,4.05,781.805992558255,8.32,1.042,0.0,1.69,4647.457552253704
1731068779.31,19.8,0.635,0.0,1.69,3907.622111015854,39.7,1.208,0.0,2.4,4221.681749533895,19.8,0.606,0.0,0.824,781.8444042774762,7.69,1.057,0.0,2.54,4647.410228557406
1731068779.81,19.8,0.977,0.0,11.1,3907.814254797687,39.7,0.722,0.0,2.13,4221.805847397854,20.5,0.754,0.0,0.76,781.8828173070443,8.32,0.503,0.0,1.75,4647.362904917153
1731068780.31,20.5,0.761,0.0,2.2,3908.006405125253,40.3,0.772,0.0,2.82,4222.175602598965,19.8,0.638,0.0,1.03,781.9212316467689,7.68,1.058,0.0,1.71,4647.315581332948
1731068780.81,19.8,0.776,0.0,1.84,3908.198561997586,40.3,0.666,0.0,4.76,4221.802139702954,19.8,0.721,0.0,1.87,781.9596472964569,7.69,0.789,0.0,1.77,4647.268257804793
1731068781.31,19.8,0.923,0.0,1.76,3908.390725413722,39.7,0.746,0.0,2.03,4221.865553846499,19.8,0.648,0.0,0.907,781.9980642559151,8.32,1.104,0.0,1.98,4647.2209343326895
1731068781.81,20.5,0.78,0.0,2.2,3908.582895372695,40.4,0.74,0.0,1.99,4222.009081030763,19.8,0.28,0.0,1.08,782.0364825249534,7.68,1.121,0.077,2.98,4647.17361091664
1731068782.31,19.8,0.886,0.0,2.29,3908.77507187354,39.6,0.929,0.0,1.76,4222.499376417072,20.5,0.271,0.0,1.31,782.0749021033732,7.68,0.772,0.0,1.87,4647.1262875566445
1731068782.81,19.8,1.129,0.0,1.8,3908.967254915293,40.3,0.903,0.0,1.74,4222.070093253702,19.8,0.29,0.0,1.17,782.1133229909844,8.33,1.326,0.0,1.97,4647.078964252705
1731068783.31,19.9,0.951,0.0,1.89,3909.159444496988,39.7,0.934,0.0,2.34,4221.932619111241,19.8,0.22,0.0,2.02,782.1517451875941,7.67,0.717,0.0,1.88,4647.031641004825
1731068783.81,20.5,0.915,0.0,1.7,3909.351640617661,39.7,0.653,0.0,1.77,4222.662558182039,20.5,0.257,0.0,7.02,782.1901686930092,8.32,1.055,0.0,1.94,4646.984317813004
1731068784.31,19.8,0.982,0.0,4.38,3909.543843276348,40.3,0.356,0.0,1.67,4222.1168260347295,19.9,0.264,0.0,0.789,782.2285935070398,7.68,0.872,0.0,1.87,4646.936994677248
1731068784.81,19.8,1.077,0.0,1.59,3909.736052472085,40.3,0.416,0.0,1.95,4222.652535915822,19.8,0.381,0.0,0.952,782.2670196294874,8.32,0.682,0.0,1.59,4646.889671597552
1731068785.31,19.8,1.102,0.0,1.89,3909.9282682039066,39.7,0.566,0.0,2.13,4222.785117302394,19.8,0.435,0.0,1.06,782.305447060162,7.68,1.239,0.0,1.77,4646.842348573921
1731068785.81,20.5,1.348,0.0,1.71,3910.1204904708497,40.3,0.714,0.0,2.34,4222.438764862441,19.8,0.41,0.0,0.846,782.3438757988708,8.32,0.983,0.0,1.86,4646.795025606359
1731068786.31,19.8,1.249,0.0,1.58,3910.312719271951,39.7,0.638,0.0,2.04,4222.327321932811,20.5,0.389,0.0,0.904,782.3823058454212,7.68,1.574,0.0,2.18,4646.747702694864
1731068786.81,19.8,0.97,0.0,2.42,3910.5049546062464,40.4,0.538,0.0,1.64,4222.662299184026,19.8,0.348,0.0,1.24,782.4207371996232,8.32,0.997,0.0,9.61,4646.700379839442
1731068787.31,19.8,0.791,0.0,2.55,3910.697196472772,39.7,0.616,0.0,1.71,4222.8557041445565,19.8,0.323,0.0,1.61,782.4591698612784,7.68,0.789,0.0,1.7,4646.653057040088
1731068787.81,20.5,0.741,0.0,2.03,3910.8894448705655,40.3,0.953,0.0,2.32,4222.4501532528775,20.5,0.538,0.0,1.11,782.497603830197,8.32,1.48,0.0,1.56,4646.605734296811
1731068788.31,19.8,0.949,0.0,2.52,3911.081699798663,39.7,0.54,0.0,2.37,4222.967671369253,19.8,0.389,0.0,1.11,782.5360391061865,7.68,0.802,0.0,1.67,4646.558411609607
