Time,F2F4Bitrate,F2F4Jitter,F2F4Datagrams,F2F4Delay,F2F4Distance,F2S1Bitrate,F2S1Jitter,F2S1Datagrams,F2S1Delay,F2S1Distance,F2C1Bitrate,F2C1Jitter,F2C1Datagrams,F2C1Delay,F2C1Distance,F2F1Bitrate,F2F1Jitter,F2F1Datagrams,F2F1Delay,F2F1Distance
1731069778.8,19.8,0.992,0.0,2.07,4302.79025749571,40.3,1.264,0.0,7.71,4318.9203158316695,7.68,0.693,0.0,1.78,4553.113354617915,19.8,0.582,0.0,0.754,860.8486568497403
1731069779.3,19.8,0.93,0.0,1.88,4302.993732565736,39.7,1.332,0.0,1.69,4319.126945608959,8.32,0.656,0.0,2.73,4553.06614629087,19.8,0.482,0.0,4.33,860.8893381265684
1731069779.8,20.5,0.952,0.0,1.58,4303.197212538603,40.3,1.263,0.0,1.89,4319.053080138277,8.32,1.392,0.0,8.2,4553.01893802343,19.8,0.615,0.0,1.73,860.9300203849323
1731069780.3,19.8,1.444,0.0,1.62,4303.400697413616,39.7,1.638,0.0,1.66,4318.733404058943,7.69,0.853,0.0,1.78,4552.971729815594,20.5,0.688,0.0,3.25,860.9707036246931
1731069780.8,19.8,1.015,0.0,2.84,4303.604187190082,40.3,1.614,0.0,2.13,4319.214071363705,8.31,0.67,0.0,3.16,4552.924521667364,19.8,0.699,0.0,0.92,861.0113878457114
1731069781.3,19.8,0.767,0.0,1.61,4303.807681867302,39.7,1.402,0.0,1.93,4319.072026110211,7.68,0.502,0.0,1.66,4552.877313578745,19.8,0.473,0.0,1.23,861.0520730478511
1731069781.8,20.5,0.76,0.0,1.44,4304.011181444584,39.7,1.735,0.0,2.0,4319.212595535635,8.32,0.586,0.0,1.72,4552.830105549734,20.5,0.504,0.0,0.696,861.0927592309675
1731069782.3,19.8,0.916,0.0,6.73,4304.214685921231,40.3,1.4,0.0,2.19,4319.552882487473,7.68,1.099,0.0,1.61,4552.782897580336,19.9,0.456,0.0,0.813,861.1334463949244
1731069782.8,19.8,0.879,0.0,1.75,4304.418195296549,40.3,1.395,0.0,1.66,4318.953027920303,7.68,0.777,0.0,1.65,4552.735689670552,19.8,0.519,0.0,1.31,861.1741345395825
1731069783.3,19.9,0.987,0.0,2.05,4304.621709569843,39.7,1.505,0.0,6.91,4319.439354871655,8.32,0.801,0.0,1.78,4552.688481820384,19.8,0.586,0.0,1.12,861.2148236648031
1731069783.8,19.8,1.121,0.0,3.33,4304.825228740419,39.7,1.377,0.0,1.7,4319.272719656038,8.32,0.566,0.0,1.73,4552.641274029836,20.5,0.894,0.0,1.69,861.2555137704502
1731069784.3,20.5,0.95,0.0,1.77,4305.028752807581,40.3,1.625,0.0,1.86,4319.431727779629,7.68,0.65,0.0,4.53,4552.594066298906,19.8,0.577,0.0,2.3,861.2962048563787
1731069784.8,19.8,1.075,0.0,2.02,4305.232281770636,40.3,1.394,0.0,3.46,4319.668128928739,8.32,0.731,0.0,1.87,4552.5468586275965,19.8,0.669,0.0,0.974,861.3368969224528
1731069785.3,19.8,1.084,0.0,1.71,4305.435815628889,39.7,1.837,0.0,1.89,4319.443933055776,7.68,0.852,0.0,1.85,4552.499651015912,19.8,0.831,0.0,1.24,861.3775899685335
1731069785.8,20.5,1.01,0.0,1.78,4305.639354381647,39.6,1.485,0.0,1.81,4319.817491112168,8.32,0.899,0.0,2.48,4552.452443463852,20.5,0.7,0.0,1.16,861.418283994482
1731069786.3,19.9,1.121,0.0,1.75,4305.842898028213,40.4,1.734,0.0,3.43,4319.702649848914,7.68,0.515,0.0,1.74,4552.405235971421,19.8,0.639,0.0,0.974,861.4589790001623
1731069786.8,19.8,1.062,0.0,1.77,4306.046446567895,39.0,1.575,0.016,1.6,4319.814818902231,8.32,0.673,0.0,1.57,4552.358028538616,19.8,0.692,0.0,1.04,861.4996749854297
1731069787.3,19.8,1.234,0.0,1.72,4306.25,40.3,1.318,0.0,1.84,4320.012917865806,7.04,1.03,0.083,3.08,4552.310821165444,19.8,0.853,0.0,1.85,861.5403719501484
1731069787.8,19.8,1.135,0.0,2.02,4306.453558323833,39.7,1.262,0.0,2.35,4319.831842271176,8.32,1.13,0.0,2.05,4552.263613851904,20.5,0.699,0.0,1.07,861.5810698941794
1731069788.3,20.5,1.165,0.0,1.42,4306.6571215387,40.3,1.496,0.0,1.5,4319.9485341736045,7.68,0.97,0.0,2.1,4552.216406597998,19.8,0.561,0.0,1.35,861.6217688173842
1731069788.8,19.8,1.242,0.0,1.84,4306.860689643908,40.3,1.463,0.0,1.88,4319.851479686156,8.32,0.585,0.0,4.09,4552.169199403731,19.8,0.421,0.0,2.87,861.662468719627
1731069789.3,19.8,0.767,0.0,1.62,4307.064262638764,39.7,1.733,0.0,1.62,4320.211859352284,7.68,0.971,0.0,9.41,4552.1219922691,19.8,0.464,0.0,8.52,861.7031696007627
1731069789.8,19.8,0.472,0.0,1.51,4307.267840522574,40.3,1.703,0.0,1.71,4319.820580136447,7.68,0.888,0.0,2.36,4552.07478519411,20.5,0.445,0.0,1.61,861.7438714606562
1731069790.3,20.5,0.555,0.0,1.77,4307.471423294645,39.7,1.671,0.0,1.81,4319.723300778727,8.32,1.288,0.0,3.46,4552.027578178761,19.8,0.488,0.0,2.99,861.7845742991684
1731069790.8,19.8,0.666,0.0,2.02,4307.675010954285,40.3,1.81,0.0,1.83,4320.156450867518,8.32,1.332,0.0,2.32,4551.980371223056,19.8,0.55,0.0,1.6,861.8252781161608
1731069791.3,19.8,0.936,0.0,1.49,4307.8786035008,39.7,1.14,0.0,2.03,4319.660138690626,7.68,0.673,0.0,1.99,4551.933164326999,19.8,0.709,0.0,1.39,861.8659829114977
1731069791.8,19.8,0.635,0.0,9.63,4308.082200933497,39.7,0.94,0.0,1.96,4319.95196509342,8.32,1.06,0.0,1.5,4551.885957490587,20.5,0.733,0.0,1.07,861.9066886850345
1731069792.3,20.5,0.6,0.0,2.2,4308.285803251683,40.3,1.14,0.0,1.54,4320.451668022148,7.68,0.586,0.0,1.85,4551.838750713826,19.8,0.735,0.0,1.93,861.9473954366357
1731069792.8,19.8,0.654,0.0,2.36,4308.4894104546665,40.3,0.922,0.0,10.3,4319.990152829815,8.32,1.118,0.0,1.88,4551.791543996715,19.8,0.685,0.0,1.07,861.9881031661627
1731069793.3,19.8,0.713,0.0,3.63,4308.6930225417545,39.7,1.211,0.0,1.74,4319.998445054434,7.68,1.078,0.0,2.09,4551.744337339257,19.8,0.732,0.0,1.02,862.0288118734768
1731069793.8,19.9,0.62,0.0,2.98,4308.896639512254,39.7,1.143,0.0,2.13,4320.265504751265,8.32,0.518,0.0,10.0,4551.697130741456,20.5,0.724,0.0,8.01,862.0695215584425
1731069794.3,20.5,0.731,0.0,2.03,4309.100261365475,40.3,1.012,0.0,3.43,4320.25865057475,7.68,0.894,0.0,2.56,4551.649924203311,19.8,0.791,0.0,1.06,862.1102322209156
1731069794.8,19.9,0.676,0.0,1.91,4309.303888100722,40.3,1.275,0.0,1.92,4320.676310915077,8.32,0.435,0.0,1.61,4551.602717724823,19.8,0.829,0.0,0.887,862.1509438607604
1731069795.3,19.9,0.744,0.0,1.79,4309.5075197173055,39.7,0.999,0.0,1.73,4320.287653661122,7.68,1.15,0.0,3.12,4551.555511305997,19.9,0.892,0.0,0.985,862.1916564778385
1731069795.8,19.8,0.759,0.0,1.83,4309.711156214532,39.7,1.232,0.0,1.74,4320.903888218434,7.68,0.691,0.0,1.83,4551.508304946834,20.5,0.881,0.0,0.978,862.2323700720113
1731069796.3,20.5,0.653,0.0,6.24,4309.914797591711,40.3,0.971,0.0,1.52,4320.333035189675,8.32,0.546,0.0,1.79,4551.461098647334,19.9,0.83,0.0,0.945,862.2730846431436
1731069796.8,19.8,0.8,0.0,1.77,4310.118443848151,40.3,1.194,0.0,1.75,4320.592219702693,8.32,0.931,0.0,6.58,4551.413892407501,19.8,0.711,0.0,0.813,862.3138001910911
1731069797.3,19.8,0.714,0.0,1.72,4310.322094983158,39.7,1.109,0.0,5.16,4320.822056397301,7.68,0.449,0.0,2.06,4551.366686227336,19.9,0.365,0.0,0.907,862.3545167157182
1731069797.8,19.9,0.86,0.0,1.56,4310.525750996043,39.7,1.155,0.0,1.76,4320.552454679325,8.32,1.245,0.0,2.09,4551.31948010684,20.5,0.421,0.0,0.773,862.3952342168868
1731069798.3,20.5,0.795,0.0,1.79,4310.729411886114,40.3,1.059,0.0,1.86,4320.92232758064,7.68,0.782,0.0,4.73,4551.272274046016,19.8,0.46,0.0,0.998,862.4359526944584
1731069798.8,19.8,0.789,0.0,1.86,4310.93307765268,40.3,1.101,0.0,1.96,4320.769753657533,8.32,0.718,0.0,1.37,4551.225068044868,19.8,0.411,0.0,0.869,862.4766721482977
1731069799.3,19.8,1.069,0.0,1.36,4311.136748295048,39.7,1.291,0.0,1.81,4321.083469761133,7.68,0.857,0.0,1.79,4551.177862103392,19.8,0.591,0.0,0.843,862.5173925782605
1731069799.8,19.9,0.894,0.0,1.89,4311.3404238125295,39.7,1.336,0.0,1.66,4321.321610693724,8.32,0.93,0.0,3.29,4551.130656221594,20.5,0.449,0.0,0.738,862.5581139842114
1731069800.3,20.5,1.134,0.0,1.7,4311.544104204432,40.3,1.417,0.0,1.47,4320.981971130458,7.68,1.739,0.0,1.96,4551.0834503994765,19.8,0.597,0.0,0.823,862.5988363660126
1731069800.8,19.8,0.899,0.0,1.61,4311.747789470066,39.1,1.222,0.032,2.21,4321.243212619904,8.32,1.117,0.0,1.77,4551.036244637037,19.8,0.512,0.0,0.955,862.6395597235255
1731069801.3,19.8,0.876,0.0,9.89,4311.95147960874,39.7,1.374,0.0,2.17,4321.306780331105,7.68,0.908,0.0,1.54,4550.989038934285,19.8,0.381,0.0,0.905,862.680284056615
1731069801.8,20.5,0.997,0.0,1.87,4312.155174619763,39.7,1.722,0.0,2.04,4321.002153052325,8.32,0.575,0.0,1.87,4550.941833291215,20.5,0.406,0.0,2.45,862.7210093651371
1731069802.3,19.9,0.937,0.0,1.84,4312.358874502445,39.7,1.486,0.016,10.0,4321.324845460197,7.67,0.642,0.0,1.67,4550.894627707832,19.9,0.58,0.0,0.858,862.7617356489566
1731069802.8,19.8,0.907,0.0,2.36,4312.562579256097,39.7,1.491,0.0,1.65,4320.971855186746,8.33,1.48,0.0,1.56,4550.847422184136,19.8,0.448,0.0,0.89,862.8024629079353
1731069803.3,19.9,0.813,0.0,1.8,4312.766288880027,40.3,1.673,0.0,2.04,4321.518945668001,7.68,0.802,0.0,9.33,4550.800216720131,19.8,0.436,0.0,0.921,862.8431911419351
1731069803.8,20.5,1.001,0.0,1.63,4312.970003373545,39.7,1.563,0.0,1.8,4321.375409723044,8.32,0.669,0.0,1.95,4550.75301131582,19.8,0.449,0.0,1.15,862.883920350821
1731069804.3,19.8,0.958,0.0,3.42,4313.173722735963,40.3,1.366,0.0,1.85,4321.432837618372,7.68,0.539,0.0,1.84,4550.705805971202,20.5,0.639,0.0,1.99,862.924650534449
1731069804.8,19.9,0.789,0.0,1.82,4313.377446966588,40.3,1.425,0.0,2.12,4321.477271624935,8.32,0.617,0.0,3.11,4550.658600686279,19.8,0.63,0.0,0.75,862.9653816926841
1731069805.3,19.8,0.872,0.0,1.81,4313.581176064732,39.7,1.433,0.0,2.06,4321.753093400143,7.68,0.624,0.0,1.97,4550.611395461053,19.8,0.568,0.0,0.886,863.0061138253883
1731069805.8,20.5,0.902,0.0,6.97,4313.784910029706,39.7,1.485,0.0,1.67,4321.295917134318,8.31,0.679,0.0,2.31,4550.5641902955285,20.5,0.718,0.0,0.881,863.0468469324235
1731069806.3,19.8,0.837,0.0,1.68,4313.98864886082,40.3,1.488,0.0,1.94,4321.174525650822,7.69,0.771,0.0,3.22,4550.516985189705,19.8,0.721,0.0,0.854,863.0875810136547
1731069806.8,19.8,1.15,0.0,1.69,4314.192392557384,40.3,1.576,0.0,9.7,4321.291118069068,8.32,0.504,0.0,1.82,4550.469780143584,19.8,0.806,0.0,0.853,863.1283160689383
1731069807.3,19.8,1.263,0.0,1.64,4314.396141118708,39.7,1.499,0.0,2.1,4322.010437703393,7.68,0.673,0.0,1.63,4550.4225751571685,19.8,0.662,0.0,1.04,863.1690520981391
1731069807.8,20.5,1.001,0.0,1.5,4314.599894544105,40.3,1.689,0.0,3.0,4322.007675694134,8.32,0.754,0.0,8.75,4550.37537023046,20.5,0.675,0.0,1.4,863.2097891011193
