Time,F2F4Bitrate,F2F4Jitter,F2F4Datagrams,F2F4Delay,F2F4Distance,F2F1Bitrate,F2F1Jitter,F2F1Datagrams,F2F1Delay,F2F1Distance,F2S1Bitrate,F2S1Jitter,F2S1Datagrams,F2S1Delay,F2S1Distance,F2C1Bitrate,F2C1Jitter,F2C1Datagrams,F2C1Delay,F2C1Distance
1731070780.55,19.8,0.52,0.0,1.74,4718.686681694389,19.8,0.714,0.0,0.747,944.0023358021962,39.7,1.179,0.0,1.66,4415.914109567792,8.31,0.671,0.0,2.29,4458.818365890228
1731070781.05,19.8,0.455,0.0,1.95,4718.898712888421,19.8,0.735,0.0,0.957,944.0447301372966,40.3,1.434,0.0,1.58,4415.939178429125,7.68,0.667,0.0,2.6,4458.771280577195
1731070781.55,19.8,0.774,0.0,3.65,4719.110747799844,20.5,0.456,0.0,0.871,944.0871252167354,40.4,1.246,0.0,1.75,4416.164237509458,8.32,0.91,0.0,2.03,4458.724195327628
1731070782.05,20.5,0.491,0.0,1.97,4719.322786428154,19.8,0.508,0.0,1.73,944.1295210404126,39.7,1.38,0.0,2.44,4416.62497042741,7.68,0.909,0.0,2.95,4458.677110141527
1731070782.55,19.8,0.415,0.0,2.31,4719.534828772852,19.8,0.429,0.0,1.03,944.1719176082275,40.3,1.357,0.0,1.61,4416.539812520174,8.32,0.421,0.0,2.28,4458.630025018895
1731070783.05,19.8,0.641,0.0,9.06,4719.746874833438,19.8,0.493,0.0,1.07,944.2143149200832,39.7,0.691,0.0,1.58,4416.355272184469,7.68,0.719,0.0,2.12,4458.582939959736
1731070783.55,20.5,0.692,0.0,1.41,4719.958924609408,20.5,0.47,0.0,2.67,944.2567129758736,40.3,0.872,0.0,3.21,4416.247656947933,7.68,0.434,0.0,5.39,4458.535854964049
1731070784.05,19.8,0.636,0.0,2.19,4720.170978100264,19.8,0.534,0.0,0.885,944.2991117755008,39.6,0.763,0.0,1.83,4416.281375437844,8.32,1.054,0.0,1.51,4458.488770031837
1731070784.55,19.8,0.615,0.0,1.77,4720.383035305504,19.8,0.448,0.0,0.841,944.3415113188654,40.3,0.825,0.0,2.5,4416.356226108139,8.32,0.966,0.0,3.0,4458.441685163101
1731070785.05,19.8,0.518,0.0,1.69,4720.595096224627,19.8,0.565,0.0,0.739,944.3839116058668,39.6,0.85,0.0,2.31,4416.403384335665,7.68,0.576,0.0,1.71,4458.394600357846
1731070785.55,20.5,0.581,0.0,2.21,4720.807160857135,19.8,0.521,0.0,0.769,944.426312636408,40.4,0.957,0.0,1.57,4416.631327842863,8.32,1.027,0.0,1.72,4458.347515616073
1731070786.05,19.8,0.621,0.0,1.62,4721.019229202525,20.5,0.678,0.0,0.745,944.4687144103827,39.6,1.001,0.0,3.19,4416.835783901276,7.68,0.535,0.0,2.47,4458.300430937781
1731070786.55,19.8,0.63,0.0,2.97,4721.231301260297,19.9,0.708,0.0,0.812,944.511116927694,40.3,1.106,0.0,1.57,4416.727561444891,8.32,1.093,0.0,2.22,4458.253346322975
