Time,F2S1Bitrate,F2S1Jitter,F2S1Datagrams,F2S1Delay,F2S1Distance,F2C1Bitrate,F2C1Jitter,F2C1Datagrams,F2C1Delay,F2C1Distance,F2F1Bitrate,F2F1Jitter,F2F1Datagrams,F2F1Delay,F2F1Distance,F2F4Bitrate,F2F4Jitter,F2F4Datagrams,F2F4Delay,F2F4Distance
1731071782.23,40.3,0.839,0.0,2.89,4513.72733943014,8.32,1.14,0.0,2.39,4364.777339109064,19.9,0.659,0.0,1.18,1030.1555270928766,19.8,1.043,0.0,2.17,5149.563476645375
1731071782.73,39.7,0.854,0.0,1.71,4513.375230971087,7.68,0.841,0.0,1.65,4364.730384857695,19.8,0.641,0.0,0.811,1030.1992295182529,19.8,1.153,0.0,1.67,5149.782040290637
1731071783.23,40.3,1.013,0.0,2.14,4513.595896327295,8.32,1.458,0.0,2.38,4364.683430673982,20.5,0.67,0.0,1.16,1030.2429325164042,19.8,1.105,0.0,1.87,5150.00060679608
1731071783.73,39.7,1.228,0.0,2.38,4514.025901638703,7.68,1.389,0.0,2.92,4364.636476557927,19.8,1.033,0.0,1.6,1030.2866360872583,20.5,1.246,0.0,1.72,5150.219176161341
1731071784.23,39.7,1.166,0.016,2.01,4514.197454503091,7.68,1.067,0.077,1.91,4364.589522509534,19.8,0.763,0.0,0.751,1030.3303402307424,19.8,1.198,0.0,2.16,5150.4377483860535
1731071784.73,39.7,0.533,0.0,1.67,4514.110197040845,7.68,0.969,0.0,1.79,4364.542568528803,19.8,0.593,0.0,1.26,1030.3740449467866,19.8,1.245,0.0,8.76,5150.656323469855
1731071785.23,40.3,0.669,0.0,1.7,4513.756414779306,8.32,0.676,0.0,1.58,4364.495614615737,19.9,0.722,0.0,1.05,1030.4177502353116,20.5,1.268,0.0,1.46,5150.8749014123805
1731071785.73,39.7,0.716,0.0,6.89,4513.824576221883,7.68,1.479,0.0,1.68,4364.448660770338,20.5,0.9,0.0,0.806,1030.4614560962482,19.8,1.213,0.0,1.96,5151.093482213267
1731071786.23,40.3,0.73,0.0,2.22,4514.178518058665,8.32,1.072,0.0,3.52,4364.4017069926085,19.8,0.848,0.0,1.35,1030.505162529523,19.8,1.368,0.0,1.82,5151.31206587215
1731071786.73,39.7,0.948,0.0,1.85,4513.874778304193,7.68,1.039,0.0,1.99,4364.354753282551,19.8,0.73,0.0,1.45,1030.5488695350634,19.9,1.64,0.0,2.1,5151.530652388667
1731071787.23,40.3,0.929,0.0,1.9,4513.844427577621,8.31,0.841,0.0,2.32,4364.307799640168,20.5,0.631,0.0,0.711,1030.5925771128,20.5,1.642,0.0,1.92,5151.749241762453
1731071787.73,39.7,0.885,0.0,1.97,4514.516119905023,7.68,0.838,0.0,1.51,4364.26084606546,19.8,0.537,0.0,1.24,1030.6362852626532,19.2,0.616,0.0,2.07,5151.967833993143
1731071788.23,40.3,1.084,0.0,2.25,4514.431490489731,8.32,1.78,0.0,2.17,4364.2138925584295,19.8,0.427,0.0,1.31,1030.679993984554,20.5,0.719,0.0,1.96,5152.186429080376
1731071788.73,39.1,0.436,0.0,2.44,4513.869258150219,7.68,1.05,0.0,3.0,4364.16693911908,19.8,0.603,0.0,0.77,1030.723703278429,19.8,0.784,0.0,1.9,5152.405027023788
1731071789.23,40.9,0.425,0.0,1.7,4514.354944319478,7.68,0.944,0.0,1.73,4364.119985747412,19.9,0.647,0.0,1.17,1030.7674131442056,20.5,0.583,0.0,8.4,5152.6236278230135
1731071789.73,39.7,0.601,0.0,1.92,4514.193844735393,8.32,0.808,0.0,2.0,4364.073032443432,20.5,0.701,0.0,4.13,1030.8111235818144,19.8,0.904,0.0,2.17,5152.842231477693
1731071790.23,39.7,0.621,0.0,12.7,4514.639502096836,8.32,0.775,0.0,1.91,4364.026079207135,19.8,0.69,0.0,0.787,1030.8548345911763,19.8,0.67,0.0,1.83,5153.0608379874575
1731071790.73,39.7,0.54,0.016,1.91,4514.335537870588,7.68,0.762,0.0,4.2,4363.979126038528,19.8,0.641,0.0,0.965,1030.8985461722216,19.8,0.818,0.0,3.03,5153.279447351948
