Time,Bitrate,Jitter,Datagrams
1731068772.23,8.31,0.645,0.0
1731068772.73,8.32,0.747,0.0
1731068773.23,7.68,0.691,0.0
1731068773.73,8.32,0.714,0.0
1731068774.23,7.68,0.918,0.0
1731068774.73,8.32,0.755,0.0
1731068775.23,7.69,0.866,0.0
1731068775.73,8.31,0.777,0.0
1731068776.23,7.68,0.782,0.0
1731068776.73,8.32,0.975,0.0
1731068777.23,7.68,0.504,0.0
1731068777.73,8.32,0.901,0.0
1731068778.23,7.68,1.039,0.0
1731068778.73,8.32,1.042,0.0
1731068779.23,7.69,1.057,0.0
1731068779.73,8.32,0.503,0.0
1731068780.23,7.68,1.058,0.0
1731068780.73,7.69,0.789,0.0
1731068781.23,8.32,1.104,0.0
1731068781.73,7.68,1.121,0.07692307692307693
1731068782.23,7.68,0.772,0.0
1731068782.73,8.33,1.326,0.0
1731068783.23,7.67,0.717,0.0
1731068783.73,8.32,1.055,0.0
1731068784.23,7.68,0.872,0.0
1731068784.73,8.32,0.682,0.0
1731068785.23,7.68,1.239,0.0
1731068785.73,8.32,0.983,0.0
1731068786.23,7.68,1.574,0.0
1731068786.73,8.32,0.997,0.0
1731068787.23,7.68,0.789,0.0
1731068787.73,8.32,1.480,0.0
1731068788.23,7.68,0.802,0.0
1731068788.73,8.32,1.302,0.0
1731068789.23,7.68,0.801,0.0
1731068789.73,7.68,0.756,0.0
1731068790.23,8.32,0.823,0.0
1731068790.73,7.68,0.804,0.0
1731068791.23,8.32,1.339,0.0
1731068791.73,7.68,0.684,0.0
1731068792.23,8.32,0.809,0.0
1731068792.73,8.32,0.699,0.0
1731068793.23,7.68,0.762,0.0
1731068793.73,7.68,0.698,0.0
1731068794.23,8.32,0.879,0.0
1731068794.73,8.32,0.933,0.0
1731068795.23,7.68,0.748,0.0
1731068795.73,8.32,1.030,0.0
1731068796.23,7.68,0.837,0.0
1731068796.73,8.32,0.769,0.0
1731068797.23,7.68,0.950,0.0
1731068797.73,7.68,0.549,0.0
1731068798.23,8.32,1.151,0.0
1731068798.73,8.32,1.196,0.0
1731068799.23,7.68,0.978,0.0
1731068799.73,8.32,1.177,0.0
1731068800.23,7.68,0.616,0.0
1731068800.73,8.32,1.177,0.0
1731068801.23,7.68,0.803,0.0
1731068801.73,8.32,0.915,0.0
1731068802.23,7.68,1.110,0.0
1731068802.73,8.32,0.700,0.0
1731068803.23,7.68,1.318,0.0
1731068803.73,8.32,0.780,0.0
1731068804.23,7.68,1.109,0.0
1731068804.73,8.32,1.295,0.0
1731068805.23,7.68,0.652,0.0
1731068805.73,8.32,1.334,0.0
1731068806.23,7.68,0.648,0.0
1731068806.73,8.32,1.075,0.0
1731068807.23,7.69,0.620,0.0
1731068807.73,8.31,0.596,0.0
1731068808.23,7.68,1.313,0.0
1731068808.73,8.32,0.676,0.0
1731068809.23,7.68,1.178,0.0
1731068809.73,8.32,0.624,0.0
1731068810.23,7.67,0.825,0.0
1731068810.73,7.69,0.813,0.0
1731068811.23,8.32,0.839,0.0
1731068811.73,8.32,1.264,0.0
1731068812.23,7.69,0.670,0.0
1731068812.73,8.31,0.681,0.0
1731068813.23,7.68,0.641,0.0
1731068813.73,8.32,0.862,0.0
1731068814.23,7.69,1.053,0.0
1731068814.73,8.31,0.832,0.0
1731068815.23,7.68,0.884,0.0
1731068815.73,8.32,0.677,0.0
1731068816.23,7.69,0.872,0.0
1731068816.73,8.31,0.683,0.0
1731068817.23,7.68,0.767,0.0
1731068817.73,8.32,0.973,0.0
1731068818.23,7.68,0.917,0.0
1731068818.73,8.32,1.039,0.0
1731068819.23,7.68,1.092,0.0
1731068819.73,8.32,1.162,0.0
1731068820.23,7.68,1.042,0.0
1731068820.73,8.33,0.537,0.0
1731068821.23,7.67,1.079,0.0
1731068821.73,8.32,0.831,0.0
1731068822.23,7.68,0.884,0.0
1731068822.73,8.32,1.000,0.0
1731068823.23,7.69,0.484,0.0
1731068823.73,8.31,1.025,0.0
1731068824.23,7.68,0.538,0.0
1731068824.73,8.32,0.891,0.0
1731068825.23,7.68,1.314,0.0
1731068825.73,8.32,0.630,0.0
1731068826.23,7.68,1.407,0.0
1731068826.73,8.33,0.658,0.0
1731068827.23,7.67,1.127,0.0
1731068827.73,7.68,0.776,0.0
1731068828.23,8.32,0.860,0.0
1731068828.73,8.33,1.287,0.0
1731068829.23,7.67,0.747,0.0
1731068829.73,8.32,1.095,0.0
1731068830.23,7.68,0.777,0.0
1731068830.73,8.32,0.807,0.0
1731068831.23,7.68,1.069,0.0
1731068831.73,8.32,0.718,0.0
1731068832.23,7.68,1.210,0.0
1731068832.73,8.33,0.623,0.0
1731068833.23,7.68,0.751,0.0
1731068833.73,8.32,0.664,0.0
1731068834.23,7.68,0.837,0.0
1731068834.73,8.32,1.373,0.0
1731068835.23,7.68,1.006,0.0
1731068835.73,8.32,1.021,0.0
1731068836.23,7.68,0.756,0.0
1731068836.73,8.32,0.797,0.0
1731068837.23,7.68,0.849,0.0
1731068837.73,8.32,0.735,0.0
1731068838.23,7.68,0.895,0.0
1731068838.73,8.32,1.106,0.0
1731068839.23,7.69,1.055,0.0
1731068839.73,8.31,0.802,0.0
1731068840.23,7.68,0.828,0.0
1731068840.73,8.32,0.971,0.0
1731068841.23,7.68,0.518,0.0
1731068841.73,8.32,0.993,0.0
1731068842.23,7.68,1.070,0.0
1731068842.73,8.32,0.915,0.0
1731068843.23,7.68,1.037,0.0
1731068843.73,8.32,0.534,0.0
1731068844.23,7.68,1.038,0.0
1731068844.73,7.68,0.641,0.0
1731068845.23,8.32,1.114,0.0
1731068845.73,8.32,1.106,0.0
1731068846.23,7.68,0.658,0.0
1731068846.73,8.32,1.113,0.0
1731068847.23,7.68,0.774,0.0
1731068847.73,8.32,1.060,0.0
1731068848.23,7.68,0.914,0.0
1731068848.73,8.32,0.569,0.0
1731068849.23,7.68,1.169,0.0
1731068849.73,8.32,0.538,0.0
1731068850.23,7.68,1.076,0.0
1731068850.73,8.33,0.652,0.0
1731068851.23,7.67,0.669,0.0
1731068851.73,8.31,1.523,0.0
1731068852.23,7.69,0.796,0.0
1731068852.73,8.32,1.166,0.0
1731068853.23,7.68,0.723,0.0
1731068853.73,7.68,1.451,0.0
1731068854.23,8.33,1.234,0.0
1731068854.73,8.32,0.953,0.0
1731068855.23,7.68,1.553,0.0
1731068855.73,8.32,0.826,0.0
1731068856.23,7.68,0.799,0.0
1731068856.73,8.33,0.648,0.0
1731068857.23,7.67,0.740,0.0
1731068857.73,7.68,0.696,0.0
1731068858.23,8.32,0.666,0.0
1731068858.73,8.32,0.796,0.0
1731068859.23,7.69,0.701,0.0
1731068859.73,8.31,0.857,0.0
1731068860.23,7.68,0.842,0.0
1731068860.73,8.31,0.911,0.0
1731068861.23,7.70,1.088,0.0
1731068861.73,7.67,0.543,0.0
1731068862.23,8.32,1.181,0.0
1731068862.73,8.32,0.981,0.0
1731068863.23,7.68,0.893,0.0
1731068863.73,8.32,1.060,0.0
1731068864.23,7.68,0.717,0.0
1731068864.73,8.32,1.242,0.0
1731068865.23,7.68,0.796,0.0
1731068865.73,8.32,1.097,0.0
1731068866.23,7.68,1.150,0.0
1731068866.73,8.32,0.597,0.0
1731068867.23,7.68,1.317,0.0
1731068867.73,7.68,0.686,0.0
1731068868.23,8.32,0.973,0.0
1731068868.73,8.31,1.146,0.0
1731068869.23,7.68,0.579,0.0
1731068869.73,8.32,1.140,0.0
1731068870.23,7.68,0.684,0.0
1731068870.73,8.32,1.024,0.0
1731068871.23,7.68,0.665,0.0
1731068871.73,8.32,0.596,0.0
1731068872.23,7.68,1.293,0.0
1731068872.73,8.32,0.637,0.0
1731068873.23,7.68,1.573,0.0
1731068873.73,8.32,1.045,0.0
1731068874.23,7.68,0.929,0.0
1731068874.73,7.68,0.838,0.0
1731068875.23,8.32,1.010,0.0
1731068875.73,8.32,1.328,0.0
1731068876.23,7.68,1.210,0.0
1731068876.73,8.32,0.888,0.0
1731068877.23,7.68,1.008,0.0
1731068877.73,8.32,1.017,0.0
1731068878.23,7.68,1.148,0.0
1731068878.73,8.32,0.741,0.0
1731068879.23,7.68,0.847,0.0
1731068879.73,8.32,0.793,0.0
1731068880.23,7.68,0.855,0.0
1731068880.73,8.32,0.678,0.0
1731068881.23,7.68,0.713,0.0
1731068881.73,7.68,0.960,0.0
1731068882.23,8.32,0.678,0.0
1731068882.73,8.32,0.904,0.0
1731068883.23,7.68,1.110,0.0
1731068883.73,8.32,0.923,0.0
1731068884.23,7.68,0.952,0.0
1731068884.73,8.32,0.572,0.0
1731068885.23,7.68,1.076,0.0
1731068885.73,8.32,1.401,0.0
1731068886.23,7.68,1.086,0.0
1731068886.73,8.32,1.422,0.0
1731068887.23,6.40,0.792,0.16666666666666666
1731068887.73,8.33,1.233,0.0
1731068888.23,7.67,0.811,0.0
1731068888.73,8.32,0.979,0.0
1731068889.23,7.69,1.274,0.0
1731068889.73,7.68,0.647,0.0
1731068890.23,8.31,1.169,0.0
1731068890.73,8.32,0.563,0.0
1731068891.23,7.68,0.501,0.0
1731068891.73,7.68,0.388,0.0
1731068892.23,8.32,0.581,0.0
1731068892.73,8.32,1.241,0.0
1731068893.23,7.68,0.615,0.0
1731068893.73,8.32,1.051,0.0
1731068894.23,7.68,0.708,0.0
1731068894.73,8.32,0.692,0.0
1731068895.23,7.68,1.023,0.0
1731068895.73,8.32,0.867,0.0
1731068896.23,7.68,1.348,0.0
1731068896.73,8.32,0.936,0.0
1731068897.23,7.68,0.864,0.0
1731068897.73,8.32,0.658,0.0
1731068898.23,7.68,0.739,0.0
1731068898.73,8.32,1.292,0.0
1731068899.23,7.68,0.692,0.0
1731068899.73,8.32,0.705,0.0
1731068900.23,7.68,0.620,0.0
1731068900.73,8.32,0.736,0.0
1731068901.23,7.68,0.703,0.0
1731068901.73,8.32,0.723,0.0
1731068902.23,7.68,1.245,0.0
1731068902.73,8.32,0.862,0.0
1731068903.23,7.68,1.266,0.0
1731068903.73,8.32,0.869,0.0
1731068904.23,7.68,0.837,0.0
1731068904.73,7.68,1.214,0.0
1731068905.23,8.32,0.650,0.0
1731068905.73,7.68,1.506,0.0
1731068906.23,8.32,1.075,0.0
1731068906.73,7.69,0.995,0.0
1731068907.23,8.31,1.133,0.0
1731068907.73,7.69,0.574,0.0
1731068908.23,8.31,1.223,0.0
1731068908.73,7.69,0.748,0.0
1731068909.23,8.31,1.084,0.0
1731068909.73,8.33,1.111,0.0
1731068910.23,7.67,0.558,0.0
1731068910.73,8.32,1.112,0.0
1731068911.23,7.69,0.562,0.0
1731068911.73,8.32,0.951,0.0
1731068912.23,7.67,0.813,0.0
1731068912.73,8.33,0.609,0.0
1731068913.23,7.67,1.211,0.0
1731068913.73,8.32,0.655,0.0
1731068914.23,7.69,1.472,0.0
1731068914.73,8.31,0.952,0.0
1731068915.23,7.68,1.333,0.0
1731068915.73,8.32,1.875,0.0
1731068916.23,7.68,1.021,0.0
1731068916.73,8.32,1.357,0.0
1731068917.23,7.68,0.744,0.0
1731068917.73,8.32,0.975,0.0
1731068918.23,7.68,0.794,0.0
1731068918.73,8.32,0.807,0.0
1731068919.23,7.68,1.309,0.0
1731068919.73,8.32,0.729,0.0
1731068920.23,7.68,0.730,0.0
1731068920.73,8.32,0.737,0.0
1731068921.23,7.68,0.895,0.0
1731068921.73,7.68,0.776,0.0
1731068922.23,8.33,0.785,0.0
1731068922.73,8.31,0.822,0.0
1731068923.23,7.68,0.752,0.0
1731068923.73,8.32,0.800,0.0
1731068924.23,7.68,1.075,0.0
1731068924.73,8.32,0.917,0.0
1731068925.23,7.68,0.948,0.0
1731068925.73,7.68,0.529,0.0
1731068926.23,8.33,1.026,0.0
1731068926.73,8.31,0.966,0.0
1731068927.23,7.68,1.123,0.0
1731068927.73,8.33,1.253,0.0
1731068928.23,7.67,0.679,0.0
1731068928.73,8.32,1.092,0.0
1731068929.23,7.68,0.955,0.0
1731068929.73,8.31,0.998,0.0
1731068930.23,7.69,1.127,0.0
1731068930.73,8.32,0.555,0.0
