Time,Bitrate,Jitter,Datagrams,Delay
1731068776.81,8.32,0.975,0.0,1.88
1731068777.31,7.68,0.504,0.0,7.22
1731068777.81,8.32,0.901,0.0,2.11
1731068778.31,7.68,1.039,0.0,1.54
1731068778.81,8.32,1.042,0.0,1.69
1731068779.31,7.69,1.057,0.0,2.54
1731068779.81,8.32,0.503,0.0,1.75
1731068780.31,7.68,1.058,0.0,1.71
1731068780.81,7.69,0.789,0.0,1.77
1731068781.31,8.32,1.104,0.0,1.98
1731068781.81,7.68,1.121,0.0769230769230769,2.98
1731068782.31,7.68,0.772,0.0,1.87
1731068782.81,8.33,1.326,0.0,1.97
1731068783.31,7.67,0.717,0.0,1.88
1731068783.81,8.32,1.055,0.0,1.94
1731068784.31,7.68,0.872,0.0,1.87
1731068784.81,8.32,0.682,0.0,1.59
1731068785.31,7.68,1.239,0.0,1.77
1731068785.81,8.32,0.983,0.0,1.86
1731068786.31,7.68,1.574,0.0,2.18
1731068786.81,8.32,0.997,0.0,9.61
1731068787.31,7.68,0.789,0.0,1.7
1731068787.81,8.32,1.48,0.0,1.56
1731068788.31,7.68,0.802,0.0,1.67
1731068788.81,8.32,1.302,0.0,1.9
1731068789.31,7.68,0.801,0.0,1.79
1731068789.81,7.68,0.756,0.0,1.53
1731068790.31,8.32,0.823,0.0,2.37
1731068790.81,7.68,0.804,0.0,1.93
1731068791.31,8.32,1.339,0.0,6.03
1731068791.81,7.68,0.684,0.0,1.59
1731068792.31,8.32,0.809,0.0,1.76
1731068792.81,8.32,0.699,0.0,2.1
1731068793.31,7.68,0.762,0.0,2.04
1731068793.81,7.68,0.698,0.0,1.77
1731068794.31,8.32,0.879,0.0,2.07
1731068794.81,8.32,0.933,0.0,1.8
1731068795.31,7.68,0.748,0.0,1.82
1731068795.81,8.32,1.03,0.0,2.5
1731068796.31,7.68,0.837,0.0,8.67
1731068796.81,8.32,0.769,0.0,1.82
1731068797.31,7.68,0.95,0.0,2.11
1731068797.81,7.68,0.549,0.0,1.82
1731068798.31,8.32,1.151,0.0,1.82
1731068798.81,8.32,1.196,0.0,1.91
1731068799.31,7.68,0.978,0.0,2.1
1731068799.81,8.32,1.177,0.0,1.96
1731068800.31,7.68,0.616,0.0,1.94
1731068800.81,8.32,1.177,0.0,8.97
1731068801.31,7.68,0.803,0.0,1.59
1731068801.81,8.32,0.915,0.0,1.91
1731068802.31,7.68,1.11,0.0,2.16
1731068802.81,8.32,0.7,0.0,1.73
1731068803.31,7.68,1.318,0.0,1.75
1731068803.81,8.32,0.78,0.0,1.29
1731068804.31,7.68,1.109,0.0,1.64
1731068804.81,8.32,1.295,0.0,2.08
1731068805.31,7.68,0.652,0.0,6.71
1731068805.81,8.32,1.334,0.0,1.64
1731068806.31,7.68,0.648,0.0,2.04
1731068806.81,8.32,1.075,0.0,2.11
1731068807.31,7.69,0.62,0.0,2.21
1731068807.81,8.31,0.596,0.0,2.67
1731068808.31,7.68,1.313,0.0,1.62
1731068808.81,8.32,0.676,0.0,1.73
1731068809.31,7.68,1.178,0.0,1.89
1731068809.81,8.32,0.624,0.0,4.19
1731068810.31,7.67,0.825,0.0,1.85
1731068810.81,7.69,0.813,0.0,2.1
1731068811.31,8.32,0.839,0.0,2.1
1731068811.81,8.32,1.264,0.0,1.76
1731068812.31,7.69,0.67,0.0,1.69
1731068812.81,8.31,0.681,0.0,2.32
1731068813.31,7.68,0.641,0.0,1.69
1731068813.81,8.32,0.862,0.0,1.87
1731068814.31,7.69,1.053,0.0,1.79
1731068814.81,8.31,0.832,0.0,8.99
1731068815.31,7.68,0.884,0.0,1.91
1731068815.81,8.32,0.677,0.0,1.84
1731068816.31,7.69,0.872,0.0,1.73
1731068816.81,8.31,0.683,0.0,2.54
1731068817.31,7.68,0.767,0.0,1.99
1731068817.81,8.32,0.973,0.0,1.64
1731068818.31,7.68,0.917,0.0,1.5
1731068818.81,8.32,1.039,0.0,1.99
1731068819.31,7.68,1.092,0.0,7.34
1731068819.81,8.32,1.162,0.0,1.64
1731068820.31,7.68,1.042,0.0,1.97
1731068820.81,8.33,0.537,0.0,2.32
1731068821.31,7.67,1.079,0.0,2.16
1731068821.81,8.32,0.831,0.0,1.98
1731068822.31,7.68,0.884,0.0,1.65
1731068822.81,8.32,1.0,0.0,1.82
1731068823.31,7.69,0.484,0.0,2.13
1731068823.81,8.31,1.025,0.0,5.66
1731068824.31,7.68,0.538,0.0,1.73
1731068824.81,8.32,0.891,0.0,1.92
1731068825.31,7.68,1.314,0.0,2.05
1731068825.81,8.32,0.63,0.0,1.86
1731068826.31,7.68,1.407,0.0,2.29
1731068826.81,8.33,0.658,0.0,1.81
1731068827.31,7.67,1.127,0.0,1.74
1731068827.81,7.68,0.776,0.0,2.34
1731068828.31,8.32,0.86,0.0,1.95
1731068828.81,8.33,1.287,0.0,9.97
1731068829.31,7.67,0.747,0.0,1.64
1731068829.81,8.32,1.095,0.0,2.03
1731068830.31,7.68,0.777,0.0,2.33
1731068830.81,8.32,0.807,0.0,1.93
1731068831.31,7.68,1.069,0.0,2.01
1731068831.81,8.32,0.718,0.0,1.59
1731068832.31,7.68,1.21,0.0,1.71
1731068832.81,8.33,0.623,0.0,3.05
1731068833.31,7.68,0.751,0.0,8.94
1731068833.81,8.32,0.664,0.0,1.76
1731068834.31,7.68,0.837,0.0,2.33
1731068834.81,8.32,1.373,0.0,1.95
1731068835.31,7.68,1.006,0.0,1.77
1731068835.81,8.32,1.021,0.0,2.39
1731068836.31,7.68,0.756,0.0,2.31
1731068836.81,8.32,0.797,0.0,2.49
1731068837.31,7.68,0.849,0.0,1.61
1731068837.81,8.32,0.735,0.0,3.3
1731068838.31,7.68,0.895,0.0,2.09
1731068838.81,8.32,1.106,0.0,1.54
1731068839.31,7.69,1.055,0.0,1.57
1731068839.81,8.31,0.802,0.0,2.31
1731068840.31,7.68,0.828,0.0,1.8
1731068840.81,8.32,0.971,0.0,1.52
1731068841.31,7.68,0.518,0.0,2.55
1731068841.81,8.32,0.993,0.0,1.88
1731068842.31,7.68,1.07,0.0,1.94
1731068842.81,8.32,0.915,0.0,8.8
1731068843.31,7.68,1.037,0.0,1.52
1731068843.81,8.32,0.534,0.0,1.73
1731068844.31,7.68,1.038,0.0,2.42
1731068844.81,7.68,0.641,0.0,1.74
1731068845.31,8.32,1.114,0.0,1.65
1731068845.81,8.32,1.106,0.0,2.47
1731068846.31,7.68,0.658,0.0,1.92
1731068846.81,8.32,1.113,0.0,2.29
1731068847.31,7.68,0.774,0.0,4.7
1731068847.81,8.32,1.06,0.0,2.16
1731068848.31,7.68,0.914,0.0,2.21
1731068848.81,8.32,0.569,0.0,1.88
1731068849.31,7.68,1.169,0.0,1.78
1731068849.81,8.32,0.538,0.0,2.75
1731068850.31,7.68,1.076,0.0,2.15
1731068850.81,8.33,0.652,0.0,1.76
1731068851.31,7.67,0.669,0.0,1.63
1731068851.81,8.31,1.523,0.0,2.33
1731068852.31,7.69,0.796,0.0,9.64
1731068852.81,8.32,1.166,0.0,1.69
1731068853.31,7.68,0.723,0.0,2.76
1731068853.81,7.68,1.451,0.0,2.55
1731068854.31,8.33,1.234,0.0,1.98
1731068854.81,8.32,0.953,0.0,1.78
1731068855.31,7.68,1.553,0.0,2.39
1731068855.81,8.32,0.826,0.0,1.58
1731068856.31,7.68,0.799,0.0,1.95
1731068856.81,8.33,0.648,0.0,6.85
1731068857.31,7.67,0.74,0.0,1.96
1731068857.81,7.68,0.696,0.0,2.26
1731068858.31,8.32,0.666,0.0,2.12
1731068858.81,8.32,0.796,0.0,1.49
1731068859.31,7.69,0.701,0.0,1.71
1731068859.81,8.31,0.857,0.0,1.89
1731068860.31,7.68,0.842,0.0,2.41
1731068860.81,8.31,0.911,0.0,1.84
1731068861.31,7.7,1.088,0.0,4.68
1731068861.81,7.67,0.543,0.0,2.33
1731068862.31,8.32,1.181,0.0,1.79
1731068862.81,8.32,0.981,0.0,1.8
1731068863.31,7.68,0.893,0.0,2.42
1731068863.81,8.32,1.06,0.0,1.97
1731068864.31,7.68,0.717,0.0,1.91
1731068864.81,8.32,1.242,0.0,1.62
1731068865.31,7.68,0.796,0.0,1.96
1731068865.81,8.32,1.097,0.0,2.17
1731068866.31,7.68,1.15,0.0,1.7
1731068866.81,8.32,0.597,0.0,1.76
1731068867.31,7.68,1.317,0.0,2.37
1731068867.81,7.68,0.686,0.0,2.2
1731068868.31,8.32,0.973,0.0,1.81
1731068868.81,8.31,1.146,0.0,1.53
1731068869.31,7.68,0.579,0.0,1.81
1731068869.81,8.32,1.14,0.0,2.54
1731068870.31,7.68,0.684,0.0,2.07
1731068870.81,8.32,1.024,0.0,8.51
1731068871.31,7.68,0.665,0.0,2.91
1731068871.81,8.32,0.596,0.0,2.44
1731068872.31,7.68,1.293,0.0,2.24
1731068872.81,8.32,0.637,0.0,1.86
1731068873.31,7.68,1.573,0.0,3.2
1731068873.81,8.32,1.045,0.0,2.76
1731068874.31,7.68,0.929,0.0,1.63
1731068874.81,7.68,0.838,0.0,1.77
1731068875.31,8.32,1.01,0.0,4.26
1731068875.81,8.32,1.328,0.0,2.12
1731068876.31,7.68,1.21,0.0,1.68
1731068876.81,8.32,0.888,0.0,1.95
1731068877.31,7.68,1.008,0.0,2.3
1731068877.81,8.32,1.017,0.0,1.95
1731068878.31,7.68,1.148,0.0,1.74
1731068878.81,8.32,0.741,0.0,NA
1731068879.31,7.68,0.847,0.0,1.58
1731068879.81,8.32,0.793,0.0,2.36
1731068880.31,7.68,0.855,0.0,1.74
1731068880.81,8.32,0.678,0.0,9.41
1731068881.31,7.68,0.713,0.0,1.68
1731068881.81,7.68,0.96,0.0,1.87
1731068882.31,8.32,0.678,0.0,1.92
1731068882.81,8.32,0.904,0.0,1.49
1731068883.31,7.68,1.11,0.0,2.89
1731068883.81,8.32,0.923,0.0,1.95
1731068884.31,7.68,0.952,0.0,1.86
1731068884.81,8.32,0.572,0.0,1.94
1731068885.31,7.68,1.076,0.0,8.25
