Time,Bitrate,Jitter,Datagrams,Delay
1731067770.36,8.31,1.508,0.0,2.74
1731067770.86,7.68,0.898,0.0,1.64
1731067771.36,8.33,0.746,0.0,9.71
1731067771.86,8.32,1.006,0.0,2.12
1731067772.36,7.68,0.502,0.0,1.96
1731067772.86,8.32,1.139,0.0,2.43
1731067773.36,7.68,0.757,0.0,1.86
1731067773.86,8.32,1.097,0.0,1.62
1731067774.36,7.68,1.356,0.0,2.21
1731067774.86,8.32,1.102,0.0,1.59
1731067775.36,7.68,1.440,0.0,1.57
1731067775.86,8.33,0.655,0.0,6.25
1731067776.36,7.68,1.394,0.0,1.82
1731067776.86,8.32,0.847,0.0,1.8
1731067777.36,7.68,0.797,0.0,2.11
1731067777.86,8.32,1.284,0.0,1.9
1731067778.36,7.69,0.685,0.0,2.35
1731067778.86,8.32,0.918,0.0,1.61
1731067779.36,7.68,0.982,0.0,2.45
1731067779.86,8.32,0.934,0.0,1.78
1731067780.36,7.68,0.792,0.0,1.71
1731067780.86,8.32,0.812,0.0,2.15
1731067781.36,7.68,0.997,0.0,2.21
1731067781.86,8.32,0.813,0.0,1.61
1731067782.36,7.68,0.736,0.0,2.51
1731067782.86,8.32,0.543,0.0,1.89
1731067783.36,7.69,0.691,0.0,1.94
1731067783.86,7.68,0.744,0.0,2.39
1731067784.36,8.32,0.401,0.0,1.77
1731067784.86,8.32,0.676,0.0,1.62
1731067785.36,7.68,0.609,0.0,8.85
1731067785.86,8.32,0.766,0.0,1.39
1731067786.36,7.68,0.873,0.0,2.42
1731067786.86,8.32,0.568,0.0,2.56
1731067787.36,7.68,0.842,0.0,1.46
1731067787.86,7.68,0.597,0.0,1.89
1731067788.36,8.33,0.896,0.0,2.33
1731067788.86,8.32,0.884,0.0,1.5
1731067789.36,7.68,0.496,0.0,1.48
1731067789.86,8.32,0.971,0.0,3.3
1731067790.36,7.68,0.555,0.0,1.87
1731067790.86,7.68,1.016,0.0,2.18
1731067791.36,8.32,0.992,0.0,1.79
1731067791.86,7.68,0.994,0.0,2.27
1731067792.36,8.32,1.239,0.0,2.32
1731067792.86,7.68,0.603,0.0,1.67
1731067793.36,8.32,1.190,0.0,2.28
1731067793.86,8.32,0.619,0.0,2.43
1731067794.36,7.68,0.712,0.0,1.64
1731067794.86,8.32,1.085,0.0,10.3
1731067795.36,7.69,0.570,0.0,1.76
1731067795.86,8.32,1.066,0.0,1.56
1731067796.36,7.68,0.564,0.0,2.72
1731067796.86,8.32,0.769,0.0,1.47
1731067797.36,7.68,0.641,0.0,1.83
1731067797.86,7.68,0.787,0.0,1.64
1731067798.36,8.32,1.351,0.0,1.8
1731067798.86,8.32,0.678,0.0,1.97
1731067799.36,7.68,0.677,0.0,7.65
1731067799.86,8.32,0.517,0.0,2.25
1731067800.36,7.68,0.592,0.0,2.22
1731067800.86,7.68,0.616,0.0,1.97
1731067801.36,8.32,0.667,0.0,2.42
1731067801.86,8.32,0.821,0.0,1.71
1731067802.36,7.68,0.670,0.0,1.54
1731067802.86,8.31,0.679,0.0,2.37
1731067803.36,7.69,0.650,0.0,1.63
1731067803.86,8.32,0.734,0.0,4.3
1731067804.36,7.68,0.764,0.0,3.19
1731067804.86,7.68,0.527,0.0,1.93
1731067805.36,8.32,0.750,0.0,2.35
1731067805.86,8.32,0.551,0.0,1.67
1731067806.36,7.68,0.752,0.0,2.27
1731067806.86,8.32,0.891,0.0,2.06
1731067807.36,7.68,0.866,0.0,1.63
1731067807.86,8.32,0.892,0.0,3.41
1731067808.36,7.68,0.682,0.0,4.49
1731067808.86,8.32,0.828,0.0,1.36
1731067809.36,7.68,0.906,0.0,1.98
1731067809.86,8.31,0.483,0.0,2.54
1731067810.36,7.68,0.837,0.0,1.71
1731067810.86,8.32,0.509,0.0,1.91
1731067811.36,7.68,0.949,0.0,1.77
1731067811.86,8.32,0.930,0.0,1.69
1731067812.36,7.68,0.509,0.0,1.62
1731067812.86,8.32,0.826,0.0,1.79
