Time,Bitrate,Jitter,Datagrams,Delay
1731070780.55,19.8,0.714,0.0,0.747
1731070781.05,19.8,0.735,0.0,0.957
1731070781.55,20.5,0.456,0.0,0.871
1731070782.05,19.8,0.508,0.0,1.73
1731070782.55,19.8,0.429,0.0,1.03
1731070783.05,19.8,0.493,0.0,1.07
1731070783.55,20.5,0.47,0.0,2.67
1731070784.05,19.8,0.534,0.0,0.885
1731070784.55,19.8,0.448,0.0,0.841
1731070785.05,19.8,0.565,0.0,0.739
1731070785.55,19.8,0.521,0.0,0.769
1731070786.05,20.5,0.678,0.0,0.745
1731070786.55,19.9,0.708,0.0,0.812
1731070787.05,19.8,0.498,0.0,1.45
1731070787.55,20.5,0.518,0.0,1.8
1731070788.05,19.9,0.73,0.0,7.5
1731070788.55,19.8,0.684,0.0,0.958
1731070789.05,19.8,0.927,0.0,0.73
1731070789.55,19.9,0.716,0.0,0.886
1731070790.05,20.5,0.665,0.0,0.782
1731070790.55,19.8,0.759,0.0,0.856
1731070791.05,19.8,0.691,0.0,2.08
1731070791.55,20.5,0.662,0.0,0.819
1731070792.05,19.8,1.082,0.0,0.821
1731070792.55,19.8,0.967,0.0,0.824
1731070793.05,19.8,0.871,0.0,0.775
1731070793.55,19.8,1.118,0.0,1.88
1731070794.05,20.5,0.803,0.0,1.36
1731070794.55,19.8,0.572,0.0,1.2
1731070795.05,19.8,0.927,0.0,0.904
1731070795.55,20.5,0.84,0.0,1.7
1731070796.05,19.8,0.82,0.0,1.15
1731070796.55,19.8,0.689,0.0,2.65
1731070797.05,19.8,0.728,0.0,1.91
1731070797.55,20.5,0.743,0.0,1.06
1731070798.05,19.9,0.809,0.0,3.57
1731070798.55,19.8,0.75,0.0,0.829
1731070799.05,19.8,0.769,0.0,0.816
1731070799.55,19.8,0.934,0.0,1.03
1731070800.05,20.5,0.978,0.0,1.02
1731070800.55,19.9,0.989,0.0,4.73
1731070801.05,19.8,1.08,0.0,2.57
1731070801.55,20.5,0.968,0.0,1.83
1731070802.05,19.2,0.444,0.0,1.9
1731070802.55,20.5,0.508,0.0,0.868
1731070803.05,19.8,0.423,0.0,1.05
1731070803.55,19.9,1.015,0.0,0.942
1731070804.05,20.5,0.521,0.0,1.52
1731070804.55,19.8,0.476,0.0,5.52
1731070805.05,19.9,0.517,0.0,1.27
1731070805.55,20.5,0.478,0.0,1.54
1731070806.05,19.9,0.6,0.0,0.949
1731070806.55,19.8,0.444,0.0,2.36
1731070807.05,19.8,0.568,0.0,2.16
1731070807.55,19.8,0.558,0.0,1.24
1731070808.05,20.5,0.606,0.0,0.848
1731070808.55,19.8,0.595,0.0,0.825
1731070809.05,19.8,0.667,0.0,0.763
1731070809.55,20.5,0.83,0.0,0.89
1731070810.05,19.9,0.639,0.0,2.97
1731070810.55,19.8,0.619,0.0,0.761
1731070811.05,19.8,0.799,0.0,0.968
1731070811.55,20.5,0.736,0.0,0.839
1731070812.05,19.8,0.839,0.0,0.874
1731070812.55,19.8,0.801,0.0,0.748
1731070813.05,19.8,0.802,0.0,0.744
1731070813.55,20.5,0.863,0.0,0.927
1731070814.05,19.8,0.873,0.0,0.876
1731070814.55,19.8,0.631,0.0,0.729
1731070815.05,19.8,0.744,0.0,0.96
1731070815.55,20.5,0.704,0.0,0.818
1731070816.05,19.8,0.634,0.0,1.42
1731070816.55,19.8,0.713,0.0,6.37
1731070817.05,19.8,0.713,0.0,2.52
1731070817.55,19.8,0.672,0.0,0.933
1731070818.05,20.5,0.677,0.0,0.799
1731070818.55,19.8,0.887,0.0,0.88
1731070819.05,19.8,0.818,0.0,1.08
1731070819.55,20.5,1.072,0.0,1.06
1731070820.05,19.9,1.032,0.0,2.3
1731070820.55,19.8,0.961,0.0,0.87
1731070821.05,19.8,0.876,0.0,1.28
1731070821.55,19.8,0.982,0.0,0.808
1731070822.05,20.5,1.045,0.0,1.68
1731070822.55,19.8,0.937,0.0,1.02
1731070823.05,19.8,0.888,0.0,4.49
1731070823.55,19.8,0.487,0.0,1.61
1731070824.05,20.5,0.464,0.0,0.881
1731070824.55,19.8,0.432,0.0,0.893
1731070825.05,19.8,0.479,0.0,1.26
1731070825.55,20.5,0.685,0.0,0.801
1731070826.05,19.8,0.536,0.0,0.837
1731070826.55,19.8,0.654,0.0,1.25
1731070827.05,19.8,0.618,0.0,0.816
1731070827.55,19.9,0.485,0.0,0.732
1731070828.05,20.5,0.428,0.0,1.19
1731070828.55,19.8,0.473,0.0,0.767
1731070829.05,19.8,0.521,0.0,0.848
1731070829.55,20.5,0.552,0.0,0.998
1731070830.05,19.8,0.517,0.0,0.87
1731070830.55,19.8,0.686,0.0,1.11
1731070831.05,19.8,0.631,0.0,2.87
1731070831.55,19.8,0.79,0.0,0.799
1731070832.05,20.5,0.824,0.0,0.974
1731070832.55,19.8,0.854,0.0,1.15
1731070833.05,19.8,0.711,0.0,0.826
1731070833.55,20.5,0.639,0.0,0.901
1731070834.05,19.8,0.637,0.0,0.765
1731070834.55,19.8,0.664,0.0,0.635
1731070835.05,19.8,1.096,0.0,0.857
1731070835.55,19.9,0.956,0.0,0.66
1731070836.05,20.5,0.768,0.0,0.761
1731070836.55,19.8,0.576,0.0,1.02
1731070837.05,19.8,0.866,0.0,0.79
1731070837.55,20.5,0.734,0.0,0.719
1731070838.05,19.8,0.761,0.0,0.759
1731070838.55,19.8,0.649,0.0,0.764
1731070839.05,19.8,0.759,0.0,0.857
1731070839.55,20.5,0.819,0.0,0.86
1731070840.05,19.8,0.773,0.0,0.7
1731070840.55,19.8,0.763,0.0,1.33
1731070841.05,19.9,0.829,0.0,0.839
1731070841.55,19.8,0.888,0.0,1.52
1731070842.05,20.5,0.849,0.0,0.839
1731070842.55,19.8,0.91,0.0,0.783
1731070843.05,19.8,0.899,0.0,0.827
1731070843.55,20.5,1.056,0.0,1.07
1731070844.05,19.8,0.942,0.0,0.711
1731070844.55,19.8,0.742,0.0,0.737
1731070845.05,19.8,0.734,0.0,0.847
1731070845.55,20.5,0.541,0.0,0.911
1731070846.05,19.8,0.429,0.0,0.824
1731070846.55,19.8,0.581,0.0,1.01
1731070847.05,19.8,0.693,0.0,0.821
1731070847.55,19.8,0.561,0.0,1.28
1731070848.05,20.5,0.492,0.0,0.83
1731070848.55,19.8,0.541,0.0,0.802
1731070849.05,19.8,0.612,0.0,1.32
1731070849.55,20.5,0.453,0.0,1.16
1731070850.05,19.8,0.601,0.0,1.49
1731070850.55,19.8,0.511,0.0,1.14
1731070851.05,19.8,0.55,0.0,1.03
1731070851.55,19.8,0.662,0.0,8.91
1731070852.05,20.5,0.793,0.0,0.842
1731070852.55,19.8,0.536,0.0,1.92
1731070853.05,19.8,0.604,0.0,0.935
1731070853.55,20.5,0.73,0.0,1.59
1731070854.05,19.8,0.759,0.0,0.938
1731070854.55,19.8,0.676,0.0,1.12
1731070855.05,19.8,0.64,0.0,0.935
1731070855.55,20.5,0.655,0.0,1.12
1731070856.05,19.9,0.841,0.0,1.09
1731070856.55,19.8,1.051,0.0,5.34
1731070857.05,19.8,0.67,0.0,1.52
1731070857.55,19.9,0.601,0.0,0.727
1731070858.05,20.5,0.67,0.0,0.756
1731070858.55,19.8,0.66,0.0,1.74
1731070859.05,19.8,0.786,0.0,2.3
1731070859.55,19.9,0.778,0.0,2.63
1731070860.05,20.5,0.748,0.0,0.751
1731070860.55,19.8,0.708,0.0,0.804
1731070861.05,19.8,0.74,0.0,0.857
1731070861.55,20.5,0.788,0.0,1.3
1731070862.05,19.8,0.979,0.0,0.803
1731070862.55,19.8,1.078,0.0,1.33
1731070863.05,19.8,0.825,0.0,1.02
1731070863.55,19.9,0.979,0.0,1.97
1731070864.05,20.5,0.987,0.0,0.824
1731070864.55,19.8,0.955,0.0,0.856
1731070865.05,19.8,0.967,0.0,0.853
1731070865.55,20.5,1.007,0.0,0.788
1731070866.05,19.2,0.504,0.0,0.881
1731070866.55,20.5,0.41,0.0,0.694
1731070867.05,19.8,0.501,0.0,0.852
1731070867.55,20.5,0.628,0.0,0.749
1731070868.05,19.9,0.551,0.0,1.61
1731070868.55,19.8,0.568,0.0,1.19
1731070869.05,19.8,0.666,0.0,2.4
1731070869.55,19.8,0.503,0.0,4.68
1731070870.05,20.5,0.741,0.0,1.01
1731070870.55,19.8,0.564,0.0,1.29
1731070871.05,19.9,0.529,0.0,1.03
1731070871.55,20.5,0.524,0.0,0.853
1731070872.05,19.8,0.734,0.0,0.838
1731070872.55,19.8,0.777,0.0,0.888
1731070873.05,19.8,0.7,0.0,1.09
1731070873.55,20.5,0.617,0.0,1.9
1731070874.05,19.8,0.555,0.0,1.1
1731070874.55,19.8,0.646,0.0,1.14
1731070875.05,19.8,0.802,0.0,0.917
1731070875.55,20.5,0.75,0.0,1.71
1731070876.05,19.8,0.797,0.0,0.718
1731070876.55,19.8,0.68,0.0,0.873
1731070877.05,19.8,0.752,0.0,0.761
1731070877.55,19.8,0.771,0.0,1.9
1731070878.05,20.5,0.842,0.0,1.14
1731070878.55,19.8,0.686,0.0,2.09
1731070879.05,19.8,0.583,0.0,0.947
1731070879.55,20.5,0.583,0.0,1.3
1731070880.05,19.8,0.616,0.0,1.22
1731070880.55,19.9,0.564,0.0,1.01
1731070881.05,19.8,0.742,0.0,1.08
1731070881.55,20.5,0.739,0.0,1.0
1731070882.05,19.8,0.652,0.0,1.63
1731070882.55,19.8,0.679,0.0,0.938
1731070883.05,19.8,1.166,0.0,0.876
1731070883.55,19.8,0.768,0.0,2.9
1731070884.05,20.5,0.938,0.0,1.68
1731070884.55,19.8,0.922,0.0,0.998
1731070885.05,19.8,0.891,0.0,0.728
1731070885.55,19.9,1.106,0.0,0.749
1731070886.05,20.5,1.124,0.0,1.03
1731070886.55,19.9,0.887,0.0,0.856
1731070887.05,19.8,0.754,0.0,1.16
1731070887.55,19.8,0.699,0.0,0.779
1731070888.05,20.5,0.575,0.0,1.2
1731070888.55,19.8,0.476,0.0,0.915
1731070889.05,19.8,0.566,0.0,0.832
1731070889.55,20.5,0.511,0.0,0.782
1731070890.05,19.8,0.588,0.0,1.73
1731070890.55,19.8,0.616,0.0,0.832
1731070891.05,19.8,0.657,0.0,1.01
1731070891.55,19.8,0.509,0.0,0.933
1731070892.05,20.5,0.45,0.0,2.34
1731070892.55,19.8,0.435,0.0,0.847
1731070893.05,19.8,0.554,0.0,0.84
1731070893.55,19.8,0.688,0.0,0.883
1731070894.05,20.5,0.515,0.0,1.04
1731070894.55,19.8,0.59,0.0,1.88
1731070895.05,19.8,0.696,0.0,0.746
1731070895.55,19.9,0.673,0.0,0.775
1731070896.05,20.5,0.579,0.0,0.871
1731070896.55,19.9,0.807,0.0,0.995
1731070897.05,19.8,0.787,0.0,8.32
1731070897.55,20.5,0.751,0.0,1.06
1731070898.05,19.8,0.906,0.0,1.03
1731070898.55,19.8,0.691,0.0,0.987
1731070899.05,19.8,0.774,0.0,0.936
1731070899.55,20.5,1.063,0.0,0.907
1731070900.05,19.9,0.788,0.0,0.906
1731070900.55,19.8,0.632,0.0,1.5
1731070901.05,19.8,0.712,0.0,0.82
1731070901.55,20.5,0.618,0.0,0.908
1731070902.05,19.8,0.887,0.0,0.995
1731070902.55,19.8,0.782,0.0,0.812
1731070903.05,19.8,0.69,0.0,0.841
1731070903.55,20.5,0.683,0.0,0.852
1731070904.05,19.8,0.956,0.0,0.934
1731070904.55,19.8,0.785,0.0,0.949
1731070905.05,19.8,0.819,0.0,3.83
1731070905.55,20.5,0.902,0.0,0.727
1731070906.05,19.8,0.858,0.0,1.0
1731070906.55,19.8,0.905,0.0,0.855
1731070907.05,19.8,1.044,0.0,1.34
1731070907.55,20.5,0.92,0.0,0.828
1731070908.05,19.8,0.878,0.0,1.22
1731070908.55,19.9,0.743,0.0,0.885
1731070909.05,19.8,0.337,0.0,1.24
1731070909.55,20.5,0.604,0.0,1.03
1731070910.05,19.8,0.501,0.0,1.99
1731070910.55,19.8,0.634,0.0,0.857
1731070911.05,19.8,0.483,0.0,1.21
1731070911.55,20.5,0.577,0.0,0.85
1731070912.05,19.8,0.552,0.0,2.42
1731070912.55,19.8,0.542,0.0,0.965
1731070913.05,19.9,0.504,0.0,1.02
1731070913.55,20.5,0.576,0.0,0.866
1731070914.05,19.8,0.545,0.0,3.99
1731070914.55,19.8,0.506,0.0,0.958
1731070915.05,19.8,0.631,0.0,1.65
1731070915.55,20.5,0.658,0.0,0.731
1731070916.05,19.9,0.623,0.0,0.739
1731070916.55,19.8,0.822,0.0,0.805
1731070917.05,19.8,0.842,0.0,1.21
1731070917.55,19.8,0.663,0.0,0.765
1731070918.05,20.5,0.883,0.0,0.791
1731070918.55,19.8,0.867,0.0,0.792
1731070919.05,19.8,0.714,0.0,0.891
1731070919.55,19.9,0.976,0.0,0.856
1731070920.05,20.5,1.015,0.0,0.957
1731070920.55,19.8,0.924,0.0,0.918
1731070921.05,19.8,0.83,0.0,1.89
1731070921.55,19.8,0.637,0.0,0.837
1731070922.05,20.5,0.538,0.0,0.867
1731070922.55,19.8,0.708,0.0,0.798
1731070923.05,19.8,0.591,0.0,0.898
1731070923.55,20.5,0.634,0.0,0.868
1731070924.05,19.8,0.804,0.0,0.873
1731070924.55,19.8,0.871,0.0,0.88
1731070925.05,19.8,0.69,0.0,0.829
1731070925.55,20.5,0.716,0.0,0.842
1731070926.05,19.8,0.768,0.0,0.795
1731070926.55,19.8,0.83,0.0,0.858
1731070927.05,19.8,0.816,0.0,0.816
1731070927.55,20.5,0.897,0.0,2.86
1731070928.05,19.8,0.848,0.0,1.37
1731070928.55,19.8,0.95,0.0,1.23
1731070929.05,19.9,1.017,0.0,0.922
1731070929.55,20.5,1.06,0.0,0.83
1731070930.05,19.2,0.402,0.0,1.31
1731070930.55,20.5,0.587,0.0,0.802
1731070931.05,19.8,0.498,0.0,0.932
1731070931.55,19.9,0.516,0.0,0.869
1731070932.05,20.5,0.696,0.0,1.6
1731070932.55,19.8,0.46,0.0,0.895
1731070933.05,19.8,0.511,0.0,0.862
1731070933.55,20.5,0.623,0.0,0.83
1731070934.05,19.8,0.607,0.0,0.838
1731070934.55,19.8,0.441,0.0,1.07
1731070935.05,19.8,0.716,0.0,0.925
1731070935.55,19.8,0.515,0.0,1.53
1731070936.05,20.5,0.967,0.0,0.745
1731070936.55,19.8,0.638,0.0,0.824
1731070937.05,19.8,0.492,0.0,1.79
1731070937.55,20.5,0.554,0.0,1.28
1731070938.05,19.8,0.582,0.0,1.38
1731070938.55,19.8,0.643,0.0,0.935
1731070939.05,19.8,0.793,0.0,4.31
1731070939.55,19.9,0.649,0.0,1.45
1731070940.05,20.5,0.641,0.0,0.842
1731070940.55,19.8,0.731,0.0,0.909
1731070941.05,19.8,0.832,0.0,0.824
1731070941.55,20.5,0.832,0.0,0.744
1731070942.05,19.8,0.749,0.0,0.771
1731070942.55,19.8,0.763,0.0,0.842
1731070943.05,19.8,0.492,0.0,0.824
1731070943.55,20.5,0.629,0.0,0.937
1731070944.05,19.8,0.884,0.0,0.826
1731070944.55,19.8,0.626,0.0,0.68
1731070945.05,19.8,0.592,0.0,0.866
1731070945.55,20.5,0.788,0.0,0.789
1731070946.05,19.8,1.913,0.0,0.835
1731070946.55,19.8,0.864,0.0,0.695
1731070947.05,19.8,0.964,0.0,0.9
1731070947.55,20.5,0.891,0.0,0.804
1731070948.05,19.8,0.77,0.0,0.766
1731070948.55,19.8,0.913,0.0,0.852
1731070949.05,19.8,0.908,0.0,0.874
1731070949.55,20.5,0.86,0.0,0.945
1731070950.05,19.8,0.865,0.0,0.795
1731070950.55,19.8,1.194,0.0,0.715
1731070951.05,19.8,0.734,0.0,0.968
1731070951.55,19.9,0.419,0.0,1.75
1731070952.05,20.5,0.568,0.0,1.85
1731070952.55,19.8,0.427,0.0,1.28
1731070953.05,19.9,0.51,0.0,1.11
1731070953.55,19.8,0.535,0.0,0.864
1731070954.05,20.5,0.602,0.0,0.851
1731070954.55,19.8,0.553,0.0,0.829
1731070955.05,19.8,0.63,0.0,0.857
1731070955.55,20.5,0.925,0.0,0.753
1731070956.05,19.9,0.493,0.0,2.16
1731070956.55,19.8,0.562,0.0,0.783
1731070957.05,19.8,0.604,0.0,0.8
1731070957.55,20.5,0.507,0.0,0.848
1731070958.05,19.8,0.599,0.0,0.869
1731070958.55,19.8,0.701,0.0,0.736
1731070959.05,19.8,0.621,0.0,0.773
1731070959.55,20.5,0.54,0.0,1.58
1731070960.05,19.8,0.851,0.0,1.02
1731070960.55,19.8,0.633,0.0,7.64
1731070961.05,19.8,0.67,0.0,0.893
1731070961.55,19.9,0.696,0.0,0.922
1731070962.05,20.5,0.889,0.0,0.823
1731070962.55,19.8,0.82,0.0,0.819
1731070963.05,19.7,0.709,0.0,0.942
1731070963.55,20.5,0.811,0.0,0.833
1731070964.05,19.9,0.746,0.0,0.799
1731070964.55,19.8,0.702,0.0,0.765
1731070965.05,19.8,0.666,0.0,2.09
1731070965.55,20.5,0.71,0.0,1.39
1731070966.05,19.8,0.646,0.0,3.35
1731070966.55,19.8,0.683,0.0,1.07
1731070967.05,19.8,0.714,0.0,1.33
1731070967.55,19.9,0.747,0.0,4.52
1731070968.05,20.5,0.761,0.0,1.0
1731070968.55,19.8,0.654,0.0,1.86
1731070969.05,19.8,0.734,0.0,0.952
1731070969.55,19.8,0.969,0.0,1.28
1731070970.05,20.5,0.89,0.0,1.73
1731070970.55,19.8,0.866,0.0,1.78
1731070971.05,19.8,0.908,0.0,1.5
1731070971.55,20.5,1.088,0.0,1.3
1731070972.05,19.8,1.155,0.0,0.991
1731070972.55,19.8,0.692,0.0,6.89
1731070973.05,19.8,0.553,0.0,1.12
1731070973.55,20.5,0.538,0.0,1.25
1731070974.05,19.8,0.468,0.0,1.17
1731070974.55,19.8,0.48,0.0,0.896
1731070975.05,19.8,0.568,0.0,0.784
1731070975.55,20.5,0.52,0.0,1.31
1731070976.05,19.9,0.587,0.0,0.865
1731070976.55,19.8,0.511,0.0,1.95
1731070977.05,19.8,0.525,0.0,0.838
1731070977.55,20.5,0.659,0.0,0.709
1731070978.05,19.9,0.466,0.0,0.722
1731070978.55,19.8,0.493,0.0,0.732
1731070979.05,19.8,0.849,0.0,0.963
1731070979.55,20.5,0.613,0.0,0.706
1731070980.05,19.8,0.652,0.0,0.892
1731070980.55,19.8,0.709,0.0,0.753
1731070981.05,19.8,0.941,0.0,0.735
1731070981.55,20.5,0.64,0.0,1.76
1731070982.05,19.8,0.685,0.0,1.37
1731070982.55,19.8,0.735,0.0,2.12
1731070983.05,19.9,0.91,0.0,0.865
1731070983.55,19.8,0.806,0.0,0.884
1731070984.05,20.5,0.751,0.0,0.766
1731070984.55,19.8,0.741,0.0,1.04
1731070985.05,19.8,0.784,0.0,0.764
1731070985.55,19.8,0.641,0.0,0.723
1731070986.05,20.5,0.714,0.0,0.716
1731070986.55,19.8,0.732,0.0,2.98
1731070987.05,19.8,0.671,0.0,2.56
1731070987.55,19.9,0.7,0.0,4.69
1731070988.05,20.5,0.801,0.0,4.75
1731070988.55,19.8,0.621,0.0,0.819
1731070989.05,19.8,0.69,0.0,1.35
1731070989.55,19.8,0.866,0.0,6.22
1731070990.05,20.5,0.772,0.0,2.34
1731070990.55,19.8,0.818,0.0,1.34
1731070991.05,19.8,0.893,0.0,1.03
1731070991.55,20.5,0.889,0.0,2.07
1731070992.05,19.8,0.87,0.0,1.07
1731070992.55,19.8,0.942,0.0,1.4
1731070993.05,19.8,0.942,0.0,0.942
1731070993.55,19.9,0.697,0.0,1.08
1731070994.05,19.8,0.37,0.0,9.24
1731070994.55,20.5,0.418,0.0,0.998
1731070995.05,19.8,0.46,0.0,1.31
1731070995.55,20.5,0.574,0.0,1.24
1731070996.05,19.8,0.604,0.0,0.969
1731070996.55,19.8,0.519,0.0,0.863
1731070997.05,19.8,0.599,0.0,0.791
1731070997.55,20.5,0.599,0.0,0.843
1731070998.05,19.8,0.523,0.0,0.704
1731070998.55,19.8,0.518,0.0,1.08
1731070999.05,19.8,0.776,0.0,0.726
1731070999.55,20.5,0.62,0.0,1.1
1731071000.05,19.8,0.675,0.0,1.2
1731071000.55,19.8,0.72,0.0,1.12
1731071001.05,19.8,0.545,0.0,0.83
1731071001.55,20.5,0.506,0.0,0.767
1731071002.05,19.8,0.822,0.0,0.877
1731071002.55,19.8,0.699,0.0,0.819
1731071003.05,19.8,0.684,0.0,0.943
1731071003.55,20.5,1.077,0.0,0.897
1731071004.05,19.9,0.858,0.0,0.851
1731071004.55,19.8,0.7,0.0,8.4
1731071005.05,19.8,0.863,0.0,4.7
1731071005.55,20.5,0.842,0.0,1.0
1731071006.05,19.8,0.791,0.0,0.922
1731071006.55,19.8,0.773,0.0,1.69
1731071007.05,19.8,0.671,0.0,0.822
1731071007.55,20.5,0.54,0.0,0.807
1731071008.05,19.8,0.684,0.0,0.743
1731071008.55,19.8,0.861,0.0,0.902
1731071009.05,19.8,0.634,0.0,0.771
1731071009.55,19.8,0.863,0.0,0.888
1731071010.05,20.5,0.967,0.0,0.852
1731071010.55,19.8,0.771,0.0,0.793
1731071011.05,19.8,0.885,0.0,1.32
1731071011.55,20.5,0.805,0.0,0.712
1731071012.05,19.8,0.883,0.0,0.821
1731071012.55,19.9,0.867,0.0,1.53
1731071013.05,19.8,0.861,0.0,1.4
1731071013.55,20.5,0.992,0.0,1.65
1731071014.05,19.8,0.947,0.0,0.874
1731071014.55,19.8,1.037,0.0,1.35
1731071015.05,19.8,0.712,0.0,0.793
1731071015.55,19.9,0.518,0.0,0.826
1731071016.05,20.5,0.581,0.0,0.898
1731071016.55,19.8,0.453,0.0,0.686
1731071017.05,19.8,0.447,0.0,1.35
1731071017.55,20.5,0.567,0.0,1.02
1731071018.05,19.9,0.514,0.0,4.02
1731071018.55,19.8,0.624,0.0,1.14
1731071019.05,19.9,0.805,0.0,1.06
1731071019.55,20.5,0.543,0.0,0.918
1731071020.05,19.8,0.634,0.0,0.881
1731071020.55,19.8,0.524,0.0,1.12
1731071021.05,19.8,0.611,0.0,0.847
1731071021.55,20.5,0.529,0.0,0.652
1731071022.05,19.8,0.48,0.0,0.835
1731071022.55,19.9,0.578,0.0,0.888
1731071023.05,19.8,0.818,0.0,0.846
1731071023.55,20.5,0.704,0.0,0.9
1731071024.05,19.8,0.574,0.0,0.797
1731071024.55,19.8,0.772,0.0,0.841
1731071025.05,19.8,0.874,0.0,0.747
1731071025.55,20.5,0.676,0.0,0.815
1731071026.05,19.8,0.666,0.0,0.906
1731071026.55,19.9,1.169,0.0,0.74
1731071027.05,19.8,1.041,0.0,0.747
1731071027.55,19.9,0.702,0.0,0.739
1731071028.05,20.5,0.785,0.0,0.702
1731071028.55,19.8,0.545,0.0,0.951
1731071029.05,19.8,0.657,0.0,1.06
1731071029.55,20.5,0.631,0.0,1.69
1731071030.05,19.9,0.793,0.0,0.902
1731071030.55,19.8,0.741,0.0,0.936
1731071031.05,19.8,0.766,0.0,1.0
1731071031.55,20.5,0.915,0.0,7.1
1731071032.05,19.8,0.961,0.0,1.16
1731071032.55,19.9,1.046,0.0,1.36
1731071033.05,19.8,0.847,0.0,1.96
1731071033.55,20.5,0.763,0.0,1.14
1731071034.05,19.8,0.824,0.0,0.795
1731071034.55,19.8,0.873,0.0,0.79
1731071035.05,19.8,1.088,0.0,1.4
1731071035.55,20.5,0.912,0.0,0.986
1731071036.05,19.9,0.94,0.0,1.47
1731071036.55,19.8,0.847,0.0,1.56
1731071037.05,19.8,0.6,0.0,0.862
1731071037.55,19.8,0.41,0.0,0.986
1731071038.05,20.5,0.533,0.0,0.908
1731071038.55,19.8,0.569,0.0,1.7
1731071039.05,19.8,0.559,0.0,0.813
1731071039.55,20.5,0.454,0.0,0.774
1731071040.05,19.8,0.476,0.0,0.735
1731071040.55,19.8,0.604,0.0,0.809
1731071041.05,19.8,0.609,0.0,0.716
1731071041.55,20.5,0.448,0.0,0.909
1731071042.05,19.9,0.724,0.0,1.01
1731071042.55,19.8,0.579,0.0,1.66
1731071043.05,19.8,0.534,0.0,0.968
1731071043.55,20.5,0.585,0.0,0.939
1731071044.05,19.8,0.673,0.0,0.846
1731071044.55,19.8,0.556,0.0,0.888
1731071045.05,19.8,0.703,0.0,0.82
1731071045.55,20.5,0.688,0.0,1.11
1731071046.05,19.8,0.638,0.0,2.97
1731071046.55,19.8,0.705,0.0,1.47
1731071047.05,19.8,0.786,0.0,1.07
1731071047.55,20.5,0.761,0.0,0.98
1731071048.05,19.8,0.778,0.0,0.824
1731071048.55,19.9,1.138,0.0,2.89
1731071049.05,19.8,0.789,0.0,2.49
1731071049.55,19.8,0.648,0.0,3.72
1731071050.05,20.5,0.555,0.0,0.76
1731071050.55,19.8,0.775,0.0,0.747
1731071051.05,19.8,0.632,0.0,0.819
1731071051.55,20.5,0.785,0.0,0.868
1731071052.05,19.8,1.035,0.0,0.794
1731071052.55,19.8,0.819,0.0,0.894
1731071053.05,19.8,0.876,0.0,0.849
1731071053.55,20.5,0.95,0.0,8.57
1731071054.05,19.8,0.831,0.0,0.869
1731071054.55,19.9,0.797,0.0,0.889
1731071055.05,19.8,0.891,0.0,3.18
1731071055.55,19.9,1.165,0.0,1.03
1731071056.05,20.5,0.989,0.0,1.38
1731071056.55,19.8,1.051,0.0,0.958
1731071057.05,19.9,0.95,0.0,0.817
1731071057.55,20.5,1.025,0.0,0.813
1731071058.05,19.2,0.643,0.0,0.789
1731071058.55,20.5,0.515,0.0,1.13
1731071059.05,19.8,0.472,0.0,0.796
1731071059.55,20.5,0.414,0.0,0.822
1731071060.05,19.8,0.445,0.0,0.897
1731071060.55,19.8,0.729,0.0,0.777
1731071061.05,19.8,0.501,0.0,0.853
1731071061.55,20.5,0.496,0.0,0.742
1731071062.05,19.8,0.643,0.0,0.822
1731071062.55,19.9,0.5,0.0,0.664
1731071063.05,19.8,0.662,0.0,0.818
1731071063.55,20.5,0.475,0.0,0.889
1731071064.05,19.8,0.485,0.0,0.956
1731071064.55,19.8,0.683,0.0,5.91
1731071065.05,19.8,0.636,0.0,2.01
1731071065.55,20.5,0.543,0.0,1.03
1731071066.05,19.8,0.665,0.0,0.85
1731071066.55,19.8,0.833,0.0,0.749
1731071067.05,19.8,0.884,0.0,0.995
1731071067.55,20.5,0.65,0.0,1.1
1731071068.05,19.8,0.707,0.0,1.15
1731071068.55,19.8,0.721,0.0,1.0
1731071069.05,19.8,0.825,0.0,0.988
1731071069.55,20.5,0.851,0.0,0.876
1731071070.05,19.8,0.742,0.0,0.852
1731071070.55,19.8,0.735,0.0,0.757
1731071071.05,19.8,0.668,0.0,3.49
1731071071.55,19.9,0.646,0.0,0.949
1731071072.05,20.5,0.669,0.0,1.27
1731071072.55,19.8,0.951,0.0,1.12
1731071073.05,19.8,0.69,0.0,0.861
1731071073.55,20.5,0.921,0.0,0.84
1731071074.05,19.8,0.723,0.0,0.745
1731071074.55,19.8,0.699,0.0,0.946
1731071075.05,19.8,0.799,0.0,1.42
1731071075.55,20.5,0.835,0.0,1.02
1731071076.05,19.8,0.974,0.0,0.958
1731071076.55,19.8,0.992,0.0,0.791
