Time,Bitrate,Jitter,Datagrams,Delay
1731071777.59,20.5,0.432,0.0,0.853
1731071778.09,19.8,0.365,0.0,0.813
1731071778.59,19.8,0.381,0.0,1.19
1731071779.09,20.5,0.595,0.0,1.31
1731071779.59,19.9,0.593,0.0,0.904
1731071780.09,19.8,1.041,0.0,5.33
1731071780.59,19.8,0.978,0.0,1.02
1731071781.09,20.5,0.516,0.0,0.798
1731071781.59,19.8,0.675,0.0,1.18
1731071782.09,19.9,0.659,0.0,1.18
1731071782.59,19.8,0.641,0.0,0.811
1731071783.09,20.5,0.670,0.0,1.16
1731071783.59,19.8,1.033,0.0,1.6
1731071784.09,19.8,0.763,0.0,0.751
1731071784.59,19.8,0.593,0.0,1.26
1731071785.09,19.9,0.722,0.0,1.05
1731071785.59,20.5,0.900,0.0,0.806
1731071786.09,19.8,0.848,0.0,1.35
1731071786.59,19.8,0.730,0.0,1.45
1731071787.09,20.5,0.631,0.0,0.711
1731071787.59,19.8,0.537,0.0,1.24
1731071788.09,19.8,0.427,0.0,1.31
1731071788.59,19.8,0.603,0.0,0.77
1731071789.09,19.9,0.647,0.0,1.17
1731071789.59,20.5,0.701,0.0,4.13
1731071790.09,19.8,0.690,0.0,0.787
1731071790.59,19.8,0.641,0.0,0.965
1731071791.09,19.8,0.774,0.0,1.15
1731071791.59,20.5,1.040,0.0,0.88
1731071792.09,19.8,0.796,0.0,0.93
1731071792.59,19.8,1.074,0.0,0.89
1731071793.09,20.5,0.751,0.0,2.11
1731071793.59,19.8,0.814,0.0,1.78
1731071794.09,19.8,0.813,0.0,0.917
1731071794.59,19.8,0.689,0.0,0.972
1731071795.09,19.8,0.484,0.0,1.43
1731071795.59,20.5,0.793,0.0,7.36
1731071796.09,19.8,0.510,0.0,0.792
1731071796.59,19.8,0.507,0.0,1.93
1731071797.09,20.5,0.467,0.0,1.09
1731071797.59,19.8,0.617,0.0,0.717
1731071798.09,19.7,0.595,0.0,0.956
1731071798.6,20.0,0.644,0.0,1.07
1731071799.09,19.8,0.494,0.0,0.835
1731071799.59,20.5,0.370,0.0,1.23
1731071800.09,19.8,0.526,0.0,1.09
1731071800.59,19.9,0.513,0.0,2.19
1731071801.09,20.5,0.735,0.0,0.849
1731071801.59,19.8,0.532,0.0,0.895
1731071802.09,19.8,0.499,0.0,1.28
1731071802.59,19.8,0.567,0.0,0.942
1731071803.09,20.5,0.477,0.0,0.825
1731071803.59,19.8,0.472,0.0,1.35
1731071804.09,19.8,0.493,0.0,1.66
1731071804.59,19.8,0.576,0.0,0.815
1731071805.09,19.9,0.644,0.0,1.21
1731071805.59,20.5,0.692,0.0,1.44
1731071806.09,19.9,0.952,0.0,0.801
1731071806.59,19.8,0.806,0.0,4.95
1731071807.09,20.5,0.757,0.0,1.16
1731071807.59,19.8,0.819,0.0,0.832
1731071808.09,19.8,0.835,0.0,1.5
1731071808.59,19.8,0.643,0.0,2.96
1731071809.09,20.5,0.668,0.0,1.47
1731071809.59,19.8,0.634,0.0,2.43
1731071810.09,19.8,0.638,0.0,3.0
1731071810.59,19.9,0.753,0.0,0.916
1731071811.09,20.5,0.698,0.0,1.07
1731071811.59,19.8,0.830,0.0,0.832
1731071812.09,19.8,0.698,0.0,1.48
1731071812.59,19.9,0.770,0.0,6.09
1731071813.09,19.8,0.710,0.0,0.991
1731071813.59,20.4,0.718,0.0,1.03
1731071814.09,19.9,1.069,0.0,0.904
1731071814.59,19.8,0.830,0.0,0.799
1731071815.09,19.8,0.867,0.0,1.22
1731071815.59,20.5,1.048,0.0,1.16
1731071816.09,19.8,0.834,0.0,0.874
1731071816.59,19.8,0.461,0.0,1.18
1731071817.09,19.8,0.443,0.0,4.91
1731071817.59,20.5,0.566,0.0,0.854
1731071818.09,19.8,0.431,0.0,1.22
1731071818.59,19.8,0.628,0.0,1.57
1731071819.09,20.5,0.535,0.0,0.691
1731071819.59,19.8,1.039,0.0,1.22
1731071820.09,19.8,0.702,0.0,1.08
1731071820.59,19.8,0.421,0.0,0.743
1731071821.09,20.5,0.535,0.0,1.19
1731071821.59,19.8,0.473,0.0,1.07
1731071822.09,19.8,1.000,0.0,NA
1731071822.59,19.8,0.597,0.0,6.59
1731071823.09,20.5,0.437,0.0,1.07
1731071823.59,19.8,0.735,0.0,0.799
1731071824.09,19.9,0.593,0.0,NA
1731071824.59,19.8,0.455,0.0,1.18
1731071825.09,19.8,0.557,0.0,1.05
1731071825.59,20.5,0.911,0.0,0.78
1731071826.09,19.8,0.678,0.0,1.25
1731071826.59,19.8,0.715,0.0,1.45
1731071827.09,20.5,0.736,0.0,2.56
1731071827.59,19.8,0.833,0.0,1.0
1731071828.09,19.8,0.690,0.0,1.5
1731071828.59,19.8,0.657,0.0,0.843
1731071829.09,19.9,0.604,0.0,1.54
1731071829.59,20.5,0.526,0.0,1.57
1731071830.09,19.8,0.508,0.0,0.889
1731071830.59,19.9,0.746,0.0,1.7
1731071831.09,20.5,0.825,0.0,1.77
1731071831.59,19.8,0.664,0.0,0.808
1731071832.09,19.8,0.644,0.0,5.58
1731071832.59,19.8,0.816,0.0,1.09
1731071833.09,20.5,0.664,0.0,0.799
1731071833.59,19.9,0.794,0.0,1.35
1731071834.09,19.8,0.668,0.0,1.42
1731071834.59,19.8,0.845,0.0,0.898
1731071835.09,20.5,0.682,0.0,1.19
1731071835.59,19.8,0.767,0.0,1.06
1731071836.09,19.8,0.791,0.0,1.31
1731071836.59,19.9,1.129,0.0,2.87
1731071837.09,20.5,0.926,0.0,1.01
1731071837.59,19.8,0.753,0.0,1.08
1731071838.09,19.8,0.395,0.0,1.26
1731071838.59,19.8,0.426,0.0,1.59
1731071839.09,20.5,0.897,0.0,1.32
1731071839.59,19.8,0.495,0.0,1.07
1731071840.09,19.8,0.511,0.0,1.06
1731071840.59,19.8,0.505,0.0,0.945
1731071841.09,20.5,0.545,0.0,2.34
1731071841.59,19.9,0.429,0.0,1.26
1731071842.09,19.8,0.560,0.0,0.95
1731071842.59,19.8,0.966,0.0,0.975
1731071843.09,20.5,1.015,0.0,0.776
1731071843.59,19.8,0.494,0.0,1.19
1731071844.09,19.8,0.595,0.0,1.12
1731071844.59,19.8,0.596,0.0,0.803
1731071845.09,19.8,0.461,0.0,1.26
1731071845.59,20.5,0.457,0.0,1.29
1731071846.09,19.7,0.576,0.0,6.43
1731071846.59,19.9,0.693,0.0,0.832
1731071847.09,20.5,0.685,0.0,1.18
1731071847.59,19.8,0.783,0.0,1.15
1731071848.09,19.8,0.644,0.0,0.79
1731071848.59,19.8,0.554,0.0,1.92
1731071849.09,20.5,0.775,0.0,1.59
1731071849.59,19.8,0.632,0.0,0.827
1731071850.09,19.8,0.626,0.0,1.1
1731071850.59,19.9,0.658,0.0,1.3
1731071851.09,20.5,0.452,0.0,2.54
1731071851.59,19.8,0.530,0.0,1.23
1731071852.09,19.8,0.512,0.0,0.847
1731071852.59,19.8,0.656,0.0,1.27
1731071853.09,20.5,0.587,0.0,1.31
1731071853.59,19.8,0.761,0.0,0.757
1731071854.09,19.8,0.698,0.0,1.22
1731071854.59,19.8,0.787,0.0,1.2
1731071855.09,19.9,1.105,0.0,0.736
1731071855.59,20.5,1.030,0.0,1.33
1731071856.09,19.8,0.879,0.0,1.59
1731071856.59,19.8,0.817,0.0,1.51
1731071857.09,20.5,0.777,0.0,6.23
1731071857.59,19.8,0.810,0.0,1.04
1731071858.09,19.9,1.002,0.0,0.968
1731071858.59,19.8,1.031,0.0,1.14
1731071859.09,19.9,0.527,0.0,0.764
1731071859.59,20.5,0.558,0.0,1.67
1731071860.09,19.8,0.680,0.0,1.5
1731071860.59,19.9,0.710,0.0,0.884
1731071861.09,20.5,0.802,0.0,1.42
1731071861.59,19.8,0.556,0.0,1.12
1731071862.09,19.8,0.697,0.0,0.808
1731071862.59,19.8,0.608,0.0,1.78
1731071863.09,19.8,0.820,0.0,7.55
1731071863.59,20.5,0.410,0.0,0.992
1731071864.09,19.8,0.548,0.0,2.82
1731071864.59,19.8,0.383,0.0,2.05
1731071865.09,20.5,0.560,0.0,1.77
1731071865.59,19.8,0.672,0.0,2.47
1731071866.09,19.8,0.480,0.0,1.38
1731071866.59,19.9,0.657,0.0,1.01
1731071867.09,19.8,0.624,0.0,1.39
1731071867.59,20.5,0.514,0.0,7.4
1731071868.09,19.8,0.553,0.0,1.07
1731071868.59,19.8,0.592,0.0,0.757
1731071869.09,20.5,0.789,0.0,1.24
1731071869.59,19.8,0.749,0.0,1.02
1731071870.09,19.8,0.776,0.0,1.02
1731071870.59,19.8,0.795,0.0,1.14
1731071871.09,19.9,0.700,0.0,3.89
1731071871.59,20.5,0.792,0.0,2.13
1731071872.09,19.8,0.679,0.0,3.41
1731071872.59,19.8,0.576,0.0,1.03
1731071873.09,20.5,0.504,0.0,1.08
1731071873.59,19.8,0.789,0.0,0.792
1731071874.09,19.9,0.726,0.0,1.22
1731071874.59,19.8,0.985,0.0,1.32
1731071875.09,20.5,0.629,0.0,0.873
1731071875.59,19.8,0.617,0.0,0.87
1731071876.09,19.8,0.811,0.0,2.67
1731071876.59,19.8,0.780,0.0,2.16
1731071877.09,20.5,0.966,0.0,0.968
1731071877.59,19.8,1.043,0.0,1.59
1731071878.09,19.9,1.085,0.0,1.67
1731071878.59,19.8,0.852,0.0,3.12
1731071879.09,20.5,0.742,0.0,0.823
1731071879.59,19.8,0.911,0.0,1.17
1731071880.09,19.8,0.836,0.0,1.27
1731071880.59,19.8,0.720,0.0,0.84
1731071881.09,20.5,0.578,0.0,0.982
1731071881.59,19.8,0.534,0.0,1.45
1731071882.09,19.8,0.463,0.0,0.84
1731071882.59,19.8,0.510,0.0,1.11
1731071883.09,20.5,0.524,0.0,1.03
1731071883.59,19.9,0.665,0.0,0.817
1731071884.09,19.8,0.548,0.0,5.45
1731071884.59,19.8,0.699,0.0,1.18
1731071885.09,20.5,0.448,0.0,0.82
1731071885.59,19.8,0.573,0.0,1.45
1731071886.09,19.8,0.449,0.0,0.893
1731071886.59,19.8,0.508,0.0,0.787
1731071887.09,19.8,0.673,0.0,1.17
1731071887.59,20.5,0.620,0.0,1.76
1731071888.09,19.8,0.572,0.0,0.798
1731071888.59,19.9,0.490,0.0,1.01
1731071889.09,19.8,0.564,0.0,1.41
1731071889.59,20.5,0.640,0.0,0.696
1731071890.09,19.8,0.814,0.0,1.19
1731071890.59,19.8,0.663,0.0,1.45
1731071891.09,20.5,0.625,0.0,0.723
1731071891.59,19.8,0.693,0.0,1.38
1731071892.09,19.8,1.054,0.0,1.75
1731071892.59,19.8,0.712,0.0,0.819
1731071893.09,19.8,0.503,0.0,1.21
1731071893.59,20.5,0.665,0.0,4.74
1731071894.09,19.8,0.485,0.0,0.75
1731071894.59,19.8,0.524,0.0,1.48
1731071895.09,20.5,0.808,0.0,1.11
1731071895.59,19.8,0.747,0.0,1.15
1731071896.09,19.9,0.900,0.0,0.878
1731071896.59,19.8,0.803,0.0,0.921
1731071897.09,19.8,0.822,0.0,1.22
1731071897.59,20.5,0.816,0.0,1.07
1731071898.09,19.8,1.018,0.0,0.853
1731071898.59,19.8,0.714,0.0,1.25
1731071899.09,20.5,0.795,0.0,1.53
1731071899.59,19.8,0.790,0.0,5.92
1731071900.09,19.8,0.940,0.0,1.01
1731071900.59,19.9,1.211,0.0,1.31
1731071901.09,19.8,0.654,0.0,0.808
1731071901.59,20.5,0.805,0.0,1.18
1731071902.09,19.8,0.513,0.0,1.1
1731071902.59,19.8,0.663,0.0,2.08
1731071903.09,20.5,0.467,0.0,0.949
1731071903.59,19.8,0.599,0.0,1.0
1731071904.09,19.9,0.495,0.0,4.35
1731071904.59,19.8,0.780,0.0,1.15
1731071905.09,20.5,0.594,0.0,0.856
1731071905.59,19.8,0.811,0.0,1.38
1731071906.09,19.8,0.927,0.0,1.44
1731071906.59,19.8,0.466,0.0,0.914
1731071907.09,19.9,0.788,0.0,0.871
1731071907.59,20.5,0.677,0.0,0.921
1731071908.09,19.8,0.508,0.0,1.0
1731071908.59,19.8,0.616,0.0,0.926
1731071909.09,20.5,0.763,0.0,0.827
1731071909.59,19.8,0.793,0.0,1.44
1731071910.09,19.8,0.640,0.0,1.43
1731071910.59,19.8,0.649,0.0,0.979
1731071911.09,20.5,0.601,0.0,6.36
1731071911.59,19.8,0.849,0.0,1.74
1731071912.09,19.8,0.760,0.0,0.9
