Time,Bitrate,Jitter,Datagrams
1731067770.33,40.3,0.857,0.0
1731067770.83,40.3,0.555,0.0
1731067771.33,39.7,0.690,0.0
1731067771.83,40.3,0.799,0.0
1731067772.33,39.7,0.727,0.0
1731067772.83,40.3,0.859,0.0
1731067773.33,39.7,0.859,0.0
1731067773.83,39.7,0.591,0.0
1731067774.33,40.3,0.708,0.0
1731067774.83,40.4,0.823,0.0
1731067775.33,39.7,0.792,0.0
1731067775.83,40.3,0.965,0.0
1731067776.33,39.7,0.954,0.0
1731067776.83,40.3,0.995,0.0
1731067777.33,39.0,1.076,0.016129032258064516
1731067777.83,40.3,1.096,0.0
1731067778.33,39.7,0.952,0.0
1731067778.83,40.3,0.786,0.0
1731067779.33,39.7,1.015,0.0
1731067779.83,40.3,0.866,0.0
1731067780.33,39.7,1.056,0.0
1731067780.83,40.3,1.069,0.0
1731067781.33,39.7,1.207,0.0
1731067781.83,40.3,1.306,0.0
1731067782.33,39.1,0.666,0.0
1731067782.83,40.9,0.749,0.0
1731067783.33,39.7,0.794,0.0
1731067783.83,40.3,0.775,0.0
1731067784.33,39.7,0.883,0.0
1731067784.83,40.4,0.908,0.0
1731067785.33,39.7,0.987,0.0
1731067785.83,40.2,1.180,0.0
1731067786.33,39.7,1.147,0.0
1731067786.83,39.7,0.430,0.0
1731067787.33,40.3,0.543,0.0
1731067787.83,40.3,0.549,0.0
1731067788.33,39.7,0.694,0.0
1731067788.83,40.4,0.587,0.0
1731067789.33,39.6,0.637,0.0
1731067789.83,40.3,0.683,0.0
1731067790.33,39.7,0.817,0.0
1731067790.83,39.7,0.565,0.0
1731067791.33,40.3,0.534,0.0
1731067791.83,40.3,0.667,0.0
1731067792.33,39.7,0.621,0.0
1731067792.83,40.3,0.587,0.0
1731067793.33,39.7,0.690,0.0
1731067793.83,40.3,0.732,0.0
1731067794.33,39.7,0.892,0.0
1731067794.83,40.3,0.874,0.0
1731067795.33,39.7,0.667,0.0
1731067795.83,40.3,0.653,0.0
1731067796.33,39.7,1.007,0.0
1731067796.83,40.3,0.759,0.0
1731067797.33,39.7,0.836,0.0
1731067797.83,40.3,1.011,0.0
1731067798.33,39.7,0.981,0.0
1731067798.83,40.3,1.024,0.0
1731067799.33,39.7,0.881,0.0
1731067799.83,40.3,0.746,0.0
1731067800.33,39.7,0.821,0.0
1731067800.83,40.3,0.871,0.0
1731067801.33,39.7,1.030,0.0
1731067801.83,40.3,1.025,0.0
1731067802.33,39.7,1.093,0.0
1731067802.83,40.3,1.247,0.0
1731067803.33,39.7,1.268,0.0
1731067803.83,39.7,1.140,0.0
1731067804.33,40.3,0.886,0.0
1731067804.83,40.3,0.726,0.0
1731067805.33,39.7,0.776,0.0
1731067805.83,40.3,0.945,0.0
1731067806.33,39.7,0.950,0.0
1731067806.83,40.3,1.042,0.0
1731067807.33,39.6,1.400,0.0
1731067807.83,40.4,1.214,0.0
1731067808.33,39.7,0.453,0.0
1731067808.83,40.3,0.686,0.0
1731067809.33,39.7,0.548,0.0
1731067809.83,40.3,0.590,0.0
1731067810.33,39.7,0.893,0.0
1731067810.83,40.3,0.715,0.0
1731067811.33,39.7,0.815,0.0
1731067811.83,40.3,0.770,0.0
1731067812.33,39.7,0.482,0.0
1731067812.83,40.3,0.472,0.0
1731067813.33,39.7,0.896,0.0
1731067813.83,40.3,0.738,0.0
