Time,F2_X,F2_Y,F2_Z
1731069774.6,6900.0,10100.0,0.0
1731069775.1,6900.1,10100.15,0.0
1731069775.6,6900.2,10100.3,0.0
1731069776.1,6900.3,10100.45,0.0
1731069776.6,6900.4,10100.6,0.0
1731069777.1,6900.5,10100.75,0.0
1731069777.6,6900.6,10100.9,0.0
1731069778.1,6900.7,10101.05,0.0
1731069778.6,6900.8,10101.2,0.0
1731069779.1,6900.9,10101.35,0.0
1731069779.6,6901.0,10101.5,0.0
1731069780.1,6901.1,10101.65,0.0
1731069780.6,6901.2,10101.8,0.0
1731069781.1,6901.3,10101.95,0.0
1731069781.6,6901.4,10102.1,0.0
1731069782.1,6901.5,10102.25,0.0
1731069782.6,6901.6,10102.4,0.0
1731069783.1,6901.7,10102.55,0.0
1731069783.6,6901.8,10102.7,0.0
1731069784.1,6901.9,10102.85,0.0
1731069784.6,6902.0,10103.0,0.0
1731069785.11,6902.1,10103.15,0.0
1731069785.61,6902.2,10103.3,0.0
1731069786.11,6902.3,10103.45,0.0
1731069786.61,6902.4,10103.6,0.0
1731069787.11,6902.5,10103.75,0.0
1731069787.61,6902.6,10103.9,0.0
1731069788.11,6902.7,10104.05,0.0
1731069788.61,6902.8,10104.2,0.0
1731069789.11,6902.9,10104.35,0.0
1731069789.61,6903.0,10104.5,0.0
1731069790.11,6903.1,10104.65,0.0
1731069790.61,6903.2,10104.8,0.0
1731069791.11,6903.3,10104.95,0.0
1731069791.62,6903.4,10105.1,0.0
1731069792.12,6903.5,10105.25,0.0
1731069792.62,6903.6,10105.4,0.0
1731069793.12,6903.7,10105.55,0.0
1731069793.62,6903.8,10105.7,0.0
1731069794.12,6903.9,10105.85,0.0
1731069794.62,6904.0,10106.0,0.0
1731069795.12,6904.1,10106.15,0.0
1731069795.62,6904.2,10106.3,0.0
1731069796.12,6904.3,10106.45,0.0
1731069796.62,6904.4,10106.6,0.0
1731069797.12,6904.5,10106.75,0.0
1731069797.62,6904.6,10106.9,0.0
1731069798.12,6904.7,10107.05,0.0
1731069798.62,6904.8,10107.2,0.0
1731069799.12,6904.9,10107.35,0.0
1731069799.62,6905.0,10107.5,0.0
1731069800.12,6905.1,10107.65,0.0
1731069800.62,6905.2,10107.8,0.0
1731069801.12,6905.3,10107.95,0.0
1731069801.63,6905.4,10108.1,0.0
1731069802.13,6905.5,10108.25,0.0
1731069802.63,6905.6,10108.4,0.0
1731069803.13,6905.7,10108.55,0.0
1731069803.63,6905.8,10108.7,0.0
1731069804.13,6905.9,10108.85,0.0
1731069804.63,6906.0,10109.0,0.0
1731069805.13,6906.1,10109.15,0.0
1731069805.63,6906.2,10109.3,0.0
1731069806.13,6906.3,10109.45,0.0
1731069806.63,6906.4,10109.6,0.0
1731069807.13,6906.5,10109.75,0.0
1731069807.63,6906.6,10109.9,0.0
1731069808.13,6906.7,10110.05,0.0
1731069808.63,6906.8,10110.2,0.0
1731069809.14,6906.9,10110.35,0.0
1731069809.63,6907.0,10110.5,0.0
1731069810.13,6907.1,10110.65,0.0
1731069810.63,6907.2,10110.8,0.0
1731069811.13,6907.3,10110.95,0.0
1731069811.64,6907.4,10111.1,0.0
1731069812.14,6907.5,10111.25,0.0
