1731067770.469980967: PING 192.168.6.12 (192.168.6.12) 56(84) bytes of data.
1731067770.473335960: 64 bytes from 192.168.6.12: icmp_seq=1 ttl=63 time=2.41 ms
1731067770.969880041: 64 bytes from 192.168.6.12: icmp_seq=2 ttl=63 time=2.24 ms
1731067771.470160106: 64 bytes from 192.168.6.12: icmp_seq=3 ttl=63 time=1.66 ms
1731067771.971845005: 64 bytes from 192.168.6.12: icmp_seq=4 ttl=63 time=2.73 ms
1731067772.472130595: 64 bytes from 192.168.6.12: icmp_seq=5 ttl=63 time=1.72 ms
1731067772.973632059: 64 bytes from 192.168.6.12: icmp_seq=6 ttl=63 time=1.38 ms
1731067773.474997591: 64 bytes from 192.168.6.12: icmp_seq=7 ttl=63 time=2.13 ms
1731067773.975509201: 64 bytes from 192.168.6.12: icmp_seq=8 ttl=63 time=1.56 ms
1731067774.479016171: 64 bytes from 192.168.6.12: icmp_seq=9 ttl=63 time=3.85 ms
1731067774.983884306: 64 bytes from 192.168.6.12: icmp_seq=10 ttl=63 time=7.15 ms
1731067775.479722478: 64 bytes from 192.168.6.12: icmp_seq=11 ttl=63 time=1.83 ms
1731067775.980731021: 64 bytes from 192.168.6.12: icmp_seq=12 ttl=63 time=1.55 ms
1731067776.482477593: 64 bytes from 192.168.6.12: icmp_seq=13 ttl=63 time=1.99 ms
1731067776.982399173: 64 bytes from 192.168.6.12: icmp_seq=14 ttl=63 time=1.78 ms
1731067777.483926483: 64 bytes from 192.168.6.12: icmp_seq=15 ttl=63 time=1.80 ms
1731067777.984524767: 64 bytes from 192.168.6.12: icmp_seq=16 ttl=63 time=1.67 ms
1731067778.486776930: 64 bytes from 192.168.6.12: icmp_seq=17 ttl=63 time=1.85 ms
1731067778.987864783: 64 bytes from 192.168.6.12: icmp_seq=18 ttl=63 time=2.08 ms
1731067779.494256192: 64 bytes from 192.168.6.12: icmp_seq=19 ttl=63 time=8.20 ms
1731067779.990240551: 64 bytes from 192.168.6.12: icmp_seq=20 ttl=63 time=2.09 ms
1731067780.490740866: 64 bytes from 192.168.6.12: icmp_seq=21 ttl=63 time=2.87 ms
1731067780.990980872: 64 bytes from 192.168.6.12: icmp_seq=22 ttl=63 time=1.68 ms
1731067781.493683958: 64 bytes from 192.168.6.12: icmp_seq=23 ttl=63 time=2.94 ms
1731067781.993174342: 64 bytes from 192.168.6.12: icmp_seq=24 ttl=63 time=2.11 ms
1731067782.493815947: 64 bytes from 192.168.6.12: icmp_seq=25 ttl=63 time=1.54 ms
1731067782.995265274: 64 bytes from 192.168.6.12: icmp_seq=26 ttl=63 time=2.00 ms
1731067783.495684761: 64 bytes from 192.168.6.12: icmp_seq=27 ttl=63 time=1.59 ms
1731067783.998375661: 64 bytes from 192.168.6.12: icmp_seq=28 ttl=63 time=3.52 ms
1731067784.497941846: 64 bytes from 192.168.6.12: icmp_seq=29 ttl=63 time=1.83 ms
