Time,F4C1Bitrate,F4C1Jitter,F4C1Datagrams,F4C1Delay,F4C1Distance,F4S1Bitrate,F4S1Jitter,F4S1Datagrams,F4S1Delay,F4S1Distance,F4F2Bitrate,F4F2Jitter,F4F2Datagrams,F4F2Delay,F4F2Distance,F4F1Bitrate,F4F1Jitter,F4F1Datagrams,F4F1Delay,F4F1Distance
1731068776.81,8.32,0.901,0.0,0.774,4186.42669827145,40.3,0.502,0.0,1.2,4310.999334927277,19.8,0.468,0.0,1.98,3906.661490326491,19.8,0.361,0.0,1.42,3125.0092495863105
1731068777.31,7.69,0.571,0.0,2.78,4186.300307550809,39.7,0.468,0.0,2.62,4311.330176214245,19.8,0.514,0.0,1.73,3906.85360136517,19.8,0.382,0.0,0.942,3125.1629541513507
1731068777.81,8.32,0.472,0.0,1.0,4186.173933319064,40.3,0.446,0.0,1.06,4312.13385944899,20.5,0.51,0.0,1.88,3907.045718954412,20.5,0.455,0.0,0.808,3125.3166639558303
1731068778.31,7.68,0.886,0.0,0.82,4186.047575577707,39.7,0.686,0.0,1.05,4312.209505866582,19.8,1.106,0.0,2.5,3907.237843093251,19.8,0.486,0.0,1.02,3125.470378998976
1731068778.81,8.32,0.433,0.0,0.859,4185.921234328233,40.3,0.786,0.0,0.97,4312.076087586821,19.8,0.574,0.0,2.19,3907.42997378072,19.8,0.553,0.0,1.39,3125.624099280015
1731068779.31,7.68,0.941,0.0,0.877,4185.794909572135,39.7,0.559,0.0,1.46,4312.719306845609,19.8,0.454,0.0,1.69,3907.622111015854,19.8,0.499,0.0,0.959,3125.7778247981723
1731068779.81,8.32,0.695,0.0,0.737,4185.6686013109065,40.3,0.429,0.0,1.03,4312.547185752709,20.5,0.574,0.0,10.3,3907.814254797687,20.5,0.46,0.0,0.796,3125.93155555268
1731068780.31,7.68,0.672,0.0,1.49,4185.54230954604,38.4,0.479,0.032,0.826,4313.332966171542,19.8,0.523,0.0,1.92,3908.006405125253,19.8,0.476,0.0,1.08,3126.0852915427627
1731068780.81,7.68,0.528,0.0,1.03,4185.41603427903,40.3,0.457,0.0,0.774,4313.358433858105,19.8,0.741,0.0,2.12,3908.198561997586,19.8,0.462,0.0,1.06,3126.239032767649
1731068781.31,8.32,0.537,0.0,0.887,4185.289775511369,39.7,0.489,0.0,1.0,4313.622851834482,19.8,0.608,0.0,1.69,3908.390725413722,19.9,0.48,0.0,0.82,3126.392779226565
1731068781.81,8.32,1.058,0.0,3.59,4185.1635332445485,40.3,0.537,0.0,1.36,4313.766158150444,20.5,0.609,0.0,1.81,3908.582895372695,19.8,0.367,0.0,5.19,3126.546530918737
1731068782.31,7.68,0.546,0.0,1.04,4185.0373074800655,39.7,0.599,0.0,0.808,4314.2897441931,19.8,0.537,0.0,2.4,3908.77507187354,20.5,0.441,0.0,1.3,3126.7002878434
1731068782.81,8.32,0.453,0.0,1.02,4184.911098219412,40.3,0.651,0.0,4.83,4314.322796866657,19.9,0.571,0.0,1.81,3908.967254915293,19.8,0.412,0.0,0.86,3126.854049999776
1731068783.31,7.68,0.473,0.0,1.24,4184.784905464079,39.7,0.706,0.0,0.83,4314.115992885618,19.8,0.713,0.0,1.63,3909.159444496988,19.8,0.508,0.0,1.05,3127.007817387095
1731068783.81,8.32,0.505,0.0,0.657,4184.658729215563,39.7,0.533,0.0,4.87,4315.031511249294,20.5,0.641,0.0,2.38,3909.351640617661,20.5,0.51,0.0,1.3,3127.1615900045854
1731068784.31,7.68,0.919,0.0,0.812,4184.532569475353,40.3,0.472,0.0,0.924,4314.98991506579,19.9,0.689,0.0,6.63,3909.543843276348,19.8,0.509,0.0,0.918,3127.3153678514727
