Time,F4C1Bitrate,F4C1Jitter,F4C1Datagrams,F4C1Delay,F4C1Distance,F4F2Bitrate,F4F2Jitter,F4F2Datagrams,F4F2Delay,F4F2Distance,F4F1Bitrate,F4F1Jitter,F4F1Datagrams,F4F1Delay,F4F1Distance,F4S1Bitrate,F4S1Jitter,F4S1Datagrams,F4S1Delay,F4S1Distance
1731071782.23,8.32,0.303,0.0,0.845,3773.095347324262,19.8,1.004,0.0,1.81,5149.563476645375,19.8,0.379,0.0,0.749,4119.408065487079,40.3,1.047,0.0,1.64,5822.400601742025
1731071782.73,7.68,0.462,0.0,1.93,3773.0902805260303,19.8,0.758,0.0,2.27,5149.782040290637,19.8,0.515,0.0,1.22,4119.58292670508,39.7,1.016,0.0,1.71,5822.392048264206
1731071783.23,8.32,0.488,0.0,1.48,3773.085236248977,19.8,0.699,0.0,1.82,5150.00060679608,19.8,0.46,0.031,1.07,4119.757790210488,40.3,1.151,0.0,1.76,5822.652748088418
1731071783.73,7.68,0.398,0.0,0.94,3773.080214493193,20.5,0.445,0.0,1.89,5150.219176161341,19.8,0.742,0.0,0.792,4119.932656003009,39.0,1.24,0.0,1.97,5823.091262794563
1731071784.23,8.32,0.471,0.0,0.942,3773.075215258768,19.8,0.339,0.0,12.1,5150.4377483860535,19.8,0.589,0.0,6.15,4120.107524082352,40.3,0.475,0.0,1.67,5823.289634474072
1731071784.73,7.68,0.318,0.0,1.69,3773.070238545792,19.8,0.246,0.0,2.05,5150.656323469855,19.8,0.481,0.0,1.36,4120.282394448224,39.0,0.976,0.032,2.49,5823.311170145625
1731071785.23,8.32,0.455,0.0,0.96,3773.0652843543535,20.5,0.297,0.0,3.23,5150.8749014123805,19.2,0.547,0.032,1.1,4120.457267100339,40.3,0.506,0.0,12.0,5823.436161046288
1731071785.73,7.68,0.565,0.0,1.07,3773.060352684542,19.8,0.281,0.0,2.12,5151.093482213267,20.5,0.535,0.0,0.991,4120.632142038403,39.7,0.553,0.0,1.82,5823.632975649944
1731071786.23,7.68,0.475,0.0,0.899,3773.055443536445,19.8,0.39,0.0,3.18,5151.31206587215,19.8,0.614,0.0,1.13,4120.807019262125,40.3,0.689,0.0,1.9,5824.104362391176
1731071786.73,8.32,0.755,0.0,2.35,3773.050556910152,19.9,0.591,0.0,4.43,5151.530652388667,19.9,0.561,0.0,1.78,4120.981898771215,39.7,0.505,0.0,2.66,5824.5899316428
1731071787.23,8.32,0.46,0.0,0.782,3773.045692805746,20.5,0.38,0.0,1.68,5151.749241762453,19.8,0.723,0.0,1.15,4121.1567805653785,39.7,0.585,0.016,2.33,5824.412145570027
1731071787.73,7.68,0.582,0.0,5.39,3773.04085122332,19.2,0.382,0.032,1.93,5151.967833993143,20.5,0.587,0.0,1.58,4121.331664644329,39.7,0.623,0.0,2.27,5824.997093045275
1731071788.23,8.32,0.816,0.0,1.06,3773.036032162958,19.8,0.492,0.0,2.18,5152.186429080376,19.8,0.629,0.0,0.767,4121.506551007775,39.7,0.914,0.0,1.6,5825.301956129085
1731071788.73,7.68,0.439,0.0,0.825,3773.0312356247473,19.8,0.525,0.0,2.38,5152.405027023788,19.9,0.691,0.0,2.04,4121.681439655424,40.3,0.642,0.0,2.31,5824.946339648286
1731071789.23,8.32,0.641,0.0,1.19,3773.026461608772,20.5,0.555,0.0,1.56,5152.6236278230135,20.5,0.725,0.0,6.66,4121.856330586986,39.7,0.693,0.016,2.75,5825.438026866375
1731071789.73,7.68,0.375,0.0,1.12,3773.021710115117,19.8,0.907,0.0,2.59,5152.842231477693,19.8,0.698,0.0,0.876,4122.031223802167,39.7,0.786,0.0,5.97,5825.81188010622
1731071790.23,8.32,0.632,0.0,0.785,3773.0169811438695,19.8,0.665,0.0,8.75,5153.0608379874575,19.8,0.583,0.0,1.14,4122.206119300683,40.3,0.711,0.0,1.97,5825.947563444453
