Time,Bitrate,Jitter,Datagrams,Delay,F4_X,F4_Y,F4_Z,C1_X,C1_Y,C1_Z,Distance
1731071782.23,8.32,0.303,0.0,0.845,9800.8,6199.2,0.0,6041.54,6522.02,0.0,3773.095347324262
1731071782.73,7.68,0.462,0.0,1.93,9800.9,6199.1,0.0,6041.67,6522.21,0.0,3773.0902805260303
1731071783.23,8.32,0.488,0.0,1.48,9801.0,6199.0,0.0,6041.8,6522.4,0.0,3773.0852362489773
1731071783.73,7.68,0.398,0.0,0.94,9801.1,6198.9,0.0,6041.93,6522.59,0.0,3773.080214493193
1731071784.23,8.32,0.471,0.0,0.942,9801.2,6198.8,0.0,6042.06,6522.78,0.0,3773.0752152587684
1731071784.73,7.68,0.318,0.0,1.69,9801.3,6198.7,0.0,6042.19,6522.97,0.0,3773.0702385457917
1731071785.23,8.32,0.455,0.0,0.96,9801.4,6198.6,0.0,6042.32,6523.16,0.0,3773.0652843543535
1731071785.73,7.68,0.565,0.0,1.07,9801.5,6198.5,0.0,6042.45,6523.35,0.0,3773.060352684542
1731071786.23,7.68,0.475,0.0,0.899,9801.6,6198.4,0.0,6042.58,6523.54,0.0,3773.055443536445
1731071786.73,8.32,0.755,0.0,2.35,9801.7,6198.3,0.0,6042.71,6523.73,0.0,3773.0505569101515
1731071787.23,8.32,0.46,0.0,0.782,9801.8,6198.2,0.0,6042.84,6523.92,0.0,3773.045692805746
1731071787.73,7.68,0.582,0.0,5.39,9801.9,6198.1,0.0,6042.97,6524.11,0.0,3773.04085122332
1731071788.23,8.32,0.816,0.0,1.06,9802.0,6198.0,0.0,6043.1,6524.3,0.0,3773.036032162958
1731071788.73,7.68,0.439,0.0,0.825,9802.1,6197.9,0.0,6043.23,6524.49,0.0,3773.0312356247473
1731071789.23,8.32,0.641,0.0,1.19,9802.2,6197.8,0.0,6043.36,6524.68,0.0,3773.0264616087716
1731071789.73,7.68,0.375,0.0,1.12,9802.3,6197.7,0.0,6043.49,6524.87,0.0,3773.0217101151165
1731071790.23,8.32,0.632,0.0,0.785,9802.4,6197.6,0.0,6043.62,6525.06,0.0,3773.0169811438695
1731071790.73,7.68,0.658,0.0,1.25,9802.5,6197.5,0.0,6043.75,6525.25,0.0,3773.0122746951142
1731071791.23,7.68,0.373,0.0,1.21,9802.6,6197.4,0.0,6043.88,6525.44,0.0,3773.0075907689347
1731071791.73,8.32,0.606,0.0,0.784,9802.7,6197.3,0.0,6044.01,6525.63,0.0,3773.002929365415
1731071792.23,7.68,0.338,0.0,1.35,9802.8,6197.2,0.0,6044.14,6525.82,0.0,3772.998290484637
1731071792.73,8.32,0.893,0.0,6.88,9802.9,6197.1,0.0,6044.27,6526.01,0.0,3772.993674126687
1731071793.23,7.68,0.46,0.0,0.898,9803.0,6197.0,0.0,6044.4,6526.2,0.0,3772.989080291646
1731071793.73,8.32,0.487,0.0,1.64,9803.1,6196.9,0.0,6044.53,6526.39,0.0,3772.9845089795963
1731071794.23,8.32,0.869,0.0,1.45,9803.2,6196.8,0.0,6044.66,6526.58,0.0,3772.9799601906193
1731071794.73,7.68,0.444,0.0,0.904,9803.3,6196.7,0.0,6044.79,6526.77,0.0,3772.9754339247947
1731071795.23,7.68,0.738,0.0,0.997,9803.4,6196.6,0.0,6044.92,6526.96,0.0,3772.970930182208
1731071795.73,8.32,0.558,0.0,0.822,9803.5,6196.5,0.0,6045.05,6527.15,0.0,3772.966448962937
1731071796.23,8.32,0.464,0.0,1.16,9803.6,6196.4,0.0,6045.18,6527.34,0.0,3772.9619902670634
1731071796.73,7.68,0.563,0.0,1.27,9803.7,6196.3,0.0,6045.31,6527.53,0.0,3772.9575540946657
1731071797.23,7.68,0.421,0.0,0.853,9803.8,6196.2,0.0,6045.44,6527.72,0.0,3772.953140445823
1731071797.73,8.32,0.778,0.0,1.9,9803.9,6196.1,0.0,6045.57,6527.91,0.0,3772.9487493206157
1731071798.23,7.68,0.54,0.0,5.04,9804.0,6196.0,0.0,6045.7,6528.1,0.0,3772.9443807191224
1731071798.73,8.32,0.589,0.0,0.854,9804.1,6195.9,0.0,6045.83,6528.29,0.0,3772.9400346414204
1731071799.23,7.68,0.527,0.0,1.27,9804.2,6195.8,0.0,6045.96,6528.48,0.0,3772.935711087588
1731071799.73,8.32,0.456,0.0,1.44,9804.3,6195.7,0.0,6046.09,6528.67,0.0,3772.931410057701
1731071800.23,8.32,0.819,0.0,0.819,9804.4,6195.6,0.0,6046.22,6528.86,0.0,3772.92713155184
1731071800.73,7.68,0.414,0.0,1.21,9804.5,6195.5,0.0,6046.35,6529.05,0.0,3772.9228755700797
1731071801.23,8.32,0.458,0.0,1.44,9804.6,6195.4,0.0,6046.48,6529.24,0.0,3772.918642112497
1731071801.73,7.68,0.5,0.0,0.782,9804.7,6195.3,0.0,6046.61,6529.43,0.0,3772.914431179166
1731071802.23,8.32,0.575,0.0,1.16,9804.8,6195.2,0.0,6046.74,6529.62,0.0,3772.9102427701614
1731071802.73,7.68,0.377,0.0,1.14,9804.9,6195.1,0.0,6046.87,6529.81,0.0,3772.9060768855616
1731071803.23,8.32,0.49,0.0,6.12,9805.0,6195.0,0.0,6047.0,6530.0,0.0,3772.9019335254393
1731071803.73,7.69,0.551,0.0,1.22,9805.1,6194.9,0.0,6047.13,6530.19,0.0,3772.8978126898696
1731071804.23,8.32,0.446,0.0,0.911,9805.2,6194.8,0.0,6047.26,6530.38,0.0,3772.8937143789253
1731071804.73,7.68,0.497,0.0,0.825,9805.3,6194.7,0.0,6047.39,6530.57,0.0,3772.8896385926787
1731071805.23,7.68,0.333,0.0,1.07,9805.4,6194.6,0.0,6047.52,6530.76,0.0,3772.8855853312057
1731071805.73,8.32,0.626,0.0,1.52,9805.5,6194.5,0.0,6047.65,6530.95,0.0,3772.881554594578
1731071806.23,8.32,0.722,0.0,0.874,9805.6,6194.4,0.0,6047.78,6531.14,0.0,3772.877546382867
1731071806.73,7.68,0.394,0.0,1.28,9805.7,6194.3,0.0,6047.91,6531.33,0.0,3772.8735606961445
1731071807.23,7.68,0.539,0.0,1.04,9805.8,6194.2,0.0,6048.04,6531.52,0.0,3772.869597534481
1731071807.73,8.32,0.34,0.0,2.38,9805.9,6194.1,0.0,6048.17,6531.71,0.0,3772.8656568979495
1731071808.23,7.68,0.579,0.0,0.917,9806.0,6194.0,0.0,6048.3,6531.9,0.0,3772.86173878662
1731071808.73,7.68,0.605,0.0,0.886,9806.1,6193.9,0.0,6048.43,6532.09,0.0,3772.8578432005625
1731071809.23,8.32,0.374,0.0,1.26,9806.2,6193.8,0.0,6048.56,6532.28,0.0,3772.8539701398468
1731071809.73,7.68,0.554,0.0,1.23,9806.3,6193.7,0.0,6048.69,6532.47,0.0,3772.850119604541
1731071810.23,7.68,0.291,0.0,0.812,9806.4,6193.6,0.0,6048.82,6532.66,0.0,3772.8462915947157
1731071810.73,8.32,0.564,0.0,1.18,9806.5,6193.5,0.0,6048.95,6532.85,0.0,3772.8424861104395
1731071811.23,7.68,0.696,0.0,1.06,9806.6,6193.4,0.0,6049.08,6533.04,0.0,3772.83870315178
1731071811.73,8.32,0.335,0.0,0.886,9806.7,6193.3,0.0,6049.21,6533.23,0.0,3772.8349427188045
1731071812.23,7.68,0.578,0.0,1.013,9806.8,6193.2,0.0,6049.34,6533.42,0.0,3772.8312048115795
1731071812.73,8.32,0.375,0.0,1.14,9806.9,6193.1,0.0,6049.47,6533.61,0.0,3772.827489430175
1731071813.23,8.32,0.621,0.0,1.22,9807.0,6193.0,0.0,6049.6,6533.8,0.0,3772.8237965746557
1731071813.73,7.68,0.515,0.0,0.807,9807.1,6192.9,0.0,6049.73,6533.99,0.0,3772.8201262450884
1731071814.23,8.32,0.325,0.0,4.9,9807.2,6192.8,0.0,6049.86,6534.18,0.0,3772.816478441538
1731071814.73,7.67,0.631,0.0,1.27,9807.3,6192.7,0.0,6049.99,6534.37,0.0,3772.812853164068
1731071815.23,7.69,0.343,0.0,0.94,9807.4,6192.6,0.0,6050.12,6534.56,0.0,3772.8092504127476
1731071815.73,8.32,0.853,0.0,0.806,9807.5,6192.5,0.0,6050.25,6534.75,0.0,3772.805670187639
1731071816.23,8.32,0.542,0.0,1.23,9807.6,6192.4,0.0,6050.38,6534.94,0.0,3772.8021124888064
1731071816.73,7.68,0.489,0.0,1.19,9807.7,6192.3,0.0,6050.51,6535.13,0.0,3772.798577316314
1731071817.23,8.32,0.709,0.0,0.866,9807.8,6192.2,0.0,6050.64,6535.32,0.0,3772.795064670223
1731071817.73,7.68,0.359,0.0,1.12,9807.9,6192.1,0.0,6050.77,6535.51,0.0,3772.7915745505998
1731071818.23,8.32,0.692,0.0,0.886,9808.0,6192.0,0.0,6050.9,6535.7,0.0,3772.788106957506
1731071818.73,7.68,0.358,0.0,1.14,9808.1,6191.9,0.0,6051.03,6535.89,0.0,3772.7846618910025
1731071819.23,7.68,0.508,0.0,1.36,9808.2,6191.8,0.0,6051.16,6536.08,0.0,3772.781239351151
1731071819.73,8.32,0.397,0.0,0.918,9808.3,6191.7,0.0,6051.29,6536.27,0.0,3772.7778393380113
1731071820.23,7.68,0.382,0.0,1.549,9808.4,6191.6,0.0,6051.42,6536.46,0.0,3772.7744618516485
1731071820.73,8.32,0.843,0.0,2.18,9808.5,6191.5,0.0,6051.55,6536.65,0.0,3772.7711068921208
1731071821.23,7.68,0.486,0.0,0.74,9808.6,6191.4,0.0,6051.68,6536.84,0.0,3772.7677744594885
1731071821.73,8.32,0.507,0.0,1.44,9808.7,6191.3,0.0,6051.81,6537.03,0.0,3772.7644645538107
1731071822.23,8.32,0.415,0.0,6.66,9808.8,6191.2,0.0,6051.94,6537.22,0.0,3772.7611771751467
1731071822.73,7.68,0.424,0.0,0.819,9808.9,6191.1,0.0,6052.07,6537.41,0.0,3772.7579123235564
1731071823.23,7.67,0.404,0.0,1.18,9809.0,6191.0,0.0,6052.2,6537.6,0.0,3772.754669999098
1731071823.73,8.33,0.456,0.0,1.31,9809.1,6190.9,0.0,6052.33,6537.79,0.0,3772.751450201829
1731071824.23,8.32,0.473,0.0,0.943,9809.2,6190.8,0.0,6052.46,6537.98,0.0,3772.748252931807
1731071824.73,7.68,0.538,0.0,0.892,9809.3,6190.7,0.0,6052.59,6538.17,0.0,3772.745078189089
1731071825.23,8.32,0.632,0.0,0.938,9809.4,6190.6,0.0,6052.72,6538.36,0.0,3772.7419259737335
1731071825.73,7.68,0.373,0.0,0.885,9809.5,6190.5,0.0,6052.85,6538.55,0.0,3772.738796285796
1731071826.23,7.68,0.621,0.0,1.15,9809.6,6190.4,0.0,6052.98,6538.74,0.0,3772.7356891253335
1731071826.73,8.32,0.538,0.0,4.56,9809.7,6190.3,0.0,6053.11,6538.93,0.0,3772.7326044924002
1731071827.23,7.68,0.275,0.0,0.887,9809.8,6190.2,0.0,6053.24,6539.12,0.0,3772.7295423870496
1731071827.73,8.31,0.521,0.0,1.23,9809.9,6190.1,0.0,6053.37,6539.31,0.0,3772.7265028093407
1731071828.23,7.69,0.478,0.0,1.19,9810.0,6190.0,0.0,6053.5,6539.5,0.0,3772.723485759326
1731071828.73,8.32,0.546,0.0,0.851,9810.1,6189.9,0.0,6053.63,6539.69,0.0,3772.72049123706
1731071829.23,7.68,0.631,0.0,1.39,9810.2,6189.8,0.0,6053.76,6539.88,0.0,3772.7175192425957
1731071829.73,8.32,0.304,0.0,0.815,9810.3,6189.7,0.0,6053.89,6540.07,0.0,3772.7145697759847
1731071830.23,7.68,0.522,0.0,1.46,9810.4,6189.6,0.0,6054.02,6540.26,0.0,3772.7116428372833
1731071830.73,8.32,0.439,0.0,1.95,9810.5,6189.5,0.0,6054.15,6540.45,0.0,3772.7087384265437
1731071831.23,8.32,0.596,0.0,1.06,9810.6,6189.4,0.0,6054.28,6540.64,0.0,3772.7058565438156
1731071831.73,7.68,0.633,0.0,0.841,9810.7,6189.3,0.0,6054.41,6540.83,0.0,3772.7029971891516
1731071832.23,7.68,0.368,0.0,1.36,9810.8,6189.2,0.0,6054.54,6541.02,0.0,3772.700160362601
1731071832.73,8.32,0.759,0.0,1.49,9810.9,6189.1,0.0,6054.67,6541.21,0.0,3772.6973460642184
1731071833.23,7.68,0.409,0.0,7.27,9811.0,6189.0,0.0,6054.8,6541.4,0.0,3772.6945542940525
