Time,Bitrate,Jitter,Datagrams,Delay,F4_X,F4_Y,F4_Z,F1_X,F1_Y,F1_Z,Distance
1731069778.8,19.8,0.895,0.0,1.04,9400.8,6599.2,0.0,7401.3,9400.8,0.0,3441.941720889532
1731069779.3,19.8,0.676,0.0,0.749,9400.9,6599.1,0.0,7401.4,9400.9,0.0,3442.1045146828405
1731069779.8,19.8,0.57,0.0,0.749,9401.0,6599.0,0.0,7401.5,9401.0,0.0,3442.2673123974555
1731069780.3,20.5,0.619,0.0,0.904,9401.1,6598.9,0.0,7401.6,9401.1,0.0,3442.4301140328184
1731069780.8,19.8,0.738,0.0,2.94,9401.2,6598.8,0.0,7401.7,9401.2,0.0,3442.592919588374
1731069781.3,19.8,0.707,0.0,0.748,9401.3,6598.7,0.0,7401.8,9401.3,0.0,3442.755729063564
1731069781.8,20.5,0.647,0.0,1.45,9401.4,6598.6,0.0,7401.9,9401.4,0.0,3442.918542457837
1731069782.3,19.8,0.63,0.0,1.28,9401.5,6598.5,0.0,7402.0,9401.5,0.0,3443.081359770634
1731069782.8,19.8,0.763,0.0,2.82,9401.6,6598.4,0.0,7402.1,9401.6,0.0,3443.2441810014
1731069783.3,19.8,0.876,0.0,1.24,9401.7,6598.3,0.0,7402.2,9401.7,0.0,3443.407006149579
1731069783.8,19.8,1.145,0.0,1.14,9401.8,6598.2,0.0,7402.3,9401.8,0.0,3443.5698352146123
1731069784.3,20.5,0.791,0.0,1.32,9401.9,6598.1,0.0,7402.4,9401.9,0.0,3443.73266819595
1731069784.8,19.8,0.822,0.0,1.15,9402.0,6598.0,0.0,7402.5,9402.0,0.0,3443.8955050930335
1731069785.3,19.8,1.009,0.0,1.53,9402.1,6597.9,0.0,7402.6,9402.1,0.0,3444.0583459053078
1731069785.8,20.5,0.905,0.0,1.1,9402.2,6597.8,0.0,7402.7,9402.2,0.0,3444.2211906322173
1731069786.3,19.8,0.942,0.0,7.8,9402.3,6597.7,0.0,7402.8,9402.3,0.0,3444.384039273204
1731069786.8,19.8,0.987,0.0,1.22,9402.4,6597.6,0.0,7402.9,9402.4,0.0,3444.5468918277184
1731069787.3,19.8,1.162,0.0,0.913,9402.5,6597.5,0.0,7403.0,9402.5,0.0,3444.709748295203
1731069787.8,20.5,1.058,0.0,1.8,9402.6,6597.4,0.0,7403.1,9402.6,0.0,3444.872608675102
1731069788.3,19.2,0.643,0.0,0.892,9402.7,6597.3,0.0,7403.2,9402.7,0.0,3445.0354729668616
1731069788.8,20.5,0.543,0.0,0.758,9402.8,6597.2,0.0,7403.3,9402.8,0.0,3445.1983411699234
1731069789.3,19.8,0.493,0.0,0.851,9402.9,6597.1,0.0,7403.4,9402.9,0.0,3445.361213283739
1731069789.8,20.5,0.752,0.0,0.963,9403.0,6597.0,0.0,7403.5,9403.0,0.0,3445.52408930775
1731069790.3,19.8,0.526,0.0,0.886,9403.1,6596.9,0.0,7403.6,9403.1,0.0,3445.686969241403
1731069790.8,19.8,0.586,0.0,0.836,9403.2,6596.8,0.0,7403.7,9403.2,0.0,3445.8498530841425
1731069791.3,19.8,0.669,0.0,1.28,9403.3,6596.7,0.0,7403.8,9403.3,0.0,3446.012740835413
1731069791.8,20.5,0.66,0.0,1.86,9403.4,6596.6,0.0,7403.9,9403.4,0.0,3446.1756324946637
1731069792.3,19.8,0.573,0.0,3.91,9403.5,6596.5,0.0,7404.0,9403.5,0.0,3446.3385280613393
1731069792.8,19.8,0.452,0.0,2.45,9403.6,6596.4,0.0,7404.1,9403.6,0.0,3446.5014275348854
1731069793.3,19.8,0.544,0.0,0.883,9403.7,6596.3,0.0,7404.2,9403.7,0.0,3446.664330914748
1731069793.8,20.5,0.511,0.0,0.908,9403.8,6596.2,0.0,7404.3,9403.8,0.0,3446.8272382003706
1731069794.3,19.8,0.494,0.0,0.933,9403.9,6596.1,0.0,7404.4,9403.9,0.0,3446.9901493912043
1731069794.8,19.8,0.607,0.0,0.831,9404.0,6596.0,0.0,7404.5,9404.0,0.0,3447.153064486693
1731069795.3,19.8,0.59,0.0,0.942,9404.1,6595.9,0.0,7404.6,9404.1,0.0,3447.3159834862836
1731069795.8,20.5,0.561,0.0,1.3,9404.2,6595.8,0.0,7404.7,9404.2,0.0,3447.4789063894223
1731069796.3,19.8,0.575,0.0,0.937,9404.3,6595.7,0.0,7404.8,9404.3,0.0,3447.641833195553
1731069796.8,19.8,0.675,0.0,0.838,9404.4,6595.6,0.0,7404.9,9404.4,0.0,3447.8047639041274
1731069797.3,19.8,0.616,0.0,1.37,9404.5,6595.5,0.0,7405.0,9404.5,0.0,3447.96769851459
1731069797.8,19.8,0.668,0.0,1.0,9404.6,6595.4,0.0,7405.1,9404.6,0.0,3448.130637026388
1731069798.3,20.5,0.752,0.0,1.68,9404.7,6595.3,0.0,7405.2,9404.7,0.0,3448.2935794389673
1731069798.8,19.8,0.763,0.0,0.945,9404.8,6595.2,0.0,7405.3,9404.8,0.0,3448.4565257517734
1731069799.3,19.8,0.9,0.0,4.16,9404.9,6595.1,0.0,7405.4,9404.9,0.0,3448.619475964258
1731069799.8,20.5,0.797,0.0,1.35,9405.0,6595.0,0.0,7405.5,9405.0,0.0,3448.7824300758666
1731069800.3,19.8,0.841,0.0,1.08,9405.1,6594.9,0.0,7405.6,9405.1,0.0,3448.9453880860456
1731069800.8,19.8,0.858,0.0,1.41,9405.2,6594.8,0.0,7405.7,9405.2,0.0,3449.108349994243
1731069801.3,19.8,0.556,0.0,1.02,9405.3,6594.7,0.0,7405.8,9405.3,0.0,3449.271315799903
1731069801.8,20.5,0.55,0.0,1.59,9405.4,6594.6,0.0,7405.9,9405.4,0.0,3449.434285502479
1731069802.3,19.8,0.662,0.0,1.28,9405.5,6594.5,0.0,7406.0,9405.5,0.0,3449.5972591014156
1731069802.8,19.8,0.666,0.0,0.959,9405.6,6594.4,0.0,7406.1,9405.6,0.0,3449.7602365961616
1731069803.3,19.8,0.7,0.0,2.55,9405.7,6594.3,0.0,7406.2,9405.7,0.0,3449.9232179861638
1731069803.8,19.8,0.686,0.0,4.12,9405.8,6594.2,0.0,7406.3,9405.8,0.0,3450.086203270868
1731069804.3,20.5,0.871,0.0,1.22,9405.9,6594.1,0.0,7406.4,9405.9,0.0,3450.249192449727
1731069804.8,19.8,0.779,0.0,1.13,9406.0,6594.0,0.0,7406.5,9406.0,0.0,3450.412185522188
1731069805.3,19.8,0.791,0.0,2.47,9406.1,6593.9,0.0,7406.6,9406.1,0.0,3450.575182487697
1731069805.8,20.5,0.857,0.0,1.07,9406.2,6593.8,0.0,7406.7,9406.2,0.0,3450.738183345704
1731069806.3,19.8,0.863,0.0,0.806,9406.3,6593.7,0.0,7406.8,9406.3,0.0,3450.9011880956537
1731069806.8,19.8,1.061,0.0,0.89,9406.4,6593.6,0.0,7406.9,9406.4,0.0,3451.064196737
1731069807.3,19.8,0.918,0.0,0.938,9406.5,6593.5,0.0,7407.0,9406.5,0.0,3451.2272092691896
1731069807.8,20.5,1.018,0.0,1.11,9406.6,6593.4,0.0,7407.1,9406.6,0.0,3451.390225691671
1731069808.3,19.8,0.953,0.0,0.731,9406.7,6593.3,0.0,7407.2,9406.7,0.0,3451.5532460038926
1731069808.8,19.8,1.043,0.0,1.46,9406.8,6593.2,0.0,7407.3,9406.8,0.0,3451.716270205301
1731069809.3,19.8,0.875,0.0,1.17,9406.9,6593.1,0.0,7407.4,9406.9,0.0,3451.8792982953496
1731069809.8,19.8,0.516,0.0,3.45,9407.0,6593.0,0.0,7407.5,9407.0,0.0,3452.042330273486
1731069810.3,20.5,0.5,0.0,1.1,9407.1,6592.9,0.0,7407.6,9407.1,0.0,3452.2053661391587
1731069810.8,19.8,0.498,0.0,0.983,9407.2,6592.8,0.0,7407.7,9407.2,0.0,3452.368405891817
1731069811.3,19.8,0.515,0.0,0.993,9407.3,6592.7,0.0,7407.8,9407.3,0.0,3452.531449530908
1731069811.8,20.5,0.537,0.0,1.07,9407.4,6592.6,0.0,7407.9,9407.4,0.0,3452.6944970558857
1731069812.3,19.8,0.609,0.0,0.934,9407.5,6592.5,0.0,7408.0,9407.5,0.0,3452.8575484661974
1731069812.8,19.8,0.559,0.0,0.791,9407.6,6592.4,0.0,7408.1,9407.6,0.0,3453.020603761293
1731069813.3,19.8,0.736,0.0,0.797,9407.7,6592.3,0.0,7408.2,9407.7,0.0,3453.1836629406216
1731069813.8,19.8,0.539,0.0,0.794,9407.8,6592.2,0.0,7408.3,9407.8,0.0,3453.34672600363
1731069814.3,20.5,0.467,0.0,0.843,9407.9,6592.1,0.0,7408.4,9407.9,0.0,3453.5097929497747
1731069814.8,19.8,0.516,0.0,1.03,9408.0,6592.0,0.0,7408.5,9408.0,0.0,3453.6728637785022
1731069815.3,19.9,0.481,0.0,1.04,9408.1,6591.9,0.0,7408.6,9408.1,0.0,3453.8359384892624
1731069815.8,20.5,0.527,0.0,1.52,9408.2,6591.8,0.0,7408.7,9408.2,0.0,3453.9990170815054
1731069816.3,19.8,0.684,0.0,5.62,9408.3,6591.7,0.0,7408.8,9408.3,0.0,3454.1620995546796
1731069816.8,19.8,0.586,0.0,0.84,9408.4,6591.6,0.0,7408.9,9408.4,0.0,3454.3251859082397
1731069817.3,19.8,0.785,0.0,3.95,9408.5,6591.5,0.0,7409.0,9408.5,0.0,3454.4882761416343
1731069817.8,20.5,0.589,0.0,1.0,9408.6,6591.4,0.0,7409.1,9408.6,0.0,3454.651370254313
1731069818.3,19.8,0.585,0.0,1.76,9408.7,6591.3,0.0,7409.2,9408.7,0.0,3454.8144682457273
1731069818.8,19.8,0.724,0.0,0.943,9408.8,6591.2,0.0,7409.3,9408.8,0.0,3454.977570115325
1731069819.3,19.8,0.728,0.0,1.42,9408.9,6591.1,0.0,7409.4,9408.9,0.0,3455.1406758625612
1731069819.8,20.5,0.699,0.0,1.8,9409.0,6591.0,0.0,7409.5,9409.0,0.0,3455.3037854868853
1731069820.3,19.8,0.755,0.0,0.874,9409.1,6590.9,0.0,7409.6,9409.1,0.0,3455.466898987748
1731069820.8,19.9,0.77,0.0,0.96,9409.2,6590.8,0.0,7409.7,9409.2,0.0,3455.6300163646
1731069821.3,19.8,0.823,0.0,1.13,9409.3,6590.7,0.0,7409.8,9409.3,0.0,3455.793137616891
1731069821.8,20.5,0.897,0.0,0.855,9409.4,6590.6,0.0,7409.9,9409.4,0.0,3455.956262744075
1731069822.3,19.9,0.704,0.0,1.08,9409.5,6590.5,0.0,7410.0,9409.5,0.0,3456.1193917456035
1731069822.8,19.8,0.564,0.0,7.68,9409.6,6590.4,0.0,7410.1,9409.6,0.0,3456.2825246209263
1731069823.3,19.8,0.572,0.0,0.948,9409.7,6590.3,0.0,7410.2,9409.7,0.0,3456.445661369495
1731069823.8,20.5,0.613,0.0,0.958,9409.8,6590.2,0.0,7410.3,9409.8,0.0,3456.6088019907593
1731069824.3,19.8,0.709,0.0,0.911,9409.9,6590.1,0.0,7410.4,9409.9,0.0,3456.7719464841753
1731069824.8,19.8,0.688,0.0,1.5,9410.0,6590.0,0.0,7410.5,9410.0,0.0,3456.9350948491933
1731069825.3,19.8,0.707,0.0,0.862,9410.1,6589.9,0.0,7410.6,9410.1,0.0,3457.0982470852637
1731069825.8,20.5,0.7,0.0,0.873,9410.2,6589.8,0.0,7410.7,9410.2,0.0,3457.2614031918397
1731069826.3,19.8,0.71,0.0,0.77,9410.3,6589.7,0.0,7410.8,9410.3,0.0,3457.42456316837
1731069826.8,19.8,0.774,0.0,0.859,9410.4,6589.6,0.0,7410.9,9410.4,0.0,3457.587727014312
1731069827.3,19.8,0.82,0.0,0.851,9410.5,6589.5,0.0,7411.0,9410.5,0.0,3457.7508947291158
1731069827.8,20.5,0.932,0.0,0.868,9410.6,6589.4,0.0,7411.1,9410.6,0.0,3457.9140663122334
1731069828.3,19.8,0.99,0.0,1.1,9410.7,6589.3,0.0,7411.2,9410.7,0.0,3458.077241763117
1731069828.8,19.8,1.028,0.0,1.27,9410.8,6589.2,0.0,7411.3,9410.8,0.0,3458.240421081217
1731069829.3,19.9,1.053,0.0,0.84,9410.9,6589.1,0.0,7411.4,9410.9,0.0,3458.4036042659905
1731069829.8,20.5,0.998,0.0,0.71,9411.0,6589.0,0.0,7411.5,9411.0,0.0,3458.5667913168886
1731069830.3,19.8,1.049,0.0,1.11,9411.1,6588.9,0.0,7411.6,9411.1,0.0,3458.7299822333634
1731069830.8,19.8,0.792,0.0,2.62,9411.2,6588.8,0.0,7411.7,9411.2,0.0,3458.893177014868
1731069831.3,19.8,0.724,0.0,1.96,9411.3,6588.7,0.0,7411.8,9411.3,0.0,3459.0563756608526
1731069831.8,20.5,0.701,0.0,1.17,9411.4,6588.6,0.0,7411.9,9411.4,0.0,3459.219578170775
1731069832.3,19.9,0.595,0.0,0.999,9411.5,6588.5,0.0,7412.0,9411.5,0.0,3459.382784544087
1731069832.8,19.8,0.52,0.0,1.19,9411.6,6588.4,0.0,7412.1,9411.6,0.0,3459.5459947802406
1731069833.3,19.8,0.627,0.0,0.833,9411.7,6588.3,0.0,7412.2,9411.7,0.0,3459.7092088786894
1731069833.8,20.5,0.556,0.0,0.775,9411.8,6588.2,0.0,7412.3,9411.8,0.0,3459.8724268388846
1731069834.3,19.8,0.549,0.0,0.872,9411.9,6588.1,0.0,7412.4,9411.9,0.0,3460.0356486602846
1731069834.8,19.8,0.64,0.0,2.27,9412.0,6588.0,0.0,7412.5,9412.0,0.0,3460.1988743423403
1731069835.3,19.8,0.556,0.0,3.02,9412.1,6587.9,0.0,7412.6,9412.1,0.0,3460.362103884506
1731069835.8,19.9,0.487,0.0,4.47,9412.2,6587.8,0.0,7412.7,9412.2,0.0,3460.5253372862344
1731069836.3,20.5,0.494,0.0,3.28,9412.3,6587.7,0.0,7412.8,9412.3,0.0,3460.6885745469776
1731069836.8,19.8,0.606,0.0,3.45,9412.4,6587.6,0.0,7412.9,9412.4,0.0,3460.8518156661944
1731069837.3,19.8,0.542,0.0,7.81,9412.5,6587.5,0.0,7413.0,9412.5,0.0,3461.0150606433367
