Time,Bitrate,Jitter,Datagrams
1731068772.29,20.5,1.142,0.0
1731068772.79,19.8,0.834,0.0
1731068773.29,19.8,0.934,0.0
1731068773.79,20.5,0.903,0.0
1731068774.29,19.8,0.721,0.0
1731068774.79,19.8,0.423,0.0
1731068775.29,19.8,0.434,0.0
1731068775.79,20.5,0.524,0.0
1731068776.29,19.8,0.634,0.0
1731068776.79,19.8,0.468,0.0
1731068777.29,19.8,0.514,0.0
1731068777.79,20.5,0.510,0.0
1731068778.29,19.8,1.106,0.0
1731068778.79,19.8,0.574,0.0
1731068779.29,19.8,0.454,0.0
1731068779.79,20.5,0.574,0.0
1731068780.29,19.8,0.523,0.0
1731068780.79,19.8,0.741,0.0
1731068781.29,19.8,0.608,0.0
1731068781.79,20.5,0.609,0.0
1731068782.29,19.8,0.537,0.0
1731068782.79,19.9,0.571,0.0
1731068783.29,19.8,0.713,0.0
1731068783.79,20.5,0.641,0.0
1731068784.29,19.9,0.689,0.0
1731068784.79,19.8,0.759,0.0
1731068785.29,19.8,0.862,0.0
1731068785.79,20.5,0.723,0.0
1731068786.29,19.9,0.851,0.0
1731068786.79,19.9,0.696,0.0
1731068787.29,19.8,0.520,0.0
1731068787.79,20.5,0.664,0.0
1731068788.29,19.8,0.586,0.0
1731068788.79,19.8,0.804,0.0
1731068789.29,19.8,0.707,0.0
1731068789.79,20.5,0.681,0.0
1731068790.29,19.8,1.250,0.0
1731068790.79,19.8,0.801,0.0
1731068791.29,19.9,0.773,0.0
1731068791.79,20.5,0.823,0.0
1731068792.29,19.8,0.887,0.0
1731068792.79,19.9,0.853,0.0
1731068793.29,19.8,0.745,0.0
1731068793.79,20.5,0.889,0.0
1731068794.29,19.8,1.093,0.0
1731068794.79,19.8,0.902,0.0
1731068795.29,19.8,1.099,0.0
1731068795.79,19.8,0.448,0.0
1731068796.29,20.5,0.527,0.0
1731068796.79,19.8,0.541,0.0
1731068797.29,19.9,0.546,0.0
1731068797.79,20.5,0.530,0.0
1731068798.29,19.8,0.486,0.0
1731068798.79,19.8,0.584,0.0
1731068799.29,19.8,0.524,0.0
1731068799.79,19.9,0.415,0.0
1731068800.29,20.5,1.067,0.0
1731068800.79,19.8,0.573,0.0
1731068801.29,19.8,0.566,0.0
1731068801.79,20.5,0.517,0.0
1731068802.29,19.8,0.523,0.0
1731068802.79,19.8,0.686,0.0
1731068803.29,19.9,0.676,0.0
1731068803.79,20.5,0.616,0.0
1731068804.29,19.8,0.997,0.0
1731068804.79,19.9,0.650,0.0
1731068805.29,19.8,0.858,0.0
1731068805.79,20.5,0.651,0.0
1731068806.29,19.8,0.774,0.0
1731068806.79,19.8,0.797,0.0
1731068807.29,19.8,1.055,0.0
1731068807.79,20.5,0.792,0.0
1731068808.29,19.8,0.960,0.0
1731068808.79,19.8,0.658,0.0
1731068809.29,19.8,0.550,0.0
1731068809.79,20.5,0.645,0.0
1731068810.29,19.8,0.776,0.0
1731068810.79,19.8,0.665,0.0
1731068811.29,19.8,0.703,0.0
1731068811.79,20.5,0.857,0.0
1731068812.29,19.8,1.048,0.0
1731068812.79,19.8,0.722,0.0
1731068813.29,19.8,0.737,0.0
1731068813.79,20.5,0.999,0.0
1731068814.29,19.8,0.805,0.0
1731068814.79,19.8,0.775,0.0
1731068815.29,19.8,0.972,0.0
1731068815.79,20.5,0.844,0.0
1731068816.29,19.8,0.894,0.0
1731068816.79,19.8,0.819,0.0
1731068817.29,19.9,0.365,0.0
1731068817.79,20.5,0.432,0.0
1731068818.29,19.8,0.820,0.0
1731068818.79,19.9,0.439,0.0
1731068819.29,19.8,0.795,0.0
1731068819.79,20.5,0.603,0.0
1731068820.29,19.8,0.497,0.0
1731068820.79,19.8,0.448,0.0
1731068821.29,19.8,0.606,0.0
1731068821.79,20.5,0.643,0.0
1731068822.29,19.9,0.444,0.0
1731068822.79,19.8,0.566,0.0
1731068823.29,19.8,0.463,0.0
1731068823.79,20.5,0.462,0.0
1731068824.29,19.8,0.839,0.0
1731068824.79,19.8,0.678,0.0
1731068825.29,19.8,0.676,0.0
1731068825.79,19.8,0.623,0.0
1731068826.29,20.5,0.725,0.0
1731068826.79,19.8,0.807,0.0
1731068827.29,19.8,0.695,0.0
1731068827.79,20.5,0.780,0.0
1731068828.29,19.8,0.638,0.0
1731068828.79,19.8,0.680,0.0
1731068829.29,19.9,0.631,0.0
1731068829.79,19.8,0.519,0.0
1731068830.29,20.5,0.569,0.0
1731068830.79,19.9,0.601,0.0
1731068831.29,19.8,0.655,0.0
1731068831.79,20.5,0.506,0.0
1731068832.29,19.8,0.693,0.0
1731068832.79,19.8,0.613,0.0
1731068833.29,19.8,0.816,0.0
1731068833.79,20.5,0.675,0.0
1731068834.29,19.8,0.677,0.0
1731068834.79,19.8,1.068,0.0
1731068835.29,19.8,0.782,0.0
1731068835.79,20.5,0.732,0.0
1731068836.29,19.8,0.846,0.0
1731068836.79,19.9,1.275,0.0
