Time,Bitrate,Jitter,Datagrams,Delay
1731067774.96,19.8,0.629,0.0,7.15
1731067775.46,19.8,0.738,0.0,1.83
1731067775.96,20.5,0.687,0.0,1.55
1731067776.46,19.9,0.845,0.0,1.99
1731067776.96,19.8,0.925,0.0,1.78
1731067777.46,19.8,0.82,0.0,1.8
1731067777.96,19.8,0.986,0.0,1.67
1731067778.46,20.5,0.798,0.0,1.85
1731067778.96,19.8,0.749,0.0,2.08
1731067779.46,19.8,0.955,0.0,8.2
1731067779.96,20.5,0.822,0.0,2.09
1731067780.46,19.8,0.908,0.0,2.87
1731067780.96,19.9,0.836,0.0,1.68
1731067781.46,19.8,0.856,0.0,2.94
1731067781.96,20.5,0.88,0.0,2.11
1731067782.46,19.8,0.96,0.0,1.54
1731067782.96,19.9,1.002,0.0,2.0
1731067783.46,19.8,1.092,0.0,1.59
1731067783.96,19.9,1.09,0.0,3.52
1731067784.46,20.5,1.056,0.0,1.83
1731067784.96,19.8,1.146,0.0,1.81
1731067785.46,19.9,1.526,0.0,1.69
1731067785.96,20.5,1.23,0.0,1.84
1731067786.46,19.2,0.74,0.0,1.76
1731067786.96,20.5,0.999,0.0,2.02
1731067787.46,19.8,0.822,0.0,1.77
1731067787.96,20.5,0.899,0.0,2.34
1731067788.46,19.8,1.097,0.0,3.05
1731067788.96,19.8,0.82,0.0,1.52
1731067789.46,19.9,0.883,0.0,2.52
1731067789.96,20.5,0.896,0.0,1.57
1731067790.46,19.8,0.934,0.0,1.58
1731067790.96,19.8,1.031,0.0,2.5
1731067791.46,19.8,1.17,0.0,1.51
1731067791.96,20.5,1.153,0.0,1.77
1731067792.46,19.8,1.546,0.0,1.98
1731067792.96,19.8,1.284,0.0,1.68
1731067793.46,19.8,1.186,0.0,10.2
1731067793.96,20.5,1.293,0.0,1.6
1731067794.46,19.8,1.387,0.0,2.2
1731067794.96,19.8,1.091,0.0,2.14
1731067795.46,19.8,0.598,0.0,2.51
1731067795.96,20.5,0.759,0.0,2.01
1731067796.46,19.8,0.746,0.0,1.93
1731067796.96,19.8,0.781,0.0,1.63
1731067797.46,19.8,0.785,0.0,2.77
1731067797.96,20.5,0.692,0.0,9.83
1731067798.46,19.8,0.918,0.0,1.7
1731067798.96,19.9,0.898,0.0,2.73
1731067799.46,19.8,0.695,0.0,1.51
1731067799.96,20.5,0.932,0.0,3.33
1731067800.46,19.8,0.783,0.0,2.58
1731067800.96,19.8,0.764,0.0,1.68
1731067801.46,19.9,1.172,0.0,1.82
1731067801.96,20.5,0.989,0.0,1.95
1731067802.46,19.8,0.867,0.0,2.44
1731067802.96,19.8,1.066,0.0,8.15
1731067803.46,19.8,0.851,0.0,2.21
1731067803.96,19.8,1.16,0.0,3.36
1731067804.46,20.5,0.93,0.0,3.45
1731067804.96,19.9,0.967,0.0,2.81
1731067805.46,19.8,1.244,0.0,3.66
1731067805.96,20.5,1.254,0.0,3.45
1731067806.46,19.8,1.475,0.0,1.69
1731067806.96,19.8,1.295,0.0,2.34
1731067807.46,19.9,0.962,0.0,7.7
1731067807.96,19.8,0.959,0.0,1.85
1731067808.46,20.5,0.721,0.0,2.83
1731067808.96,19.8,0.88,0.0,1.99
1731067809.46,19.8,0.814,0.0,1.69
1731067809.96,20.5,0.906,0.0,2.92
1731067810.46,19.8,0.789,0.0,1.79
1731067810.96,19.8,1.147,0.0,1.68
1731067811.46,19.8,1.122,0.0,2.07
1731067811.96,19.9,1.103,0.0,6.29
1731067812.46,20.5,0.938,0.0,1.98
1731067812.96,19.8,1.126,0.0,1.77
1731067813.46,19.8,1.138,0.0,2.23
1731067813.96,20.5,1.037,0.0,2.17
1731067814.46,19.8,1.269,0.0,1.63
1731067814.96,19.8,1.171,0.0,2.75
1731067815.46,19.8,1.241,0.0,2.16
1731067815.96,20.5,1.413,0.0,1.51
1731067816.46,19.2,0.656,0.0,2.75
1731067816.96,20.5,0.621,0.0,1.88
1731067817.46,19.8,0.712,0.0,1.58
1731067817.96,20.5,0.845,0.0,2.67
1731067818.46,19.8,0.658,0.0,1.5
1731067818.96,19.9,0.734,0.0,1.58
1731067819.46,19.8,0.882,0.0,1.89
1731067819.96,19.9,0.971,0.0,1.87
1731067820.46,20.5,0.754,0.0,3.42
1731067820.96,19.9,0.677,0.0,1.38
1731067821.46,19.8,0.742,0.0,8.85
