Time,Bitrate,Jitter,Datagrams,Delay
1731068772.31,40.3,0.295,0.0,1.15
1731068772.81,40.3,0.303,0.0,0.857
1731068773.31,39.7,0.349,0.0,1.24
1731068773.81,40.3,0.515,0.0,1.36
1731068774.31,39.7,0.348,0.0,0.758
1731068774.81,39.7,0.507,0.015873015873015872,1.57
1731068775.31,39.7,0.418,0.0,1.4
1731068775.81,40.3,0.428,0.0,1.09
1731068776.31,39.0,0.352,0.016129032258064516,0.969
1731068776.81,40.3,0.502,0.0,1.2
1731068777.31,39.7,0.468,0.0,2.62
1731068777.81,40.3,0.446,0.0,1.06
1731068778.31,39.7,0.686,0.0,1.05
1731068778.81,40.3,0.786,0.0,0.97
1731068779.31,39.7,0.559,0.0,1.46
1731068779.81,40.3,0.429,0.0,1.03
1731068780.31,38.4,0.479,0.03225806451612903,0.826
1731068780.81,40.3,0.457,0.0,0.774
1731068781.31,39.7,0.489,0.0,1.0
1731068781.81,40.3,0.537,0.0,1.36
1731068782.31,39.7,0.599,0.0,0.808
1731068782.81,40.3,0.651,0.0,4.83
1731068783.31,39.7,0.706,0.0,0.83
1731068783.81,39.7,0.533,0.0,4.87
1731068784.31,40.3,0.472,0.0,0.924
1731068784.81,39.7,0.573,0.0,0.816
1731068785.31,40.3,0.689,0.0,0.83
1731068785.81,40.3,0.756,0.0,4.88
1731068786.31,39.7,0.753,0.0,0.888
1731068786.81,40.3,0.688,0.0,0.926
1731068787.31,39.7,0.895,0.0,1.17
1731068787.81,40.3,1.013,0.0,0.88
1731068788.31,39.7,0.530,0.0,1.08
1731068788.81,39.7,0.560,0.0,1.39
1731068789.31,39.7,0.797,0.015873015873015872,0.886
1731068789.81,39.7,0.682,0.0,0.955
1731068790.31,40.3,0.610,0.0,0.93
1731068790.81,40.3,0.738,0.0,0.816
1731068791.31,39.7,0.787,0.0,0.764
1731068791.81,39.7,1.019,0.0,1.12
1731068792.31,39.6,0.256,0.0,1.36
1731068792.81,41.0,0.254,0.0,0.835
1731068793.31,39.7,0.320,0.0,0.942
1731068793.81,39.7,0.285,0.015873015873015872,1.42
1731068794.31,39.7,0.416,0.0,0.848
1731068794.81,40.3,0.333,0.0,1.11
1731068795.31,39.7,0.309,0.0,4.08
1731068795.81,40.3,0.461,0.0,1.37
1731068796.31,39.7,0.495,0.0,1.53
1731068796.81,40.3,0.323,0.0,1.53
1731068797.31,39.7,0.438,0.0,1.77
1731068797.81,40.3,0.483,0.0,0.971
1731068798.31,39.7,0.385,0.0,0.866
1731068798.81,39.7,0.614,0.0,0.787
1731068799.31,40.3,0.486,0.0,1.01
1731068799.81,39.7,0.583,0.015873015873015872,1.1
1731068800.31,39.7,0.655,0.0,0.899
1731068800.81,39.7,0.408,0.0,1.22
1731068801.31,40.3,0.607,0.0,0.741
1731068801.81,40.3,0.472,0.0,NA
1731068802.31,39.7,0.577,0.0,0.818
1731068802.81,39.7,0.600,0.015873015873015872,0.986
1731068803.31,39.7,0.610,0.0,0.905
1731068803.81,40.3,0.692,0.0,1.07
1731068804.31,39.7,0.811,0.0,1.71
1731068804.81,39.7,0.574,0.0,6.88
1731068805.31,40.3,0.459,0.0,1.13
1731068805.81,39.7,0.677,0.0,1.86
1731068806.31,40.3,0.608,0.0,1.08
1731068806.81,40.3,0.601,0.0,1.28
1731068807.31,39.7,0.646,0.0,1.29
1731068807.81,40.3,0.822,0.0,1.27
1731068808.31,39.7,0.721,0.0,1.13
1731068808.81,40.3,0.860,0.0,1.52
1731068809.31,39.1,0.531,0.0,4.04
1731068809.81,40.9,0.479,0.0,1.14
1731068810.31,39.7,0.545,0.0,0.987
1731068810.81,40.3,0.533,0.0,1.31
1731068811.31,39.7,0.607,0.0,0.772
1731068811.81,40.3,0.627,0.0,0.903
1731068812.31,39.7,0.707,0.0,1.31
1731068812.81,39.7,0.827,0.015873015873015872,0.703
1731068813.31,39.7,0.829,0.0,0.976
1731068813.81,39.7,0.407,0.0,1.44
1731068814.31,39.6,0.268,0.015873015873015872,1.89
1731068814.81,40.3,0.277,0.0,5.91
1731068815.31,39.7,0.378,0.0,1.06
1731068815.81,40.3,0.375,0.0,0.836
1731068816.31,39.1,0.363,0.016129032258064516,1.05
1731068816.81,40.3,0.460,0.0,0.859
1731068817.31,39.7,0.544,0.0,0.951
1731068817.81,39.7,0.346,0.0,1.38
1731068818.31,40.3,0.504,0.0,0.856
1731068818.81,40.3,0.355,0.0,0.944
1731068819.31,39.7,0.562,0.0,1.36
1731068819.81,40.3,0.481,0.0,0.888
1731068820.31,39.7,0.499,0.0,0.894
1731068820.81,40.3,0.497,0.0,0.876
1731068821.31,39.7,0.529,0.0,0.92
1731068821.81,40.3,0.858,0.0,1.14
1731068822.31,39.7,0.405,0.0,0.891
1731068822.81,40.4,0.469,0.0,1.21
1731068823.31,39.7,0.424,0.0,0.889
1731068823.81,39.7,0.507,0.0,1.0
1731068824.31,40.3,0.603,0.0,1.34
1731068824.81,39.7,0.605,0.0,0.769
1731068825.31,39.6,0.641,0.015873015873015872,1.14
1731068825.81,39.7,0.704,0.0,3.61
1731068826.31,40.3,0.595,0.0,0.803
1731068826.81,39.7,0.466,0.015873015873015872,0.954
1731068827.31,39.7,0.548,0.0,1.47
1731068827.81,40.3,0.526,0.0,0.867
1731068828.31,39.7,0.591,0.0,1.03
1731068828.81,39.7,0.651,0.0,0.865
1731068829.31,40.3,0.715,0.0,1.02
1731068829.81,39.7,0.818,0.0,1.37
1731068830.31,40.3,1.006,0.0,0.828
1731068830.81,39.7,0.489,0.0,0.98
1731068831.31,40.3,0.481,0.0,1.01
1731068831.81,40.3,0.535,0.0,4.53
1731068832.31,39.7,0.587,0.0,0.891
1731068832.81,40.3,0.672,0.0,0.907
1731068833.31,39.7,0.764,0.0,0.797
1731068833.81,40.3,0.715,0.0,0.898
1731068834.31,39.7,0.893,0.0,1.39
1731068834.81,40.3,0.976,0.0,0.928
1731068835.31,39.7,0.341,0.0,0.849
1731068835.81,39.0,0.381,0.031746031746031744,0.887
1731068836.31,39.7,0.319,0.0,0.804
1731068836.81,39.7,0.448,0.0,0.881
1731068837.31,40.3,0.369,0.0,1.31
1731068837.81,40.3,0.363,0.0,0.864
1731068838.31,39.7,0.471,0.0,1.03
1731068838.81,39.7,0.431,0.0,1.41
1731068839.31,39.7,0.319,0.0,1.7
1731068839.81,40.3,0.348,0.0,0.768
1731068840.31,39.1,0.438,0.016129032258064516,0.931
1731068840.81,39.7,0.436,0.0,1.12
1731068841.31,40.3,0.455,0.0,0.829
1731068841.81,40.3,0.538,0.0,1.25
1731068842.31,39.7,0.525,0.0,1.6
1731068842.81,40.3,0.549,0.0,0.864
1731068843.31,39.7,0.527,0.0,1.24
1731068843.81,39.7,0.456,0.0,1.12
1731068844.31,40.3,0.505,0.0,NA
1731068844.81,40.3,0.442,0.0,4.67
1731068845.31,39.7,0.491,0.0,0.864
1731068845.81,40.3,0.612,0.0,5.68
1731068846.31,39.7,0.840,0.0,1.48
1731068846.81,40.3,0.618,0.0,0.884
1731068847.31,39.7,0.737,0.0,4.43
1731068847.81,39.7,0.510,0.0,1.02
1731068848.31,40.3,0.517,0.0,1.03
1731068848.81,40.3,0.690,0.0,0.67
1731068849.31,39.7,0.560,0.0,0.957
1731068849.81,40.3,0.804,0.0,1.11
1731068850.31,39.7,0.694,0.0,0.904
1731068850.81,40.3,0.709,0.0,0.922
1731068851.31,39.7,0.953,0.0,0.741
1731068851.81,39.7,0.673,0.0,0.901
1731068852.31,40.3,0.477,0.0,1.42
1731068852.81,39.7,0.469,0.0,6.32
1731068853.31,40.3,0.538,0.0,0.649
1731068853.81,40.3,0.698,0.0,1.01
1731068854.31,39.7,0.642,0.0,1.17
1731068854.81,40.3,0.714,0.0,0.856
1731068855.31,39.7,0.855,0.0,0.974
1731068855.81,39.7,0.882,0.0,0.7
1731068856.31,39.7,0.236,0.0,0.817
1731068856.81,41.0,0.313,0.0,0.811
1731068857.31,39.7,0.579,0.0,0.817
1731068857.81,40.3,0.346,0.0,0.995
1731068858.31,39.7,0.317,0.0,1.51
1731068858.81,40.3,0.346,0.0,0.863
1731068859.31,39.7,0.519,0.0,1.24
1731068859.81,39.7,0.395,0.015873015873015872,2.87
1731068860.31,39.7,0.530,0.0,1.07
1731068860.81,40.3,0.341,0.0,0.853
1731068861.31,39.7,0.356,0.0,1.06
1731068861.81,39.5,0.582,0.015873015873015872,1.04
1731068862.31,39.8,0.378,0.0,0.872
1731068862.81,40.3,0.478,0.0,0.787
1731068863.31,39.7,0.536,0.0,0.726
1731068863.81,40.3,0.531,0.0,1.08
1731068864.31,39.7,0.502,0.0,1.43
1731068864.81,39.7,0.368,0.0,0.806
1731068865.31,40.3,0.449,0.0,0.926
1731068865.81,39.7,0.470,0.0,1.14
1731068866.31,40.3,0.603,0.0,NA
1731068866.81,40.3,0.506,0.0,8.3
1731068867.31,39.7,0.698,0.0,0.93
1731068867.81,39.7,0.608,0.0,0.861
1731068868.31,40.3,0.647,0.0,0.97
1731068868.81,40.3,0.852,0.0,1.42
1731068869.31,39.7,0.551,0.0,0.798
1731068869.81,39.7,0.486,0.0,3.78
1731068870.31,40.3,0.544,0.0,3.53
1731068870.81,39.7,0.627,0.0,3.36
1731068871.31,40.3,0.612,0.0,2.66
1731068871.81,39.7,0.695,0.0,3.34
1731068872.31,40.3,0.833,0.0,4.56
1731068872.81,39.7,0.903,0.015873015873015872,0.874
1731068873.31,39.1,0.431,0.0,1.2
1731068873.81,40.3,0.567,0.0,1.17
1731068874.31,40.3,0.586,0.0,0.888
1731068874.81,40.3,0.558,0.0,0.983
1731068875.31,39.7,0.630,0.0,1.47
1731068875.81,40.3,0.637,0.0,0.867
1731068876.31,39.7,0.777,0.0,1.0
1731068876.81,40.3,0.983,0.0,1.44
1731068877.31,39.7,0.887,0.0,0.787
1731068877.81,39.7,0.363,0.0,4.99
1731068878.31,40.3,0.294,0.0,1.21
1731068878.81,40.3,0.247,0.0,1.0
1731068879.31,39.7,0.399,0.0,1.26
1731068879.81,39.7,0.337,0.0,0.922
1731068880.31,39.7,0.368,0.0,0.923
1731068880.81,40.3,0.372,0.0,1.36
1731068881.31,39.7,0.391,0.0,1.42
1731068881.81,39.6,0.398,0.0,0.757
1731068882.31,40.4,0.358,0.0,0.919
1731068882.81,39.7,0.349,0.0,1.14
1731068883.31,40.3,0.406,0.0,0.79
1731068883.81,39.7,0.462,0.0,0.989
1731068884.31,40.3,0.492,0.0,1.44
1731068884.81,39.7,0.535,0.0,0.86
1731068885.31,40.3,0.654,0.0,1.57
1731068885.81,40.3,0.777,0.0,1.73
1731068886.31,39.7,0.406,0.0,1.81
1731068886.81,40.3,0.431,0.0,1.19
1731068887.31,39.7,0.451,0.0,4.72
1731068887.81,40.3,0.545,0.0,1.2
1731068888.31,39.7,0.605,0.0,0.995
1731068888.81,40.3,0.682,0.0,1.05
1731068889.31,39.0,0.687,0.016129032258064516,1.9
1731068889.81,40.3,0.693,0.0,1.13
1731068890.31,39.7,0.548,0.0,0.822
1731068890.81,40.3,0.485,0.0,0.885
1731068891.31,39.7,0.581,0.0,1.17
1731068891.81,40.3,0.545,0.0,1.21
1731068892.31,39.7,0.620,0.0,0.882
1731068892.81,39.0,0.662,0.016129032258064516,0.917
1731068893.31,40.3,0.715,0.0,1.89
1731068893.81,39.1,0.859,0.016129032258064516,0.883
1731068894.31,40.3,0.875,0.0,1.04
1731068894.81,39.7,0.518,0.0,1.42
1731068895.31,40.4,0.719,0.0,0.852
1731068895.81,39.7,0.558,0.0,0.926
1731068896.31,40.3,0.832,0.0,1.25
1731068896.81,40.3,0.892,0.0,0.76
1731068897.31,39.7,0.953,0.0,0.769
1731068897.81,40.3,0.709,0.0,0.744
1731068898.31,39.7,0.841,0.0,0.725
1731068898.81,39.7,0.611,0.0,0.863
1731068899.31,40.3,0.269,0.0,0.735
1731068899.81,40.3,0.287,0.0,1.28
1731068900.31,39.7,0.264,0.0,1.46
1731068900.81,40.3,0.507,0.0,2.22
1731068901.31,39.7,0.355,0.0,1.08
1731068901.81,39.7,0.668,0.015873015873015872,0.837
1731068902.31,39.7,0.466,0.0,0.835
1731068902.81,40.3,0.369,0.0,1.01
1731068903.31,39.7,0.352,0.0,1.09
1731068903.81,39.7,0.376,0.0,0.857
1731068904.31,40.3,0.409,0.0,0.724
1731068904.81,40.3,0.564,0.0,0.988
1731068905.31,39.7,0.459,0.0,1.44
1731068905.81,40.3,0.553,0.0,0.9
1731068906.31,39.7,0.642,0.0,1.24
1731068906.81,40.3,0.641,0.0,1.33
1731068907.31,39.6,0.753,0.0,0.832
1731068907.81,40.3,0.537,0.0,4.97
1731068908.31,39.7,0.721,0.0,1.3
1731068908.81,40.3,0.533,0.0,0.743
1731068909.31,39.7,0.668,0.0,0.713
1731068909.81,40.3,0.631,0.0,0.639
1731068910.31,39.7,0.670,0.0,1.26
1731068910.81,39.7,0.660,0.015873015873015872,1.72
1731068911.31,39.7,0.708,0.0,1.19
1731068911.81,39.6,0.829,0.0,0.963
1731068912.31,40.4,0.526,0.0,1.61
1731068912.81,39.7,0.527,0.0,1.29
1731068913.31,40.3,0.643,0.0,1.69
1731068913.81,40.3,0.845,0.0,0.833
