1731067770.652342322: PING 192.168.6.31 (192.168.6.31) 56(84) bytes of data.
1731067770.654693131: 64 bytes from 192.168.6.31: icmp_seq=1 ttl=63 time=4.29 ms
1731067771.148942360: 64 bytes from 192.168.6.31: icmp_seq=2 ttl=63 time=1.45 ms
1731067771.651305595: 64 bytes from 192.168.6.31: icmp_seq=3 ttl=63 time=2.41 ms
1731067772.151126271: 64 bytes from 192.168.6.31: icmp_seq=4 ttl=63 time=1.39 ms
1731067772.652003438: 64 bytes from 192.168.6.31: icmp_seq=5 ttl=63 time=1.49 ms
1731067773.152694941: 64 bytes from 192.168.6.31: icmp_seq=6 ttl=63 time=1.74 ms
1731067773.659249063: 64 bytes from 192.168.6.31: icmp_seq=7 ttl=63 time=6.01 ms
1731067774.155696732: 64 bytes from 192.168.6.31: icmp_seq=8 ttl=63 time=1.99 ms
1731067774.655869019: 64 bytes from 192.168.6.31: icmp_seq=9 ttl=63 time=1.75 ms
1731067775.157282811: 64 bytes from 192.168.6.31: icmp_seq=10 ttl=63 time=2.37 ms
1731067775.657842543: 64 bytes from 192.168.6.31: icmp_seq=11 ttl=63 time=2.15 ms
1731067776.158088660: 64 bytes from 192.168.6.31: icmp_seq=12 ttl=63 time=1.59 ms
1731067776.659891489: 64 bytes from 192.168.6.31: icmp_seq=13 ttl=63 time=2.25 ms
1731067777.160185612: 64 bytes from 192.168.6.31: icmp_seq=14 ttl=63 time=1.71 ms
1731067777.661069416: 64 bytes from 192.168.6.31: icmp_seq=15 ttl=63 time=1.53 ms
1731067778.163407459: 64 bytes from 192.168.6.31: icmp_seq=16 ttl=63 time=2.67 ms
1731067778.663554813: 64 bytes from 192.168.6.31: icmp_seq=17 ttl=63 time=1.31 ms
1731067779.164153114: 64 bytes from 192.168.6.31: icmp_seq=18 ttl=63 time=1.73 ms
1731067779.666411688: 64 bytes from 192.168.6.31: icmp_seq=19 ttl=63 time=2.40 ms
1731067780.167165498: 64 bytes from 192.168.6.31: icmp_seq=20 ttl=63 time=1.91 ms
1731067780.667777253: 64 bytes from 192.168.6.31: icmp_seq=21 ttl=63 time=1.99 ms
1731067781.167919756: 64 bytes from 192.168.6.31: icmp_seq=22 ttl=63 time=1.67 ms
1731067781.670499629: 64 bytes from 192.168.6.31: icmp_seq=23 ttl=63 time=2.32 ms
1731067782.171048457: 64 bytes from 192.168.6.31: icmp_seq=24 ttl=63 time=2.41 ms
1731067782.670387677: 64 bytes from 192.168.6.31: icmp_seq=25 ttl=63 time=1.56 ms
1731067783.181459290: 64 bytes from 192.168.6.31: icmp_seq=26 ttl=63 time=10.6 ms
1731067783.674050810: 64 bytes from 192.168.6.31: icmp_seq=27 ttl=63 time=2.17 ms
1731067784.173358140: 64 bytes from 192.168.6.31: icmp_seq=28 ttl=63 time=1.42 ms
1731067784.674919743: 64 bytes from 192.168.6.31: icmp_seq=29 ttl=63 time=2.17 ms
1731067785.175352411: 64 bytes from 192.168.6.31: icmp_seq=30 ttl=63 time=1.57 ms
1731067785.676943148: 64 bytes from 192.168.6.31: icmp_seq=31 ttl=63 time=1.44 ms
1731067786.178476018: 64 bytes from 192.168.6.31: icmp_seq=32 ttl=63 time=2.08 ms
1731067786.678228580: 64 bytes from 192.168.6.31: icmp_seq=33 ttl=63 time=1.69 ms
1731067787.180254972: 64 bytes from 192.168.6.31: icmp_seq=34 ttl=63 time=1.84 ms
1731067787.687279786: 64 bytes from 192.168.6.31: icmp_seq=35 ttl=63 time=7.45 ms
1731067788.182817118: 64 bytes from 192.168.6.31: icmp_seq=36 ttl=63 time=2.00 ms
1731067788.683338853: 64 bytes from 192.168.6.31: icmp_seq=37 ttl=63 time=2.16 ms
1731067789.182986856: 64 bytes from 192.168.6.31: icmp_seq=38 ttl=63 time=1.63 ms
1731067789.685595099: 64 bytes from 192.168.6.31: icmp_seq=39 ttl=63 time=2.36 ms
1731067790.186681983: 64 bytes from 192.168.6.31: icmp_seq=40 ttl=63 time=2.36 ms
1731067790.686472943: 64 bytes from 192.168.6.31: icmp_seq=41 ttl=63 time=1.91 ms
1731067791.188827419: 64 bytes from 192.168.6.31: icmp_seq=42 ttl=63 time=2.28 ms
1731067791.689117572: 64 bytes from 192.168.6.31: icmp_seq=43 ttl=63 time=1.91 ms
1731067792.190320094: 64 bytes from 192.168.6.31: icmp_seq=44 ttl=63 time=2.33 ms
1731067792.691701687: 64 bytes from 192.168.6.31: icmp_seq=45 ttl=63 time=2.64 ms
1731067793.192016960: 64 bytes from 192.168.6.31: icmp_seq=46 ttl=63 time=1.50 ms
1731067793.694387723: 64 bytes from 192.168.6.31: icmp_seq=47 ttl=63 time=1.53 ms
1731067794.195250664: 64 bytes from 192.168.6.31: icmp_seq=48 ttl=63 time=2.11 ms
1731067794.695282021: 64 bytes from 192.168.6.31: icmp_seq=49 ttl=63 time=1.58 ms
1731067795.196289257: 64 bytes from 192.168.6.31: icmp_seq=50 ttl=63 time=1.44 ms
1731067795.698011323: 64 bytes from 192.168.6.31: icmp_seq=51 ttl=63 time=2.00 ms
1731067796.198069145: 64 bytes from 192.168.6.31: icmp_seq=52 ttl=63 time=2.01 ms
1731067796.699067615: 64 bytes from 192.168.6.31: icmp_seq=53 ttl=63 time=3.08 ms
1731067797.198335019: 64 bytes from 192.168.6.31: icmp_seq=54 ttl=63 time=1.81 ms
1731067797.700909632: 64 bytes from 192.168.6.31: icmp_seq=55 ttl=63 time=2.66 ms
1731067798.201785708: 64 bytes from 192.168.6.31: icmp_seq=56 ttl=63 time=1.97 ms
1731067798.701259275: 64 bytes from 192.168.6.31: icmp_seq=57 ttl=63 time=1.58 ms
1731067799.204204336: 64 bytes from 192.168.6.31: icmp_seq=58 ttl=63 time=2.45 ms
1731067799.704029278: 64 bytes from 192.168.6.31: icmp_seq=59 ttl=63 time=1.61 ms
1731067800.204842481: 64 bytes from 192.168.6.31: icmp_seq=60 ttl=63 time=1.58 ms
1731067800.707943361: 64 bytes from 192.168.6.31: icmp_seq=61 ttl=63 time=2.59 ms
1731067801.208589394: 64 bytes from 192.168.6.31: icmp_seq=62 ttl=63 time=1.50 ms
1731067801.717197577: 64 bytes from 192.168.6.31: icmp_seq=63 ttl=63 time=9.78 ms
1731067802.212096447: 64 bytes from 192.168.6.31: icmp_seq=64 ttl=63 time=2.73 ms
1731067802.712533899: 64 bytes from 192.168.6.31: icmp_seq=65 ttl=63 time=1.73 ms
1731067803.213441829: 64 bytes from 192.168.6.31: icmp_seq=66 ttl=63 time=1.56 ms
1731067803.716207010: 64 bytes from 192.168.6.31: icmp_seq=67 ttl=63 time=2.21 ms
1731067804.215279098: 64 bytes from 192.168.6.31: icmp_seq=68 ttl=63 time=1.61 ms
1731067804.716384497: 64 bytes from 192.168.6.31: icmp_seq=69 ttl=63 time=1.68 ms
1731067805.218353041: 64 bytes from 192.168.6.31: icmp_seq=70 ttl=63 time=2.03 ms
1731067805.719782846: 64 bytes from 192.168.6.31: icmp_seq=71 ttl=63 time=2.19 ms
1731067806.223494921: 64 bytes from 192.168.6.31: icmp_seq=72 ttl=63 time=5.12 ms
1731067806.721347505: 64 bytes from 192.168.6.31: icmp_seq=73 ttl=63 time=1.71 ms
1731067807.222460857: 64 bytes from 192.168.6.31: icmp_seq=74 ttl=63 time=1.66 ms
1731067807.724545337: 64 bytes from 192.168.6.31: icmp_seq=75 ttl=63 time=2.22 ms
1731067808.224517840: 64 bytes from 192.168.6.31: icmp_seq=76 ttl=63 time=1.83 ms
1731067808.726564412: 64 bytes from 192.168.6.31: icmp_seq=77 ttl=63 time=1.88 ms
1731067809.227608328: 64 bytes from 192.168.6.31: icmp_seq=78 ttl=63 time=2.51 ms
1731067809.727655293: 64 bytes from 192.168.6.31: icmp_seq=79 ttl=63 time=1.42 ms
1731067810.229021030: 64 bytes from 192.168.6.31: icmp_seq=80 ttl=63 time=2.22 ms
1731067810.730804023: 64 bytes from 192.168.6.31: icmp_seq=81 ttl=63 time=2.30 ms
1731067811.239826221: 64 bytes from 192.168.6.31: icmp_seq=82 ttl=63 time=10.6 ms
1731067811.734547882: 64 bytes from 192.168.6.31: icmp_seq=83 ttl=63 time=5.42 ms
1731067812.232558466: 64 bytes from 192.168.6.31: icmp_seq=84 ttl=63 time=1.72 ms
1731067812.733529137: 64 bytes from 192.168.6.31: icmp_seq=85 ttl=63 time=1.61 ms
1731067813.239383579: 64 bytes from 192.168.6.31: icmp_seq=86 ttl=63 time=5.63 ms
1731067813.738135501: 64 bytes from 192.168.6.31: icmp_seq=87 ttl=63 time=3.54 ms
1731067814.236254095: 64 bytes from 192.168.6.31: icmp_seq=88 ttl=63 time=1.55 ms
1731067814.738912464: 64 bytes from 192.168.6.31: icmp_seq=89 ttl=63 time=1.97 ms
1731067815.238742053: 64 bytes from 192.168.6.31: icmp_seq=90 ttl=63 time=1.70 ms
1731067815.747334941: 64 bytes from 192.168.6.31: icmp_seq=91 ttl=63 time=8.81 ms
1731067816.241062642: 64 bytes from 192.168.6.31: icmp_seq=92 ttl=63 time=2.46 ms
1731067816.746493265: 64 bytes from 192.168.6.31: icmp_seq=93 ttl=63 time=6.86 ms
1731067817.244144287: 64 bytes from 192.168.6.31: icmp_seq=94 ttl=63 time=2.19 ms
1731067817.745352927: 64 bytes from 192.168.6.31: icmp_seq=95 ttl=63 time=1.68 ms
1731067818.247810652: 64 bytes from 192.168.6.31: icmp_seq=96 ttl=63 time=5.09 ms
1731067818.745460340: 64 bytes from 192.168.6.31: icmp_seq=97 ttl=63 time=2.16 ms
1731067819.246444946: 64 bytes from 192.168.6.31: icmp_seq=98 ttl=63 time=1.93 ms
1731067819.748036895: 64 bytes from 192.168.6.31: icmp_seq=99 ttl=63 time=3.28 ms
1731067820.251163120: 64 bytes from 192.168.6.31: icmp_seq=100 ttl=63 time=6.18 ms
1731067820.748322761: 64 bytes from 192.168.6.31: icmp_seq=101 ttl=63 time=1.92 ms
1731067821.248882644: 64 bytes from 192.168.6.31: icmp_seq=102 ttl=63 time=1.94 ms
1731067821.749824545: 64 bytes from 192.168.6.31: icmp_seq=103 ttl=63 time=2.86 ms
1731067822.251751586: 64 bytes from 192.168.6.31: icmp_seq=104 ttl=63 time=3.01 ms
1731067822.751516261: 64 bytes from 192.168.6.31: icmp_seq=105 ttl=63 time=2.22 ms
1731067823.253494707: 64 bytes from 192.168.6.31: icmp_seq=106 ttl=63 time=3.52 ms
1731067823.753155022: 64 bytes from 192.168.6.31: icmp_seq=107 ttl=63 time=2.50 ms
1731067824.254146985: 64 bytes from 192.168.6.31: icmp_seq=108 ttl=63 time=1.75 ms
1731067824.755862923: 64 bytes from 192.168.6.31: icmp_seq=109 ttl=63 time=2.38 ms
1731067825.257071581: 64 bytes from 192.168.6.31: icmp_seq=110 ttl=63 time=2.18 ms
1731067825.757081683: 64 bytes from 192.168.6.31: icmp_seq=111 ttl=63 time=1.61 ms
1731067826.258040932: 64 bytes from 192.168.6.31: icmp_seq=112 ttl=63 time=1.92 ms
1731067826.757951333: 64 bytes from 192.168.6.31: icmp_seq=113 ttl=63 time=1.89 ms
1731067827.259663431: 64 bytes from 192.168.6.31: icmp_seq=114 ttl=63 time=2.00 ms
1731067827.760398964: 64 bytes from 192.168.6.31: icmp_seq=115 ttl=63 time=1.98 ms
1731067828.261101777: 64 bytes from 192.168.6.31: icmp_seq=116 ttl=63 time=2.26 ms
1731067828.761478977: 64 bytes from 192.168.6.31: icmp_seq=117 ttl=63 time=1.95 ms
1731067829.261521769: 64 bytes from 192.168.6.31: icmp_seq=118 ttl=63 time=1.58 ms
1731067829.768481195: 64 bytes from 192.168.6.31: icmp_seq=119 ttl=63 time=7.19 ms
1731067830.263369286: 64 bytes from 192.168.6.31: icmp_seq=120 ttl=63 time=1.66 ms
1731067830.764804252: 64 bytes from 192.168.6.31: icmp_seq=121 ttl=63 time=1.40 ms
1731067831.265613881: 64 bytes from 192.168.6.31: icmp_seq=122 ttl=63 time=1.87 ms
1731067831.766932571: 64 bytes from 192.168.6.31: icmp_seq=123 ttl=63 time=1.80 ms
1731067832.268182743: 64 bytes from 192.168.6.31: icmp_seq=124 ttl=63 time=1.71 ms
1731067832.769815312: 64 bytes from 192.168.6.31: icmp_seq=125 ttl=63 time=2.00 ms
1731067833.270156015: 64 bytes from 192.168.6.31: icmp_seq=126 ttl=63 time=1.92 ms
1731067833.771641477: 64 bytes from 192.168.6.31: icmp_seq=127 ttl=63 time=2.72 ms
1731067834.277560593: 64 bytes from 192.168.6.31: icmp_seq=128 ttl=63 time=7.50 ms
1731067834.773126196: 64 bytes from 192.168.6.31: icmp_seq=129 ttl=63 time=2.56 ms
1731067835.273934048: 64 bytes from 192.168.6.31: icmp_seq=130 ttl=63 time=2.28 ms
1731067835.774046678: 64 bytes from 192.168.6.31: icmp_seq=131 ttl=63 time=1.46 ms
1731067836.275936063: 64 bytes from 192.168.6.31: icmp_seq=132 ttl=63 time=2.30 ms
1731067836.776179428: 64 bytes from 192.168.6.31: icmp_seq=133 ttl=63 time=1.39 ms
1731067837.277414942: 64 bytes from 192.168.6.31: icmp_seq=134 ttl=63 time=1.54 ms
1731067837.778390618: 64 bytes from 192.168.6.31: icmp_seq=135 ttl=63 time=1.94 ms
1731067838.278730994: 64 bytes from 192.168.6.31: icmp_seq=136 ttl=63 time=1.84 ms
1731067838.786414727: 64 bytes from 192.168.6.31: icmp_seq=137 ttl=63 time=8.73 ms
1731067839.280920088: 64 bytes from 192.168.6.31: icmp_seq=138 ttl=63 time=1.91 ms
1731067839.782108108: 64 bytes from 192.168.6.31: icmp_seq=139 ttl=63 time=2.76 ms
1731067840.284247183: 64 bytes from 192.168.6.31: icmp_seq=140 ttl=63 time=3.11 ms
1731067840.784130706: 64 bytes from 192.168.6.31: icmp_seq=141 ttl=63 time=2.25 ms
1731067841.285622920: 64 bytes from 192.168.6.31: icmp_seq=142 ttl=63 time=3.41 ms
1731067841.786168379: 64 bytes from 192.168.6.31: icmp_seq=143 ttl=63 time=2.70 ms
1731067842.287070607: 64 bytes from 192.168.6.31: icmp_seq=144 ttl=63 time=2.00 ms
1731067842.787593436: 64 bytes from 192.168.6.31: icmp_seq=145 ttl=63 time=2.61 ms
1731067843.291423137: 64 bytes from 192.168.6.31: icmp_seq=146 ttl=63 time=5.32 ms
1731067843.788437511: 64 bytes from 192.168.6.31: icmp_seq=147 ttl=63 time=1.62 ms
1731067844.290600121: 64 bytes from 192.168.6.31: icmp_seq=148 ttl=63 time=1.97 ms
1731067844.790970534: 64 bytes from 192.168.6.31: icmp_seq=149 ttl=63 time=1.83 ms
1731067845.292651892: 64 bytes from 192.168.6.31: icmp_seq=150 ttl=63 time=2.31 ms
1731067845.792987821: 64 bytes from 192.168.6.31: icmp_seq=151 ttl=63 time=1.72 ms
1731067846.294794284: 64 bytes from 192.168.6.31: icmp_seq=152 ttl=63 time=1.78 ms
1731067846.796329856: 64 bytes from 192.168.6.31: icmp_seq=153 ttl=63 time=1.79 ms
1731067847.296762800: 64 bytes from 192.168.6.31: icmp_seq=154 ttl=63 time=1.87 ms
1731067847.798677665: 64 bytes from 192.168.6.31: icmp_seq=155 ttl=63 time=1.68 ms
1731067848.307622982: 64 bytes from 192.168.6.31: icmp_seq=156 ttl=63 time=8.98 ms
1731067848.800528598: 64 bytes from 192.168.6.31: icmp_seq=157 ttl=63 time=1.65 ms
1731067849.302244724: 64 bytes from 192.168.6.31: icmp_seq=158 ttl=63 time=2.17 ms
1731067849.803184802: 64 bytes from 192.168.6.31: icmp_seq=159 ttl=63 time=2.23 ms
1731067850.304021708: 64 bytes from 192.168.6.31: icmp_seq=160 ttl=63 time=1.69 ms
1731067850.805362268: 64 bytes from 192.168.6.31: icmp_seq=161 ttl=63 time=2.37 ms
1731067851.305453604: 64 bytes from 192.168.6.31: icmp_seq=162 ttl=63 time=2.04 ms
1731067851.805691649: 64 bytes from 192.168.6.31: icmp_seq=163 ttl=63 time=1.80 ms
1731067852.307778414: 64 bytes from 192.168.6.31: icmp_seq=164 ttl=63 time=2.48 ms
1731067852.813632363: 64 bytes from 192.168.6.31: icmp_seq=165 ttl=63 time=6.80 ms
1731067853.309849729: 64 bytes from 192.168.6.31: icmp_seq=166 ttl=63 time=1.43 ms
1731067853.813266023: 64 bytes from 192.168.6.31: icmp_seq=167 ttl=63 time=4.07 ms
1731067854.311397302: 64 bytes from 192.168.6.31: icmp_seq=168 ttl=63 time=2.28 ms
1731067854.816054239: 64 bytes from 192.168.6.31: icmp_seq=169 ttl=63 time=6.13 ms
1731067855.313493436: 64 bytes from 192.168.6.31: icmp_seq=170 ttl=63 time=2.55 ms
1731067855.817672223: 64 bytes from 192.168.6.31: icmp_seq=171 ttl=63 time=5.52 ms
1731067856.316166750: 64 bytes from 192.168.6.31: icmp_seq=172 ttl=63 time=3.69 ms
1731067856.815869100: 64 bytes from 192.168.6.31: icmp_seq=173 ttl=63 time=1.84 ms
1731067857.318566532: 64 bytes from 192.168.6.31: icmp_seq=174 ttl=63 time=3.08 ms
1731067857.817882226: 64 bytes from 192.168.6.31: icmp_seq=175 ttl=63 time=2.37 ms
1731067858.318317937: 64 bytes from 192.168.6.31: icmp_seq=176 ttl=63 time=1.75 ms
1731067858.821449822: 64 bytes from 192.168.6.31: icmp_seq=177 ttl=63 time=2.66 ms
1731067859.321404727: 64 bytes from 192.168.6.31: icmp_seq=178 ttl=63 time=1.96 ms
1731067859.821942066: 64 bytes from 192.168.6.31: icmp_seq=179 ttl=63 time=1.40 ms
1731067860.323958677: 64 bytes from 192.168.6.31: icmp_seq=180 ttl=63 time=1.94 ms
1731067860.823851416: 64 bytes from 192.168.6.31: icmp_seq=181 ttl=63 time=1.63 ms
1731067861.324144165: 64 bytes from 192.168.6.31: icmp_seq=182 ttl=63 time=1.54 ms
1731067861.826444112: 64 bytes from 192.168.6.31: icmp_seq=183 ttl=63 time=2.25 ms
1731067862.335562044: 64 bytes from 192.168.6.31: icmp_seq=184 ttl=63 time=11.0 ms
1731067862.828257554: 64 bytes from 192.168.6.31: icmp_seq=185 ttl=63 time=2.30 ms
1731067863.328179617: 64 bytes from 192.168.6.31: icmp_seq=186 ttl=63 time=1.54 ms
1731067863.829971873: 64 bytes from 192.168.6.31: icmp_seq=187 ttl=63 time=2.37 ms
1731067864.331274890: 64 bytes from 192.168.6.31: icmp_seq=188 ttl=63 time=2.63 ms
1731067864.831810982: 64 bytes from 192.168.6.31: icmp_seq=189 ttl=63 time=1.79 ms
1731067865.333929246: 64 bytes from 192.168.6.31: icmp_seq=190 ttl=63 time=2.46 ms
1731067865.834525919: 64 bytes from 192.168.6.31: icmp_seq=191 ttl=63 time=2.15 ms
1731067866.335271869: 64 bytes from 192.168.6.31: icmp_seq=192 ttl=63 time=1.84 ms
1731067866.842622558: 64 bytes from 192.168.6.31: icmp_seq=193 ttl=63 time=7.84 ms
1731067867.338576841: 64 bytes from 192.168.6.31: icmp_seq=194 ttl=63 time=2.12 ms
1731067867.838296149: 64 bytes from 192.168.6.31: icmp_seq=195 ttl=63 time=1.63 ms
1731067868.340421818: 64 bytes from 192.168.6.31: icmp_seq=196 ttl=63 time=2.42 ms
1731067868.840354485: 64 bytes from 192.168.6.31: icmp_seq=197 ttl=63 time=1.73 ms
1731067869.341837441: 64 bytes from 192.168.6.31: icmp_seq=198 ttl=63 time=1.49 ms
