1731067770.592102456: PING 192.168.6.12 (192.168.6.12) 56(84) bytes of data.
1731067770.595643176: 64 bytes from 192.168.6.12: icmp_seq=1 ttl=63 time=2.43 ms
1731067771.098386198: 64 bytes from 192.168.6.12: icmp_seq=2 ttl=63 time=9.08 ms
1731067771.590831135: 64 bytes from 192.168.6.12: icmp_seq=3 ttl=63 time=1.44 ms
1731067772.092446702: 64 bytes from 192.168.6.12: icmp_seq=4 ttl=63 time=1.51 ms
1731067772.592810730: 64 bytes from 192.168.6.12: icmp_seq=5 ttl=63 time=1.77 ms
1731067773.093958863: 64 bytes from 192.168.6.12: icmp_seq=6 ttl=63 time=1.68 ms
1731067773.595874433: 64 bytes from 192.168.6.12: icmp_seq=7 ttl=63 time=2.57 ms
1731067774.097153450: 64 bytes from 192.168.6.12: icmp_seq=8 ttl=63 time=1.55 ms
1731067774.598486242: 64 bytes from 192.168.6.12: icmp_seq=9 ttl=63 time=2.13 ms
1731067775.099100825: 64 bytes from 192.168.6.12: icmp_seq=10 ttl=63 time=2.10 ms
1731067775.603242826: 64 bytes from 192.168.6.12: icmp_seq=11 ttl=63 time=4.48 ms
1731067776.101664523: 64 bytes from 192.168.6.12: icmp_seq=12 ttl=63 time=2.18 ms
1731067776.602492541: 64 bytes from 192.168.6.12: icmp_seq=13 ttl=63 time=2.10 ms
1731067777.102302739: 64 bytes from 192.168.6.12: icmp_seq=14 ttl=63 time=1.89 ms
1731067777.602759859: 64 bytes from 192.168.6.12: icmp_seq=15 ttl=63 time=2.08 ms
1731067778.103367011: 64 bytes from 192.168.6.12: icmp_seq=16 ttl=63 time=1.60 ms
1731067778.604399675: 64 bytes from 192.168.6.12: icmp_seq=17 ttl=63 time=1.40 ms
1731067779.105122659: 64 bytes from 192.168.6.12: icmp_seq=18 ttl=63 time=1.69 ms
1731067779.606795455: 64 bytes from 192.168.6.12: icmp_seq=19 ttl=63 time=1.87 ms
1731067780.109122767: 64 bytes from 192.168.6.12: icmp_seq=20 ttl=63 time=3.09 ms
1731067780.608474970: 64 bytes from 192.168.6.12: icmp_seq=21 ttl=63 time=1.78 ms
1731067781.110079526: 64 bytes from 192.168.6.12: icmp_seq=22 ttl=63 time=1.78 ms
1731067781.612231292: 64 bytes from 192.168.6.12: icmp_seq=23 ttl=63 time=2.37 ms
1731067782.113017685: 64 bytes from 192.168.6.12: icmp_seq=24 ttl=63 time=1.89 ms
1731067782.613733719: 64 bytes from 192.168.6.12: icmp_seq=25 ttl=63 time=2.60 ms
1731067783.114497158: 64 bytes from 192.168.6.12: icmp_seq=26 ttl=63 time=2.37 ms
1731067784.124218276: 64 bytes from 192.168.6.12: icmp_seq=28 ttl=63 time=2.46 ms
1731067784.624454106: 64 bytes from 192.168.6.12: icmp_seq=29 ttl=63 time=1.74 ms
1731067785.127541745: 64 bytes from 192.168.6.12: icmp_seq=30 ttl=63 time=3.65 ms
1731067785.628223458: 64 bytes from 192.168.6.12: icmp_seq=31 ttl=63 time=3.02 ms
1731067786.128127515: 64 bytes from 192.168.6.12: icmp_seq=32 ttl=63 time=2.21 ms
1731067786.629382810: 64 bytes from 192.168.6.12: icmp_seq=33 ttl=63 time=3.17 ms
1731067787.129343871: 64 bytes from 192.168.6.12: icmp_seq=34 ttl=63 time=2.20 ms
1731067787.630371227: 64 bytes from 192.168.6.12: icmp_seq=35 ttl=63 time=1.82 ms
1731067788.131758863: 64 bytes from 192.168.6.12: icmp_seq=36 ttl=63 time=2.83 ms
1731067788.632426910: 64 bytes from 192.168.6.12: icmp_seq=37 ttl=63 time=1.85 ms
1731067789.134091738: 64 bytes from 192.168.6.12: icmp_seq=38 ttl=63 time=1.52 ms
1731067789.635397277: 64 bytes from 192.168.6.12: icmp_seq=39 ttl=63 time=1.93 ms
1731067790.142750542: 64 bytes from 192.168.6.12: icmp_seq=40 ttl=63 time=8.91 ms
1731067790.636023989: 64 bytes from 192.168.6.12: icmp_seq=41 ttl=63 time=1.54 ms
1731067791.138412003: 64 bytes from 192.168.6.12: icmp_seq=42 ttl=63 time=2.26 ms
1731067791.639558169: 64 bytes from 192.168.6.12: icmp_seq=43 ttl=63 time=2.09 ms
1731067792.139257705: 64 bytes from 192.168.6.12: icmp_seq=44 ttl=63 time=2.00 ms
1731067792.639629574: 64 bytes from 192.168.6.12: icmp_seq=45 ttl=63 time=1.97 ms
1731067793.141119416: 64 bytes from 192.168.6.12: icmp_seq=46 ttl=63 time=2.40 ms
1731067793.641809738: 64 bytes from 192.168.6.12: icmp_seq=47 ttl=63 time=2.10 ms
1731067794.142508703: 64 bytes from 192.168.6.12: icmp_seq=48 ttl=63 time=1.59 ms
1731067794.649766057: 64 bytes from 192.168.6.12: icmp_seq=49 ttl=63 time=8.47 ms
1731067795.144194063: 64 bytes from 192.168.6.12: icmp_seq=50 ttl=63 time=1.67 ms
1731067795.645692902: 64 bytes from 192.168.6.12: icmp_seq=51 ttl=63 time=1.57 ms
1731067796.147703823: 64 bytes from 192.168.6.12: icmp_seq=52 ttl=63 time=2.65 ms
1731067796.647863467: 64 bytes from 192.168.6.12: icmp_seq=53 ttl=63 time=1.59 ms
1731067797.148346936: 64 bytes from 192.168.6.12: icmp_seq=54 ttl=63 time=1.65 ms
1731067797.651102315: 64 bytes from 192.168.6.12: icmp_seq=55 ttl=63 time=2.35 ms
1731067798.150685522: 64 bytes from 192.168.6.12: icmp_seq=56 ttl=63 time=1.87 ms
1731067798.652648455: 64 bytes from 192.168.6.12: icmp_seq=57 ttl=63 time=2.22 ms
1731067799.155667507: 64 bytes from 192.168.6.12: icmp_seq=58 ttl=63 time=3.74 ms
1731067799.654819164: 64 bytes from 192.168.6.12: icmp_seq=59 ttl=63 time=1.84 ms
1731067800.156446156: 64 bytes from 192.168.6.12: icmp_seq=60 ttl=63 time=2.06 ms
1731067800.656597052: 64 bytes from 192.168.6.12: icmp_seq=61 ttl=63 time=1.69 ms
1731067801.158788025: 64 bytes from 192.168.6.12: icmp_seq=62 ttl=63 time=1.80 ms
1731067801.660239549: 64 bytes from 192.168.6.12: icmp_seq=63 ttl=63 time=2.27 ms
1731067802.160118830: 64 bytes from 192.168.6.12: icmp_seq=64 ttl=63 time=1.85 ms
1731067802.661666183: 64 bytes from 192.168.6.12: icmp_seq=65 ttl=63 time=2.19 ms
1731067803.162746887: 64 bytes from 192.168.6.12: icmp_seq=66 ttl=63 time=2.30 ms
1731067803.663751960: 64 bytes from 192.168.6.12: icmp_seq=67 ttl=63 time=1.78 ms
1731067804.173866879: 64 bytes from 192.168.6.12: icmp_seq=68 ttl=63 time=10.4 ms
1731067804.666964397: 64 bytes from 192.168.6.12: icmp_seq=69 ttl=63 time=2.80 ms
1731067805.166957712: 64 bytes from 192.168.6.12: icmp_seq=70 ttl=63 time=1.77 ms
1731067805.668803136: 64 bytes from 192.168.6.12: icmp_seq=71 ttl=63 time=2.14 ms
1731067806.170063109: 64 bytes from 192.168.6.12: icmp_seq=72 ttl=63 time=2.47 ms
1731067806.670532291: 64 bytes from 192.168.6.12: icmp_seq=73 ttl=63 time=1.64 ms
1731067807.173224709: 64 bytes from 192.168.6.12: icmp_seq=74 ttl=63 time=3.29 ms
1731067807.672100207: 64 bytes from 192.168.6.12: icmp_seq=75 ttl=63 time=1.55 ms
1731067808.173427506: 64 bytes from 192.168.6.12: icmp_seq=76 ttl=63 time=1.49 ms
1731067808.677913137: 64 bytes from 192.168.6.12: icmp_seq=77 ttl=63 time=5.09 ms
1731067809.175862835: 64 bytes from 192.168.6.12: icmp_seq=78 ttl=63 time=1.62 ms
1731067809.675968212: 64 bytes from 192.168.6.12: icmp_seq=79 ttl=63 time=1.40 ms
1731067810.177766717: 64 bytes from 192.168.6.12: icmp_seq=80 ttl=63 time=1.91 ms
1731067810.678728910: 64 bytes from 192.168.6.12: icmp_seq=81 ttl=63 time=1.61 ms
1731067811.179903747: 64 bytes from 192.168.6.12: icmp_seq=82 ttl=63 time=1.94 ms
1731067811.680176024: 64 bytes from 192.168.6.12: icmp_seq=83 ttl=63 time=1.90 ms
1731067812.180707630: 64 bytes from 192.168.6.12: icmp_seq=84 ttl=63 time=2.32 ms
1731067812.681468221: 64 bytes from 192.168.6.12: icmp_seq=85 ttl=63 time=1.96 ms
1731067813.183090460: 64 bytes from 192.168.6.12: icmp_seq=86 ttl=63 time=2.78 ms
1731067813.682737700: 64 bytes from 192.168.6.12: icmp_seq=87 ttl=63 time=2.28 ms
1731067814.183413686: 64 bytes from 192.168.6.12: icmp_seq=88 ttl=63 time=1.51 ms
1731067814.684231970: 64 bytes from 192.168.6.12: icmp_seq=89 ttl=63 time=1.57 ms
1731067815.186481941: 64 bytes from 192.168.6.12: icmp_seq=90 ttl=63 time=2.15 ms
1731067815.686730157: 64 bytes from 192.168.6.12: icmp_seq=91 ttl=63 time=1.94 ms
1731067816.187754024: 64 bytes from 192.168.6.12: icmp_seq=92 ttl=63 time=2.84 ms
1731067816.687992552: 64 bytes from 192.168.6.12: icmp_seq=93 ttl=63 time=1.72 ms
1731067817.189207062: 64 bytes from 192.168.6.12: icmp_seq=94 ttl=63 time=2.20 ms
1731067817.691062119: 64 bytes from 192.168.6.12: icmp_seq=95 ttl=63 time=3.45 ms
1731067818.189683165: 64 bytes from 192.168.6.12: icmp_seq=96 ttl=63 time=1.38 ms
1731067818.691696322: 64 bytes from 192.168.6.12: icmp_seq=97 ttl=63 time=2.73 ms
1731067819.191913200: 64 bytes from 192.168.6.12: icmp_seq=98 ttl=63 time=1.53 ms
1731067819.692841979: 64 bytes from 192.168.6.12: icmp_seq=99 ttl=63 time=1.70 ms
1731067820.194358077: 64 bytes from 192.168.6.12: icmp_seq=100 ttl=63 time=2.18 ms
1731067820.694556118: 64 bytes from 192.168.6.12: icmp_seq=101 ttl=63 time=1.53 ms
1731067821.196197184: 64 bytes from 192.168.6.12: icmp_seq=102 ttl=63 time=1.40 ms
1731067821.698720330: 64 bytes from 192.168.6.12: icmp_seq=103 ttl=63 time=2.08 ms
1731067822.198792971: 64 bytes from 192.168.6.12: icmp_seq=104 ttl=63 time=2.05 ms
1731067822.705348630: 64 bytes from 192.168.6.12: icmp_seq=105 ttl=63 time=8.16 ms
1731067823.200686696: 64 bytes from 192.168.6.12: icmp_seq=106 ttl=63 time=1.74 ms
1731067823.701987355: 64 bytes from 192.168.6.12: icmp_seq=107 ttl=63 time=2.25 ms
1731067824.202810171: 64 bytes from 192.168.6.12: icmp_seq=108 ttl=63 time=1.98 ms
1731067824.702685355: 64 bytes from 192.168.6.12: icmp_seq=109 ttl=63 time=1.65 ms
1731067825.205292185: 64 bytes from 192.168.6.12: icmp_seq=110 ttl=63 time=2.47 ms
1731067825.705596471: 64 bytes from 192.168.6.12: icmp_seq=111 ttl=63 time=2.43 ms
1731067826.206008725: 64 bytes from 192.168.6.12: icmp_seq=112 ttl=63 time=1.95 ms
1731067826.707668989: 64 bytes from 192.168.6.12: icmp_seq=113 ttl=63 time=2.76 ms
1731067827.213980949: 64 bytes from 192.168.6.12: icmp_seq=114 ttl=63 time=7.43 ms
1731067827.708852123: 64 bytes from 192.168.6.12: icmp_seq=115 ttl=63 time=1.58 ms
1731067828.211140893: 64 bytes from 192.168.6.12: icmp_seq=116 ttl=63 time=2.39 ms
