Time,S1F1Bitrate,S1F1Jitter,S1F1Datagrams,S1F1Delay,S1F1Distance,S1F2Bitrate,S1F2Jitter,S1F2Datagrams,S1F2Delay,S1F2Distance,S1F4Bitrate,S1F4Jitter,S1F4Datagrams,S1F4Delay,S1F4Distance,S1C1Bitrate,S1C1Jitter,S1C1Datagrams,S1C1Delay,S1C1Distance
1731067774.96,19.8,0.535,0.0,0.95,3808.993815359087,19.8,1.087,0.0,2.1,4124.426118586882,19.8,1.041,0.0,0.826,3811.051527831559,8.32,1.093,0.0,2.37,7778.544790288543
1731067775.46,19.8,0.494,0.0,0.812,3808.997461793045,19.8,1.119,0.0,4.48,4124.46456999379,19.8,0.752,0.0,3.65,3811.034683957764,7.68,0.769,0.0,2.15,7778.353886055775
1731067775.96,20.5,0.537,0.0,0.819,3809.070557132324,20.5,1.084,0.0,2.18,4124.467990455188,19.9,0.471,0.0,2.99,3811.516406084585,8.33,0.809,0.0,1.59,7778.468754207578
1731067776.46,19.8,0.497,0.0,4.29,3809.482825496401,19.8,1.249,0.0,2.1,4124.873634209399,20.5,0.448,0.0,3.73,3811.9522109635386,7.67,0.918,0.0,2.25,7778.74163521241
1731067776.96,19.8,0.512,0.0,2.0,3809.525546318006,19.8,1.117,0.0,1.89,4124.874581536957,19.8,0.529,0.0,3.68,3812.2928580833454,8.32,0.705,0.0,1.71,7778.764199947717
1731067777.46,19.8,0.392,0.0,1.55,3809.2109708786143,19.8,1.294,0.0,2.08,4124.603949434479,19.8,0.463,0.0,1.69,3812.023641311588,7.68,0.641,0.0,1.53,7778.266029889041
1731067777.96,19.8,0.392,0.0,1.63,3809.219689552449,20.5,1.384,0.0,1.6,4124.537005963524,20.5,0.706,0.0,2.3,3812.4881462623,8.32,0.592,0.0,2.67,7778.336920073759
1731067778.46,20.5,0.532,0.0,2.41,3809.422705730755,19.9,1.863,0.0,1.4,4124.793020210647,19.9,0.973,0.0,1.04,3812.52604449048,7.68,0.687,0.0,1.31,7778.282929827827
1731067778.96,19.9,0.503,0.0,1.07,3809.6717365950585,19.8,1.113,0.0,1.69,4125.024244714369,19.8,0.618,0.0,3.75,3812.9010231352913,8.32,0.705,0.0,1.73,7778.435135329769
1731067779.46,19.8,0.604,0.0,1.06,3809.575470665725,19.8,0.743,0.0,1.87,4124.850292496538,19.8,0.631,0.0,1.14,3813.304021513012,7.69,0.798,0.0,2.4,7778.416344430708
1731067779.96,20.5,0.444,0.0,0.859,3809.4966150900623,20.5,0.569,0.0,3.09,4124.770593969085,19.8,0.491,0.0,0.742,3813.386287044481,8.31,1.255,0.0,1.91,7778.234341289358
1731067780.46,19.8,0.443,0.0,1.1,3809.7041253804814,19.8,0.933,0.0,1.78,4124.995263183486,20.5,0.634,0.0,1.31,3813.582254493147,7.68,0.725,0.0,1.99,7778.267851807752
1731067780.96,19.8,0.455,0.0,0.843,3809.7647036315966,19.8,0.705,0.0,1.78,4125.057464563378,19.8,0.652,0.0,1.08,3813.7471378606174,8.32,0.865,0.0,1.67,7778.205452008751
1731067781.46,19.8,0.411,0.0,7.83,3809.63251994171,19.8,0.759,0.0,2.37,4124.894478498692,19.8,0.514,0.0,0.849,3813.923325268371,7.68,0.561,0.0,2.32,7778.045244803384
1731067781.96,20.5,0.508,0.0,1.01,3809.903601894319,20.5,0.909,0.0,1.89,4125.060189444876,20.5,0.62,0.0,0.929,3814.691675547918,8.31,0.663,0.0,2.41,7778.420969660437
1731067782.46,19.8,0.51,0.0,0.79,3810.1038018283,19.8,0.789,0.0,2.6,4125.310128206062,19.8,0.814,0.0,1.24,3814.7419075788375,7.68,0.632,0.0,1.56,7778.372156823464
1731067782.96,19.9,0.491,0.0,1.08,3810.5475512573903,19.8,0.68,0.0,2.37,4125.705078656475,19.8,0.615,0.0,0.861,3815.381128694829,8.32,0.369,0.0,10.6,7778.771482514713
1731067783.46,19.8,0.492,0.0,0.839,3810.134269473408,19.9,1.08,0.0,2.415,4125.319872446162,19.8,0.559,0.0,0.818,3815.114687532402,7.68,0.703,0.0,2.17,7778.221625205912
1731067783.96,19.9,0.496,0.0,0.922,3810.0915174579527,20.5,0.69,0.0,2.46,4125.168332160508,20.5,0.667,0.0,1.02,3815.687809101344,8.32,0.586,0.0,1.42,7778.323117204665
1731067784.46,20.5,0.613,0.0,0.812,3810.222224350055,19.8,0.669,0.0,1.74,4125.348369515851,19.8,0.672,0.0,1.07,3815.693386558731,7.68,0.921,0.0,2.17,7778.21285037753
1731067784.96,19.8,0.677,0.0,0.857,3810.127010946366,19.8,0.861,0.0,3.65,4125.207552387476,19.8,0.677,0.0,7.75,3815.9582525815554,8.33,0.744,0.0,1.57,7778.120241221358
1731067785.46,19.8,0.654,0.0,1.08,3810.815663402812,19.8,0.966,0.0,3.02,4125.902805003668,19.8,0.795,0.0,1.01,3816.52174374122,7.68,0.628,0.0,1.44,7778.61087707862
1731067785.96,20.5,0.648,0.0,1.11,3810.810613085135,20.5,0.831,0.0,2.21,4125.926885611765,20.5,0.818,0.0,0.836,3816.523858408919,8.31,0.944,0.0,2.08,7778.425561045589
1731067786.46,19.8,0.401,0.0,2.32,3810.710204145221,19.8,0.938,0.0,3.17,4125.738847178866,19.8,0.701,0.0,1.29,3816.966882052078,7.68,0.675,0.0,1.69,7778.425972213207
1731067786.96,19.8,0.223,0.0,1.02,3810.47954011581,19.8,1.058,0.0,2.2,4125.485290271156,19.8,0.702,0.0,0.893,3817.042971616284,8.31,0.969,0.0,1.84,7778.15878671149
1731067787.46,19.8,0.247,0.0,0.864,3810.7460253454688,19.8,1.09,0.0,1.82,4125.730069244449,19.7,0.799,0.0,0.8,3817.446433107112,7.69,1.01,0.0,7.45,7778.3357380058
1731067787.96,20.5,0.253,0.0,0.897,3811.00750114471,19.8,1.113,0.0,2.83,4126.055197915196,20.6,0.833,0.0,1.47,3817.477668741064,8.31,1.035,0.0,2.0,7778.3098199963215
1731067788.46,19.8,0.311,0.0,0.674,3810.979208677218,20.5,1.107,0.0,1.85,4126.034587363736,19.9,0.697,0.0,0.721,3817.5569947218,7.68,1.143,0.0,2.16,7778.153508510411
1731067788.96,19.8,0.247,0.0,0.841,3810.721334102407,19.9,1.006,0.0,1.52,4125.6374236672245,19.8,0.5,0.0,1.01,3818.117861682708,8.32,0.54,0.0,1.63,7778.132317775828
1731067789.46,19.9,0.258,0.0,0.838,3811.151442134636,19.8,1.065,0.0,1.93,4126.165436236616,19.8,0.605,0.0,0.988,3818.113929716319,7.68,0.868,0.0,2.36,7778.178465806268
1731067789.96,20.5,0.284,0.0,1.3,3810.9925172508806,20.5,1.164,0.0,8.91,4125.904335885085,20.5,0.556,0.0,0.802,3818.580573223727,7.68,0.475,0.0,2.36,7778.159962528972
1731067790.46,19.8,0.326,0.0,0.803,3810.964192545552,19.8,1.181,0.0,1.54,4125.8686238304,19.9,0.571,0.0,1.25,3818.7250059193457,8.32,0.473,0.0,1.91,7778.038639140092
