Time,S1F2Bitrate,S1F2Jitter,S1F2Datagrams,S1F2Delay,S1F2Distance,S1F4Bitrate,S1F4Jitter,S1F4Datagrams,S1F4Delay,S1F4Distance,S1C1Bitrate,S1C1Jitter,S1C1Datagrams,S1C1Delay,S1C1Distance,S1F1Bitrate,S1F1Jitter,S1F1Datagrams,S1F1Delay,S1F1Distance
1731069778.8,19.9,0.948,0.0,1.84,4318.9203158316695,19.8,0.531,0.0,0.765,4813.782026046998,8.31,0.817,0.0,10.2,7724.076395413951,19.8,0.643,0.0,1.07,4073.2070848235617
1731069779.3,19.8,0.668,0.0,3.13,4319.126945608959,19.2,0.399,0.032,1.03,4813.762524198989,7.68,0.745,0.0,1.97,7723.980196338954,19.8,0.643,0.0,0.972,4073.343323704477
1731069779.8,20.5,0.602,0.0,1.96,4319.053080138277,20.5,0.384,0.0,0.947,4814.213628315008,7.68,1.283,0.0,1.94,7724.0248840745535,20.5,0.991,0.0,0.763,4073.352916253654
1731069780.3,19.9,0.809,0.0,2.11,4318.733404058943,19.2,0.401,0.032,2.33,4814.197299216475,8.32,1.18,0.0,3.28,7723.656350812684,19.8,0.835,0.0,2.24,4073.0435281036553
1731069780.8,19.8,0.633,0.0,1.62,4319.214071363705,19.8,0.34,0.0,0.789,4814.715646433154,8.31,0.974,0.0,1.91,7724.031035297643,19.8,0.916,0.0,1.09,4073.539332772292
1731069781.3,19.2,0.753,0.0,3.02,4319.072026110211,19.8,0.356,0.0,1.47,4814.518319149272,7.68,1.017,0.0,1.77,7723.644674220265,19.8,0.765,0.0,1.25,4073.337801030771
1731069781.8,20.5,0.601,0.03,2.36,4319.212595535635,20.5,0.367,0.0,0.801,4815.219816944111,8.33,0.825,0.0,1.78,7723.953829300489,20.5,0.774,0.0,0.829,4073.5884689469553
1731069782.3,19.8,0.648,0.0,2.01,4319.552882487473,19.8,0.331,0.0,1.02,4815.515747570225,7.68,0.826,0.0,2.87,7724.119700472195,19.8,0.74,0.0,1.04,4073.91262677022
1731069782.8,19.9,0.941,0.0,4.09,4318.953027920303,19.8,0.663,0.0,1.89,4815.29350077799,8.31,0.958,0.0,1.73,7723.479541897323,19.8,0.851,0.0,0.816,4073.316924752248
1731069783.3,19.8,0.802,0.0,2.04,4319.439354871655,19.8,0.362,0.0,8.11,4815.75306371392,7.68,0.525,0.0,7.95,7723.821338932184,19.8,0.759,0.0,0.856,4073.803632245036
1731069783.8,20.5,0.713,0.0,2.14,4319.272719656038,20.5,0.343,0.0,0.804,4815.845282441335,8.32,0.899,0.0,3.26,7723.598764477133,19.8,0.757,0.0,0.902,4073.649698308028
