Time,Bitrate,Jitter,Datagrams
1731070776.17,8.32,0.288,0.0
1731070776.67,8.32,1.083,0.0
1731070777.17,7.67,0.784,0.0
1731070777.67,8.33,1.251,0.0
1731070778.17,7.68,0.969,0.0
1731070778.67,8.32,0.544,0.0
1731070779.17,7.68,1.172,0.0
1731070779.67,8.32,0.548,0.0
1731070780.17,7.68,1.139,0.0
1731070780.67,8.33,0.523,0.0
1731070781.17,7.67,0.527,0.0
1731070781.67,8.33,1.174,0.0
1731070782.17,7.68,0.694,0.0
1731070782.67,8.32,1.211,0.0
1731070783.17,7.68,0.724,0.0
1731070783.67,8.32,0.795,0.0
1731070784.17,7.68,0.781,0.0
1731070784.67,8.32,0.812,0.0
1731070785.17,7.67,1.400,0.0
1731070785.67,8.33,0.936,0.0
1731070786.17,7.68,0.687,0.0
1731070786.67,8.32,0.562,0.0
1731070787.17,7.68,0.800,0.0
1731070787.67,7.68,0.727,0.0
1731070788.17,8.32,0.741,0.0
1731070788.67,8.31,0.781,0.0
1731070789.17,7.68,0.612,0.0
1731070789.67,8.32,0.859,0.0
1731070790.17,7.68,0.719,0.0
1731070790.67,8.32,0.890,0.0
1731070791.17,7.68,1.250,0.0
1731070791.67,7.68,0.840,0.0
1731070792.17,8.32,1.108,0.0
1731070792.67,8.32,0.814,0.0
1731070793.17,7.68,0.935,0.0
1731070793.67,8.32,0.745,0.0
1731070794.17,7.68,0.425,0.0
1731070794.67,8.32,0.846,0.0
1731070795.17,7.68,0.549,0.0
1731070795.67,7.68,0.958,0.0
1731070796.17,8.32,0.838,0.0
1731070796.67,8.32,0.406,0.0
1731070797.17,7.68,1.172,0.0
1731070797.67,8.32,0.544,0.0
1731070798.17,7.69,1.096,0.0
1731070798.67,8.32,1.093,0.0
1731070799.17,7.68,0.618,0.0
1731070799.67,8.32,1.204,0.0
1731070800.17,7.68,0.622,0.0
1731070800.67,8.32,1.048,0.0
1731070801.17,7.68,0.555,0.0
1731070801.67,7.68,0.722,0.0
1731070802.17,8.31,1.301,0.0
1731070802.67,8.32,0.823,0.0
1731070803.17,7.67,1.298,0.0
1731070803.67,8.32,0.604,0.0
1731070804.17,7.69,0.658,0.0
1731070804.67,7.68,0.536,0.0
1731070805.17,8.31,0.776,0.0
1731070805.67,8.32,1.441,0.0
1731070806.17,7.68,0.692,0.0
1731070806.67,8.32,0.488,0.0
1731070807.17,7.68,0.417,0.0
1731070807.67,8.33,0.595,0.0
1731070808.17,7.68,0.997,0.0
1731070808.67,8.32,0.682,0.0
1731070809.17,7.68,0.574,0.0
1731070809.67,8.32,0.497,0.0
1731070810.17,7.68,0.963,0.0
1731070810.67,8.32,0.729,0.0
1731070811.17,7.68,0.810,0.0
1731070811.67,8.32,0.804,0.0
1731070812.17,7.68,0.639,0.0
1731070812.67,8.32,1.107,0.0
1731070813.17,7.68,0.822,0.0
1731070813.67,8.32,1.141,0.0
1731070814.17,7.68,0.871,0.0
1731070814.67,8.32,0.442,0.0
1731070815.17,7.68,1.086,0.0
1731070815.67,8.29,0.937,0.0
1731070816.17,7.71,0.992,0.0
1731070816.67,7.68,0.938,0.07692307692307693
1731070817.17,7.69,0.481,0.0
1731070817.67,8.31,0.954,0.0
1731070818.17,7.68,0.490,0.0
1731070818.67,8.32,0.947,0.0
1731070819.17,7.68,0.827,0.0
1731070819.67,8.32,0.448,0.0
1731070820.17,7.68,1.023,0.0
1731070820.67,8.32,0.710,0.0
1731070821.17,7.68,1.106,0.0
1731070821.67,7.68,0.725,0.0
1731070822.17,8.32,0.562,0.0
1731070822.67,8.32,1.331,0.0
1731070823.17,7.68,0.841,0.0
1731070823.67,8.32,1.206,0.0
1731070824.17,7.68,0.583,0.0
1731070824.67,8.32,0.528,0.0
1731070825.17,7.68,0.904,0.0
1731070825.67,8.32,0.832,0.0
1731070826.17,7.68,1.323,0.0
1731070826.67,8.32,0.687,0.0
1731070827.17,7.68,0.553,0.0
1731070827.67,8.32,0.501,0.0
1731070828.17,7.68,0.766,0.0
1731070828.67,8.32,1.377,0.0
1731070829.17,7.68,0.664,0.0
1731070829.67,8.32,0.698,0.0
1731070830.17,7.68,0.763,0.0
1731070830.67,8.32,1.159,0.0
1731070831.17,7.68,0.813,0.0
1731070831.67,8.32,0.745,0.0
1731070832.17,7.68,0.749,0.0
1731070832.67,8.32,0.732,0.0
1731070833.17,7.68,0.875,0.0
1731070833.67,8.32,1.060,0.0
1731070834.17,7.68,0.944,0.0
1731070834.67,8.32,0.718,0.0
1731070835.17,7.68,0.350,0.0
1731070835.67,8.32,0.773,0.0
1731070836.17,7.68,0.729,0.0
1731070836.67,8.32,0.800,0.0
1731070837.17,7.68,0.844,0.0
1731070837.67,8.32,0.452,0.0
1731070838.17,7.68,1.057,0.0
1731070838.67,7.69,0.560,0.0
1731070839.17,8.32,0.952,0.0
1731070839.67,8.32,0.766,0.0
1731070840.17,7.68,0.400,0.0
1731070840.67,8.32,1.109,0.0
1731070841.17,7.68,0.608,0.0
1731070841.67,8.32,1.033,0.0
1731070842.17,7.68,1.028,0.0
1731070842.67,7.04,0.686,0.08333333333333333
1731070843.17,8.32,1.625,0.0
1731070843.67,8.32,0.824,0.0
1731070844.17,7.68,1.324,0.0
1731070844.67,8.32,0.644,0.0
1731070845.17,7.68,0.503,0.0
1731070845.67,8.32,1.028,0.0
1731070846.17,7.68,0.531,0.0
1731070846.67,8.32,1.277,0.0
1731070847.17,7.68,0.618,0.0
1731070847.67,8.31,0.509,0.0
1731070848.17,7.68,0.573,0.0
1731070848.67,8.32,0.773,0.0
1731070849.17,7.68,1.397,0.0
1731070849.67,8.32,0.641,0.0
1731070850.17,7.68,0.556,0.0
1731070850.67,8.32,0.569,0.0
1731070851.17,7.68,0.695,0.0
1731070851.67,7.68,1.079,0.0
1731070852.17,8.32,0.930,0.0
1731070852.67,8.32,1.205,0.0
1731070853.17,7.68,0.900,0.0
1731070853.67,8.31,1.237,0.0
1731070854.17,7.68,0.925,0.0
1731070854.67,8.32,0.827,0.0
1731070855.17,7.69,0.809,0.0
1731070855.67,7.68,0.423,0.0
1731070856.17,8.32,0.853,0.0
1731070856.67,8.31,0.689,0.0
1731070857.17,7.68,0.959,0.0
1731070857.67,8.32,0.797,0.0
1731070858.17,7.68,0.408,0.0
1731070858.67,8.32,0.852,0.0
1731070859.17,7.68,0.564,0.0
1731070859.67,8.32,0.827,0.0
1731070860.17,7.68,0.731,0.0
1731070860.67,8.32,0.340,0.0
1731070861.17,7.68,0.936,0.0
1731070861.67,8.32,0.658,0.0
1731070862.17,7.68,1.135,0.0
1731070862.67,8.32,0.932,0.0
1731070863.17,7.68,0.522,0.0
1731070863.67,8.32,1.080,0.0
1731070864.17,7.68,0.840,0.0
1731070864.67,8.32,1.164,0.0
1731070865.17,7.69,0.558,0.0
1731070865.67,8.31,0.761,0.0
1731070866.17,7.67,1.254,0.0
1731070866.67,8.33,0.992,0.0
1731070867.17,7.68,1.339,0.0
1731070867.67,8.32,0.774,0.0
1731070868.17,7.68,0.618,0.0
1731070868.67,7.68,0.585,0.0
1731070869.17,8.32,0.645,0.0
1731070869.67,8.32,1.577,0.0
1731070870.17,7.66,0.793,0.0
1731070870.67,8.34,0.666,0.0
1731070871.17,7.68,0.545,0.0
1731070871.67,8.32,0.676,0.0
1731070872.17,7.68,1.000,0.0
1731070872.67,8.32,0.873,0.0
1731070873.17,7.68,0.673,0.0
1731070873.67,8.32,0.502,0.0
1731070874.17,7.68,0.707,0.0
1731070874.67,8.33,0.676,0.0
1731070875.17,7.68,0.754,0.0
1731070875.67,8.32,0.637,0.0
1731070876.17,7.68,0.599,0.0
1731070876.67,8.32,1.135,0.0
1731070877.17,7.68,1.006,0.0
1731070877.67,8.32,1.662,0.0
1731070878.17,7.68,1.397,0.0
1731070878.67,8.32,1.096,0.0
1731070879.17,7.69,1.519,0.0
1731070879.67,8.31,1.040,0.0
1731070880.17,7.69,1.170,0.0
1731070880.67,8.32,0.853,0.0
1731070881.17,7.68,0.435,0.0
1731070881.67,8.33,0.889,0.0
1731070882.17,7.68,0.427,0.0
1731070882.67,8.32,0.905,0.0
1731070883.17,7.68,0.836,0.0
1731070883.67,8.32,0.510,0.0
1731070884.17,7.68,1.463,0.0
1731070884.67,8.32,0.762,0.0
1731070885.17,7.68,1.112,0.0
1731070885.67,7.68,0.616,0.0
1731070886.17,8.32,0.530,0.0
1731070886.67,8.32,1.217,0.0
1731070887.17,7.68,0.606,0.0
1731070887.67,8.32,1.239,0.0
1731070888.17,7.68,0.619,0.0
1731070888.67,8.32,0.650,0.0
1731070889.17,7.68,0.961,0.0
1731070889.67,7.68,0.706,0.0
1731070890.17,8.32,1.390,0.0
1731070890.67,8.32,0.683,0.0
1731070891.17,7.68,0.711,0.0
1731070891.67,8.32,0.481,0.0
1731070892.17,7.67,0.623,0.0
1731070892.67,8.33,1.273,0.0
1731070893.17,7.69,0.614,0.0
1731070893.67,7.67,0.614,0.0
1731070894.17,8.32,0.606,0.0
1731070894.67,8.33,0.714,0.0
1731070895.17,7.68,0.579,0.0
1731070895.67,8.32,0.654,0.0
1731070896.17,7.68,1.658,0.0
1731070896.67,8.32,1.281,0.0
1731070897.17,7.69,1.167,0.0
1731070897.67,8.32,0.833,0.0
1731070898.17,7.68,0.828,0.0
1731070898.67,8.32,0.657,0.0
1731070899.17,7.68,0.386,0.0
1731070899.67,7.69,1.266,0.0
1731070900.17,8.31,1.037,0.0
1731070900.67,8.32,0.986,0.0
1731070901.17,7.68,0.816,0.0
1731070901.67,7.67,0.503,0.07692307692307693
1731070902.17,7.68,0.959,0.0
1731070902.67,7.68,0.493,0.0
1731070903.17,8.32,0.905,0.0
1731070903.67,8.33,1.042,0.0
1731070904.17,7.67,0.524,0.0
1731070904.67,8.32,0.979,0.0
1731070905.17,7.68,0.625,0.0
1731070905.67,7.68,1.075,0.0
1731070906.17,8.32,0.944,0.0
1731070906.67,8.32,0.576,0.0
1731070907.17,7.68,1.316,0.0
1731070907.67,8.32,0.673,0.0
1731070908.17,7.68,1.146,0.0
1731070908.67,8.32,0.554,0.0
1731070909.17,7.68,0.519,0.0
1731070909.67,8.32,1.111,0.0
1731070910.17,7.68,1.058,0.0
1731070910.67,8.32,1.329,0.0
1731070911.17,7.69,0.835,0.0
1731070911.67,8.32,0.689,0.0
1731070912.17,7.68,0.671,0.0
1731070912.67,8.32,0.629,0.0
1731070913.17,7.67,1.286,0.0
1731070913.67,8.32,0.703,0.0
1731070914.17,7.68,0.597,0.0
1731070914.67,8.31,0.495,0.0
1731070915.17,7.68,0.668,0.0
1731070915.67,7.68,0.643,0.0
1731070916.17,8.32,0.786,0.0
1731070916.67,8.32,0.831,0.0
1731070917.17,7.69,0.668,0.0
1731070917.67,8.32,0.850,0.0
1731070918.17,7.68,0.729,0.0
1731070918.67,8.33,0.760,0.0
1731070919.17,7.68,0.698,0.0
1731070919.67,7.69,0.340,0.0
1731070920.17,8.31,0.779,0.0
1731070920.67,8.32,0.671,0.0
1731070921.17,7.68,0.785,0.0
1731070921.67,8.32,0.691,0.0
1731070922.17,7.68,0.616,0.0
1731070922.67,8.32,1.000,0.0
1731070923.17,7.68,0.615,0.0
1731070923.67,8.33,0.854,0.0
1731070924.17,7.67,0.949,0.0
1731070924.67,8.32,0.435,0.0
1731070925.17,7.68,1.028,0.0
1731070925.67,8.32,0.470,0.0
1731070926.17,7.68,1.106,0.0
1731070926.67,8.32,0.902,0.0
1731070927.17,7.68,0.454,0.0
1731070927.67,8.32,1.077,0.0
1731070928.17,7.68,0.546,0.0
1731070928.67,8.32,1.062,0.0
1731070929.17,7.68,0.767,0.0
1731070929.67,8.31,0.844,0.0
1731070930.17,7.68,1.435,0.0
1731070930.67,8.32,0.678,0.0
1731070931.17,7.68,1.353,0.0
1731070931.67,8.32,0.864,0.0
1731070932.17,7.68,0.664,0.0
1731070932.67,7.68,0.625,0.0
1731070933.17,8.32,0.665,0.0
1731070933.67,8.32,1.509,0.0
1731070934.17,7.68,0.784,0.0
1731070934.67,8.32,0.564,0.0
1731070935.17,7.68,0.664,0.0
1731070935.67,8.32,0.705,0.0
1731070936.17,7.68,0.949,0.0
1731070936.67,8.32,0.649,0.0
1731070937.17,7.68,0.561,0.0
1731070937.67,8.32,0.535,0.0
1731070938.17,7.68,0.744,0.0
1731070938.67,8.31,0.581,0.0
1731070939.17,7.68,0.714,0.0
1731070939.67,8.32,0.676,0.0
1731070940.17,7.68,0.473,0.0
1731070940.67,8.32,0.937,0.0
1731070941.17,7.68,1.143,0.0
1731070941.67,8.32,1.159,0.0
1731070942.17,7.68,1.130,0.0
1731070942.67,8.32,0.851,0.0
1731070943.17,7.68,1.034,0.0
1731070943.67,8.32,0.987,0.0
1731070944.17,7.68,1.005,0.0
1731070944.67,8.32,0.796,0.0
1731070945.17,7.68,0.478,0.0
1731070945.67,8.31,0.956,0.0
1731070946.17,7.69,0.531,0.0
1731070946.67,8.32,0.967,0.0
1731070947.17,7.68,0.825,0.0
1731070947.67,8.32,0.405,0.0
1731070948.17,7.68,1.053,0.0
1731070948.67,8.32,0.500,0.0
1731070949.17,7.04,1.292,0.0
1731070949.67,7.68,0.819,0.07692307692307693
1731070950.17,8.32,0.683,0.0
1731070950.67,8.32,1.193,0.0
1731070951.17,7.68,0.612,0.0
1731070951.67,8.32,1.087,0.0
1731070952.17,7.68,0.683,0.0
1731070952.67,8.31,0.507,0.0
1731070953.17,7.68,0.788,0.0
1731070953.67,8.32,0.676,0.0
1731070954.17,7.68,1.290,0.0
1731070954.67,8.32,0.866,0.0
1731070955.17,7.68,0.656,0.0
1731070955.67,8.32,0.623,0.0
1731070956.17,7.68,0.741,0.0
1731070956.67,8.32,1.364,0.0
1731070957.17,7.68,0.788,0.0
1731070957.67,8.32,0.690,0.0
1731070958.17,7.68,1.030,0.0
1731070958.67,8.32,0.876,0.0
1731070959.17,7.68,0.840,0.0
1731070959.67,7.69,0.827,0.0
1731070960.17,8.31,0.760,0.0
1731070960.67,8.32,0.645,0.0
1731070961.17,7.68,0.824,0.0
1731070961.67,8.32,0.902,0.0
1731070962.17,7.68,0.885,0.0
1731070962.67,8.32,0.714,0.0
1731070963.17,7.68,0.575,0.0
1731070963.67,7.69,1.176,0.0
1731070964.17,8.32,0.871,0.0
1731070964.67,8.32,1.364,0.0
1731070965.17,7.68,0.976,0.0
1731070965.67,8.32,0.541,0.0
1731070966.17,7.69,0.991,0.0
1731070966.67,7.68,0.524,0.0
1731070967.17,8.32,1.071,0.0
1731070967.67,8.32,0.969,0.0
1731070968.17,7.68,0.536,0.0
1731070968.67,8.31,1.153,0.0
1731070969.17,7.68,0.580,0.0
1731070969.67,8.32,1.017,0.0
1731070970.17,7.68,0.695,0.0
1731070970.67,8.28,0.549,0.0
1731070971.17,7.72,1.410,0.0
1731070971.67,8.32,0.826,0.0
1731070972.17,7.69,1.211,0.0
1731070972.67,8.31,0.604,0.0
1731070973.17,7.68,0.523,0.0
1731070973.67,8.32,1.205,0.0
1731070974.17,7.68,0.612,0.0
1731070974.67,8.32,1.146,0.0
1731070975.17,7.68,0.628,0.0
1731070975.67,8.32,0.487,0.0
1731070976.17,7.68,0.545,0.0
1731070976.67,8.32,0.653,0.0
1731070977.17,7.68,1.300,0.0
1731070977.67,8.32,0.745,0.0
1731070978.17,7.68,0.820,0.0
1731070978.67,8.32,0.666,0.0
1731070979.17,7.68,0.736,0.0
1731070979.67,7.68,0.631,0.0
1731070980.17,8.33,0.727,0.0
1731070980.67,8.31,0.645,0.0
1731070981.17,7.69,0.807,0.0
1731070981.67,8.31,0.842,0.0
1731070982.17,7.68,0.770,0.0
1731070982.67,8.32,0.776,0.0
1731070983.17,7.68,0.669,0.0
1731070983.67,7.68,0.429,0.0
1731070984.17,8.32,0.807,0.0
1731070984.67,8.32,0.908,0.0
1731070985.17,7.68,0.887,0.0
1731070985.67,8.32,0.700,0.0
1731070986.17,7.68,0.432,0.0
1731070986.67,8.32,0.849,0.0
1731070987.17,7.68,0.614,0.0
1731070987.67,8.32,0.934,0.0
1731070988.17,7.68,0.971,0.0
1731070988.67,8.32,0.606,0.0
1731070989.17,7.68,1.092,0.0
1731070989.67,7.68,0.532,0.07692307692307693
1731070990.17,7.68,1.058,0.0
1731070990.67,8.33,0.860,0.0
1731070991.17,7.68,0.566,0.0
1731070991.67,7.68,1.183,0.0
1731070992.17,8.32,0.694,0.0
1731070992.67,7.68,1.156,0.0
1731070993.17,8.32,0.739,0.0
1731070993.67,8.33,0.759,0.0
1731070994.17,7.67,1.306,0.0
1731070994.67,8.32,0.665,0.0
1731070995.17,7.68,1.270,0.0
1731070995.67,8.32,0.642,0.0
1731070996.17,7.68,0.530,0.0
1731070996.67,7.68,0.589,0.0
1731070997.17,8.33,0.633,0.0
1731070997.67,8.31,1.212,0.0
1731070998.17,7.68,0.635,0.0
1731070998.67,8.32,0.558,0.0
1731070999.17,7.68,0.604,0.0
1731070999.67,8.33,0.712,0.0
1731071000.17,7.68,0.978,0.0
1731071000.67,8.31,0.894,0.0
1731071001.17,7.68,0.872,0.0
1731071001.67,8.32,0.759,0.0
1731071002.17,7.68,0.886,0.0
1731071002.67,8.32,0.799,0.0
1731071003.17,7.69,0.833,0.0
1731071003.67,8.32,0.657,0.0
1731071004.17,7.68,0.588,0.0
1731071004.67,8.32,0.860,0.0
1731071005.17,7.68,0.671,0.0
1731071005.67,8.32,0.804,0.0
1731071006.17,7.68,0.692,0.0
1731071006.67,8.32,0.375,0.0
1731071007.17,7.68,0.867,0.0
1731071007.67,8.32,0.652,0.0
1731071008.17,7.68,0.981,0.0
1731071008.67,8.32,0.953,0.0
1731071009.17,7.68,0.472,0.0
1731071009.67,8.29,0.951,0.0
1731071010.17,7.71,0.505,0.0
1731071010.67,8.32,1.209,0.0
1731071011.17,7.68,1.357,0.0
1731071011.67,8.32,0.669,0.0
1731071012.17,7.68,1.168,0.0
1731071012.67,8.32,0.546,0.0
1731071013.17,7.68,1.090,0.0
1731071013.67,7.68,0.647,0.0
1731071014.17,8.32,0.531,0.0
1731071014.67,8.32,0.936,0.0
1731071015.17,7.68,0.695,0.0
1731071015.67,8.32,1.292,0.0
1731071016.17,7.68,0.633,0.0
1731071016.67,8.32,0.516,0.0
1731071017.17,7.68,0.949,0.0
1731071017.67,7.68,0.650,0.0
1731071018.17,8.32,1.285,0.0
1731071018.67,8.32,0.959,0.0
1731071019.17,7.68,0.675,0.0
1731071019.67,8.32,0.521,0.0
1731071020.17,7.68,0.687,0.0
1731071020.67,8.32,1.326,0.0
1731071021.17,7.04,0.869,0.08333333333333333
1731071021.67,8.32,0.657,0.0
1731071022.17,7.68,0.550,0.0
1731071022.67,8.32,0.663,0.0
1731071023.17,7.68,0.811,0.0
1731071023.67,7.68,0.826,0.0
1731071024.17,8.32,0.765,0.0
1731071024.67,8.32,0.548,0.0
1731071025.17,7.68,0.739,0.0
1731071025.67,8.32,0.611,0.0
1731071026.17,7.68,0.723,0.0
1731071026.67,8.32,0.764,0.0
1731071027.17,7.68,0.371,0.0
1731071027.67,8.32,0.801,0.0
1731071028.17,7.67,1.087,0.0
1731071028.67,8.32,1.019,0.0
1731071029.17,7.68,1.038,0.0
1731071029.67,8.33,0.522,0.0
1731071030.17,7.68,1.173,0.0
1731071030.67,7.68,0.695,0.0
1731071031.17,8.32,1.022,0.0
1731071031.67,7.64,0.873,0.0
1731071032.17,8.35,0.656,0.0
1731071032.67,8.32,1.110,0.0
1731071033.17,7.68,0.566,0.0
1731071033.67,8.32,0.995,0.0
