Time,Bitrate,Jitter,Datagrams,Delay
1731070780.55,8.33,0.523,0.0,1.89
1731070781.05,7.67,0.527,0.0,1.54
1731070781.55,8.33,1.174,0.0,2.34
1731070782.05,7.68,0.694,0.0,1.99
1731070782.55,8.32,1.211,0.0,2.58
1731070783.05,7.68,0.724,0.0,1.59
1731070783.55,8.32,0.795,0.0,2.13
1731070784.05,7.68,0.781,0.0,7.86
1731070784.55,8.32,0.812,0.0,1.61
1731070785.05,7.67,1.4,0.0,1.75
1731070785.55,8.33,0.936,0.0,3.54
1731070786.05,7.68,0.687,0.0,1.6
1731070786.55,8.32,0.562,0.0,1.68
1731070787.05,7.68,0.8,0.0,2.46
1731070787.55,7.68,0.727,0.0,1.53
1731070788.05,8.32,0.741,0.0,2.0
1731070788.55,8.31,0.781,0.0,2.22
1731070789.05,7.68,0.612,0.0,1.59
1731070789.55,8.32,0.859,0.0,2.33
1731070790.05,7.68,0.719,0.0,2.02
1731070790.55,8.32,0.89,0.0,2.2
1731070791.05,7.68,1.25,0.0,1.78
1731070791.55,7.68,0.84,0.0,1.66
1731070792.05,8.32,1.108,0.0,6.13
1731070792.55,8.32,0.814,0.0,1.67
1731070793.05,7.68,0.935,0.0,6.02
1731070793.55,8.32,0.745,0.0,1.64
1731070794.05,7.68,0.425,0.0,1.76
1731070794.55,8.32,0.846,0.0,2.39
1731070795.05,7.68,0.549,0.0,2.28
1731070795.55,7.68,0.958,0.0,1.95
1731070796.05,8.32,0.838,0.0,1.69
1731070796.55,8.32,0.406,0.0,1.81
1731070797.05,7.68,1.172,0.0,2.32
1731070797.55,8.32,0.544,0.0,1.76
1731070798.05,7.69,1.096,0.0,9.16
1731070798.55,8.32,1.093,0.0,3.03
1731070799.05,7.68,0.618,0.0,1.57
1731070799.55,8.32,1.204,0.0,1.84
1731070800.05,7.68,0.622,0.0,2.69
1731070800.55,8.32,1.048,0.0,1.53
1731070801.05,7.68,0.555,0.0,1.83
1731070801.55,7.68,0.722,0.0,2.57
1731070802.05,8.31,1.301,0.0,1.39
1731070802.55,8.32,0.823,0.0,3.23
1731070803.05,7.67,1.298,0.0,2.13
1731070803.55,8.32,0.604,0.0,1.71
1731070804.05,7.69,0.658,0.0,2.92
1731070804.55,7.68,0.536,0.0,2.38
1731070805.05,8.31,0.776,0.0,2.54
1731070805.55,8.32,1.441,0.0,2.12
1731070806.05,7.68,0.692,0.0,1.81
1731070806.55,8.32,0.488,0.0,2.79
1731070807.05,7.68,0.417,0.0,2.87
1731070807.55,8.33,0.595,0.0,1.6
1731070808.05,7.68,0.997,0.0,3.1
1731070808.55,8.32,0.682,0.0,1.69
1731070809.05,7.68,0.574,0.0,1.76
1731070809.55,8.32,0.497,0.0,4.12
1731070810.05,7.68,0.963,0.0,1.77
1731070810.55,8.32,0.729,0.0,1.76
1731070811.05,7.68,0.81,0.0,2.57
1731070811.55,8.32,0.804,0.0,1.47
1731070812.05,7.68,0.639,0.0,7.44
1731070812.55,8.32,1.107,0.0,1.48
1731070813.05,7.68,0.822,0.0,1.59
1731070813.55,8.32,1.141,0.0,2.29
1731070814.05,7.68,0.871,0.0,1.77
1731070814.55,8.32,0.442,0.0,1.55
1731070815.05,7.68,1.086,0.0,2.18
1731070815.55,8.29,0.937,0.0,2.09
1731070816.05,7.71,0.992,0.0,2.14
1731070816.55,7.68,0.938,0.0769230769230769,4.68
1731070817.05,7.69,0.481,0.0,1.73
1731070817.55,8.31,0.954,0.0,2.72
1731070818.05,7.68,0.49,0.0,1.97
1731070818.55,8.32,0.947,0.0,1.55
1731070819.05,7.68,0.827,0.0,3.25
1731070819.55,8.32,0.448,0.0,1.54
1731070820.05,7.68,1.023,0.0,1.66
1731070820.55,8.32,0.71,0.0,2.77
1731070821.05,7.68,1.106,0.0,2.09
1731070821.55,7.68,0.725,0.0,9.76
1731070822.05,8.32,0.562,0.0,1.74
1731070822.55,8.32,1.331,0.0,1.67
1731070823.05,7.68,0.841,0.0,1.71
1731070823.55,8.32,1.206,0.0,2.59
1731070824.05,7.68,0.583,0.0,1.56
1731070824.55,8.32,0.528,0.0,1.8
1731070825.05,7.68,0.904,0.0,1.6
1731070825.55,8.32,0.832,0.0,1.53
1731070826.05,7.68,1.323,0.0,3.95
1731070826.55,8.32,0.687,0.0,1.85
1731070827.05,7.68,0.553,0.0,2.11
1731070827.55,8.32,0.501,0.0,1.87
1731070828.05,7.68,0.766,0.0,1.91
1731070828.55,8.32,1.377,0.0,2.22
1731070829.05,7.68,0.664,0.0,1.87
1731070829.55,8.32,0.698,0.0,1.72
1731070830.05,7.68,0.763,0.0,3.61
1731070830.55,8.32,1.159,0.0,3.49
1731070831.05,7.68,0.813,0.0,1.78
1731070831.55,8.32,0.745,0.0,3.37
1731070832.05,7.68,0.749,0.0,1.56
1731070832.55,8.32,0.732,0.0,2.07
1731070833.05,7.68,0.875,0.0,1.48
1731070833.55,8.32,1.06,0.0,1.52
1731070834.05,7.68,0.944,0.0,2.46
1731070834.55,8.32,0.718,0.0,1.7
1731070835.05,7.68,0.35,0.0,1.56
1731070835.55,8.32,0.773,0.0,8.29
1731070836.05,7.68,0.729,0.0,2.22
1731070836.55,8.32,0.8,0.0,2.2
1731070837.05,7.68,0.844,0.0,1.91
1731070837.55,8.32,0.452,0.0,1.55
1731070838.05,7.68,1.057,0.0,2.63
1731070838.55,7.69,0.56,0.0,1.57
1731070839.05,8.32,0.952,0.0,1.86
1731070839.55,8.32,0.766,0.0,2.45
1731070840.05,7.68,0.4,0.0,6.99
1731070840.55,8.32,1.109,0.0,2.14
1731070841.05,7.68,0.608,0.0,1.82
1731070841.55,8.32,1.033,0.0,1.45
1731070842.05,7.68,1.028,0.0,3.09
1731070842.55,7.04,0.686,0.0833333333333333,1.94
1731070843.05,8.32,1.625,0.0,2.01
1731070843.55,8.32,0.824,0.0,1.79
1731070844.05,7.68,1.324,0.0,1.4
1731070844.55,8.32,0.644,0.0,4.68
1731070845.05,7.68,0.503,0.0,1.65
1731070845.55,8.32,1.028,0.0,1.57
1731070846.05,7.68,0.531,0.0,2.89
1731070846.55,8.32,1.277,0.0,1.77
1731070847.05,7.68,0.618,0.0,1.7
1731070847.55,8.31,0.509,0.0,3.27
1731070848.05,7.68,0.573,0.0,2.13
1731070848.55,8.32,0.773,0.0,1.81
1731070849.05,7.68,1.397,0.0,2.4
1731070849.55,8.32,0.641,0.0,8.23
1731070850.05,7.68,0.556,0.0,2.53
1731070850.55,8.32,0.569,0.0,1.71
1731070851.05,7.68,0.695,0.0,1.39
1731070851.55,7.68,1.079,0.0,2.56
1731070852.05,8.32,0.93,0.0,1.89
1731070852.55,8.32,1.205,0.0,1.72
1731070853.05,7.68,0.9,0.0,1.96
1731070853.55,8.31,1.237,0.0,1.94
1731070854.05,7.68,0.925,0.0,6.28
1731070854.55,8.32,0.827,0.0,1.41
1731070855.05,7.69,0.809,0.0,1.58
1731070855.55,7.68,0.423,0.0,3.22
1731070856.05,8.32,0.853,0.0,1.66
1731070856.55,8.31,0.689,0.0,1.67
1731070857.05,7.68,0.959,0.0,3.61
1731070857.55,8.32,0.797,0.0,1.87
1731070858.05,7.68,0.408,0.0,1.94
1731070858.55,8.32,0.852,0.0,2.41
1731070859.05,7.68,0.564,0.0,1.58
1731070859.55,8.32,0.827,0.0,2.34
1731070860.05,7.68,0.731,0.0,2.04
1731070860.55,8.32,0.34,0.0,2.65
1731070861.05,7.68,0.936,0.0,1.65
1731070861.55,8.32,0.658,0.0,1.93
1731070862.05,7.68,1.135,0.0,3.07
1731070862.55,8.32,0.932,0.0,1.84
1731070863.05,7.68,0.522,0.0,1.76
1731070863.55,8.32,1.08,0.0,10.5
1731070864.05,7.68,0.84,0.0,1.53
1731070864.55,8.32,1.164,0.0,1.74
1731070865.05,7.69,0.558,0.0,2.93
1731070865.55,8.31,0.761,0.0,1.6
1731070866.05,7.67,1.254,0.0,1.96
1731070866.55,8.33,0.992,0.0,1.94
1731070867.05,7.68,1.339,0.0,1.96
1731070867.55,8.32,0.774,0.0,1.89
1731070868.05,7.68,0.618,0.0,8.29
1731070868.55,7.68,0.585,0.0,2.43
1731070869.05,8.32,0.645,0.0,1.76
1731070869.55,8.32,1.577,0.0,1.69
1731070870.05,7.66,0.793,0.0,3.37
1731070870.55,8.34,0.666,0.0,2.1
1731070871.05,7.68,0.545,0.0,2.04
1731070871.55,8.32,0.676,0.0,1.7
1731070872.05,7.68,1.0,0.0,1.45
1731070872.55,8.32,0.873,0.0,4.2
1731070873.05,7.68,0.673,0.0,1.89
1731070873.55,8.32,0.502,0.0,2.06
1731070874.05,7.68,0.707,0.0,2.1
1731070874.55,8.33,0.676,0.0,1.67
1731070875.05,7.68,0.754,0.0,3.73
1731070875.55,8.32,0.637,0.0,2.06
1731070876.05,7.68,0.599,0.0,1.85
1731070876.55,8.32,1.135,0.0,2.75
1731070877.05,7.68,1.006,0.0,4.22
1731070877.55,8.32,1.662,0.0,2.2
1731070878.05,7.68,1.397,0.0,2.84
1731070878.55,8.32,1.096,0.0,1.74
1731070879.05,7.69,1.519,0.0,2.74
1731070879.55,8.31,1.04,0.0,1.92
1731070880.05,7.69,1.17,0.0,2.31
1731070880.55,8.32,0.853,0.0,2.49
1731070881.05,7.68,0.435,0.0,2.33
1731070881.55,8.33,0.889,0.0,2.51
1731070882.05,7.68,0.427,0.0,8.75
1731070882.55,8.32,0.905,0.0,2.42
1731070883.05,7.68,0.836,0.0,2.2
1731070883.55,8.32,0.51,0.0,1.49
1731070884.05,7.68,1.463,0.0,1.5
1731070884.55,8.32,0.762,0.0,2.42
1731070885.05,7.68,1.112,0.0,1.81
1731070885.55,7.68,0.616,0.0,1.4
1731070886.05,8.32,0.53,0.0,3.19
1731070886.55,8.32,1.217,0.0,NA
1731070887.05,7.68,0.606,0.0,7.03
1731070887.55,8.32,1.239,0.0,1.91
1731070888.05,7.68,0.619,0.0,1.62
1731070888.55,8.32,0.65,0.0,NA
1731070889.05,7.68,0.961,0.0,1.69
1731070889.55,7.68,0.706,0.0,2.31
1731070890.05,8.32,1.39,0.0,1.49
1731070890.55,8.32,0.683,0.0,2.45
1731070891.05,7.68,0.711,0.0,1.87
1731070891.55,8.32,0.481,0.0,1.66
1731070892.05,7.67,0.623,0.0,7.23
1731070892.55,8.33,1.273,0.0,1.6
1731070893.05,7.69,0.614,0.0,1.77
1731070893.55,7.67,0.614,0.0,1.64
1731070894.05,8.32,0.606,0.0,2.12
1731070894.55,8.33,0.714,0.0,2.48
1731070895.05,7.68,0.579,0.0,1.75
1731070895.55,8.32,0.654,0.0,1.36
1731070896.05,7.68,1.658,0.0,3.07
1731070896.55,8.32,1.281,0.0,7.91
1731070897.05,7.69,1.167,0.0,1.9
1731070897.55,8.32,0.833,0.0,1.94
1731070898.05,7.68,0.828,0.0,1.67
1731070898.55,8.32,0.657,0.0,2.42
1731070899.05,7.68,0.386,0.0,1.74
1731070899.55,7.69,1.266,0.0,1.57
1731070900.05,8.31,1.037,0.0,2.59
1731070900.55,8.32,0.986,0.0,4.32
1731070901.05,7.68,0.816,0.0,5.42
1731070901.55,7.67,0.503,0.0769230769230769,2.19
1731070902.05,7.68,0.959,0.0,2.11
1731070902.55,7.68,0.493,0.0,2.53
1731070903.05,8.32,0.905,0.0,1.65
1731070903.55,8.33,1.042,0.0,1.55
1731070904.05,7.67,0.524,0.0,3.12
1731070904.55,8.32,0.979,0.0,1.65
1731070905.05,7.68,0.625,0.0,1.7
1731070905.55,7.68,1.075,0.0,2.43
1731070906.05,8.32,0.944,0.0,1.58
1731070906.55,8.32,0.576,0.0,1.91
1731070907.05,7.68,1.316,0.0,2.65
1731070907.55,8.32,0.673,0.0,1.6
1731070908.05,7.68,1.146,0.0,2.19
1731070908.55,8.32,0.554,0.0,1.75
1731070909.05,7.68,0.519,0.0,1.64
1731070909.55,8.32,1.111,0.0,2.23
1731070910.05,7.68,1.058,0.0,2.33
1731070910.55,8.32,1.329,0.0,8.89
1731070911.05,7.69,0.835,0.0,1.67
1731070911.55,8.32,0.689,0.0,2.06
1731070912.05,7.68,0.671,0.0,2.63
1731070912.55,8.32,0.629,0.0,1.6
1731070913.05,7.67,1.286,0.0,1.46
1731070913.55,8.32,0.703,0.0,3.07
1731070914.05,7.68,0.597,0.0,1.64
1731070914.55,8.31,0.495,0.0,1.77
1731070915.05,7.68,0.668,0.0,5.02
1731070915.55,7.68,0.643,0.0,1.38
1731070916.05,8.32,0.786,0.0,1.98
1731070916.55,8.32,0.831,0.0,1.71
1731070917.05,7.69,0.668,0.0,1.62
1731070917.55,8.32,0.85,0.0,2.41
1731070918.05,7.68,0.729,0.0,1.96
1731070918.55,8.33,0.76,0.0,2.6
1731070919.05,7.68,0.698,0.0,2.27
1731070919.55,7.69,0.34,0.0,2.6
1731070920.05,8.31,0.779,0.0,3.49
1731070920.55,8.32,0.671,0.0,1.96
1731070921.05,7.68,0.785,0.0,1.8
1731070921.55,8.32,0.691,0.0,2.76
1731070922.05,7.68,0.616,0.0,1.55
1731070922.55,8.32,1.0,0.0,1.7
1731070923.05,7.68,0.615,0.0,2.54
1731070923.55,8.33,0.854,0.0,1.52
1731070924.05,7.67,0.949,0.0,1.95
1731070924.55,8.32,0.435,0.0,9.69
1731070925.05,7.68,1.028,0.0,1.85
1731070925.55,8.32,0.47,0.0,2.51
1731070926.05,7.68,1.106,0.0,1.84
1731070926.55,8.32,0.902,0.0,1.44
1731070927.05,7.68,0.454,0.0,2.55
1731070927.55,8.32,1.077,0.0,1.96
1731070928.05,7.68,0.546,0.0,2.12
1731070928.55,8.32,1.062,0.0,1.45
1731070929.05,7.68,0.767,0.0,6.04
1731070929.55,8.31,0.844,0.0,3.37
1731070930.05,7.68,1.435,0.0,1.91
1731070930.55,8.32,0.678,0.0,2.13
1731070931.05,7.68,1.353,0.0,1.68
1731070931.55,8.32,0.864,0.0,1.59
1731070932.05,7.68,0.664,0.0,2.1
1731070932.55,7.68,0.625,0.0,1.78
1731070933.05,8.32,0.665,0.0,1.68
1731070933.55,8.32,1.509,0.0,3.75
1731070934.05,7.68,0.784,0.0,1.9
1731070934.55,8.32,0.564,0.0,1.93
1731070935.05,7.68,0.664,0.0,1.62
1731070935.55,8.32,0.705,0.0,1.54
1731070936.05,7.68,0.949,0.0,2.98
1731070936.55,8.32,0.649,0.0,1.57
1731070937.05,7.68,0.561,0.0,1.87
1731070937.55,8.32,0.535,0.0,2.04
1731070938.05,7.68,0.744,0.0,1.62
1731070938.55,8.31,0.581,0.0,9.0
1731070939.05,7.68,0.714,0.0,1.8
1731070939.55,8.32,0.676,0.0,2.2
1731070940.05,7.68,0.473,0.0,1.72
1731070940.55,8.32,0.937,0.0,1.83
1731070941.05,7.68,1.143,0.0,3.22
1731070941.55,8.32,1.159,0.0,1.9
1731070942.05,7.68,1.13,0.0,2.11
1731070942.55,8.32,0.851,0.0,1.81
1731070943.05,7.68,1.034,0.0,8.98
1731070943.55,8.32,0.987,0.0,2.75
1731070944.05,7.68,1.005,0.0,2.16
1731070944.55,8.32,0.796,0.0,1.92
1731070945.05,7.68,0.478,0.0,1.58
