Time,Bitrate,Jitter,Datagrams,Delay
1731067774.96,8.32,1.093,0.0,2.37
1731067775.46,7.68,0.769,0.0,2.15
1731067775.96,8.33,0.809,0.0,1.59
1731067776.46,7.67,0.918,0.0,2.25
1731067776.96,8.32,0.705,0.0,1.71
1731067777.46,7.68,0.641,0.0,1.53
1731067777.96,8.32,0.592,0.0,2.67
1731067778.46,7.68,0.687,0.0,1.31
1731067778.96,8.32,0.705,0.0,1.73
1731067779.46,7.69,0.798,0.0,2.4
1731067779.96,8.31,1.255,0.0,1.91
1731067780.46,7.68,0.725,0.0,1.99
1731067780.96,8.32,0.865,0.0,1.67
1731067781.46,7.68,0.561,0.0,2.32
1731067781.96,8.31,0.663,0.0,2.41
1731067782.46,7.68,0.632,0.0,1.56
1731067782.96,8.32,0.369,0.0,10.6
1731067783.46,7.68,0.703,0.0,2.17
1731067783.96,8.32,0.586,0.0,1.42
1731067784.46,7.68,0.921,0.0,2.17
1731067784.96,8.33,0.744,0.0,1.57
1731067785.46,7.68,0.628,0.0,1.44
1731067785.96,8.31,0.944,0.0,2.08
1731067786.46,7.68,0.675,0.0,1.69
1731067786.96,8.31,0.969,0.0,1.84
1731067787.46,7.69,1.01,0.0,7.45
1731067787.96,8.31,1.035,0.0,2.0
1731067788.46,7.68,1.143,0.0,2.16
1731067788.96,8.32,0.54,0.0,1.63
1731067789.46,7.68,0.868,0.0,2.36
1731067789.96,7.68,0.475,0.0,2.36
1731067790.46,8.32,0.473,0.0,1.91
1731067790.96,8.32,0.898,0.0,2.28
1731067791.46,7.68,0.689,0.0,1.91
1731067791.96,8.32,0.999,0.0,2.33
1731067792.46,7.69,0.527,0.0,2.64
1731067792.96,8.31,0.909,0.0,1.5
1731067793.46,7.68,0.941,0.0,1.53
1731067793.96,8.32,0.835,0.0,2.11
1731067794.46,7.68,1.104,0.0,1.58
1731067794.96,8.31,0.623,0.0,1.44
1731067795.46,7.68,1.04,0.0,2.0
1731067795.96,8.32,0.799,0.0,2.01
1731067796.46,7.68,0.915,0.0,3.08
1731067796.96,8.31,1.373,0.0,1.81
1731067797.46,7.69,0.756,0.0,2.66
1731067797.96,8.32,1.175,0.0,1.97
1731067798.46,7.68,0.827,0.0,1.58
1731067798.96,8.32,0.739,0.0,2.45
1731067799.46,7.68,0.574,0.0,1.61
1731067799.96,8.32,0.657,0.0,1.58
1731067800.46,7.68,1.178,0.0,2.59
1731067800.96,8.32,0.748,0.0,1.5
1731067801.46,7.63,0.787,0.0,9.78
1731067801.96,8.38,0.544,0.0,2.73
1731067802.46,7.69,0.752,0.0,1.73
1731067802.96,7.68,0.703,0.0,1.56
1731067803.46,8.33,0.657,0.0,2.21
1731067803.96,8.31,0.823,0.0,1.61
1731067804.46,7.69,0.652,0.0,1.68
1731067804.96,8.31,0.724,0.0,2.03
1731067805.46,7.68,0.672,0.0,2.19
1731067805.96,8.32,0.412,0.0,5.12
1731067806.46,7.68,1.001,0.0,1.71
1731067806.96,8.32,0.788,0.0,1.66
1731067807.46,7.68,0.971,0.0,2.22
1731067807.96,8.32,0.91,0.0,1.83
1731067808.46,7.68,0.496,0.0,1.88
1731067808.96,7.69,0.816,0.077,2.51
1731067809.46,7.68,0.472,0.0,1.42
1731067809.96,8.32,0.966,0.0,2.22
1731067810.46,7.68,0.707,0.0,2.3
1731067810.96,8.31,0.865,0.0,10.6
1731067811.46,7.68,1.214,0.0,5.42
1731067811.96,8.32,0.605,0.0,1.72
1731067812.46,7.68,1.09,0.0,1.61
1731067812.96,8.32,0.645,0.0,5.63
1731067813.46,7.68,0.975,0.0,3.54
1731067813.96,7.69,1.019,0.0,1.55
1731067814.46,8.31,0.631,0.0,1.97
1731067814.96,8.32,1.009,0.0,1.7
1731067815.46,7.68,0.558,0.0,8.81
1731067815.96,8.32,1.116,0.0,2.46
1731067816.46,7.68,0.718,0.0,6.86
1731067816.96,8.32,0.669,0.0,2.19
1731067817.46,7.68,1.187,0.0,1.68
1731067817.96,8.31,0.636,0.0,5.09
1731067818.46,7.69,1.16,0.0,2.16
1731067818.96,8.31,0.746,0.0,1.93
1731067819.46,7.68,0.71,0.0,3.28
1731067819.96,7.68,0.956,0.0,6.18
1731067820.46,8.32,0.831,0.0,1.92
1731067820.96,8.32,0.829,0.0,1.94
1731067821.46,7.68,0.639,0.0,2.86
1731067821.96,8.32,0.652,0.0,3.01
1731067822.46,7.69,0.535,0.0,2.22
1731067822.96,8.31,0.69,0.0,3.52
1731067823.46,7.69,1.088,0.0,2.5
1731067823.96,8.31,0.738,0.0,1.75
1731067824.46,7.68,1.141,0.0,2.38
1731067824.96,7.68,0.702,0.077,2.18
1731067825.46,7.68,0.928,0.0,1.61
1731067825.96,8.32,0.969,0.0,1.92
1731067826.46,7.68,0.894,0.0,1.89
1731067826.96,8.33,0.966,0.0,2.0
1731067827.46,7.68,0.631,0.0,1.98
1731067827.96,8.32,0.811,0.0,2.26
1731067828.46,7.67,0.709,0.0,1.95
1731067828.96,8.32,0.851,0.0,1.58
1731067829.46,7.68,1.007,0.0,7.19
1731067829.96,8.32,0.741,0.0,1.66
1731067830.46,7.68,0.933,0.0,1.4
1731067830.96,8.32,1.022,0.0,1.87
1731067831.46,7.68,0.97,0.0,1.8
1731067831.96,8.33,1.159,0.0,1.71
1731067832.46,7.68,0.636,0.0,2.0
1731067832.96,8.32,0.864,0.0,1.92
1731067833.46,7.69,0.45,0.0,2.72
1731067833.96,8.31,0.911,0.0,7.5
1731067834.46,7.68,1.204,0.0,2.56
1731067834.96,8.33,0.707,0.0,2.28
1731067835.46,7.67,1.253,0.0,1.46
1731067835.96,8.32,0.668,0.0,2.3
1731067836.46,7.68,1.064,0.0,1.39
1731067836.96,7.68,0.73,0.0,1.54
1731067837.46,8.32,0.693,0.0,1.94
1731067837.96,8.32,1.095,0.0,1.84
1731067838.46,7.68,0.574,0.0,8.73
1731067838.96,8.32,1.033,0.0,1.91
1731067839.46,7.68,0.857,0.0,2.76
1731067839.96,8.32,0.752,0.0,3.11
1731067840.46,7.68,0.858,0.0,2.25
1731067840.96,8.32,0.543,0.0,3.41
1731067841.46,7.68,0.525,0.0,2.7
1731067841.96,8.32,0.453,0.0,2.0
1731067842.46,7.69,0.689,0.0,2.61
1731067842.96,8.31,0.765,0.0,5.32
1731067843.46,7.68,0.917,0.0,1.62
1731067843.96,8.32,0.731,0.0,1.97
1731067844.46,7.68,0.526,0.0,1.83
1731067844.96,8.32,0.722,0.0,2.31
1731067845.46,7.69,0.607,0.0,1.72
1731067845.96,8.31,0.704,0.0,1.78
1731067846.46,7.68,0.647,0.0,1.79
1731067846.96,8.32,0.666,0.0,1.87
1731067847.46,7.68,0.952,0.0,1.68
1731067847.96,8.33,0.911,0.0,8.98
1731067848.46,7.67,0.925,0.0,1.65
