Time,Bitrate,Jitter,Datagrams,Delay,S1_X,S1_Y,S1_Z,C1_X,C1_Y,C1_Z,Distance
1731070780.55,8.33,0.523,0.0,1.89,11401.8530526,11401.8198388,0.0,5781.54,6142.02,0.0,7697.623864119786
1731070781.05,7.67,0.527,0.0,1.54,11401.9252292,11402.2000414,0.0,5781.67,6142.21,0.0,7697.71161300403
1731070781.55,8.33,1.174,0.0,2.34,11402.3043001,11402.1437381,0.0,5781.8,6142.4,0.0,7697.725169030443
1731070782.05,7.68,0.694,0.0,1.99,11402.8231108,11402.5268193,0.0,5781.93,6142.59,0.0,7698.140990269449
1731070782.55,8.32,1.211,0.0,2.58,11402.7787073,11402.9216412,0.0,5782.06,6142.78,0.0,7698.153601486425
1731070783.05,7.68,0.724,0.0,1.59,11402.7411682,11402.8484797,0.0,5782.19,6142.97,0.0,7697.851457099284
1731070783.55,8.32,0.795,0.0,2.13,11402.7634723,11402.8575364,0.0,5782.32,6143.16,0.0,7697.649186584948
1731070784.05,7.68,0.781,0.0,7.86,11402.7861227,11403.4886717,0.0,5782.45,6143.35,0.0,7697.872237030198
1731070784.55,8.32,0.812,0.0,1.61,11403.1116736,11402.9996391,0.0,5782.58,6143.54,0.0,7697.551038431816
1731070785.05,7.67,1.4,0.0,1.75,11403.1788616,11403.4987781,0.0,5782.71,6143.73,0.0,7697.716403147804
1731070785.55,8.33,0.936,0.0,3.54,11403.5846404,11403.3403918,0.0,5782.84,6143.92,0.0,7697.679726402431
1731070786.05,7.68,0.687,0.0,1.6,11403.8295361,11403.7698811,0.0,5782.97,6144.11,0.0,7697.9272528011825
1731070786.55,8.32,0.562,0.0,1.68,11403.7456703,11404.2325105,0.0,5783.1,6144.3,0.0,7697.95737621851
1731070787.05,7.68,0.8,0.0,2.46,11404.3584182,11404.2004504,0.0,5783.23,6144.49,0.0,7698.158137888739
1731070787.55,7.68,0.727,0.0,1.53,11403.8711317,11403.9881187,0.0,5783.36,6144.68,0.0,7697.432511492863
1731070788.05,8.32,0.741,0.0,2.0,11404.5259566,11404.3656097,0.0,5783.49,6144.87,0.0,7697.943835456561
1731070788.55,8.31,0.781,0.0,2.22,11404.2236878,11404.6832678,0.0,5783.62,6145.06,0.0,7697.715423065087
1731070789.05,7.68,0.612,0.0,1.59,11404.3948832,11404.6607296,0.0,5783.75,6145.25,0.0,7697.600283573703
1731070789.55,8.32,0.859,0.0,2.33,11405.0419393,11404.4526517,0.0,5783.88,6145.44,0.0,7697.705867242239
1731070790.05,7.68,0.719,0.0,2.02,11404.5508045,11405.0913044,0.0,5784.01,6145.63,0.0,7697.558843395123
1731070790.55,8.32,0.89,0.0,2.2,11405.2069206,11404.9727263,0.0,5784.14,6145.82,0.0,7697.732180610878
1731070791.05,7.68,1.25,0.0,1.78,11405.4503856,11404.956636,0.0,5784.27,6146.01,0.0,7697.674236270971
1731070791.55,7.68,0.84,0.0,1.66,11405.6874507,11405.1291661,0.0,5784.4,6146.2,0.0,7697.740485197883
1731070792.05,8.32,1.108,0.0,6.13,11405.897708,11405.7391907,0.0,5784.53,6146.39,0.0,7698.086049029454
1731070792.55,8.32,0.814,0.0,1.67,11405.8748865,11405.7389691,0.0,5784.66,6146.58,0.0,7697.844494563019
1731070793.05,7.68,0.935,0.0,6.02,11406.0217418,11405.8544688,0.0,5784.79,6146.77,0.0,7697.8059046064045
1731070793.55,8.32,0.745,0.0,1.64,11405.6661803,11406.1169735,0.0,5784.92,6146.96,0.0,7697.500873353035
1731070794.05,7.68,0.425,0.0,1.76,11405.905418,11405.8341106,0.0,5785.05,6147.15,0.0,7697.2575768995075
1731070794.55,8.32,0.846,0.0,2.39,11406.2721658,11406.3350431,0.0,5785.18,6147.34,0.0,7697.642885959864
1731070795.05,7.68,0.549,0.0,2.28,11406.3872517,11406.7176948,0.0,5785.31,6147.53,0.0,7697.7636154090205
1731070795.55,7.68,0.958,0.0,1.95,11406.3378105,11406.5596299,0.0,5785.44,6147.72,0.0,7697.394783242605
1731070796.05,8.32,0.838,0.0,1.69,11406.6476804,11406.9392416,0.0,5785.57,6147.91,0.0,7697.655672546994
1731070796.55,8.32,0.406,0.0,1.81,11406.78701,11406.604656,0.0,5785.7,6148.1,0.0,7697.304098914399
1731070797.05,7.68,1.172,0.0,2.32,11407.3701049,11406.9171679,0.0,5785.83,6148.29,0.0,7697.718677762592
1731070797.55,8.32,0.544,0.0,1.76,11407.4977006,11406.9261928,0.0,5785.96,6148.48,0.0,7697.593291532098
1731070798.05,7.69,1.096,0.0,9.16,11407.1116404,11407.3112563,0.0,5786.09,6148.67,0.0,7697.349683125066
1731070798.55,8.32,1.093,0.0,3.03,11407.3058971,11407.4860815,0.0,5786.22,6148.86,0.0,7697.386239991374
1731070799.05,7.68,0.618,0.0,1.57,11407.7218,11407.3886792,0.0,5786.35,6149.05,0.0,7697.398689103093
1731070799.55,8.32,1.204,0.0,1.84,11407.791767,11407.7489909,0.0,5786.48,6149.24,0.0,7697.471194437093
1731070800.05,7.68,0.622,0.0,2.69,11408.1737336,11407.6583953,0.0,5786.61,6149.43,0.0,7697.4635217106415
1731070800.55,8.32,1.048,0.0,1.53,11408.0961528,11408.1736214,0.0,5786.74,6149.62,0.0,7697.534097732954
1731070801.05,7.68,0.555,0.0,1.83,11408.1903622,11407.863037,0.0,5786.87,6149.81,0.0,7697.165994987328
1731070801.55,7.68,0.722,0.0,2.57,11408.395761,11408.7319045,0.0,5787.0,6150.0,0.0,7697.684817215821
1731070802.05,8.31,1.301,0.0,1.39,11408.4554487,11408.2657279,0.0,5787.13,6150.19,0.0,7697.185210226748
1731070802.55,8.32,0.823,0.0,3.23,11408.8424671,11408.9885111,0.0,5787.26,6150.38,0.0,7697.7368691986
1731070803.05,7.67,1.298,0.0,2.13,11408.5651954,11408.6724715,0.0,5787.39,6150.57,0.0,7697.093748823295
1731070803.55,8.32,0.604,0.0,1.71,11408.9873805,11408.9959334,0.0,5787.52,6150.76,0.0,7697.398303409049
1731070804.05,7.69,0.658,0.0,2.92,11409.4362071,11408.9116218,0.0,5787.65,6150.95,0.0,7697.4437688534945
1731070804.55,7.68,0.536,0.0,2.38,11409.5625758,11408.9034569,0.0,5787.78,6151.14,0.0,7697.305755800631
1731070805.05,8.31,0.776,0.0,2.54,11409.4172357,11409.2182192,0.0,5787.91,6151.33,0.0,7697.189885057378
1731070805.55,8.32,1.441,0.0,2.12,11409.8503148,11409.206834,0.0,5788.04,6151.52,0.0,7697.2736770890915
1731070806.05,7.68,0.692,0.0,1.81,11409.4460822,11409.5942188,0.0,5788.17,6151.71,0.0,7697.018335084039
1731070806.55,8.32,0.488,0.0,2.79,11409.811404,11409.8737023,0.0,5788.3,6151.9,0.0,7697.251322347505
1731070807.05,7.68,0.417,0.0,2.87,11409.6749574,11409.775743,0.0,5788.43,6152.09,0.0,7696.860024921877
1731070807.55,8.33,0.595,0.0,1.6,11409.8364717,11410.2611287,0.0,5788.56,6152.28,0.0,7697.0848196608395
1731070808.05,7.68,0.997,0.0,3.1,11410.4140392,11410.3672463,0.0,5788.69,6152.47,0.0,7697.354391319676
1731070808.55,8.32,0.682,0.0,1.69,11410.4139155,11410.3178485,0.0,5788.82,6152.66,0.0,7697.095829121545
1731070809.05,7.68,0.574,0.0,1.76,11410.7088301,11410.7654662,0.0,5788.95,6152.85,0.0,7697.392246307349
1731070809.55,8.32,0.497,0.0,4.12,11410.5285761,11410.5195009,0.0,5789.08,6153.04,0.0,7696.867856220504
1731070810.05,7.68,0.963,0.0,1.77,11410.567808,11410.7904543,0.0,5789.21,6153.23,0.0,7696.856860834934
1731070810.55,8.32,0.729,0.0,1.76,11411.4156126,11411.1675265,0.0,5789.34,6153.42,0.0,7697.508898741756
1731070811.05,7.68,0.81,0.0,2.57,11411.3829088,11410.9641737,0.0,5789.47,6153.61,0.0,7697.12138801597
1731070811.55,8.32,0.804,0.0,1.47,11411.1324545,11411.1919488,0.0,5789.6,6153.8,0.0,7696.869314227952
1731070812.05,7.68,0.639,0.0,7.44,11411.3777263,11411.5552323,0.0,5789.73,6153.99,0.0,7697.071867307964
