Time,Bitrate,Jitter,Datagrams,Delay
1731068772.43,8.31,0.305,0.0,10.6
1731068772.93,8.32,0.548,0.0,3.58
1731068773.43,7.68,0.477,0.0,4.81
1731068773.93,8.33,0.714,0.0,2.73
1731068774.43,7.67,1.390,0.0,2.03
1731068774.93,8.32,1.129,0.0,2.91
1731068775.43,7.68,1.657,0.0,1.96
1731068775.93,7.68,1.188,0.0,2.09
1731068776.43,8.31,0.992,0.0,1.9
1731068776.93,7.68,0.902,0.0,4.41
1731068777.43,8.32,0.749,0.0,2.12
1731068777.93,8.32,0.840,0.0,1.61
1731068778.43,7.68,0.687,0.0,1.76
1731068778.93,7.68,1.133,0.0,1.57
1731068779.43,8.32,1.035,0.0,2.37
1731068779.93,8.32,0.960,0.0,2.27
1731068780.43,7.68,0.992,0.0,2.22
1731068780.93,7.69,0.521,0.0,1.9
1731068781.43,8.31,0.881,0.0,3.31
1731068781.93,8.32,0.837,0.0,1.71
1731068782.43,7.68,0.845,0.0,2.09
1731068782.93,7.68,0.896,0.0,1.68
1731068783.43,8.32,0.715,0.0,2.57
1731068783.93,8.32,0.993,0.0,2.54
1731068784.43,7.68,0.904,0.0,4.06
1731068784.93,8.32,1.035,0.0,3.52
1731068785.43,7.68,1.059,0.0,3.92
1731068785.93,8.32,0.681,0.0,3.77
1731068786.43,7.68,1.142,0.0,10.2
1731068786.93,7.69,0.662,0.0,2.14
1731068787.43,8.32,1.020,0.0,1.72
1731068787.93,8.31,1.246,0.0,1.86
1731068788.43,7.69,0.641,0.0,1.66
1731068788.93,8.31,1.308,0.0,2.38
1731068789.43,7.68,0.886,0.0,1.46
1731068789.93,8.32,1.218,0.0,2.07
1731068790.43,7.68,0.701,0.0,1.72
1731068790.93,8.32,0.677,0.0,7.84
1731068791.43,7.68,1.264,0.0,1.87
1731068791.93,8.33,0.624,0.0,1.89
1731068792.43,7.68,1.172,0.0,1.95
1731068792.93,8.32,0.641,0.0,2.21
1731068793.43,7.68,0.621,0.0,2.39
1731068793.93,7.68,0.621,0.0,1.71
1731068794.43,8.32,0.686,0.0,1.8
1731068794.93,8.32,1.567,0.0,1.75
1731068795.43,7.68,1.152,0.0,6.88
1731068795.93,8.31,0.860,0.0,2.78
1731068796.43,7.68,0.634,0.0,1.59
1731068796.93,7.68,0.723,0.07692307692307693,2.5
1731068797.43,7.68,1.177,0.0,4.16
1731068797.93,7.68,0.941,0.0,1.66
1731068798.43,8.33,1.122,0.0,1.72
1731068798.93,7.68,1.041,0.0,1.46
1731068799.43,8.32,1.007,0.0,1.83
1731068799.93,8.32,1.077,0.0,6.18
1731068800.43,7.68,0.878,0.0,2.09
1731068800.93,8.33,0.841,0.0,1.7
1731068801.43,7.68,0.538,0.0,1.58
1731068801.93,8.32,0.793,0.0,1.88
1731068802.43,7.68,0.842,0.0,2.3
1731068802.93,8.31,0.906,0.0,1.61
1731068803.43,7.68,0.956,0.0,1.79
1731068803.93,8.31,0.547,0.0,1.54
1731068804.43,7.69,1.103,0.0,4.92
1731068804.93,7.69,0.913,0.0,2.27
1731068805.43,8.31,1.043,0.0,7.68
1731068805.93,7.69,1.078,0.0,1.74
1731068806.43,8.31,0.680,0.0,2.0
1731068806.93,7.69,1.120,0.0,1.73
1731068807.43,8.31,0.632,0.0,1.84
1731068807.93,8.32,1.433,0.0,1.77
1731068808.43,7.68,1.285,0.0,1.9
1731068808.93,8.31,0.769,0.0,1.87
1731068809.43,7.68,1.163,0.0,7.03
1731068809.93,8.32,0.978,0.0,1.8
1731068810.43,7.68,1.251,0.0,2.05
1731068810.93,7.68,0.744,0.0,1.89
1731068811.43,8.33,0.624,0.0,1.65
1731068811.93,8.31,1.413,0.0,2.27
1731068812.43,7.68,0.730,0.0,1.9
1731068812.93,7.68,1.433,0.0,1.72
1731068813.43,8.32,0.984,0.0,2.18
1731068813.93,8.31,0.813,0.0,7.51
1731068814.43,7.68,0.948,0.0,1.87
1731068814.93,7.68,0.690,0.0,1.58
1731068815.43,8.32,1.293,0.0,1.92
1731068815.93,8.32,0.776,0.0,2.34
1731068816.43,7.68,0.692,0.0,4.48
1731068816.93,8.32,0.571,0.0,4.99
1731068817.43,7.68,0.911,0.0,4.83
1731068817.93,7.68,1.047,0.0,4.64
1731068818.43,8.32,0.924,0.0,7.59
1731068818.93,8.32,0.842,0.0,3.39
1731068819.43,7.68,0.678,0.0,5.59
1731068819.93,8.32,0.741,0.0,5.23
1731068820.43,7.68,0.760,0.0,5.62
1731068820.93,8.32,0.679,0.0,7.13
1731068821.43,7.68,0.839,0.0,6.79
1731068821.93,7.68,0.823,0.0,5.99
1731068822.43,8.32,1.023,0.0,2.57
1731068822.93,8.32,0.969,0.0,2.33
1731068823.43,7.68,0.986,0.0,2.2
1731068823.93,8.32,0.918,0.0,1.9
1731068824.43,7.68,0.574,0.0,3.06
1731068824.93,8.32,0.906,0.0,2.35
1731068825.43,7.68,0.971,0.0,1.55
1731068825.93,8.32,0.832,0.0,1.69
1731068826.43,7.68,1.201,0.0,2.37
1731068826.93,8.32,0.637,0.0,1.8
1731068827.43,7.68,1.073,0.0,1.8
1731068827.93,7.68,0.603,0.0,8.95
1731068828.43,8.32,0.958,0.0,2.1
1731068828.93,8.33,1.020,0.0,2.09
1731068829.43,7.68,0.576,0.0,1.94
1731068829.93,7.69,1.021,0.0,1.76
1731068830.43,8.32,0.689,0.0,1.53
1731068830.93,8.31,1.024,0.0,1.75
1731068831.43,7.68,0.913,0.0,1.79
1731068831.93,7.68,0.758,0.0,2.06
1731068832.43,8.32,1.347,0.0,9.14
1731068832.93,7.68,0.913,0.0,2.47
1731068833.43,8.32,1.271,0.0,1.58
1731068833.93,8.32,0.994,0.0,1.74
1731068834.43,7.68,0.760,0.0,1.48
1731068834.93,8.31,1.564,0.0,2.16
1731068835.43,7.68,0.872,0.0,1.84
1731068835.93,8.33,1.283,0.0,1.67
1731068836.43,7.68,0.831,0.0,1.73
1731068836.93,8.32,0.802,0.0,3.98
1731068837.43,7.68,0.623,0.0,1.73
1731068837.93,8.32,0.742,0.0,2.81
1731068838.43,7.68,1.332,0.0,4.82
1731068838.93,8.32,0.792,0.0,4.72
1731068839.43,7.68,0.911,0.0,4.21
1731068839.93,8.32,0.650,0.0,4.27
1731068840.43,7.68,0.957,0.0,1.74
1731068840.93,7.68,0.892,0.0,1.93
1731068841.43,8.32,0.756,0.0,1.72
1731068841.93,8.32,1.059,0.0,2.05
1731068842.43,7.68,0.838,0.0,2.05
1731068842.93,8.32,0.860,0.0,1.73
1731068843.43,7.68,0.840,0.0,2.02
1731068843.93,8.32,0.907,0.0,1.67
1731068844.43,7.68,0.885,0.0,2.24
1731068844.93,7.69,0.736,0.0,2.28
1731068845.43,8.32,1.021,0.0,2.52
1731068845.93,7.68,1.067,0.0,1.66
1731068846.43,8.32,0.879,0.0,9.81
1731068846.93,8.31,0.839,0.0,1.99
1731068847.43,7.68,0.446,0.0,2.5
1731068847.93,7.68,1.044,0.0,1.73
1731068848.43,8.32,0.754,0.0,1.76
1731068848.93,7.68,1.167,0.0,2.99
1731068849.43,8.31,1.244,0.0,2.01
1731068849.93,8.32,0.625,0.0,1.74
1731068850.43,7.68,1.155,0.0,2.05
1731068850.93,8.32,0.628,0.0,5.08
1731068851.43,7.68,1.358,0.0,2.49
1731068851.93,8.32,1.232,0.0,4.5
1731068852.43,7.68,0.729,0.0,4.14
1731068852.93,8.32,1.217,0.0,3.7
1731068853.43,7.68,0.695,0.0,1.74
1731068853.93,8.32,1.097,0.0,1.84
1731068854.43,7.68,0.642,0.0,2.12
1731068854.93,7.69,0.671,0.0,2.54
1731068855.43,8.32,1.133,0.0,1.65
1731068855.93,7.68,0.772,0.0,6.88
1731068856.43,8.32,1.245,0.0,2.0
1731068856.93,8.32,0.693,0.0,1.84
1731068857.43,7.68,0.921,0.0,1.57
1731068857.93,7.66,0.688,0.0,2.01
1731068858.43,8.34,0.813,0.0,2.9
1731068858.93,8.32,1.449,0.0,4.08
1731068859.43,7.68,0.826,0.0,3.57
1731068859.93,8.32,0.976,0.0,4.44
1731068860.43,7.68,1.319,0.0,8.92
1731068860.93,7.68,1.067,0.0,3.82
1731068861.43,8.32,1.185,0.0,3.03
1731068861.93,7.68,0.751,0.0,4.19
1731068862.43,8.32,0.871,0.0,3.7
1731068862.93,8.32,0.708,0.0,3.59
1731068863.43,7.68,0.904,0.0,3.84
1731068863.93,8.32,0.902,0.0,3.84
1731068864.43,7.68,1.191,0.0,3.39
1731068864.93,8.32,1.033,0.0,7.76
1731068865.43,7.68,0.768,0.0,3.61
1731068865.93,8.32,1.056,0.0,2.02
1731068866.43,7.68,0.937,0.0,1.93
1731068866.93,8.32,0.954,0.0,1.78
1731068867.43,7.68,1.087,0.0,2.28
1731068867.93,8.32,0.580,0.0,1.74
1731068868.43,7.68,1.043,0.0,2.01
1731068868.93,8.32,1.122,0.0,1.97
1731068869.43,7.69,1.203,0.0,3.31
1731068869.93,7.68,1.149,0.0,1.9
1731068870.43,8.31,0.578,0.0,1.63
1731068870.93,8.32,1.039,0.0,1.72
1731068871.43,7.68,0.512,0.0,2.03
1731068871.93,8.32,0.893,0.0,1.74
1731068872.43,7.68,0.942,0.0,1.93
1731068872.93,7.69,0.609,0.0,1.63
1731068873.43,8.32,1.115,0.0,1.85
1731068873.93,8.32,0.746,0.0,6.06
1731068874.43,7.68,1.130,0.0,7.04
1731068874.93,7.69,0.863,0.0,1.73
1731068875.43,8.31,0.745,0.0,1.52
1731068875.93,8.32,1.270,0.0,1.86
1731068876.43,7.68,0.638,0.0,1.85
1731068876.93,8.32,1.104,0.0,1.7
1731068877.43,7.68,0.730,0.0,2.21
1731068877.93,8.31,0.680,0.0,2.88
1731068878.43,7.69,0.963,0.0,1.77
1731068878.93,8.31,0.882,0.0,8.77
1731068879.43,7.68,1.329,0.0,2.62
1731068879.93,8.32,1.116,0.0,2.02
1731068880.43,7.68,0.957,0.0,2.3
1731068880.93,8.32,0.644,0.0,1.71
1731068881.43,7.68,0.705,0.0,2.47
1731068881.93,8.32,1.307,0.0,2.2
1731068882.43,7.68,0.790,0.0,2.03
1731068882.93,8.32,0.733,0.0,1.7
1731068883.43,7.68,0.883,0.0,8.83
1731068883.93,8.32,0.811,0.0,2.62
1731068884.43,7.68,0.916,0.0,1.76
1731068884.93,8.32,0.770,0.0,2.32
1731068885.43,7.68,1.025,0.0,2.24
1731068885.93,7.68,0.670,0.0,1.71
1731068886.43,8.32,0.898,0.0,1.63
1731068886.93,8.32,0.984,0.0,1.76
1731068887.43,7.68,0.932,0.0,2.1
1731068887.93,7.68,1.270,0.0,1.54
1731068888.43,8.32,0.931,0.0,NA
1731068888.93,7.68,1.129,0.0,9.79
1731068889.43,8.32,0.918,0.0,NA
1731068889.93,7.68,1.074,0.0,3.53
1731068890.43,8.32,1.085,0.0,3.49
1731068890.93,8.32,0.899,0.0,1.58
1731068891.43,7.67,1.264,0.0,1.89
1731068891.93,7.68,0.696,0.0,1.96
1731068892.43,8.32,0.992,0.0,2.05
1731068892.93,7.69,1.148,0.0,2.02
1731068893.43,8.31,0.593,0.0,9.49
1731068893.93,8.32,1.029,0.0,1.7
1731068894.43,7.68,0.595,0.0,1.82
1731068894.93,8.32,1.284,0.0,1.53
1731068895.43,7.68,1.154,0.0,2.13
1731068895.93,8.33,0.668,0.0,2.24
1731068896.43,7.67,1.396,0.0,1.95
1731068896.93,8.32,0.645,0.0,1.99
1731068897.43,7.68,1.435,0.0,3.03
1731068897.93,8.32,0.880,0.0,8.49
1731068898.43,7.68,0.752,0.0,1.5
1731068898.93,8.32,1.382,0.0,1.63
1731068899.43,7.68,0.774,0.0,3.19
1731068899.93,8.32,1.203,0.0,1.53
1731068900.43,7.68,0.839,0.0,1.6
1731068900.93,8.32,0.718,0.0,2.1
1731068901.43,7.68,0.553,0.0,1.76
1731068901.93,8.32,0.679,0.0,1.66
1731068902.43,7.68,1.337,0.0,3.46
1731068902.93,7.68,0.699,0.0,9.2
1731068903.43,8.32,0.648,0.0,4.09
1731068903.93,8.31,0.576,0.0,5.05
1731068904.43,7.68,0.754,0.0,4.25
1731068904.93,7.69,0.868,0.0,4.73
1731068905.43,8.32,0.777,0.0,6.78
1731068905.93,8.32,0.885,0.0,3.76
1731068906.43,7.04,0.812,0.08333333333333333,2.32
1731068906.93,8.32,0.946,0.0,2.89
1731068907.43,7.68,1.065,0.0,9.11
1731068907.93,8.32,1.061,0.0,1.71
1731068908.43,7.69,1.070,0.0,1.73
1731068908.93,7.68,0.898,0.0,1.73
1731068909.43,7.68,1.176,0.0,1.59
1731068909.93,8.33,1.284,0.07142857142857142,2.06
1731068910.43,7.68,1.030,0.0,3.02
1731068910.93,8.32,0.948,0.0,1.99
1731068911.43,7.68,0.583,0.0,1.84
1731068911.93,8.31,0.932,0.0,7.58
1731068912.43,7.68,0.723,0.0,2.48
1731068912.93,8.32,0.876,0.0,2.59
1731068913.43,7.68,0.938,0.0,2.69
1731068913.93,8.32,0.644,0.0,3.01
1731068914.43,7.68,1.057,0.0,2.85
1731068914.93,8.32,0.742,0.0,2.49
1731068915.43,7.68,1.332,0.0,2.24
1731068915.93,8.31,1.573,0.0,1.44
1731068916.43,7.69,1.325,0.0,8.76
1731068916.93,7.68,1.486,0.0,1.71
1731068917.43,8.32,0.825,0.0,1.51
1731068917.93,8.32,1.365,0.0,1.76
1731068918.43,7.68,1.163,0.0,2.38
1731068918.93,8.32,0.813,0.0,1.72
1731068919.43,7.68,1.553,0.0,1.73
1731068919.93,7.68,0.797,0.0,2.35
1731068920.43,8.32,1.267,0.0,1.7
1731068920.93,8.32,0.965,0.0,1.76
1731068921.43,7.68,0.767,0.0,8.48
1731068921.93,7.68,0.602,0.0,2.35
1731068922.43,8.32,0.670,0.0,2.24
1731068922.93,8.31,1.198,0.0,2.1
1731068923.43,7.68,0.718,0.0,2.0
1731068923.93,7.68,0.664,0.0,2.35
1731068924.43,8.31,0.697,0.0,1.79
1731068924.93,8.32,0.721,0.0,2.48
1731068925.43,7.68,1.147,0.0,2.16
1731068925.93,7.68,0.763,0.0,6.41
1731068926.43,8.32,0.853,0.0,2.53
1731068926.93,8.32,0.644,0.0,2.42
1731068927.43,7.68,0.750,0.0,2.21
1731068927.93,7.69,0.788,0.0,2.25
1731068928.43,8.31,0.747,0.0,1.75
1731068928.93,8.31,0.890,0.0,2.87
1731068929.43,7.69,0.791,0.0,2.69
1731068929.93,8.32,1.202,0.0,2.0
1731068930.43,7.68,1.385,0.0,2.36
1731068930.93,8.32,1.112,0.0,2.06
1731068931.43,7.68,1.095,0.0,2.87
1731068931.93,8.32,0.745,0.0,3.12
1731068932.43,7.68,0.990,0.0,1.72
1731068932.93,8.31,0.952,0.0,1.84
1731068933.43,7.68,0.980,0.0,1.62
1731068933.93,8.32,1.012,0.0,1.94
1731068934.43,7.68,0.592,0.0,2.34
1731068934.93,8.32,0.995,0.0,1.45
1731068935.43,7.68,0.486,0.0,7.3
1731068935.93,8.32,0.976,0.0,1.51
1731068936.43,7.68,1.127,0.0,2.45
1731068936.93,8.32,0.529,0.0,2.12
1731068937.43,7.68,1.057,0.0,1.62
1731068937.93,7.68,0.596,0.0,1.7
1731068938.43,8.32,1.389,0.0,2.28
1731068938.93,7.67,0.823,0.0,1.76
1731068939.43,8.33,0.652,0.0,1.7
1731068939.93,8.32,1.126,0.0,7.85
1731068940.43,7.68,0.700,0.0,2.64
1731068940.93,7.67,1.143,0.0,2.43
1731068941.43,8.33,0.743,0.0,2.84
1731068941.93,8.32,0.633,0.0,3.0
1731068942.43,7.68,0.852,0.0,2.65
1731068942.93,8.32,0.579,0.0,2.57
1731068943.43,7.68,1.220,0.0,1.92
1731068943.93,8.32,0.750,0.0,2.44
1731068944.43,7.68,0.723,0.0,3.78
1731068944.93,8.32,0.583,0.0,2.82
1731068945.43,7.68,0.684,0.0,2.8
1731068945.93,8.32,1.332,0.0,1.95
1731068946.43,7.68,0.712,0.0,2.34
1731068946.93,8.32,0.956,0.0,1.8
1731068947.43,7.68,0.711,0.0,2.43
1731068947.93,7.68,0.782,0.0,3.13
1731068948.43,8.32,1.250,0.0,1.97
1731068948.93,8.32,0.929,0.0,4.61
1731068949.43,7.68,0.973,0.0,11.7
1731068949.93,8.33,0.739,0.0,2.47
1731068950.43,7.68,1.106,0.0,2.27
1731068950.93,8.31,1.004,0.0,2.09
1731068951.43,7.69,0.864,0.0,1.77
1731068951.93,8.32,1.021,0.0,2.66
1731068952.43,7.68,0.816,0.0,2.38
1731068952.93,7.69,1.062,0.0,2.02
1731068953.43,8.31,1.018,0.0,2.24
1731068953.93,8.32,0.869,0.0,8.44
1731068954.43,7.68,0.942,0.0,3.43
1731068954.93,8.32,0.499,0.0,2.06
1731068955.43,7.68,0.917,0.0,2.42
1731068955.93,7.68,0.562,0.0,2.68
1731068956.43,8.32,0.915,0.0,3.12
1731068956.93,8.30,1.316,0.0,2.92
1731068957.43,7.70,0.679,0.0,2.69
1731068957.93,8.32,1.330,0.0,2.31
1731068958.43,7.68,0.774,0.0,7.68
1731068958.93,8.32,1.101,0.0,1.94
1731068959.43,7.68,1.105,0.0,2.32
1731068959.93,7.68,0.936,0.0,1.77
1731068960.43,8.32,1.343,0.0,2.09
1731068960.93,7.68,1.257,0.0,1.89
1731068961.43,8.32,1.402,0.0,2.28
1731068961.93,8.31,0.891,0.0,1.64
1731068962.43,7.68,0.939,0.0,1.89
1731068962.93,8.33,1.317,0.0,4.85
1731068963.43,7.68,0.839,0.0,2.58
1731068963.93,7.68,1.279,0.0,1.93
1731068964.43,8.31,0.700,0.0,1.87
1731068964.93,7.68,0.872,0.0,1.7
1731068965.43,8.32,0.651,0.0,1.77
1731068965.93,8.32,0.714,0.0,2.0
1731068966.43,7.05,1.125,0.0,1.85
1731068966.93,8.31,0.788,0.07142857142857142,3.4
1731068967.43,7.68,0.812,0.0,2.87
1731068967.93,8.32,0.580,0.0,10.2
1731068968.43,7.68,0.731,0.0,2.87
1731068968.93,7.68,0.784,0.0,2.22
1731068969.43,8.32,0.702,0.0,2.73
1731068969.93,8.32,0.890,0.0,3.25
1731068970.43,7.68,0.792,0.0,2.58
1731068970.93,8.32,1.027,0.0,2.87
1731068971.43,7.68,1.007,0.0,2.95
1731068971.93,8.32,1.014,0.0,2.83
1731068972.43,7.68,1.067,0.0,10.7
1731068972.93,7.68,0.538,0.0,1.75
1731068973.43,8.32,0.864,0.0,2.37
1731068973.93,8.32,1.017,0.0,3.39
1731068974.43,7.68,0.952,0.0,2.27
1731068974.93,8.32,0.904,0.0,2.11
1731068975.43,7.68,0.928,0.0,2.57
1731068975.93,8.32,1.105,0.0,1.97
1731068976.43,7.68,1.052,0.0,2.06
1731068976.93,8.32,1.127,0.0,6.22
1731068977.43,7.68,1.110,0.0,1.77
