Time,Bitrate,Jitter,Datagrams
1731068772.39,20.5,0.478,0.0
1731068772.89,19.8,0.441,0.0
1731068773.39,19.8,0.486,0.0
1731068773.89,20.5,0.444,0.0
1731068774.39,19.8,0.689,0.0
1731068774.89,19.8,0.774,0.0
1731068775.39,19.9,0.636,0.0
1731068775.89,20.5,0.630,0.0
1731068776.39,19.8,0.686,0.0
1731068776.89,19.9,0.706,0.0
1731068777.39,19.8,0.864,0.0
1731068777.89,20.5,0.652,0.0
1731068778.39,19.8,0.730,0.0
1731068778.89,19.8,0.578,0.0
1731068779.39,19.8,0.637,0.0
1731068779.89,20.5,0.536,0.0
1731068780.39,19.8,0.686,0.0
1731068780.89,19.9,0.520,0.0
1731068781.39,19.8,0.822,0.0
1731068781.89,20.5,0.546,0.0
1731068782.39,19.9,0.588,0.0
1731068782.89,19.8,0.657,0.0
1731068783.39,19.9,0.696,0.0
1731068783.89,20.5,0.716,0.0
1731068784.39,19.9,0.677,0.0
1731068784.89,19.8,0.697,0.0
1731068785.39,19.8,0.737,0.0
1731068785.89,20.5,0.988,0.0
1731068786.39,19.8,0.910,0.0
1731068786.89,19.8,0.556,0.0
1731068787.39,19.9,0.227,0.0
1731068787.89,20.5,0.316,0.0
1731068788.39,19.9,0.416,0.0
1731068788.89,19.8,0.313,0.0
1731068789.39,19.8,0.292,0.0
1731068789.89,20.5,0.417,0.0
1731068790.39,19.9,0.367,0.0
1731068790.89,19.8,0.625,0.0
1731068791.39,19.8,0.389,0.0
1731068791.89,20.5,0.314,0.0
1731068792.39,19.9,0.363,0.0
1731068792.89,19.8,0.520,0.0
1731068793.39,19.9,0.765,0.0
1731068793.89,20.5,0.495,0.0
1731068794.39,19.8,1.193,0.0
1731068794.89,19.9,0.601,0.0
1731068795.39,19.8,0.554,0.0
1731068795.89,20.5,0.620,0.0
1731068796.39,19.8,0.593,0.0
1731068796.89,19.8,0.730,0.0
1731068797.39,19.9,0.707,0.0
1731068797.89,19.8,0.696,0.03125
1731068798.39,19.8,0.656,0.0
1731068798.89,19.9,1.028,0.0
1731068799.39,19.8,0.781,0.0
1731068799.89,20.5,0.610,0.0
1731068800.39,19.8,0.459,0.0
1731068800.89,19.8,0.673,0.0
1731068801.39,19.8,0.665,0.0
1731068801.89,20.5,0.524,0.0
1731068802.39,19.8,0.678,0.0
1731068802.89,19.8,1.013,0.0
1731068803.39,19.8,0.754,0.0
1731068803.89,20.5,0.702,0.0
1731068804.39,19.8,0.834,0.0
1731068804.89,19.8,0.784,0.0
1731068805.39,19.8,0.670,0.0
1731068805.89,20.5,0.654,0.0
1731068806.39,19.8,0.748,0.0
1731068806.89,19.8,0.831,0.0
1731068807.39,19.2,0.697,0.0
1731068807.89,20.5,0.853,0.030303030303030304
1731068808.39,19.9,0.913,0.0
1731068808.89,19.8,0.521,0.0
1731068809.39,19.8,0.536,0.0
1731068809.89,20.5,0.296,0.0
1731068810.39,19.8,0.367,0.0
1731068810.89,19.9,0.302,0.0
1731068811.39,19.8,0.361,0.0
1731068811.89,20.5,0.750,0.0
1731068812.39,19.8,0.443,0.0
1731068812.89,19.8,0.376,0.0
1731068813.39,19.8,0.567,0.0
1731068813.89,20.5,0.519,0.0
1731068814.39,19.8,0.389,0.0
1731068814.89,19.8,0.417,0.0
1731068815.39,19.8,0.594,0.0
1731068815.89,20.5,0.468,0.0
