Time,Bitrate,Jitter,Datagrams,Delay
1731069778.8,19.9,0.948,0.0,1.84
1731069779.3,19.8,0.668,0.0,3.13
1731069779.8,20.5,0.602,0.0,1.96
1731069780.3,19.9,0.809,0.0,2.11
1731069780.8,19.8,0.633,0.0,1.62
1731069781.3,19.2,0.753,0.0,3.02
1731069781.8,20.5,0.601,0.0303030303030303,2.36
1731069782.3,19.8,0.648,0.0,2.01
1731069782.8,19.9,0.941,0.0,4.09
1731069783.3,19.8,0.802,0.0,2.04
1731069783.8,20.5,0.713,0.0,2.14
1731069784.3,19.9,0.528,0.0,2.42
1731069784.8,19.8,0.829,0.0,1.85
1731069785.3,19.8,1.034,0.0,2.45
1731069785.8,20.5,0.922,0.0,2.18
1731069786.3,19.8,0.986,0.0,9.75
1731069786.8,19.9,0.903,0.0,3.26
1731069787.3,19.8,1.137,0.0,2.53
1731069787.8,20.5,0.738,0.0,2.45
1731069788.3,19.2,0.954,0.032258064516129,1.7
1731069788.8,19.8,0.873,0.0,1.51
1731069789.3,19.8,0.561,0.0,2.24
1731069789.8,20.5,0.752,0.0,1.79
1731069790.3,19.8,0.721,0.0,2.01
1731069790.8,19.8,0.796,0.0,6.69
1731069791.3,19.8,0.595,0.0,1.78
1731069791.8,20.5,0.284,0.0,1.77
1731069792.3,19.8,0.372,0.0,3.08
1731069792.8,19.8,0.837,0.0,1.62
1731069793.3,19.9,0.946,0.0,1.92
1731069793.8,20.5,1.21,0.0,2.31
1731069794.3,19.8,0.392,0.0,1.72
1731069794.8,19.8,1.011,0.0,2.02
1731069795.3,19.8,1.126,0.0,1.75
1731069795.8,20.5,1.274,0.0,1.69
1731069796.3,19.8,0.476,0.0,1.83
1731069796.8,19.9,0.617,0.0,1.84
1731069797.3,19.8,0.653,0.0,1.63
1731069797.8,19.9,0.465,0.0,2.05
1731069798.3,20.5,0.662,0.0,1.55
1731069798.8,19.8,0.464,0.0,1.69
1731069799.3,19.8,0.708,0.0,1.82
1731069799.8,20.5,0.805,0.0,1.63
1731069800.3,19.8,0.653,0.0,10.5
1731069800.8,19.9,0.555,0.0,1.82
1731069801.3,19.2,0.485,0.032258064516129,1.59
1731069801.8,19.8,0.572,0.0,2.0
1731069802.3,20.5,0.529,0.0,1.63
1731069802.8,19.8,0.66,0.0,1.59
1731069803.3,19.8,0.895,0.0,3.01
1731069803.8,20.5,0.785,0.0,1.92
1731069804.3,19.9,0.709,0.0,1.55
1731069804.8,19.8,0.7,0.0,3.51
1731069805.3,19.8,0.631,0.0,1.93
1731069805.8,20.5,0.599,0.0,1.63
1731069806.3,19.8,0.796,0.0,3.36
1731069806.8,19.9,0.672,0.0,1.81
1731069807.3,19.8,0.936,0.0,2.39
1731069807.8,20.5,0.987,0.0,3.91
1731069808.3,19.9,0.928,0.0,2.03
1731069808.8,19.8,1.265,0.0,1.63
1731069809.3,19.8,1.008,0.0,2.56
1731069809.8,20.5,1.056,0.0,7.86
1731069810.3,19.2,0.715,0.0,1.96
1731069810.8,20.5,0.284,0.0,2.04
1731069811.3,19.8,0.441,0.0,1.75
1731069811.8,20.5,0.729,0.0,1.67
1731069812.3,19.9,0.375,0.0,2.12
1731069812.8,19.8,0.697,0.0,1.97
1731069813.3,19.8,1.452,0.0,1.69
1731069813.8,20.5,0.99,0.0,1.56
1731069814.3,19.8,0.837,0.0,5.28
1731069814.8,19.8,0.446,0.0,1.75
1731069815.3,19.9,0.423,0.0,1.68
1731069815.8,20.5,0.911,0.0,3.42
1731069816.3,19.2,0.353,0.032258064516129,1.7
1731069816.8,19.8,1.038,0.0,1.77
1731069817.3,19.8,1.29,0.0,3.44
1731069817.8,20.5,0.658,0.0,1.71
1731069818.3,19.8,1.089,0.0,1.9
1731069818.8,19.8,0.894,0.0,3.78
1731069819.3,19.9,0.658,0.0,9.12
1731069819.8,20.5,0.536,0.0,1.99
1731069820.3,19.8,0.798,0.0,1.77
1731069820.8,19.9,0.543,0.0,1.73
1731069821.3,19.8,0.785,0.0,2.26
1731069821.8,20.5,0.665,0.0,2.53
1731069822.3,19.8,0.63,0.0,1.76
1731069822.8,19.8,0.788,0.0,1.75
1731069823.3,19.8,0.563,0.0,1.41
1731069823.8,20.5,0.701,0.0,8.72
1731069824.3,19.8,0.707,0.0,1.78
1731069824.8,19.9,0.665,0.0,1.58
1731069825.3,19.8,0.967,0.0,2.85
1731069825.8,20.5,0.735,0.0,1.96
1731069826.3,19.8,0.744,0.0,1.83
1731069826.8,19.8,0.737,0.0,3.62
1731069827.3,19.8,1.137,0.0,2.15
1731069827.8,20.5,0.772,0.0,2.48
1731069828.3,19.8,0.789,0.0,5.2
1731069828.8,19.8,1.008,0.0,2.23
1731069829.3,19.9,0.936,0.0,2.24
1731069829.8,20.5,0.979,0.0,1.99
1731069830.3,19.8,1.109,0.0,1.65
1731069830.8,19.8,1.195,0.0,2.27
1731069831.3,19.8,0.862,0.0,2.17
1731069831.8,19.8,0.736,0.0,1.73
1731069832.3,20.5,0.688,0.0,2.45
1731069832.8,19.8,0.698,0.0,2.21
1731069833.3,19.8,0.733,0.0,9.32
1731069833.8,20.5,0.772,0.0,2.47
1731069834.3,19.8,0.792,0.0,2.1
1731069834.8,19.9,0.886,0.0,4.95
1731069835.3,19.8,0.813,0.0,2.5
1731069835.8,20.5,0.908,0.0,2.81
1731069836.3,19.8,0.527,0.0,4.3
1731069836.8,19.9,0.83,0.0,2.55
1731069837.3,19.8,0.356,0.0,2.02
1731069837.8,20.5,0.85,0.0,8.49
1731069838.3,19.8,1.064,0.0,1.87
1731069838.8,19.9,1.139,0.0,1.8
1731069839.3,19.8,1.236,0.0,1.89
1731069839.8,20.5,1.139,0.0,1.67
1731069840.3,19.8,0.664,0.0,1.96
1731069840.8,19.8,0.555,0.0,1.41
1731069841.3,19.8,0.533,0.0,1.68
1731069841.8,20.5,0.61,0.0,1.72
1731069842.3,19.8,0.577,0.0,2.07
1731069842.8,19.8,1.156,0.0,2.33
1731069843.3,19.9,0.758,0.0,1.61
1731069843.8,20.5,1.093,0.0,2.01
1731069844.3,19.8,0.791,0.0,3.66
1731069844.8,19.8,0.486,0.0,2.03
1731069845.3,19.8,0.738,0.0,1.83
1731069845.8,20.5,0.564,0.0,3.43
1731069846.3,19.8,0.768,0.0,1.83
1731069846.8,19.8,1.052,0.0,1.98
1731069847.3,19.2,0.823,0.032258064516129,8.93
1731069847.8,20.5,0.88,0.0,2.02
1731069848.3,19.9,0.842,0.0,1.62
1731069848.8,19.8,0.866,0.0,1.76
1731069849.3,19.8,0.946,0.0,1.95
