Time,Bitrate,Jitter,Datagrams,Delay
1731067774.96,19.8,1.087,0.0,2.1
1731067775.46,19.8,1.119,0.0,4.48
1731067775.96,20.5,1.084,0.0,2.18
1731067776.46,19.8,1.249,0.0,2.1
1731067776.96,19.8,1.117,0.0,1.89
1731067777.46,19.8,1.294,0.0,2.08
1731067777.96,20.5,1.384,0.0,1.6
1731067778.46,19.9,1.863,0.0,1.4
1731067778.96,19.8,1.113,0.0,1.69
1731067779.46,19.8,0.743,0.0,1.87
1731067779.96,20.5,0.569,0.0,3.09
1731067780.46,19.8,0.933,0.0,1.78
1731067780.96,19.8,0.705,0.0,1.78
1731067781.46,19.8,0.759,0.0,2.37
1731067781.96,20.5,0.909,0.0,1.89
1731067782.46,19.8,0.789,0.0,2.6
1731067782.96,19.8,0.68,0.0,2.37
1731067783.46,19.9,1.08,0.0,2.415
1731067783.96,20.5,0.69,0.0,2.46
1731067784.46,19.8,0.669,0.0,1.74
1731067784.96,19.8,0.861,0.0,3.65
1731067785.46,19.8,0.966,0.0,3.02
1731067785.96,20.5,0.831,0.0,2.21
1731067786.46,19.8,0.938,0.0,3.17
1731067786.96,19.8,1.058,0.0,2.2
1731067787.46,19.8,1.09,0.0,1.82
1731067787.96,19.8,1.113,0.0,2.83
1731067788.46,20.5,1.107,0.0,1.85
1731067788.96,19.9,1.006,0.0,1.52
1731067789.46,19.8,1.065,0.0,1.93
1731067789.96,20.5,1.164,0.0,8.91
1731067790.46,19.8,1.181,0.0,1.54
1731067790.96,19.8,1.25,0.0,2.26
1731067791.46,19.8,1.167,0.0,2.09
1731067791.96,19.8,0.809,0.0,2.0
1731067792.46,20.5,0.947,0.0,1.97
1731067792.96,19.8,1.129,0.0,2.4
1731067793.46,19.9,0.924,0.0,2.1
1731067793.96,20.5,0.913,0.0,1.59
1731067794.46,19.8,0.928,0.0,8.47
1731067794.96,19.8,0.874,0.0,1.67
1731067795.46,19.9,1.006,0.0,1.57
1731067795.96,19.8,1.073,0.0,2.65
1731067796.46,20.5,1.364,0.0,1.59
1731067796.96,19.8,1.426,0.0,1.65
1731067797.46,19.8,1.244,0.0,2.35
1731067797.96,20.5,1.097,0.0,1.87
1731067798.46,19.8,1.281,0.0,2.22
1731067798.96,19.8,1.295,0.0,3.74
1731067799.46,19.8,1.764,0.0,1.84
1731067799.96,20.5,1.477,0.0,2.06
1731067800.46,19.2,0.565,0.0,1.69
1731067800.96,20.5,0.75,0.0,1.8
1731067801.46,19.9,1.098,0.0,2.27
1731067801.96,20.5,0.717,0.0,1.85
1731067802.46,19.9,1.005,0.0,2.19
1731067802.96,19.8,0.859,0.0,2.3
1731067803.46,19.8,0.887,0.0,1.78
1731067803.96,20.5,0.743,0.0,10.4
1731067804.46,19.9,0.702,0.0,2.8
1731067804.96,19.9,0.785,0.0,1.77
1731067805.46,19.8,0.71,0.0,2.14
1731067805.96,20.5,0.802,0.0,2.47
1731067806.46,19.8,0.931,0.0,1.64
1731067806.96,19.8,0.833,0.0,3.29
1731067807.46,19.8,0.857,0.0,1.55
1731067807.96,20.5,0.933,0.0,1.49
1731067808.46,19.8,1.004,0.0,5.09
1731067808.96,19.8,1.489,0.0,1.62
1731067809.46,19.8,1.342,0.0,1.4
1731067809.96,20.5,0.972,0.0,1.91
1731067810.46,19.9,1.041,0.0,1.61
1731067810.96,19.8,1.304,0.0,1.94
1731067811.46,19.8,1.196,0.0,1.9
1731067811.96,20.5,1.191,0.0,2.32
1731067812.46,19.8,1.106,0.0,1.96
1731067812.96,19.9,1.164,0.0,2.78
1731067813.46,19.8,0.858,0.0,2.28
1731067813.96,19.8,0.718,0.031,1.51
1731067814.46,19.9,1.069,0.0,1.57
1731067814.96,19.8,0.848,0.0,2.15
1731067815.46,19.8,0.806,0.0,1.94
1731067815.96,20.5,1.116,0.0,2.84
1731067816.46,19.8,0.929,0.0,1.72
1731067816.96,19.8,0.889,0.0,2.2
1731067817.46,19.8,1.024,0.0,3.45
1731067817.96,20.5,1.02,0.0,1.38
1731067818.46,19.9,1.015,0.0,2.73
1731067818.96,19.8,1.126,0.0,1.53
1731067819.46,19.8,1.281,0.0,1.7
1731067819.96,20.5,1.369,0.0,2.18
1731067820.46,19.9,1.545,0.0,1.53
1731067820.96,19.8,1.378,0.0,1.4
1731067821.46,19.8,0.971,0.0,2.08
1731067821.96,19.8,0.819,0.0,2.05
1731067822.46,20.5,0.714,0.0,8.16
1731067822.96,19.8,0.808,0.0,1.74
1731067823.46,19.8,0.935,0.0,2.25
1731067823.96,20.5,0.639,0.0,1.98
1731067824.46,19.8,1.008,0.0,1.65
1731067824.96,19.8,1.338,0.0,2.47
1731067825.46,19.8,0.868,0.0,2.43
1731067825.96,19.8,0.76,0.0,1.95
1731067826.46,20.5,0.738,0.0,2.76
1731067826.96,19.8,0.789,0.0,7.43
1731067827.46,19.9,0.819,0.0,1.58
1731067827.96,20.4,1.18,0.0,2.39
1731067828.46,19.9,0.93,0.0,1.61
1731067828.96,19.8,0.838,0.0,2.03
1731067829.46,19.8,1.315,0.0,2.01
1731067829.96,20.5,1.304,0.0,2.34
1731067830.46,19.8,1.087,0.0,2.16
1731067830.96,19.8,1.038,0.0,1.7
1731067831.46,19.8,1.152,0.0,3.46
