Time,Bitrate,Jitter,Datagrams,Delay,S1_X,S1_Y,S1_Z,F2_X,F2_Y,F2_Z,Distance
1731071782.23,19.8,0.844,0.0,1.78,11702.0821908,11702.4240367,0.0,7300.8,10701.2,0.0,4513.72733943014
1731071782.73,19.8,0.951,0.0,4.74,11701.8542441,11702.4282771,0.0,7300.9,10701.35,0.0,4513.375230971087
1731071783.23,20.5,0.782,0.0,5.22,11702.19347,11702.5214558,0.0,7301.0,10701.5,0.0,4513.595896327295
1731071783.73,19.9,1.124,0.0,8.17,11702.7192531,11702.7383035,0.0,7301.1,10701.65,0.0,4514.025901638703
1731071784.23,19.8,0.978,0.0,2.77,11703.0200921,11702.7787885,0.0,7301.2,10701.8,0.0,4514.197454503091
1731071784.73,19.8,1.119,0.0,1.59,11703.0790463,11702.7157561,0.0,7301.3,10701.95,0.0,4514.110197040845
1731071785.23,20.5,0.984,0.0,1.76,11702.8143631,11702.8739886,0.0,7301.4,10702.1,0.0,4513.756414779306
1731071785.73,19.8,1.016,0.0,1.88,11703.0005296,11702.9524497,0.0,7301.5,10702.25,0.0,4513.824576221883
1731071786.23,19.8,1.217,0.0,1.77,11703.4330742,11703.2362902,0.0,7301.6,10702.4,0.0,4514.178518058665
1731071786.73,19.8,0.875,0.0,2.25,11703.1299314,11703.7892687,0.0,7301.7,10702.55,0.0,4513.874778304193
1731071787.23,19.9,0.506,0.0,2.34,11703.3042789,11703.4754989,0.0,7301.8,10702.7,0.0,4513.844427577621
1731071787.73,20.5,0.461,0.0,1.82,11704.0608123,11703.7675688,0.0,7301.9,10702.85,0.0,4514.516119905023
1731071788.23,19.8,0.878,0.0,3.22,11704.0487222,11704.0288356,0.0,7302.0,10703.0,0.0,4514.431490489731
1731071788.73,19.8,0.616,0.0,6.95,11703.6775166,11703.7153627,0.0,7302.1,10703.15,0.0,4513.869258150219
1731071789.23,20.5,0.569,0.0,3.48,11704.2513804,11703.9718781,0.0,7302.2,10703.3,0.0,4514.354944319478
1731071789.73,19.8,0.935,0.0,6.31,11704.1361856,11704.3417339,0.0,7302.3,10703.45,0.0,4514.193844735393
1731071790.23,19.8,0.745,0.0,4.69,11704.7584228,11704.2048926,0.0,7302.4,10703.6,0.0,4514.639502096836
1731071790.73,19.8,0.574,0.0,5.09,11704.465833,11704.7106154,0.0,7302.5,10703.75,0.0,4514.335537870588
1731071791.23,19.8,0.529,0.0,1.7,11704.531937,11705.0326091,0.0,7302.6,10703.9,0.0,4514.340625050789
1731071791.73,20.5,0.709,0.0,1.83,11705.0993969,11705.2381748,0.0,7302.7,10704.05,0.0,4514.80876795295
1731071792.23,19.8,0.59,0.0,1.42,11704.8604234,11704.7329108,0.0,7302.8,10704.2,0.0,4514.332960345138
1731071792.73,19.8,0.679,0.0,1.79,11705.5993954,11704.9700218,0.0,7302.9,10704.35,0.0,4514.97534813675
1731071793.23,20.5,0.607,0.0,7.58,11705.3122389,11705.0158487,0.0,7303.0,10704.5,0.0,4514.574732161226
1731071793.73,19.8,0.857,0.0,2.18,11705.2701062,11705.8159917,0.0,7303.1,10704.65,0.0,4514.580266963647
1731071794.23,19.8,0.775,0.0,1.65,11705.36774,11705.7825369,0.0,7303.2,10704.8,0.0,4514.537279752541
1731071794.73,19.8,0.679,0.0,1.73,11705.8416583,11705.8387105,0.0,7303.3,10704.95,0.0,4514.881090778943
1731071795.23,20.5,0.749,0.0,1.71,11705.9563957,11706.1720933,0.0,7303.4,10705.1,0.0,4514.93611840777
1731071795.73,19.9,0.944,0.0,2.12,11706.4885862,11706.1331143,0.0,7303.5,10705.25,0.0,4515.315658810393
1731071796.23,19.8,0.75,0.0,1.71,11706.6217345,11706.0966202,0.0,7303.6,10705.4,0.0,4515.306647411568
1731071796.73,19.8,0.869,0.0,1.34,11706.4603274,11706.4305213,0.0,7303.7,10705.55,0.0,4515.092503863583
1731071797.23,20.5,0.939,0.0,2.97,11706.7987698,11706.5061365,0.0,7303.8,10705.7,0.0,4515.308526525775
1731071797.73,19.8,0.95,0.0,7.23,11707.0995039,11706.9644558,0.0,7303.9,10705.85,0.0,4515.572613164021
1731071798.23,19.8,1.124,0.0,1.68,11706.6987437,11707.1844391,0.0,7304.0,10706.0,0.0,4515.099833765976
1731071798.73,19.8,1.251,0.0,1.92,11706.7219807,11707.299369,0.0,7304.1,10706.15,0.0,4515.017205281934
1731071799.23,20.5,1.226,0.0,1.62,11707.4421906,11707.0231094,0.0,7304.2,10706.3,0.0,4515.5274919733465
1731071799.73,19.9,0.795,0.0,1.89,11707.2398745,11706.955867,0.0,7304.3,10706.45,0.0,4515.184550864282
1731071800.23,19.8,0.605,0.0,2.12,11707.5805643,11707.2051506,0.0,7304.4,10706.6,0.0,4515.441257422858
1731071800.73,19.8,0.652,0.0,1.88,11707.6218739,11707.749906,0.0,7304.5,10706.75,0.0,4515.4715200329465
1731071801.23,20.5,0.816,0.0,1.66,11707.7929222,11707.6588628,0.0,7304.6,10706.9,0.0,4515.487372541853
1731071801.73,19.8,0.589,0.0,1.61,11708.2441089,11707.6381382,0.0,7304.7,10707.05,0.0,4515.791994914563
1731071802.23,19.9,0.767,0.0,4.54,11707.7578251,11707.7766954,0.0,7304.8,10707.2,0.0,4515.2177503401645
1731071802.73,19.8,0.719,0.0,1.88,11708.2996702,11708.542481,0.0,7304.9,10707.35,0.0,4515.785096694528
1731071803.23,20.5,0.991,0.0,1.59,11708.1880314,11708.0650592,0.0,7305.0,10707.5,0.0,4515.43965495677
1731071803.73,19.8,0.816,0.0,1.94,11708.1993847,11708.5113723,0.0,7305.1,10707.65,0.0,4515.41888179909
1731071804.23,19.8,0.739,0.0,2.04,11708.9492058,11708.5923383,0.0,7305.2,10707.8,0.0,4516.037242094458
1731071804.73,19.8,0.871,0.0,1.82,11708.8778573,11708.6046573,0.0,7305.3,10707.95,0.0,4515.83964379594
1731071805.23,20.5,0.89,0.0,2.1,11708.6747563,11708.6912264,0.0,7305.4,10708.1,0.0,4515.530022247387
1731071805.73,19.8,0.804,0.0,1.61,11709.0152797,11709.3150709,0.0,7305.5,10708.25,0.0,4515.869583449835
1731071806.23,19.8,1.064,0.0,1.65,11709.0763419,11709.1823675,0.0,7305.6,10708.4,0.0,4515.768953431066
1731071806.73,19.8,1.024,0.0,2.09,11709.5356392,11709.440544,0.0,7305.7,10708.55,0.0,4516.143290259587
1731071807.23,20.5,0.999,0.0,2.02,11709.4797169,11709.6563075,0.0,7305.8,10708.7,0.0,4516.0058213603415
1731071807.73,19.9,1.211,0.0,2.17,11709.6213673,11709.4001427,0.0,7305.9,10708.85,0.0,4515.956429027142
1731071808.23,19.8,0.77,0.0,1.45,11710.1013195,11710.1886291,0.0,7306.0,10709.0,0.0,4516.468432687288
1731071808.73,19.8,0.496,0.0,3.09,11710.1646616,11709.7358028,0.0,7306.1,10709.15,0.0,4516.299092433853
