Time,Bitrate,Jitter,Datagrams,Delay
1731067770.58,20.5,0.683,0.0,0.892
1731067771.08,19.9,0.890,0.0,1.2
1731067771.58,19.8,0.751,0.0,1.08
1731067772.08,20.5,0.704,0.0,1.09
1731067772.58,19.8,0.924,0.0,6.18
1731067773.08,19.8,0.931,0.0,1.15
1731067773.58,19.8,0.962,0.0,1.01
1731067774.08,20.5,1.000,0.0,0.722
1731067774.58,19.8,1.134,0.0,1.51
1731067775.08,19.8,1.041,0.0,0.826
1731067775.58,19.8,0.752,0.0,3.65
1731067776.08,19.9,0.471,0.0,2.99
1731067776.58,20.5,0.448,0.0,3.73
1731067777.08,19.8,0.529,0.0,3.68
1731067777.58,19.8,0.463,0.0,1.69
1731067778.08,20.5,0.706,0.0,2.3
1731067778.58,19.9,0.973,0.0,1.04
1731067779.08,19.8,0.618,0.0,3.75
1731067779.58,19.8,0.631,0.0,1.14
1731067780.08,19.8,0.491,0.0,0.742
1731067780.58,20.5,0.634,0.0,1.31
1731067781.08,19.8,0.652,0.0,1.08
1731067781.58,19.8,0.514,0.0,0.849
1731067782.08,20.5,0.620,0.0,0.929
1731067782.58,19.8,0.814,0.0,1.24
1731067783.08,19.8,0.615,0.0,0.861
1731067783.58,19.8,0.559,0.0,0.818
1731067784.08,20.5,0.667,0.0,1.02
1731067784.58,19.8,0.672,0.0,1.07
1731067785.08,19.8,0.677,0.0,7.75
1731067785.58,19.8,0.795,0.0,1.01
1731067786.08,20.5,0.818,0.0,0.836
1731067786.58,19.8,0.701,0.0,1.29
1731067787.08,19.8,0.702,0.0,0.893
1731067787.58,19.7,0.799,0.0,0.8
1731067788.08,20.6,0.833,0.0,1.47
1731067788.58,19.9,0.697,0.0,0.721
1731067789.08,19.8,0.500,0.0,1.01
1731067789.58,19.8,0.605,0.0,0.988
1731067790.08,20.5,0.556,0.0,0.802
1731067790.58,19.9,0.571,0.0,1.25
1731067791.08,19.8,0.657,0.0,0.994
1731067791.58,19.8,0.928,0.0,2.3
1731067792.08,20.5,0.680,0.0,0.755
1731067792.58,19.8,0.792,0.0,1.46
1731067793.08,19.8,0.741,0.0,1.05
1731067793.58,19.8,0.814,0.0,1.13
1731067794.08,20.5,0.790,0.0,1.08
1731067794.58,19.9,0.902,0.0,0.87
1731067795.08,19.9,0.985,0.0,1.41
1731067795.58,19.8,1.132,0.0,1.0
1731067796.08,20.5,0.975,0.0,1.06
1731067796.58,19.8,1.203,0.0,0.857
1731067797.08,19.8,1.000,0.0,NA
1731067797.58,19.9,0.477,0.0,1.05
1731067798.08,20.5,0.511,0.0,0.805
1731067798.58,19.8,0.448,0.0,1.81
1731067799.08,19.8,0.630,0.0,0.816
1731067799.58,19.9,0.509,0.0,1.38
1731067800.08,20.5,0.506,0.0,0.785
1731067800.58,19.8,0.547,0.0,1.32
1731067801.08,19.9,0.605,0.0,0.947
1731067801.58,19.8,0.438,0.0,1.57
1731067802.08,20.5,0.513,0.0,4.92
1731067802.58,19.9,0.555,0.0,0.846
1731067803.08,19.8,0.495,0.0,5.87
1731067803.58,19.9,0.521,0.0,0.747
1731067804.08,20.5,0.674,0.0,4.62
1731067804.58,19.9,0.649,0.0,0.813
1731067805.08,19.8,0.587,0.0,1.38
1731067805.58,19.8,0.621,0.0,0.899
1731067806.08,19.8,0.807,0.0,1.07
1731067806.58,20.5,0.837,0.0,1.18
1731067807.08,19.8,0.844,0.0,1.05
1731067807.58,19.8,0.733,0.0,0.882
1731067808.08,20.5,0.728,0.0,1.23
1731067808.58,19.8,0.747,0.0,0.899
1731067809.08,19.8,0.839,0.0,1.29
1731067809.58,19.9,0.724,0.0,1.05
1731067810.08,19.8,0.641,0.0,0.881
1731067810.58,20.5,0.629,0.0,1.83
