Time,S1_X,S1_Y,S1_Z
1731069774.6,11101.2265318,11100.6313543,0.0
1731069775.1,11100.9294564,11100.7419617,0.0
1731069775.6,11101.2359561,11101.0804288,0.0
1731069776.1,11101.1314417,11100.9513193,0.0
1731069776.6,11101.4585683,11101.7343324,0.0
1731069777.1,11101.706517,11101.8739172,0.0
1731069777.6,11101.6805852,11101.6170916,0.0
1731069778.1,11101.5633114,11101.7034611,0.0
1731069778.6,11102.0886046,11102.3227474,0.0
1731069779.1,11102.492937,11102.0869105,0.0
1731069779.6,11102.4487002,11102.5236404,0.0
1731069780.1,11102.2575972,11102.5161543,0.0
1731069780.6,11102.8209717,11102.795207,0.0
1731069781.1,11102.8811608,11102.4993071,0.0
1731069781.6,11103.0091076,11103.1386368,0.0
1731069782.11,11103.4761462,11103.2163188,0.0
1731069782.6,11103.0261594,11103.0865066,0.0
1731069783.11,11103.6123724,11103.2941007,0.0
1731069783.6,11103.5637693,11103.3488164,0.0
1731069784.11,11103.8032567,11103.5994553,0.0
1731069784.61,11104.1684524,11103.6563055,0.0
1731069785.11,11104.040194,11103.7970391,0.0
1731069785.61,11104.5366872,11103.8945852,0.0
1731069786.11,11104.4971542,11104.1347957,0.0
1731069786.61,11104.6881299,11104.3869618,0.0
1731069787.11,11104.9746938,11104.6086606,0.0
1731069787.61,11104.9389043,11104.54723,0.0
1731069788.11,11105.0794793,11105.0305442,0.0
1731069788.61,11105.1852844,11104.7372197,0.0
1731069789.11,11105.540711,11105.3702615,0.0
1731069789.61,11105.2446998,11105.4941696,0.0
1731069790.11,11105.2463511,11105.6372323,0.0
1731069790.62,11105.7555414,11105.9386924,0.0
1731069791.12,11105.4515341,11105.6428591,0.0
1731069791.62,11105.8514902,11105.7929865,0.0
1731069792.12,11106.3517525,11106.4191976,0.0
1731069792.62,11105.9755977,11106.5764362,0.0
1731069793.12,11106.1718313,11106.3582096,0.0
1731069793.62,11106.5482541,11106.5002519,0.0
1731069794.12,11106.6560458,11106.5879414,0.0
1731069794.62,11107.2373287,11106.5197361,0.0
1731069795.12,11106.7876407,11107.3003409,0.0
